club_id,name,pretty_name,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,url
2553,kilmarnock-fc,Kilmarnock Fc,SC1,,30,25.9,17,56.7,3,"BBSP Stadium, Rugby Park",18128,+-0,Derek McInnes,https://www.transfermarkt.co.uk/kilmarnock-fc/startseite/verein/2553
23826,rasenballsport-leipzig,Rasenballsport Leipzig,L1,,26,25.3,17,65.4,18,Red Bull Arena,47069,+€16.12m,Marco Rose,https://www.transfermarkt.co.uk/rasenballsport-leipzig/startseite/verein/23826
714,espanyol-barcelona,Espanyol Barcelona,ES1,,23,25.7,6,26.1,3,RCDE Stadium,40500,+€7.40m,Diego Martínez,https://www.transfermarkt.co.uk/espanyol-barcelona/startseite/verein/714
367,rayo-vallecano,Rayo Vallecano,ES1,,27,28.2,10,37.0,7,Campo de Fútbol de Vallecas,15105,€-11.30m,Andoni Iraola,https://www.transfermarkt.co.uk/rayo-vallecano/startseite/verein/367
237,rcd-mallorca,Rcd Mallorca,ES1,,25,27.8,15,60.0,9,Visit Mallorca Estadi,20500,€-9.70m,Javier Aguirre,https://www.transfermarkt.co.uk/rcd-mallorca/startseite/verein/237
82,vfl-wolfsburg,Vfl Wolfsburg,L1,,28,24.7,16,57.1,11,Volkswagen Arena,30000,€-13.05m,Niko Kovac,https://www.transfermarkt.co.uk/vfl-wolfsburg/startseite/verein/82
533,tsg-1899-hoffenheim,Tsg 1899 Hoffenheim,L1,,28,25.5,14,50.0,8,PreZero Arena,30150,+€14.70m,André Breitenreiter,https://www.transfermarkt.co.uk/tsg-1899-hoffenheim/startseite/verein/533
3709,fc-getafe,Fc Getafe,ES1,,24,27.3,12,50.0,9,Coliseum Alfonso Pérez,16800,€-750k,Quique Sánchez Flores,https://www.transfermarkt.co.uk/fc-getafe/startseite/verein/3709
3302,ud-almeria,Ud Almeria,ES1,,28,25.4,13,46.4,2,Power Horse Stadium,15274,€-17.00m,Rubi,https://www.transfermarkt.co.uk/ud-almeria/startseite/verein/3302
18,borussia-monchengladbach,Borussia Monchengladbach,L1,,28,25.5,15,53.6,11,Stadion im Borussia-Park,54042,€-1.00m,Daniel Farke,https://www.transfermarkt.co.uk/borussia-monchengladbach/startseite/verein/18
1049,fc-valencia,Fc Valencia,ES1,,25,24.5,14,56.0,9,Mestalla,48600,+€42.10m,Gennaro Gattuso,https://www.transfermarkt.co.uk/fc-valencia/startseite/verein/1049
