Data;Em casa;Resultado;Visitante;Relatório da Partida;Season;home_goal;away_goal
2010-08-07;Lyon;0–0;Monaco;Relatório da Partida;2010;0;0
2010-08-07;Auxerre;2–2;Lorient;Relatório da Partida;2010;2;2
2010-08-07;Lens;1–2;Nancy;Relatório da Partida;2010;1;2
2010-08-07;Sochaux;2–1;Arles-Avignon;Relatório da Partida;2010;2;1
2010-08-07;Nice;0–0;Valenciennes;Relatório da Partida;2010;0;0
2010-08-07;Toulouse;2–0;Brest;Relatório da Partida;2010;2;0
2010-08-07;Marseille;1–2;Caen;Relatório da Partida;2010;1;2
2010-08-07;Paris S-G;3–1;Saint-Étienne;Relatório da Partida;2010;3;1
2010-08-07;Rennes;1–1;Lille;Relatório da Partida;2010;1;1
2010-08-08;Montpellier;1–0;Bordeaux;Relatório da Partida;2010;1;0
2010-08-14;Nancy;0–3;Rennes;Relatório da Partida;2010;0;3
2010-08-14;Saint-Étienne;3–2;Sochaux;Relatório da Partida;2010;3;2
2010-08-14;Arles-Avignon;0–1;Lens;Relatório da Partida;2010;0;1
2010-08-14;Lorient;1–2;Nice;Relatório da Partida;2010;1;2
2010-08-14;Brest;1–1;Auxerre;Relatório da Partida;2010;1;1
2010-08-14;Valenciennes;3–2;Marseille;Relatório da Partida;2010;3;2
2010-08-15;Lille;0–0;Paris S-G;Relatório da Partida;2010;0;0
2010-08-15;Bordeaux;1–2;Toulouse;Relatório da Partida;2010;1;2
2010-08-15;Caen;3–2;Lyon;Relatório da Partida;2010;3;2
2010-08-17;Monaco;0–0;Montpellier;Relatório da Partida;2010;0;0
2010-08-21;Rennes;0–0;Saint-Étienne;Relatório da Partida;2010;0;0
2010-08-21;Lyon;1–0;Brest;Relatório da Partida;2010;1;0
2010-08-21;Nice;1–1;Nancy;Relatório da Partida;2010;1;1
2010-08-21;Auxerre;1–1;Valenciennes;Relatório da Partida;2010;1;1
2010-08-21;Toulouse;2–1;Arles-Avignon;Relatório da Partida;2010;2;1
2010-08-21;Lens;2–2;Monaco;Relatório da Partida;2010;2;2
2010-08-21;Marseille;2–0;Lorient;Relatório da Partida;2010;2;0
2010-08-22;Sochaux;0–0;Lille;Relatório da Partida;2010;0;0
2010-08-22;Paris S-G;1–2;Bordeaux;Relatório da Partida;2010;1;2
2010-08-22;Montpellier;0–0;Caen;Relatório da Partida;2010;0;0
2010-08-28;Valenciennes;0–1;Montpellier;Relatório da Partida;2010;0;1
2010-08-28;Lorient;2–0;Lyon;Relatório da Partida;2010;2;0
2010-08-28;Saint-Étienne;3–1;Lens;Relatório da Partida;2010;3;1
2010-08-28;Caen;0–2;Brest;Relatório da Partida;2010;0;2
2010-08-28;Nancy;0–2;Toulouse;Relatório da Partida;2010;0;2
2010-08-28;Arles-Avignon;0–1;Rennes;Relatório da Partida;2010;0;1
2010-08-29;Monaco;2–0;Auxerre;Relatório da Partida;2010;2;0
2010-08-29;Bordeaux;1–1;Marseille;Relatório da Partida;2010;1;1
2010-08-29;Sochaux;3–1;Paris S-G;Relatório da Partida;2010;3;1
2010-08-29;Lille;1–1;Nice;Relatório da Partida;2010;1;1
2010-09-11;Montpellier;1–2;Nancy;Relatório da Partida;2010;1;2
2010-09-11;Paris S-G;4–0;Arles-Avignon;Relatório da Partida;2010;4;0
2010-09-11;Lens;1–4;Lille;Relatório da Partida;2010;1;4
2010-09-11;Toulouse;0–1;Saint-Étienne;Relatório da Partida;2010;0;1
2010-09-11;Auxerre;1–1;Caen;Relatório da Partida;2010;1;1
2010-09-11;Rennes;2–1;Sochaux;Relatório da Partida;2010;2;1
2010-09-11;Lyon;1–1;Valenciennes;Relatório da Partida;2010;1;1
2010-09-12;Nice;2–1;Bordeaux;Relatório da Partida;2010;2;1
2010-09-12;Brest;0–0;Lorient;Relatório da Partida;2010;0;0
2010-09-12;Marseille;2–2;Monaco;Relatório da Partida;2010;2;2
2010-09-18;Lorient;0–1;Caen;Relatório da Partida;2010;0;1
2010-09-18;Valenciennes;1–1;Lens;Relatório da Partida;2010;1;1
2010-09-18;Arles-Avignon;0–3;Marseille;Relatório da Partida;2010;0;3
2010-09-18;Monaco;0–0;Toulouse;Relatório da Partida;2010;0;0
2010-09-18;Sochaux;4–0;Nice;Relatório da Partida;2010;4;0
2010-09-18;Nancy;0–2;Brest;Relatório da Partida;2010;0;2
2010-09-18;Saint-Étienne;3–0;Montpellier;Relatório da Partida;2010;3;0
2010-09-19;Bordeaux;2–0;Lyon;Relatório da Partida;2010;2;0
2010-09-19;Lille;1–0;Auxerre;Relatório da Partida;2010;1;0
2010-09-19;Paris S-G;0–0;Rennes;Relatório da Partida;2010;0;0
2010-09-25;Lorient;2–1;Monaco;Relatório da Partida;2010;2;1
2010-09-25;Nice;1–2;Rennes;Relatório da Partida;2010;1;2
2010-09-25;Lyon;0–1;Saint-Étienne;Relatório da Partida;2010;0;1
2010-09-25;Marseille;2–1;Sochaux;Relatório da Partida;2010;2;1
2010-09-25;Auxerre;2–2;Nancy;Relatório da Partida;2010;2;2
2010-09-25;Montpellier;3–1;Arles-Avignon;Relatório da Partida;2010;3;1
2010-09-25;Caen;0–0;Bordeaux;Relatório da Partida;2010;0;0
2010-09-26;Lens;0–2;Paris S-G;Relatório da Partida;2010;0;2
2010-09-26;Toulouse;1–1;Lille;Relatório da Partida;2010;1;1
2010-09-26;Brest;1–0;Valenciennes;Relatório da Partida;2010;1;0
2010-10-02;Nancy;2–3;Lyon;Relatório da Partida;2010;2;3
2010-10-02;Monaco;0–1;Brest;Relatório da Partida;2010;0;1
2010-10-02;Saint-Étienne;1–1;Marseille;Relatório da Partida;2010;1;1
2010-10-02;Valenciennes;2–1;Caen;Relatório da Partida;2010;2;1
2010-10-02;Sochaux;3–0;Lens;Relatório da Partida;2010;3;0
2010-10-02;Arles-Avignon;0–4;Auxerre;Relatório da Partida;2010;0;4
2010-10-02;Bordeaux;1–0;Lorient;Relatório da Partida;2010;1;0
2010-10-03;Rennes;3–1;Toulouse;Relatório da Partida;2010;3;1
2010-10-03;Paris S-G;0–0;Nice;Relatório da Partida;2010;0;0
2010-10-03;Lille;3–1;Montpellier;Relatório da Partida;2010;3;1
2010-10-16;Montpellier;2–0;Sochaux;Relatório da Partida;2010;2;0
2010-10-16;Toulouse;0–2;Paris S-G;Relatório da Partida;2010;0;2
2010-10-16;Auxerre;0–1;Bordeaux;Relatório da Partida;2010;0;1
2010-10-16;Marseille;1–0;Nancy;Relatório da Partida;2010;1;0
2010-10-16;Caen;0–0;Monaco;Relatório da Partida;2010;0;0
2010-10-16;Brest;0–0;Arles-Avignon;Relatório da Partida;2010;0;0
2010-10-17;Nice;2–1;Saint-Étienne;Relatório da Partida;2010;2;1
2010-10-17;Lens;0–0;Rennes;Relatório da Partida;2010;0;0
2010-10-17;Lorient;2–1;Valenciennes;Relatório da Partida;2010;2;1
2010-10-17;Lyon;3–1;Lille;Relatório da Partida;2010;3;1
2010-10-23;Bordeaux;0–2;Brest;Relatório da Partida;2010;0;2
2010-10-23;Sochaux;1–3;Toulouse;Relatório da Partida;2010;1;3
2010-10-23;Nancy;1–0;Lorient;Relatório da Partida;2010;1;0
2010-10-23;Rennes;0–1;Montpellier;Relatório da Partida;2010;0;1
2010-10-23;Monaco;0–2;Valenciennes;Relatório da Partida;2010;0;2
2010-10-23;Saint-Étienne;1–1;Caen;Relatório da Partida;2010;1;1
2010-10-23;Lens;1–0;Nice;Relatório da Partida;2010;1;0
2010-10-24;Paris S-G;2–3;Auxerre;Relatório da Partida;2010;2;3
2010-10-24;Lille;1–3;Marseille;Relatório da Partida;2010;1;3
2010-10-24;Arles-Avignon;1–1;Lyon;Relatório da Partida;2010;1;1
2010-10-30;Toulouse;1–1;Lens;Relatório da Partida;2010;1;1
2010-10-30;Auxerre;2–0;Nice;Relatório da Partida;2010;2;0
2010-10-30;Lorient;2–0;Arles-Avignon;Relatório da Partida;2010;2;0
2010-10-30;Caen;2–3;Nancy;Relatório da Partida;2010;2;3
2010-10-30;Lyon;2–1;Sochaux;Relatório da Partida;2010;2;1
2010-10-30;Brest;2–0;Saint-Étienne;Relatório da Partida;2010;2;0
2010-10-31;Valenciennes;1–1;Lille;Relatório da Partida;2010;1;1
2010-10-31;Montpellier;1–1;Paris S-G;Relatório da Partida;2010;1;1
2010-11-02;Monaco;2–2;Bordeaux;Relatório da Partida;2010;2;2
2010-11-06;Arles-Avignon;3–2;Caen;Relatório da Partida;2010;3;2
2010-11-06;Rennes;1–1;Lyon;Relatório da Partida;2010;1;1
2010-11-06;Sochaux;1–1;Auxerre;Relatório da Partida;2010;1;1
2010-11-06;Bordeaux;1–1;Valenciennes;Relatório da Partida;2010;1;1
2010-11-06;Saint-Étienne;1–2;Lorient;Relatório da Partida;2010;1;2
2010-11-07;Nancy;0–4;Monaco;Relatório da Partida;2010;0;4
2010-11-07;Lens;2–0;Montpellier;Relatório da Partida;2010;2;0
2010-11-07;Nice;2–0;Toulouse;Relatório da Partida;2010;2;0
2010-11-07;Lille;3–1;Brest;Relatório da Partida;2010;3;1
2010-11-07;Paris S-G;2–1;Marseille;Relatório da Partida;2010;2;1
2010-11-13;Brest;1–1;Sochaux;Relatório da Partida;2010;1;1
2010-11-13;Monaco;0–0;Arles-Avignon;Relatório da Partida;2010;0;0
2010-11-13;Bordeaux;2–1;Nancy;Relatório da Partida;2010;2;1
2010-11-13;Montpellier;1–0;Toulouse;Relatório da Partida;2010;1;0
2010-11-13;Caen;2–5;Lille;Relatório da Partida;2010;2;5
2010-11-13;Marseille;1–1;Lens;Relatório da Partida;2010;1;1
2010-11-14;Auxerre;2–1;Rennes;Relatório da Partida;2010;2;1
2010-11-14;Lyon;1–0;Nice;Relatório da Partida;2010;1;0
2010-11-14;Lorient;1–1;Paris S-G;Relatório da Partida;2010;1;1
2010-11-20;Nice;0–1;Montpellier;Relatório da Partida;2010;0;1
2010-11-20;Saint-Étienne;1–1;Auxerre;Relatório da Partida;2010;1;1
2010-11-20;Sochaux;2–0;Lorient;Relatório da Partida;2010;2;0
2010-11-20;Toulouse;0–1;Marseille;Relatório da Partida;2010;0;1
2010-11-20;Nancy;2–0;Valenciennes;Relatório da Partida;2010;2;0
2010-11-20;Paris S-G;2–1;Caen;Relatório da Partida;2010;2;1
2010-11-20;Rennes;2–1;Brest;Relatório da Partida;2010;2;1
2010-11-21;Lille;2–1;Monaco;Relatório da Partida;2010;2;1
2010-11-21;Arles-Avignon;2–4;Bordeaux;Relatório da Partida;2010;2;4
2010-11-21;Lens;1–3;Lyon;Relatório da Partida;2010;1;3
2010-11-27;Lorient;2–0;Rennes;Relatório da Partida;2010;2;0
2010-11-27;Nancy;1–1;Saint-Étienne;Relatório da Partida;2010;1;1
2010-11-27;Bordeaux;1–1;Lille;Relatório da Partida;2010;1;1
2010-11-27;Monaco;1–1;Nice;Relatório da Partida;2010;1;1
2010-11-27;Valenciennes;3–0;Arles-Avignon;Relatório da Partida;2010;3;0
