Data;Em casa;Resultado;Visitante;Relatório da Partida;Season;home_goal;away_goal
2004-08-06;Nice;0–1;Lyon;Relatório da Partida;2004;0;1
2004-08-07;Rennes;2–1;Paris S-G;Relatório da Partida;2004;2;1
2004-08-07;Bastia;2–1;Strasbourg;Relatório da Partida;2004;2;1
2004-08-07;Caen;1–1;Istres;Relatório da Partida;2004;1;1
2004-08-07;Lille;2–0;Auxerre;Relatório da Partida;2004;2;0
2004-08-07;Saint-Étienne;0–1;Monaco;Relatório da Partida;2004;0;1
2004-08-07;Metz;1–0;Nantes;Relatório da Partida;2004;1;0
2004-08-07;Marseille;1–0;Bordeaux;Relatório da Partida;2004;1;0
2004-08-07;Toulouse;0–0;Lens;Relatório da Partida;2004;0;0
2004-08-07;Sochaux;1–0;Ajaccio;Relatório da Partida;2004;1;0
2004-08-14;Paris S-G;2–2;Caen;Relatório da Partida;2004;2;2
2004-08-14;Strasbourg;1–4;Toulouse;Relatório da Partida;2004;1;4
2004-08-14;Monaco;2–1;Istres;Relatório da Partida;2004;2;1
2004-08-14;Nantes;1–1;Bastia;Relatório da Partida;2004;1;1
2004-08-14;Bordeaux;5–1;Nice;Relatório da Partida;2004;5;1
2004-08-14;Ajaccio;1–2;Metz;Relatório da Partida;2004;1;2
2004-08-14;Lens;3–0;Saint-Étienne;Relatório da Partida;2004;3;0
2004-08-14;Auxerre;3–1;Rennes;Relatório da Partida;2004;3;1
2004-08-14;Lyon;1–1;Sochaux;Relatório da Partida;2004;1;1
2004-08-15;Marseille;3–0;Lille;Relatório da Partida;2004;3;0
2004-08-21;Lille;0–0;Bordeaux;Relatório da Partida;2004;0;0
2004-08-21;Caen;1–0;Monaco;Relatório da Partida;2004;1;0
2004-08-21;Nice;1–1;Marseille;Relatório da Partida;2004;1;1
2004-08-21;Bastia;1–0;Ajaccio;Relatório da Partida;2004;1;0
2004-08-21;Toulouse;2–1;Paris S-G;Relatório da Partida;2004;2;1
2004-08-21;Istres;0–2;Lens;Relatório da Partida;2004;0;2
2004-08-21;Rennes;1–0;Nantes;Relatório da Partida;2004;1;0
2004-08-21;Saint-Étienne;1–1;Strasbourg;Relatório da Partida;2004;1;1
2004-08-21;Sochaux;1–2;Auxerre;Relatório da Partida;2004;1;2
2004-08-22;Metz;1–1;Lyon;Relatório da Partida;2004;1;1
2004-08-27;Nice;1–1;Bastia;Relatório da Partida;2004;1;1
2004-08-28;Bordeaux;2–0;Sochaux;Relatório da Partida;2004;2;0
2004-08-28;Ajaccio;1–1;Rennes;Relatório da Partida;2004;1;1
2004-08-28;Marseille;1–3;Metz;Relatório da Partida;2004;1;3
2004-08-28;Lyon;1–0;Lille;Relatório da Partida;2004;1;0
2004-08-28;Lens;1–1;Monaco;Relatório da Partida;2004;1;1
2004-08-28;Nantes;2–2;Toulouse;Relatório da Partida;2004;2;2
2004-08-28;Auxerre;1–0;Caen;Relatório da Partida;2004;1;0
