Data;Em casa;Resultado;Visitante;Relatório da Partida;Season;home_goal;away_goal
2002-09-28;Sedan;4–0;Le Havre;Relatório da Partida;2002;4;0
2002-09-28;Monaco;2–1;Rennes;Relatório da Partida;2002;2;1
2002-09-28;Guingamp;2–3;Strasbourg;Relatório da Partida;2002;2;3
2002-09-28;Nantes;1–4;Auxerre;Relatório da Partida;2002;1;4
2002-09-28;Troyes;1–1;Lyon;Relatório da Partida;2002;1;1
2002-09-28;Bastia;2–1;Bordeaux;Relatório da Partida;2002;2;1
2002-10-05;Lille;3–0;Marseille;Relatório da Partida;2002;3;0
2002-10-05;Montpellier;0–2;Lens;Relatório da Partida;2002;0;2
2002-10-05;Ajaccio;1–0;Nantes;Relatório da Partida;2002;1;0
2002-10-05;Nice;2–0;Bastia;Relatório da Partida;2002;2;0
2002-10-05;Strasbourg;2–1;Troyes;Relatório da Partida;2002;2;1
2002-10-05;Le Havre;1–0;Sochaux;Relatório da Partida;2002;1;0
2002-10-05;Rennes;0–1;Lyon;Relatório da Partida;2002;0;1
2002-10-06;Bordeaux;2–2;Sedan;Relatório da Partida;2002;2;2
2002-10-06;Auxerre;1–1;Monaco;Relatório da Partida;2002;1;1
2002-10-06;Paris S-G;5–0;Guingamp;Relatório da Partida;2002;5;0
2002-10-19;Sedan;1–3;Rennes;Relatório da Partida;2002;1;3
2002-10-19;Lens;1–1;Ajaccio;Relatório da Partida;2002;1;1
2002-10-19;Lyon;3–0;Auxerre;Relatório da Partida;2002;3;0
2002-10-19;Troyes;1–2;Paris S-G;Relatório da Partida;2002;1;2
2002-10-19;Nantes;0–0;Nice;Relatório da Partida;2002;0;0
2002-10-19;Guingamp;3–1;Montpellier;Relatório da Partida;2002;3;1
2002-10-19;Sochaux;2–0;Bordeaux;Relatório da Partida;2002;2;0
2002-10-19;Monaco;1–1;Lille;Relatório da Partida;2002;1;1
2002-10-19;Bastia;3–1;Le Havre;Relatório da Partida;2002;3;1
2002-10-20;Marseille;1–0;Strasbourg;Relatório da Partida;2002;1;0
2002-10-25;Bordeaux;2–2;Monaco;Relatório da Partida;2002;2;2
2002-10-26;Paris S-G;3–0;Marseille;Relatório da Partida;2002;3;0
2002-10-26;Nice;0–0;Lens;Relatório da Partida;2002;0;0
2002-10-26;Auxerre;1–0;Rennes;Relatório da Partida;2002;1;0
2002-10-26;Strasbourg;2–0;Bastia;Relatório da Partida;2002;2;0
2002-10-26;Le Havre;1–1;Nantes;Relatório da Partida;2002;1;1
2002-10-26;Montpellier;2–2;Troyes;Relatório da Partida;2002;2;2
2002-10-26;Ajaccio;0–1;Lyon;Relatório da Partida;2002;0;1
2002-10-26;Guingamp;0–1;Sedan;Relatório da Partida;2002;0;1
2002-10-26;Lille;1–0;Sochaux;Relatório da Partida;2002;1;0
2002-11-02;Rennes;0–0;Ajaccio;Relatório da Partida;2002;0;0
2002-11-02;Marseille;2–0;Montpellier;Relatório da Partida;2002;2;0
2002-11-02;Monaco;1–1;Le Havre;Relatório da Partida;2002;1;1
2002-11-02;Lens;3–1;Auxerre;Relatório da Partida;2002;3;1
2002-11-02;Sochaux;2–0;Strasbourg;Relatório da Partida;2002;2;0
2002-11-02;Troyes;0–2;Guingamp;Relatório da Partida;2002;0;2
2002-11-02;Bastia;1–0;Lille;Relatório da Partida;2002;1;0
2002-11-02;Lyon;2–2;Nice;Relatório da Partida;2002;2;2
2002-11-03;Nantes;0–0;Bordeaux;Relatório da Partida;2002;0;0
2002-11-03;Sedan;3–1;Paris S-G;Relatório da Partida;2002;3;1
2002-11-07;Ajaccio;1–0;Auxerre;Relatório da Partida;2002;1;0
2002-11-07;Le Havre;1–2;Lyon;Relatório da Partida;2002;1;2
2002-11-08;Nice;1–0;Monaco;Relatório da Partida;2002;1;0
2002-11-09;Troyes;3–0;Bastia;Relatório da Partida;2002;3;0
2002-11-09;Montpellier;2–0;Sedan;Relatório da Partida;2002;2;0
2002-11-09;Guingamp;0–0;Marseille;Relatório da Partida;2002;0;0
2002-11-09;Bordeaux;2–0;Rennes;Relatório da Partida;2002;2;0
2002-11-09;Lille;0–1;Nantes;Relatório da Partida;2002;0;1
2002-11-09;Paris S-G;1–1;Sochaux;Relatório da Partida;2002;1;1
2002-11-09;Strasbourg;2–0;Lens;Relatório da Partida;2002;2;0
2002-11-14;Monaco;3–2;Ajaccio;Relatório da Partida;2002;3;2
2002-11-16;Nantes;4–1;Strasbourg;Relatório da Partida;2002;4;1
2002-11-16;Sedan;0–1;Lille;Relatório da Partida;2002;0;1
2002-11-16;Sochaux;0–0;Montpellier;Relatório da Partida;2002;0;0
2002-11-16;Bastia;0–2;Guingamp;Relatório da Partida;2002;0;2
2002-11-16;Lyon;4–2;Bordeaux;Relatório da Partida;2002;4;2
2002-11-16;Auxerre;0–2;Nice;Relatório da Partida;2002;0;2
2002-11-16;Marseille;0–0;Troyes;Relatório da Partida;2002;0;0
2002-11-16;Rennes;0–0;Le Havre;Relatório da Partida;2002;0;0
