Data;Em casa;Resultado;Visitante;Relatório da Partida;Season;home_goal;away_goal
2012-11-25;Marseille;1–0;Lille;Relatório da Partida;2012;1;0
2012-11-25;Montpellier;1–0;Bordeaux;Relatório da Partida;2012;1;0
2012-11-28;Marseille;1–4;Lyon;Relatório da Partida;2012;1;4
2012-11-30;Ajaccio;0–0;Saint-Étienne;Relatório da Partida;2012;0;0
2012-12-01;Evian;1–1;Nancy;Relatório da Partida;2012;1;1
2012-12-01;Lille;0–0;Bastia;Relatório da Partida;2012;0;0
2012-12-01;Nice;2–1;Paris S-G;Relatório da Partida;2012;2;1
2012-12-01;Bordeaux;2–2;Sochaux;Relatório da Partida;2012;2;2
2012-12-01;Valenciennes;1–0;Reims;Relatório da Partida;2012;1;0
2012-12-01;Lyon;1–0;Montpellier;Relatório da Partida;2012;1;0
2012-12-02;Brest;1–2;Marseille;Relatório da Partida;2012;1;2
2012-12-02;Troyes;2–3;Rennes;Relatório da Partida;2012;2;3
2012-12-02;Lorient;1–0;Toulouse;Relatório da Partida;2012;1;0
2012-12-07;Toulouse;0–0;Bastia;Relatório da Partida;2012;0;0
2012-12-08;Troyes;1–1;Nice;Relatório da Partida;2012;1;1
2012-12-08;Rennes;2–2;Brest;Relatório da Partida;2012;2;2
2012-12-08;Nancy;1–1;Valenciennes;Relatório da Partida;2012;1;1
2012-12-08;Montpellier;3–0;Ajaccio;Relatório da Partida;2012;3;0
2012-12-08;Paris S-G;4–0;Evian;Relatório da Partida;2012;4;0
2012-12-08;Sochaux;1–1;Lille;Relatório da Partida;2012;1;1
2012-12-09;Reims;0–0;Bordeaux;Relatório da Partida;2012;0;0
2012-12-09;Saint-Étienne;0–1;Lyon;Relatório da Partida;2012;0;1
2012-12-09;Marseille;0–3;Lorient;Relatório da Partida;2012;0;3
2012-12-11;Lille;2–0;Toulouse;Relatório da Partida;2012;2;0
2012-12-11;Valenciennes;0–4;Paris S-G;Relatório da Partida;2012;0;4
2012-12-11;Nice;1–0;Rennes;Relatório da Partida;2012;1;0
2012-12-12;Bastia;1–2;Marseille;Relatório da Partida;2012;1;2
2012-12-12;Brest;1–2;Montpellier;Relatório da Partida;2012;1;2
2012-12-12;Ajaccio;2–0;Reims;Relatório da Partida;2012;2;0
2012-12-12;Lorient;2–0;Sochaux;Relatório da Partida;2012;2;0
2012-12-12;Lyon;1–1;Nancy;Relatório da Partida;2012;1;1
2012-12-12;Evian;2–0;Troyes;Relatório da Partida;2012;2;0
2012-12-13;Bordeaux;0–0;Saint-Étienne;Relatório da Partida;2012;0;0
2012-12-14;Rennes;2–0;Valenciennes;Relatório da Partida;2012;2;0
2012-12-15;Reims;1–1;Lille;Relatório da Partida;2012;1;1
2012-12-15;Troyes;3–2;Ajaccio;Relatório da Partida;2012;3;2
2012-12-15;Toulouse;0–1;Marseille;Relatório da Partida;2012;0;1
2012-12-15;Sochaux;1–2;Brest;Relatório da Partida;2012;1;2
2012-12-15;Nice;3–2;Evian;Relatório da Partida;2012;3;2
2012-12-15;Montpellier;4–0;Bastia;Relatório da Partida;2012;4;0
2012-12-16;Nancy;1–1;Bordeaux;Relatório da Partida;2012;1;1
2012-12-16;Saint-Étienne;0–2;Lorient;Relatório da Partida;2012;0;2
2012-12-16;Paris S-G;1–0;Lyon;Relatório da Partida;2012;1;0
2012-12-21;Brest;0–3;Paris S-G;Relatório da Partida;2012;0;3
2012-12-22;Lorient;2–2;Reims;Relatório da Partida;2012;2;2
2012-12-22;Bordeaux;0–0;Troyes;Relatório da Partida;2012;0;0
2012-12-22;Lyon;3–0;Nice;Relatório da Partida;2012;3;0
2012-12-22;Lille;4–1;Montpellier;Relatório da Partida;2012;4;1
2012-12-22;Bastia;4–2;Nancy;Relatório da Partida;2012;4;2
2012-12-22;Ajaccio;2–4;Rennes;Relatório da Partida;2012;2;4
2012-12-23;Marseille;1–0;Saint-Étienne;Relatório da Partida;2012;1;0
2012-12-23;Valenciennes;2–1;Evian;Relatório da Partida;2012;2;1
2012-12-23;Toulouse;2–0;Sochaux;Relatório da Partida;2012;2;0
2013-01-11;Saint-Étienne;2–2;Toulouse;Relatório da Partida;2012;2;2
2013-01-11;Paris S-G;0–0;Ajaccio;Relatório da Partida;2012;0;0
2013-01-12;Montpellier;2–0;Lorient;Relatório da Partida;2012;2;0
2013-01-12;Nancy;2–2;Lille;Relatório da Partida;2012;2;2
2013-01-12;Evian;0–2;Brest;Relatório da Partida;2012;0;2
2013-01-12;Troyes;1–2;Lyon;Relatório da Partida;2012;1;2
2013-01-12;Rennes;0–2;Bordeaux;Relatório da Partida;2012;0;2
2013-01-13;Sochaux;3–1;Marseille;Relatório da Partida;2012;3;1
2013-01-13;Reims;1–2;Bastia;Relatório da Partida;2012;1;2
2013-01-13;Nice;5–0;Valenciennes;Relatório da Partida;2012;5;0
2013-01-18;Lyon;0–0;Evian;Relatório da Partida;2012;0;0
2013-01-19;Ajaccio;1–1;Valenciennes;Relatório da Partida;2012;1;1
2013-01-19;Toulouse;2–1;Nancy;Relatório da Partida;2012;2;1
2013-01-19;Marseille;3–2;Montpellier;Relatório da Partida;2012;3;2
2013-01-19;Lorient;3–2;Troyes;Relatório da Partida;2012;3;2
2013-01-19;Sochaux;1–0;Reims;Relatório da Partida;2012;1;0
2013-01-19;Brest;0–1;Saint-Étienne;Relatório da Partida;2012;0;1
2013-01-20;Bastia;0–2;Rennes;Relatório da Partida;2012;0;2
2013-01-20;Lille;0–2;Nice;Relatório da Partida;2012;0;2
2013-01-20;Bordeaux;0–1;Paris S-G;Relatório da Partida;2012;0;1
2013-01-25;Valenciennes;0–2;Lyon;Relatório da Partida;2012;0;2
2013-01-26;Nancy;2–1;Lorient;Relatório da Partida;2012;2;1
2013-01-26;Troyes;2–1;Brest;Relatório da Partida;2012;2;1
2013-01-26;Reims;1–1;Toulouse;Relatório da Partida;2012;1;1
2013-01-26;Evian;1–1;Ajaccio;Relatório da Partida;2012;1;1
2013-01-26;Rennes;2–2;Marseille;Relatório da Partida;2012;2;2
2013-01-26;Montpellier;2–0;Sochaux;Relatório da Partida;2012;2;0
2013-01-27;Saint-Étienne;3–0;Bastia;Relatório da Partida;2012;3;0
2013-01-27;Paris S-G;1–0;Lille;Relatório da Partida;2012;1;0
2013-01-27;Nice;0–1;Bordeaux;Relatório da Partida;2012;0;1
2013-02-01;Toulouse;0–4;Paris S-G;Relatório da Partida;2012;0;4
2013-02-02;Brest;0–2;Nice;Relatório da Partida;2012;0;2
2013-02-02;Sochaux;1–2;Saint-Étienne;Relatório da Partida;2012;1;2
2013-02-02;Lille;1–1;Troyes;Relatório da Partida;2012;1;1
