Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
5,dom,2020-08-23,11:00,Flamengo,1.9,1–1,1.3,Botafogo (RJ),,Estadio Jornalista Mário Filho,Leandro Pedro Vuaden,Relatório da Partida,
5,dom,2020-08-23,16:00,Vasco da Gama,0.6,0–0,0.6,Grêmio,,Estádio Club de Regatas Vasco da Gama,Savio Pereira,Relatório da Partida,
5,dom,2020-08-23,16:00,Bragantino,0.9,1–2,1.4,Coritiba,,Estádio Nabi Abi Chedid,Gilberto Rodrigues Castro Junior,Relatório da Partida,
5,dom,2020-08-23,16:00,Palmeiras,1.9,2–1,0.5,Santos,,Allianz Parque,Vinicius Gonçalves Dias Araujo,Relatório da Partida,
5,dom,2020-08-23,19:00,Sport Recife,1.0,0–1,1.0,São Paulo,,Estádio Adelmar da Costa Carvalho,Rodrigo D'Alonso Ferreira,Relatório da Partida,
5,dom,2020-08-23,20:00,Ceará,2.0,2–0,0.8,Bahia,,Estádio Castelão,Wagner do Nascimento Magalhaes,Relatório da Partida,
5,sáb,2020-08-22,21:00,Goiás,0.6,2–0,0.9,Atl Goianiense,,Estádio de Hailé Pinheiro,Wilton Sampaio,Relatório da Partida,
,,,,,,,,,,,,,
11,qua,2020-08-26,19:00,São Paulo,1.1,1–0,0.9,Atl Paranaense,,Estádio do Morumbi,Marcelo de Lima Henrique,Relatório da Partida,
,,,,,,,,,,,,,
5,qua,2020-08-26,21:30,Corinthians,1.6,1–1,1.0,Fortaleza,,Arena Corinthians,Rodolpho Toski Marques,Relatório da Partida,
,,,,,,,,,,,,,
6,sáb,2020-08-29,17:00,Botafogo (RJ),0.8,0–2,2.5,Internacional,,Estádio Nilton Santos,Thiago Duarte Peixoto,Relatório da Partida,
6,sáb,2020-08-29,19:00,Fluminense,0.9,2–1,1.3,Vasco da Gama,,Estadio Jornalista Mário Filho,Braulio da Silva Machado,Relatório da Partida,
6,sáb,2020-08-29,19:00,Bahia,0.4,1–1,1.5,Palmeiras,,Estádio Governador Roberto Santos,Bruno Arleu de Araujo,Relatório da Partida,
6,dom,2020-08-30,11:00,São Paulo,0.8,2–1,0.4,Corinthians,,Estádio do Morumbi,Flavio Rodrigues De Souza,Relatório da Partida,
6,dom,2020-08-30,16:00,Coritiba,1.4,1–0,0.9,Sport Recife,,Estádio Major Antônio Couto Pereira,Raphael Claus,Relatório da Partida,
6,dom,2020-08-30,16:00,Santos,1.2,0–1,2.9,Flamengo,,Estádio Urbano Caldeira,Wilton Sampaio,Relatório da Partida,
6,dom,2020-08-30,18:00,Atl Goianiense,1.0,0–2,1.1,Ceará,,Estádio Olímpico Pedro Ludovico Teixeira,Igor Junior Benevenuto,Relatório da Partida,
6,sáb,2020-08-29,21:00,Fortaleza,2.0,3–0,0.2,Bragantino,,Estádio Castelão,Rafael Traci,Relatório da Partida,
,,,,,,,,,,,,,
7,qua,2020-09-02,19:00,Ceará,0.7,1–0,0.1,Fortaleza,,Estádio Castelão,Luiz Flávio de Oliveira,Relatório da Partida,
7,qua,2020-09-02,19:15,Goiás,1.6,1–2,1.2,Corinthians,,Estádio de Hailé Pinheiro,Jose Mendonca da Silva Junior,Relatório da Partida,
7,qua,2020-09-02,19:30,Fluminense,1.2,1–1,1.0,Atl Goianiense,,Estadio Jornalista Mário Filho,Marielson Alves Silva,Relatório da Partida,
7,qua,2020-09-02,20:30,Bahia,0.9,3–5,3.1,Flamengo,,Estádio Governador Roberto Santos,Savio Pereira,Relatório da Partida,
7,qua,2020-09-02,20:30,Botafogo (RJ),0.6,0–0,0.7,Coritiba,,Estádio Nilton Santos,Felipe Fernandes de Lima,Relatório da Partida,
7,qua,2020-09-02,20:30,Atl Paranaense,1.0,1–1,1.3,Bragantino,,Estádio Joaquim Américo Guimarães,Wagner do Nascimento Magalhaes,Relatório da Partida,
7,qui,2020-09-03,19:00,Grêmio,2.1,1–2,1.0,Sport Recife,,Arena do Grêmio,Dyorgines José Padovani Andrade,Relatório da Partida,
7,qui,2020-09-03,20:00,Atlético Mineiro,1.7,3–0,1.1,São Paulo,,Estádio Raimundo Sampaio,Jean Pierre Goncalves Lima,Relatório da Partida,
7,qua,2020-09-02,21:30,Santos,0.9,2–2,1.3,Vasco da Gama,,Estádio Urbano Caldeira,Rodrigo D'Alonso Ferreira,Relatório da Partida,
7,qua,2020-09-02,21:30,Palmeiras,1.0,1–1,1.1,Internacional,,Allianz Parque,Wilton Sampaio,Relatório da Partida,
,,,,,,,,,,,,,
8,sáb,2020-09-05,17:00,Flamengo,1.7,2–1,1.0,Fortaleza,,Estadio Jornalista Mário Filho,Flavio Rodrigues De Souza,Relatório da Partida,
8,sáb,2020-09-05,19:00,Corinthians,1.7,2–2,0.9,Botafogo (RJ),,Arena Corinthians,Rafael Traci,Relatório da Partida,
8,dom,2020-09-06,11:00,Bragantino,0.8,1–2,1.1,Palmeiras,,Estádio Nabi Abi Chedid,Marcelo de Lima Henrique,Relatório da Partida,
8,dom,2020-09-06,16:00,São Paulo,1.6,3–1,0.4,Fluminense,,Estádio do Morumbi,Paulo Roberto Alves Júnior,Relatório da Partida,
8,dom,2020-09-06,16:00,Internacional,1.2,2–2,1.7,Bahia,,Estádio José Pinheiro Borba,Braulio da Silva Machado,Relatório da Partida,
8,dom,2020-09-06,18:00,Vasco da Gama,1.1,1–0,0.9,Atl Paranaense,,Estádio Club de Regatas Vasco da Gama,Raphael Claus,Relatório da Partida,
8,dom,2020-09-06,19:00,Atl Goianiense,1.3,1–1,0.6,Grêmio,,Estádio Olímpico Pedro Ludovico Teixeira,Ricardo Marques Ribeiro,Relatório da Partida,
8,dom,2020-09-06,20:30,Sport Recife,1.2,2–1,0.9,Goiás,,Estádio Adelmar da Costa Carvalho,Vinicius Gomes do Amaral,Relatório da Partida,
8,dom,2020-09-06,20:30,Coritiba,1.4,0–1,2.5,Atlético Mineiro,,Estádio Major Antônio Couto Pereira,Diego Pombo Lopez,Relatório da Partida,
8,sáb,2020-09-05,21:00,Ceará,2.2,0–1,0.5,Santos,,Estádio Castelão,Wagner Reway,Relatório da Partida,
,,,,,,,,,,,,,
