Rk;Player;Nation;Pos;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;Int;TklW;PKwon;PKcon;OG;Recov;Won;Lost
572;Lucas Ramires;brBRA;DF;Juventude;19;2002;0.3;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0
573;Ramon;brBRA;DF;Bragantino;20;2001;8.0;3;1;0;14;7;0;32;11;10;0;0;0;57;8;11
574;Lucas Ramos;brBRA;MF,FW;Internacional;21;2001;0.9;1;0;0;1;4;0;1;2;0;0;0;0;6;1;1
575;Rafael Ramos;ptPOR;DF;Corinthians;27;1995;14.5;3;0;0;21;15;0;36;19;23;0;0;0;81;8;24
576;Raniele;brBRA;MF,DF;Avaí;25;1996;31.3;9;0;0;38;87;0;13;39;33;3;0;0;139;71;56
577;Wellington Rato;brBRA;FW,MF;Atl Goianiense;29;1992;30.9;3;0;0;31;51;5;115;10;22;0;0;0;154;18;27
578;Raul;brBRA;MF;Bragantino;25;1996;27.5;3;0;0;36;50;0;9;48;42;0;1;0;183;20;22
579;Pedro Raul;brBRA;FW;Goiás;25;1996;30.5;8;0;0;49;32;20;7;4;9;0;0;0;61;98;135
580;Leonardo Realpe;ecECU;DF;Bragantino;20;2001;7.4;3;0;0;6;2;0;2;15;3;0;0;0;51;11;11
581;Régis;brBRA;MF;Coritiba;29;1992;8.5;2;0;0;16;10;1;28;1;10;2;0;0;28;5;16
582;Reinaldo;brBRA;DF,FW;São Paulo;32;1989;16.3;3;0;0;16;12;1;138;10;12;0;0;0;84;7;10
583;César Reis;brBRA;GK;Juventude;26;1995;24.3;1;0;0;0;4;0;0;0;0;0;0;0;18;5;0
584;Renan;brBRA;DF;Bragantino;19;2002;3.2;1;0;0;2;1;0;0;2;3;0;0;1;22;3;7
585;Robert Renan;brBRA;DF;Corinthians;18;2003;10.0;2;0;0;6;2;0;0;19;11;0;0;0;43;10;17
586;Renato;brBRA;DF,MF;Avaí;32;1990;11.3;2;0;0;11;25;5;63;8;9;0;0;0;53;19;27
587;Renê;brBRA;DF;Internacional;29;1992;27.5;0;0;0;20;31;0;39;52;49;0;1;0;186;23;22
588;Réver;brBRA;DF;Atlético Mineiro;37;1985;10.5;2;0;0;9;6;0;0;12;9;0;1;0;45;27;13
589;Rhaldney;brBRA;MF,FW;Atl Goianiense;23;1998;2.0;1;0;0;5;2;0;1;2;4;0;0;0;16;6;3
590;Everton Ribeiro;brBRA;MF,FW;Flamengo;32;1989;19.9;0;0;0;32;62;1;63;19;20;0;0;0;131;11;28
591;Lucas Ribeiro;brBRA;DF,MF;Ceará;23;1999;5.6;2;0;0;7;5;0;0;9;0;0;0;0;30;8;9
592;Matheus Ribeiro;brBRA;DF;Avaí;28;1993;0.2;0;0;0;1;0;0;0;0;1;0;0;0;2;0;1
593;Wesley Ribeiro;brBRA;MF,FW;Corinthians;16;2005;0.1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
594;Ricardinho;brBRA;FW;Atl Goianiense;20;2001;2.6;2;0;0;4;3;2;1;0;0;0;0;0;5;4;11
595;João Ricardo Riedi;brBRA;GK;Ceará;33;1988;35.0;5;0;0;0;1;0;0;0;1;0;0;0;33;9;0
596;Vitor Ricardo;brBRA;DF;Fortaleza;21;2000;1.3;1;0;0;0;0;0;6;0;2;0;0;0;7;1;1
597;Zé Ricardo;brBRA;MF;América (MG);25;1996;2.6;0;0;0;5;4;0;2;5;2;0;0;0;18;1;2
598;Richard;brBRA;GK;Ceará;30;1991;1.0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0
599;Richard;brBRA;MF;Ceará;27;1994;26.3;12;1;0;57;36;3;9;35;38;0;0;0;158;60;37
600;Richardson;brBRA;MF;Ceará;30;1991;23.0;14;1;0;65;38;0;9;20;31;0;1;0;118;26;15
601;Rickson;brBRA;MF,FW;Atl Goianiense;23;1998;0.8;1;0;0;2;3;1;1;0;2;0;0;0;3;3;7
602;Emiliano Rigoni;arARG;FW,MF;São Paulo;28;1993;2.7;0;0;0;6;3;0;34;2;3;0;0;0;13;5;1
603;Rikelme;brBRA;DF;Cuiabá;18;2003;0.2;0;0;0;0;1;0;2;1;0;0;0;0;2;1;0
604;Rikelmi;brBRA;DF;Botafogo (RJ);20;2001;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
605;Cristian Rivas;veVEN;MF;Cuiabá;25;1997;2.4;2;0;0;3;0;0;1;5;1;0;0;0;16;1;0
606;Zé Roberto;brBRA;FW;Ceará;28;1993;8.2;3;1;0;24;25;3;5;7;2;1;0;0;19;34;33
607;Robinho;brBRA;MF;Coritiba;34;1987;9.8;2;0;0;13;14;2;61;6;17;0;0;0;54;0;2
608;Robson;brBRA;FW,MF;Fortaleza;30;1991;16.1;6;0;0;47;37;18;20;6;12;1;0;0;51;42;63
609;Felipe Rocha;brBRA;FW;Avaí;19;2002;0.5;0;0;0;0;2;0;0;0;0;0;0;0;5;0;2
610;Kaique Rocha;brBRA;DF;Internacional;20;2001;5.0;2;0;0;3;3;0;1;9;2;0;0;0;18;8;4
611;Marcos Rocha;brBRA;DF;Palmeiras;33;1988;25.0;4;0;0;29;20;0;40;31;54;2;0;0;165;18;13
612;Pedro Rocha Neves;brBRA;FW;Atl Paranaense;27;1994;3.1;0;0;0;1;4;1;9;2;1;0;0;0;12;2;7
613;Pedro Rocha Neves;brBRA;FW,MF;Fortaleza;27;1994;7.7;1;0;0;7;6;5;12;4;5;1;0;0;26;9;8
614;Rodinei;brBRA;DF;Flamengo;30;1992;9.8;0;1;0;3;11;0;44;13;17;0;0;1;48;4;7
615;Rodrigo;brBRA;FW,MF;São Paulo;17;2004;0.8;0;0;0;0;1;0;0;0;1;0;0;0;4;0;1
616;Rodrigo;brBRA;DF;Avaí;23;1998;5.3;2;0;0;3;5;0;2;10;2;0;0;0;24;9;6
617;Élton Rodrigues Brandão;brBRA;FW;Cuiabá;36;1985;3.3;1;0;0;7;5;2;4;0;1;0;0;0;6;14;12
