Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
1,sáb,2022-04-09,16:30,Fluminense,1.6,0–0,0.1,Santos,22.855,Estadio Jornalista Mário Filho,Anderson Daronco,Relatório da Partida,
1,sáb,2022-04-09,19:00,Atl Goianiense,1.4,1–1,1.2,Flamengo,10.496,Estádio Antônio Accioly,Braulio da Silva Machado,Relatório da Partida,
1,dom,2022-04-10,11:00,Coritiba,1.7,3–0,0.4,Goiás,17.788,Estádio Major Antônio Couto Pereira,Raphael Claus,Relatório da Partida,
1,dom,2022-04-10,16:00,Atlético Mineiro,1.9,2–0,0.6,Internacional,37.531,Estádio Governador Magalhães Pinto,Bruno Arleu de Araujo,Relatório da Partida,
1,dom,2022-04-10,16:00,Botafogo (RJ),1.5,1–3,2.1,Corinthians,36.898,Estádio Nilton Santos,Wilton Sampaio,Relatório da Partida,
1,dom,2022-04-10,18:00,Fortaleza,1.4,0–1,0.4,Cuiabá,18.279,Estádio Castelão,Felipe Fernandes de Lima,Relatório da Partida,
1,dom,2022-04-10,19:00,Avaí,1.0,1–0,0.3,América (MG),5.081,Estádio Aderbal Ramos da Silva,Luiz Flávio de Oliveira,Relatório da Partida,
1,dom,2022-04-10,19:00,São Paulo,1.6,4–0,0.3,Atl Paranaense,20.606,Estádio do Morumbi,Wagner do Nascimento Magalhães,Relatório da Partida,
1,sáb,2022-04-09,21:00,Palmeiras,2.5,2–3,1.5,Ceará,27.100,Allianz Parque,Caio Max Augusto Vieira,Relatório da Partida,
1,seg,2022-04-11,20:00,Juventude,1.5,2–2,1.0,Bragantino,3.300,Estádio Alfredo Jaconi,Rodolpho Toski Marques,Relatório da Partida,
,,,,,,,,,,,,,
2,sáb,2022-04-16,16:30,Goiás,0.8,1–1,1.9,Palmeiras,12.864,Estádio de Hailé Pinheiro,Braulio da Silva Machado,Relatório da Partida,
2,sáb,2022-04-16,19:00,América (MG),1.5,4–1,0.9,Juventude,1.559,Estádio Raimundo Sampaio,Ramon Abatti Abel,Relatório da Partida,
