Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
1,sáb,2021-05-29,18:00 (19:00),Cuiabá,1.4,2–2,1.3,Juventude,,Arena Pantanal,Denis Ribeiro Serafim,Relatório da Partida,
1,sáb,2021-05-29,20:00,Bahia,1.1,3–0,0.5,Santos,,Estádio Governador Roberto Santos,Bruno Arleu de Araujo,Relatório da Partida,
1,dom,2021-05-30,11:00,Atlético Mineiro,1.7,1–2,0.9,Fortaleza,,Estádio Governador Magalhães Pinto,Caio Max Augusto Vieira,Relatório da Partida,
1,dom,2021-05-30,16:00,Ceará,1.3,3–2,1.1,Grêmio,,Estádio Castelão,Savio Pereira,Relatório da Partida,
1,dom,2021-05-30,16:00,Flamengo,2.5,1–0,0.9,Palmeiras,,Estadio Jornalista Mário Filho,Anderson Daronco,Relatório da Partida,
1,dom,2021-05-30,18:15,Corinthians,1.6,0–1,0.4,Atl Goianiense,,Arena Corinthians,Felipe Fernandes de Lima,Relatório da Partida,
1,dom,2021-05-30,18:15,Chapecoense,0.7,0–3,2.1,Bragantino,,Arena Condá,Marielson Alves Silva,Relatório da Partida,
1,dom,2021-05-30,18:15,Atl Paranaense,0.9,1–0,0.7,América (MG),,Estádio Joaquim Américo Guimarães,Jefferson Ferreira de Moraes,Relatório da Partida,
1,dom,2021-05-30,20:30,Internacional,1.5,2–2,1.6,Sport Recife,,Estádio José Pinheiro Borba,Vinicius Gonçalves Dias Araujo,Relatório da Partida,
1,sáb,2021-05-29,21:00,São Paulo,0.8,0–0,1.9,Fluminense,,Estádio do Morumbi,Rodolpho Toski Marques,Relatório da Partida,
,,,,,,,,,,,,,
2,sáb,2021-06-05,19:00,Atl Goianiense,1.2,2–0,0.9,São Paulo,,Estádio Antônio Accioly,Diego Pombo Lopez,Relatório da Partida,
2,dom,2021-06-06,11:00,Fluminense,0.8,1–0,0.8,Cuiabá,,Estadio Jornalista Mário Filho,Edina Alves Batista,Relatório da Partida,
2,dom,2021-06-06,16:00,América (MG),0.6,0–1,1.1,Corinthians,,Estádio Raimundo Sampaio,Marcelo de Lima Henrique,Relatório da Partida,
