;Class.;Jogador;Nação;Pos.;Equipe;Idade;Nascimento;90s;CrtsA;CrtV;2CrdY;Fts;FltsP;Desativado;Crz;Crts;TklW;Pênaltis convertidos;PKcon;OG;Recuperação;GanhosAereos;PerdasAereos;Ganhos%;Goleiro;Atacante;Lateral;Zagueiro;Tipo
464;465;Rafael Navarro;br BRA;AT;Palmeiras;22;2000;7.7;0;0;0;34;11;6;6;0;9;0.0;0.0;0;23.0;17.0;46.0;27.0;0;1;0;0;Ataque
465;466;Kaiky Naves;br BRA;ZGLT;Palmeiras;20;2002;0.4;0;0;0;3;0;0;0;1;0;0.0;0.0;0;3.0;0.0;2.0;0.0;0;0;1;1;Defesa
466;467;Bruno Nazário;br BRA;LT;Juventude;27;1995;6.5;4;0;0;11;13;0;46;1;6;0.0;0.0;0;21.0;3.0;22.0;12.0;0;0;1;0;Defesa
467;468;Neílton;br BRA;ATZG;Coritiba;28;1994;0.9;1;0;0;1;2;0;4;1;1;0.0;0.0;0;3.0;0.0;0.0;;0;1;0;1;Ataque
468;469;Gabriel Neris;br BRA;LTZG;Juventude;21;2001;1.4;2;0;0;3;3;0;1;4;1;0.0;0.0;0;5.0;3.0;3.0;50.0;0;0;1;1;Defesa
469;470;Gustavo Nescau;br BRA;AT;Cuiabá;22;2000;0.3;1;0;0;0;0;0;0;0;0;0.0;0.0;0;1.0;2.0;4.0;33.3;0;1;0;0;Ataque
470;471;Rodrigo Nestor;br BRA;LT;São Paulo;22;2000;22.8;7;0;0;39;15;2;80;24;18;0.0;0.0;0;118.0;10.0;17.0;37.0;0;0;1;0;Defesa
471;472;Gabriel Neves;uy URU;LT;São Paulo;25;1997;6.3;4;0;0;11;1;0;0;9;11;0.0;0.0;0;47.0;4.0;5.0;44.4;0;0;1;0;Defesa
472;473;Nicolas;br BRA;ATLT;Goiás;33;1989;9.9;0;0;0;24;21;10;2;2;3;0.0;0.0;0;29.0;69.0;67.0;50.7;0;1;1;0;Ataque
473;474;Nikão;br BRA;ATLT;São Paulo;30;1992;5.8;2;0;0;2;12;3;36;1;1;0.0;0.0;0;11.0;2.0;5.0;28.6;0;1;1;0;Ataque
474;475;Nino;br BRA;ZG;Fluminense;25;1997;25.9;4;0;0;24;38;2;1;31;21;0.0;1.0;0;127.0;58.0;34.0;63.0;0;0;0;1;Defesa
475;476;Gabriel Noga;br BRA;ZG;Atl Goianiense;20;2002;0.0;0;0;0;0;0;0;0;0;0;;;0;;;;;0;0;0;1;Defesa
