Data;Em casa;Visitante;Relatório da Partida;Season;home_goal;away_goal
2002-10-05;Strasbourg;Troyes;Relatório da Partida;2002;2;1
2002-10-05;Le Havre;Sochaux;Relatório da Partida;2002;1;0
2002-10-05;Rennes;Lyon;Relatório da Partida;2002;0;1
2002-10-06;Auxerre;Monaco;Relatório da Partida;2002;1;1
2002-10-06;Bordeaux;Sedan;Relatório da Partida;2002;2;2
2002-10-06;Paris S-G;Guingamp;Relatório da Partida;2002;5;0
2002-10-19;Sedan;Rennes;Relatório da Partida;2002;1;3
2002-10-19;Lens;Ajaccio;Relatório da Partida;2002;1;1
2002-10-19;Lyon;Auxerre;Relatório da Partida;2002;3;0
2002-10-19;Troyes;Paris S-G;Relatório da Partida;2002;1;2
2002-10-19;Nantes;Nice;Relatório da Partida;2002;0;0
2002-10-19;Guingamp;Montpellier;Relatório da Partida;2002;3;1
2002-10-19;Sochaux;Bordeaux;Relatório da Partida;2002;2;0
2002-10-19;Monaco;Lille;Relatório da Partida;2002;1;1
2002-10-19;Bastia;Le Havre;Relatório da Partida;2002;3;1
2002-10-20;Marseille;Strasbourg;Relatório da Partida;2002;1;0
2002-10-25;Bordeaux;Monaco;Relatório da Partida;2002;2;2
2002-10-26;Lille;Sochaux;Relatório da Partida;2002;1;0
2002-10-26;Guingamp;Sedan;Relatório da Partida;2002;0;1
2002-10-26;Ajaccio;Lyon;Relatório da Partida;2002;0;1
2002-10-26;Montpellier;Troyes;Relatório da Partida;2002;2;2
2002-10-26;Paris S-G;Marseille;Relatório da Partida;2002;3;0
2002-10-26;Strasbourg;Bastia;Relatório da Partida;2002;2;0
2002-10-26;Auxerre;Rennes;Relatório da Partida;2002;1;0
2002-10-26;Nice;Lens;Relatório da Partida;2002;0;0
2002-10-26;Le Havre;Nantes;Relatório da Partida;2002;1;1
2002-11-02;Bastia;Lille;Relatório da Partida;2002;1;0
2002-11-02;Lyon;Nice;Relatório da Partida;2002;2;2
2002-11-02;Troyes;Guingamp;Relatório da Partida;2002;0;2
2002-11-02;Monaco;Le Havre;Relatório da Partida;2002;1;1
2002-11-02;Lens;Auxerre;Relatório da Partida;2002;3;1
2002-11-02;Rennes;Ajaccio;Relatório da Partida;2002;0;0
2002-11-02;Marseille;Montpellier;Relatório da Partida;2002;2;0
2002-11-02;Sochaux;Strasbourg;Relatório da Partida;2002;2;0
2002-11-03;Nantes;Bordeaux;Relatório da Partida;2002;0;0
2002-11-03;Sedan;Paris S-G;Relatório da Partida;2002;3;1
2002-11-07;Ajaccio;Auxerre;Relatório da Partida;2002;1;0
2002-11-07;Le Havre;Lyon;Relatório da Partida;2002;1;2
2002-11-08;Nice;Monaco;Relatório da Partida;2002;1;0
2002-11-09;Strasbourg;Lens;Relatório da Partida;2002;2;0
2002-11-09;Paris S-G;Sochaux;Relatório da Partida;2002;1;1
2002-11-09;Lille;Nantes;Relatório da Partida;2002;0;1
2002-11-09;Montpellier;Sedan;Relatório da Partida;2002;2;0
2002-11-09;Guingamp;Marseille;Relatório da Partida;2002;0;0
2002-11-09;Troyes;Bastia;Relatório da Partida;2002;3;0
2002-11-09;Bordeaux;Rennes;Relatório da Partida;2002;2;0
2002-11-14;Monaco;Ajaccio;Relatório da Partida;2002;3;2
2002-11-16;Auxerre;Nice;Relatório da Partida;2002;0;2
2002-11-16;Rennes;Le Havre;Relatório da Partida;2002;0;0
2002-11-16;Lyon;Bordeaux;Relatório da Partida;2002;4;2
2002-11-16;Marseille;Troyes;Relatório da Partida;2002;0;0
2002-11-16;Sochaux;Montpellier;Relatório da Partida;2002;0;0
2002-11-16;Sedan;Lille;Relatório da Partida;2002;0;1
2002-11-16;Bastia;Guingamp;Relatório da Partida;2002;0;2
2002-11-16;Nantes;Strasbourg;Relatório da Partida;2002;4;1
2002-11-17;Lens;Paris S-G;Relatório da Partida;2002;3;2
2002-11-22;Paris S-G;Nantes;Relatório da Partida;2002;0;1
2002-11-23;Le Havre;Auxerre;Relatório da Partida;2002;0;1
2002-11-23;Montpellier;Bastia;Relatório da Partida;2002;2;2
2002-11-23;Guingamp;Sochaux;Relatório da Partida;2002;2;0
2002-11-23;Lille;Lyon;Relatório da Partida;2002;2;1
2002-11-23;Troyes;Sedan;Relatório da Partida;2002;2;0
2002-11-23;Nice;Rennes;Relatório da Partida;2002;0;0
2002-11-23;Marseille;Lens;Relatório da Partida;2002;1;0
2002-11-23;Bordeaux;Ajaccio;Relatório da Partida;2002;1;0
2002-11-24;Strasbourg;Monaco;Relatório da Partida;2002;1;0
2002-11-30;Sedan;Nice;Relatório da Partida;2002;3;0
2002-11-30;Ajaccio;Le Havre;Relatório da Partida;2002;1;2
2002-11-30;Nantes;Montpellier;Relatório da Partida;2002;3;1
2002-11-30;Rennes;Lille;Relatório da Partida;2002;5;1
2002-11-30;Bastia;Marseille;Relatório da Partida;2002;2;0
2002-11-30;Monaco;Paris S-G;Relatório da Partida;2002;3;1
2002-11-30;Sochaux;Troyes;Relatório da Partida;2002;1;0
2002-12-01;Lyon;Strasbourg;Relatório da Partida;2002;2;1
2002-12-01;Lens;Guingamp;Relatório da Partida;2002;1;3
2002-12-01;Auxerre;Bordeaux;Relatório da Partida;2002;1;0
2002-12-03;Nice;Ajaccio;Relatório da Partida;2002;3;0
2002-12-04;Troyes;Lens;Relatório da Partida;2002;0;0
2002-12-04;Lille;Auxerre;Relatório da Partida;2002;2;2
2002-12-04;Strasbourg;Rennes;Relatório da Partida;2002;1;3
2002-12-04;Guingamp;Nantes;Relatório da Partida;2002;2;0
2002-12-04;Paris S-G;Lyon;Relatório da Partida;2002;2;0
2002-12-04;Marseille;Sochaux;Relatório da Partida;2002;1;0
2002-12-04;Montpellier;Monaco;Relatório da Partida;2002;1;2
2002-12-04;Bastia;Sedan;Relatório da Partida;2002;0;1
2002-12-04;Le Havre;Bordeaux;Relatório da Partida;2002;1;0
2002-12-14;Sedan;Marseille;Relatório da Partida;2002;1;2
2002-12-14;Sochaux;Bastia;Relatório da Partida;2002;2;0
2002-12-15;Ajaccio;Lille;Relatório da Partida;2002;2;2
2002-12-15;Lens;Le Havre;Relatório da Partida;2002;1;0
2002-12-15;Nantes;Troyes;Relatório da Partida;2002;2;1
2002-12-15;Monaco;Guingamp;Relatório da Partida;2002;4;0
2002-12-15;Auxerre;Strasbourg;Relatório da Partida;2002;0;0
