Rk;Player;Nation;Pos;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;Int;TklW;PKwon;PKcon;OG;Recov;Won;Lost
348;Aymeric Laporte;esESP;DF;eng Manchester City;27;1994;8.8;2;0;0;4;2;1;0;11;7;0;1;0;46;11;7
349;Cyle Larin;caCAN;FW,MF;tr Beşiktaş;26;1995;3.9;3;0;0;7;11;1;1;1;4;0;0;0;15;11;5
350;Eric Larsson;seSWE;DF;se Malmö;30;1991;3.1;1;0;0;5;8;0;5;2;0;0;2;0;17;1;0
351;Sandro Lauper;chSUI;DF;ch Young Boys;24;1996;5.1;0;0;0;3;1;0;1;8;7;0;0;0;46;3;1
352;Valentino Lazaro;atAUT;DF,MF;pt Benfica;25;1996;1.3;0;0;0;2;1;0;0;0;4;0;0;0;7;1;1
353;Rafael Leão;ptPOR;FW;it Milan;22;1999;3.2;1;0;0;4;2;3;10;1;3;0;0;0;14;6;7
354;Jordan Lefort;frFRA;DF;ch Young Boys;27;1993;1.9;0;0;0;6;0;0;6;5;3;0;0;0;8;3;1
355;Thomas Lemar;frFRA;MF;es Atlético Madrid;25;1995;4.2;0;0;0;3;3;0;15;6;4;0;0;0;26;2;3
356;Clément Lenglet;frFRA;DF;es Barcelona;26;1995;3.8;1;0;0;3;2;1;2;5;3;0;0;0;16;8;2
357;Robert Lewandowski;plPOL;FW;de Bayern Munich;32;1988;9.7;1;0;0;11;13;8;10;1;2;2;0;0;20;6;17
358;Oscar Lewicki;seSWE;MF;se Malmö;29;1992;1.4;0;0;0;0;0;0;2;0;0;0;0;0;11;0;2
359;Bohdan Liedniev;uaUKR;MF;ua Dynamo Kyiv;23;1998;0.1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1
360;Matthijs de Ligt;nlNED;DF;it Juventus;21;1999;6.9;2;0;0;3;2;0;1;9;5;0;1;0;29;19;12
361;Isaac Lihadji;frFRA;MF,FW;fr Lille;19;2002;0.3;0;0;0;0;1;0;3;0;0;0;0;0;4;0;0
362;Victor Lindelöf;seSWE;DF;eng Manchester Utd;27;1994;4.7;1;0;0;5;1;0;2;4;5;0;0;0;22;5;1
363;Jesse Lingard;engENG;MF,FW;eng Manchester Utd;28;1992;1.3;0;0;0;0;1;0;0;1;2;0;0;0;9;1;2
364;Marcos Llorente;esESP;DF,MF;es Atlético Madrid;26;1995;7.8;3;0;0;13;10;5;8;9;10;0;0;0;46;7;8
365;Giovani Lo Celso;arARG;MF,FW;es Villarreal;25;1996;5.8;3;0;0;9;15;0;4;3;14;0;0;0;27;2;3
366;Manuel Locatelli;itITA;MF;it Juventus;23;1998;5.9;1;0;0;7;5;0;3;9;7;0;0;0;34;6;5
367;Renan Lodi;brBRA;DF,FW;es Atlético Madrid;23;1998;5.4;0;0;0;14;6;5;18;7;5;0;0;0;21;6;12
368;Ruben Loftus-Cheek;engENG;MF,DF;eng Chelsea;25;1996;4.0;2;0;0;5;9;0;5;1;6;0;0;0;27;6;5
369;Matteo Lovato;itITA;DF;it Atalanta;21;2000;0.5;1;0;0;1;0;0;0;1;0;0;0;0;6;0;1
370;Dejan Lovren;hrCRO;DF;ru Zenit;32;1989;3.5;2;0;0;2;0;0;2;0;0;0;0;0;12;7;5
371;José Luis Palomino;arARG;DF;it Atalanta;31;1990;5.0;1;0;0;5;0;1;0;13;9;0;0;0;38;15;6
372;Romelu Lukaku;beBEL;FW;eng Chelsea;28;1993;3.6;0;0;0;2;2;3;2;0;0;1;0;0;4;7;4
373;Dodi Lukebakio;beBEL;FW,MF;de Wolfsburg;23;1997;3.3;0;0;0;2;4;2;1;1;3;0;0;0;10;2;7
374;Fabian Lustenberger;chSUI;DF;ch Young Boys;33;1988;1.0;0;0;0;0;1;0;1;0;0;0;0;0;6;0;0
375;Quentin Maceiras;chSUI;DF,MF;ch Young Boys;25;1995;1.3;0;0;0;1;2;0;7;1;1;0;0;0;2;3;2
376;Harry Maguire;engENG;DF;eng Manchester Utd;28;1993;5.9;0;0;0;6;7;0;2;5;5;0;0;0;29;11;7
377;Riyad Mahrez;dzALG;FW;eng Manchester City;30;1991;10.9;1;0;0;6;20;5;49;8;12;1;0;0;52;3;5
378;Nico Maier;chSUI;FW;ch Young Boys;21;2000;0.0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
379;Mike Maignan;frFRA;GK;it Milan;26;1995;3.0;1;0;0;0;2;0;0;0;0;0;0;0;4;1;0
380;Malcom;brBRA;MF,FW;ru Zenit;24;1997;4.8;0;0;0;3;14;2;20;1;1;0;0;0;23;5;8
381;Daniel Maldini;itITA;FW,MF;it Milan;19;2001;0.3;0;0;0;0;1;0;1;0;1;0;0;0;4;0;2
382;Donyell Malen;nlNED;FW;de Dortmund;22;1999;4.3;0;0;0;6;5;4;7;3;1;0;0;0;17;2;6
383;Ruslan Malinovskyi;uaUKR;MF,FW;it Atalanta;28;1993;3.3;0;0;0;6;9;0;31;1;6;0;0;0;19;2;4
384;Felix Mambimbi;chSUI;FW,MF;ch Young Boys;20;2001;0.7;0;0;0;4;0;1;0;1;0;0;0;0;3;0;3
385;Reinildo Mandava;mzMOZ;DF;fr Lille;27;1994;5.1;1;0;0;11;12;0;7;7;17;0;0;0;36;9;6
386;Reinildo Mandava;mzMOZ;DF;es Atlético Madrid;27;1994;4.0;1;0;0;4;4;0;3;3;6;0;0;0;22;3;6
387;Aïssa Mandi;dzALG;DF;es Villarreal;29;1991;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
388;Sadio Mané;snSEN;FW;eng Liverpool;29;1992;9.1;2;0;0;16;19;9;9;0;5;0;0;0;38;10;24
389;Faitout Maouassa;frFRA;MF;be Club Brugge;23;1998;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
390;Iván Marcano;esESP;DF;pt Porto;34;1987;1.4;0;0;0;0;1;0;0;1;1;0;0;0;4;5;1
391;Marcelo;brBRA;DF;es Real Madrid;33;1988;1.1;0;0;0;1;0;0;3;2;1;0;0;0;7;1;3
392;José María Giménez;uyURU;DF;es Atlético Madrid;26;1995;6.5;1;0;0;4;3;1;0;6;2;0;0;0;22;15;4
393;Mariano;doDOM;FW;es Real Madrid;27;1993;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
394;João Mário;ptPOR;MF;pt Benfica;28;1993;5.4;2;0;0;13;13;0;10;6;2;0;0;0;25;4;5
395;João Mário Lopes;ptPOR;DF;pt Porto;21;2000;3.9;0;0;0;1;4;0;8;4;3;0;0;0;25;4;7
396;Marlon;brBRA;DF;ua Shakhtar;25;1995;5.0;0;0;0;6;0;0;0;2;1;0;0;0;18;9;11
397;Marlos;uaUKR;FW,MF;ua Shakhtar;33;1988;2.3;0;0;0;0;2;0;5;0;1;0;0;0;7;0;0
398;Marquinhos;brBRA;DF;fr Paris S-G;27;1994;8.0;0;0;0;3;2;0;0;4;7;0;0;0;46;5;9
399;Anthony Martial;frFRA;FW;eng Manchester Utd;25;1995;0.7;0;0;0;0;3;0;0;0;0;0;0;0;2;0;1
400;Josep Martinez;esESP;GK;de RB Leipzig;23;1998;1.0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
401;Lautaro Martínez;arARG;FW;it Inter;23;1997;6.4;1;0;0;7;9;5;0;6;3;0;0;0;18;4;11
402;Lisandro Martínez;arARG;DF;nl Ajax;23;1998;8.0;1;0;0;7;8;0;0;12;10;0;0;0;70;13;8
403;Toni Martínez;esESP;FW;pt Porto;24;1997;1.6;0;0;0;2;3;0;3;0;1;0;0;0;5;7;6
404;Christopher Martins;luLUX;MF;ch Young Boys;24;1997;4.6;1;0;0;7;5;0;0;10;5;0;0;0;38;7;2
405;Clinton Mata;aoANG;DF;be Club Brugge;28;1992;5.9;1;0;0;7;10;0;11;11;7;0;0;0;26;5;1
406;Juan Mata;esESP;MF;eng Manchester Utd;33;1988;1.1;0;0;0;0;4;0;2;0;1;0;0;0;10;0;0
407;Nemanja Matić;rsSRB;MF,DF;eng Manchester Utd;32;1988;2.2;2;0;0;2;4;0;1;4;2;0;0;0;15;2;0
408;Joël Matip;cmCMR;DF;eng Liverpool;29;1991;7.0;1;0;0;6;1;0;0;6;6;0;0;0;35;23;6
409;Mykola Matviyenko;uaUKR;DF;ua Shakhtar;25;1996;4.0;0;0;0;2;3;0;2;7;1;0;0;0;20;7;5
410;Eric Maxim Choupo-Moting;cmCMR;FW;de Bayern Munich;32;1989;0.6;0;0;0;2;1;1;0;0;0;0;0;0;2;2;0
411;Maycon;brBRA;MF;ua Shakhtar;24;1997;5.3;0;0;0;5;1;0;11;9;3;0;0;0;30;2;0
412;Noussair Mazraoui;maMAR;DF;nl Ajax;23;1997;7.3;1;0;0;8;8;0;10;4;20;0;2;0;38;3;8
413;Kevin Mbabu;chSUI;DF;de Wolfsburg;26;1995;3.6;2;0;0;7;3;0;14;5;3;0;0;0;23;10;7
414;Noah Mbamba;beBEL;MF;be Club Brugge;16;2005;0.6;0;0;0;0;1;0;0;3;1;0;0;0;2;0;0
415;Kylian Mbappé;frFRA;FW;fr Paris S-G;22;1998;7.5;1;0;0;3;11;8;10;1;1;2;0;0;21;2;6
416;Chancel Mbemba;cdCOD;DF;pt Porto;26;1994;5.0;2;1;0;3;4;0;2;2;2;0;0;1;22;6;4
417;Luke Mbete-Tatu;engENG;DF;eng Manchester City;17;2003;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
418;James Mcatee;engENG;MF;eng Manchester City;18;2002;0.5;0;0;0;1;2;0;1;0;1;0;0;0;2;0;0
419;Weston McKennie;usUSA;MF;it Juventus;22;1998;4.3;0;0;0;3;2;0;2;7;6;0;0;0;23;7;3
420;Scott McTominay;sctSCO;MF;eng Manchester Utd;24;1996;4.4;1;0;0;7;4;0;0;9;0;0;0;0;27;7;6
421;Brandon Mechele;beBEL;DF;be Club Brugge;28;1993;1.5;0;0;0;0;0;0;0;4;2;0;0;0;7;0;0
422;Soualiho Meïté;frFRA;MF;pt Benfica;27;1994;1.7;0;0;0;1;8;0;0;0;1;0;0;0;12;1;2
423;Arthur Melo;brBRA;MF;it Juventus;24;1996;3.0;1;0;0;4;4;1;2;4;4;0;0;0;27;1;3
424;Memphis;nlNED;FW;es Barcelona;27;1994;5.8;0;0;0;4;6;4;41;1;2;0;0;0;11;1;4
425;Nuno Mendes;ptPOR;DF;fr Paris S-G;19;2002;6.4;1;0;0;5;10;2;11;4;7;0;0;0;27;2;1
426;Edouard Mendy;snSEN;GK;eng Chelsea;29;1992;9.3;0;0;0;0;0;0;0;0;0;0;0;0;11;2;1
427;Ferland Mendy;frFRA;DF;es Real Madrid;26;1995;9.6;3;0;0;7;7;0;13;7;7;0;0;0;50;5;6
428;Teden Mengi;engENG;DF;eng Manchester Utd;19;2002;0.3;0;0;0;0;1;0;0;0;0;0;0;0;3;1;0
429;Umut Meraş;trTUR;DF;tr Beşiktaş;25;1995;2.8;0;0;0;1;2;0;3;7;2;0;0;0;14;1;3
430;Elia Meschak;cdCOD;FW;ch Young Boys;24;1996;5.4;1;0;0;6;7;3;15;4;2;;;0;;;
431;Lionel Messi;arARG;FW;fr Paris S-G;34;1987;7.0;1;0;0;3;11;1;11;0;0;1;0;0;23;1;3
432;Junior Messias;brBRA;FW,MF;it Milan;30;1991;1.3;0;0;0;2;4;1;4;2;3;0;0;0;4;2;1
433;Thomas Meunier;beBEL;DF;de Dortmund;29;1991;5.4;1;0;0;6;1;1;15;11;8;0;0;0;50;13;6
434;Simon Mignolet;beBEL;GK;be Club Brugge;33;1988;6.0;1;0;0;0;0;0;0;0;0;0;0;0;15;1;0
435;Éder Militão;brBRA;DF;es Real Madrid;23;1998;11.9;4;0;0;17;16;0;2;26;11;0;0;0;58;31;7
436;James Milner;engENG;MF,DF;eng Liverpool;35;1986;2.4;3;0;0;12;4;0;10;2;2;0;0;0;10;3;3
437;Takumi Minamino;jpJPN;FW,MF;eng Liverpool;26;1995;2.4;0;0;0;3;3;2;1;0;3;0;0;0;12;3;5
438;Óscar Mingueza;esESP;DF;es Barcelona;22;1999;2.5;0;0;0;7;1;0;12;5;7;0;0;0;12;2;4
439;Rafa Mir;esESP;FW,DF;es Sevilla;24;1997;3.0;1;0;0;3;1;0;2;0;1;0;0;0;13;11;7
440;Aleksei Miranchuk;ruRUS;FW;it Atalanta;25;1995;0.4;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1
441;Fabio Miretti;itITA;MF;it Juventus;17;2003;0.0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
442;Luka Modrić;hrCRO;MF;es Real Madrid;35;1985;11.9;1;0;0;3;8;0;12;16;9;0;0;0;55;9;8
443;Kudus Mohammed;ghGHA;MF;nl Ajax;20;2000;0.3;0;0;0;0;1;0;0;0;0;0;0;0;4;0;0
444;Niklas Moisander;fiFIN;DF;se Malmö;35;1985;2.1;1;0;0;1;1;0;0;4;2;0;0;0;13;2;4
445;Francisco Montero;esESP;DF;tr Beşiktaş;22;1999;3.4;2;0;0;4;3;0;0;8;4;0;0;0;20;1;3
446;Gonzalo Montiel;arARG;DF;es Sevilla;24;1997;2.1;1;0;0;1;2;0;13;2;4;0;0;0;16;0;4
447;Wesley Moraes;brBRA;FW;be Club Brugge;24;1996;0.3;1;0;0;0;1;0;0;0;0;0;0;0;1;1;2
448;Álvaro Morata;esESP;FW;it Juventus;28;1992;5.7;0;0;0;5;13;6;4;0;4;1;0;0;17;8;6
449;Morato;brBRA;DF;pt Benfica;20;2001;2.0;0;0;0;1;0;0;0;2;0;0;0;0;9;4;2
450;Alberto Moreno;esESP;MF,DF;es Villarreal;29;1992;3.5;2;0;0;5;3;0;1;5;1;0;0;0;9;1;6
451;Gerard Moreno;esESP;FW;es Villarreal;29;1992;5.8;1;0;0;3;7;3;5;3;5;0;0;0;20;17;32
452;Ilaix Moriba;gnGUI;MF;de RB Leipzig;18;2003;0.7;1;0;0;2;2;0;0;1;1;0;0;0;4;1;4
453;Tyler Morton;engENG;MF;eng Liverpool;18;2002;2.0;0;0;0;1;1;0;0;5;1;0;0;0;11;3;1
454;Andrei Mostovoy;ruRUS;MF,FW;ru Zenit;23;1997;1.7;0;0;0;2;2;1;5;2;1;0;0;0;5;2;3
455;Youssoufa Moukoko;deGER;FW;de Dortmund;16;2004;0.2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0
456;Mason Mount;engENG;MF;eng Chelsea;22;1999;6.0;0;0;0;10;6;0;28;0;8;0;0;0;23;5;3
457;Mykhailo Mudryk;uaUKR;MF,FW;ua Shakhtar;20;2001;2.0;1;0;0;3;4;1;11;1;0;0;0;0;6;0;1
458;Nordi Mukiele;frFRA;DF;de RB Leipzig;23;1997;5.4;0;0;0;9;8;0;12;8;5;0;0;1;37;10;5
459;Thomas Müller;deGER;MF;de Bayern Munich;31;1989;8.6;0;0;0;11;2;7;25;2;2;0;0;0;22;10;9
460;Luis Muriel;coCOL;FW,MF;it Atalanta;30;1991;1.5;1;0;0;2;3;0;5;1;1;0;0;0;11;4;2
461;Jamal Musiala;deGER;MF,FW;de Bayern Munich;18;2003;5.0;0;0;0;5;5;1;1;8;6;0;0;0;28;4;2
462;Juan Musso;arARG;GK;it Atalanta;27;1994;6.0;0;0;0;0;1;0;0;0;0;0;0;0;5;0;0
463;Vitaliy Mykolenko;uaUKR;DF;ua Dynamo Kyiv;22;1999;5.0;0;0;0;3;5;1;9;7;2;0;0;0;20;1;6
464;Joakim Mæhle;dkDEN;DF;it Atalanta;24;1997;4.8;0;0;0;3;7;1;8;6;7;0;0;0;25;5;1
465;Georges-Kévin N'Koudou;cmCMR;FW;tr Beşiktaş;26;1995;1.0;0;0;0;0;1;1;2;1;1;0;0;0;7;0;0
466;Fabrice N'Sakala;cdCOD;DF;tr Beşiktaş;31;1990;3.0;0;0;0;0;2;0;11;3;3;0;0;0;22;0;1
467;Stanley N'Soki;frFRA;DF;be Club Brugge;22;1999;5.4;1;0;0;7;2;0;0;24;2;0;1;0;45;5;3
468;Nacho;esESP;DF;es Real Madrid;31;1990;6.4;2;0;0;7;7;0;5;11;7;0;0;0;25;2;4
469;Adi Nalic;baBIH;MF,FW;se Malmö;23;1997;1.0;0;0;0;0;4;0;5;2;4;0;0;0;9;1;4
470;Sebastian Nanasi;seSWE;FW,MF;se Malmö;19;2002;1.0;0;0;0;0;0;0;0;0;1;0;0;0;3;1;1
471;Jesús Navas;esESP;DF;es Sevilla;35;1985;3.7;1;0;0;3;4;0;21;4;1;0;1;0;27;2;2
472;Keylor Navas;crCRC;GK;fr Paris S-G;34;1986;3.0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0
473;Flávio Nazinho;ptPOR;DF;pt Sporting CP;18;2003;0.2;0;0;0;0;0;0;0;2;0;0;0;0;3;0;0
474;David Neres;brBRA;FW;nl Ajax;24;1997;2.3;0;0;0;3;0;1;5;1;1;0;0;0;15;0;2
475;Luís Neto;ptPOR;DF;pt Sporting CP;33;1988;4.1;1;0;0;0;3;0;0;18;2;0;0;0;16;4;2
476;Manuel Neuer;deGER;GK;de Bayern Munich;35;1986;9.0;0;0;0;0;0;0;0;0;0;0;0;0;20;1;0
477;Neymar;brBRA;FW;fr Paris S-G;29;1992;5.2;1;0;0;4;20;1;5;0;3;0;0;0;17;1;1
478;Moumi Ngamaleu;cmCMR;FW,MF;ch Young Boys;27;1994;5.9;2;0;0;10;13;0;18;10;8;0;0;0;40;4;4
479;Tanguy Nianzou;frFRA;DF;de Bayern Munich;19;2002;2.4;1;0;0;6;2;0;0;4;2;0;0;0;19;7;4
480;Lasse Nielsen;dkDEN;DF;se Malmö;33;1988;5.0;2;0;0;2;1;0;0;11;3;0;2;0;23;3;5
481;Saúl Ñíguez;esESP;MF,DF;eng Chelsea;26;1994;1.8;0;0;0;3;1;0;9;2;4;0;0;0;10;6;3
482;Boban Nikolov;mkMKD;MF;md Sheriff Tiraspol;27;1994;1.1;0;0;0;4;3;0;0;1;2;0;0;0;7;0;0
483;Rasmus Nissen;dkDEN;DF;at RB Salzburg;24;1997;8.0;1;0;0;14;4;2;12;10;24;0;0;0;40;24;14
484;Christopher Nkunku;frFRA;FW,MF;de RB Leipzig;23;1997;5.9;0;0;0;10;8;2;12;4;6;1;0;0;25;7;10
485;Lukas Nmecha;deGER;FW,MF;de Wolfsburg;22;1998;3.6;3;0;0;8;9;1;0;1;1;0;0;0;7;8;15
486;Hugo Novoa;esESP;FW;de RB Leipzig;18;2003;0.3;0;0;0;0;1;0;1;0;0;0;0;0;0;0;3
