Rk;Player;Nation;Pos;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;Int;TklW;PKwon;PKcon;OG;Recov;Won;Lost
589;Edoardo Vergani;itITA;FW,MF;Salernitana;20;2001;1.1;0;0;0;3;1;1;0;0;2;0;0;0;2;1;1
590;Valerio Verre;itITA;MF,FW;Sampdoria;27;1994;4.7;0;0;0;8;10;0;16;0;5;0;0;0;35;6;7
591;Valerio Verre;itITA;MF;Empoli;27;1994;3.4;2;1;0;8;3;0;2;1;2;0;0;0;29;0;7
592;Freddie Veseli;alALB;DF;Salernitana;28;1992;6.6;3;1;1;7;1;0;4;4;2;0;2;0;27;7;4
593;Guglielmo Vicario;itITA;GK;Empoli;24;1996;38.0;1;0;0;1;7;0;0;1;1;0;1;0;50;12;1
594;Arturo Vidal;clCHI;MF;Inter;34;1987;8.2;3;0;0;17;10;1;4;7;10;0;0;0;68;10;14
595;Ronaldo Vieira;gwGNB;MF;Sampdoria;23;1998;5.5;3;0;0;11;4;0;1;5;6;;;0;;;
596;Luca Vignali;itITA;DF,MF;Spezia;25;1996;0.9;0;0;0;0;0;1;2;1;1;0;0;0;6;1;2
597;Emanuel Vignato;itITA;MF,DF;Bologna;20;2000;6.6;2;0;0;5;3;0;12;2;7;0;0;0;40;6;4
598;Matías Viña;uyURU;DF,FW;Roma;23;1997;17.4;2;0;0;9;20;2;35;25;30;0;0;0;100;17;20
599;Nicolas Viola;itITA;MF;Bologna;31;1989;1.1;0;0;0;2;2;0;5;0;2;0;0;0;15;3;0
600;Mattia Viti;itITA;DF;Empoli;19;2002;16.6;3;1;1;15;13;1;0;29;16;0;0;1;83;29;33
601;Dušan Vlahović;rsSRB;FW;Fiorentina;21;2000;20.6;2;0;0;19;49;19;16;1;0;0;0;0;37;40;33
602;Dušan Vlahović;rsSRB;FW;Juventus;21;2000;12.0;2;0;0;8;20;12;8;0;0;0;0;0;26;19;21
603;Mërgim Vojvoda;xkKVX;DF;Torino;26;1995;22.0;3;0;0;21;9;1;71;20;23;0;0;0;126;24;30
604;Cristian Volpato;itITA;FW,MF;Roma;17;2003;0.4;0;0;0;1;1;0;2;0;1;0;0;0;3;0;2
605;Stefan de Vrij;nlNED;DF;Inter;29;1992;26.8;3;0;0;19;6;0;2;32;29;0;1;1;158;68;47
606;Walace;brBRA;MF;Udinese;26;1995;33.0;6;1;0;47;37;1;9;54;49;0;1;0;285;20;23
607;Sebastian Walukiewicz;plPOL;DF;Cagliari;21;2000;3.4;1;0;0;4;3;0;1;7;5;0;0;0;14;2;1
608;Magnus Warming;dkDEN;MF,FW;Torino;21;2000;0.6;0;0;0;1;0;1;5;0;1;0;0;0;3;1;2
609;Kelvin Yeboah;itITA;FW,MF;Genoa;21;2000;9.4;2;0;0;28;30;7;10;1;7;1;0;0;34;31;43
610;Gerard Yepes;esESP;MF,DF;Sampdoria;18;2002;0.2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1
611;Maya Yoshida;jpJPN;DF;Sampdoria;32;1988;20.3;2;0;0;20;9;0;4;28;10;0;0;1;119;39;23
612;Mattia Zaccagni;itITA;MF;Hellas Verona;26;1995;2.0;0;0;0;1;7;0;10;4;1;1;0;0;8;4;2
613;Mattia Zaccagni;itITA;FW;Lazio;26;1995;20.8;6;0;0;29;74;2;41;20;16;1;0;0;86;12;19
614;Denis Zakaria;chSUI;MF;Juventus;24;1996;6.6;1;0;0;11;4;0;5;11;7;0;0;0;27;2;8
615;Nicola Zalewski;plPOL;DF;Roma;19;2002;8.8;1;0;0;9;20;1;31;16;19;0;0;0;66;2;10
616;Andre-Frank Zambo Anguissa;cmCMR;MF;Napoli;25;1995;21.4;5;0;0;38;28;0;9;24;26;0;0;0;139;29;21
617;Nicolò Zaniolo;itITA;FW,MF;Roma;22;1999;21.9;12;2;1;52;63;10;67;7;15;3;0;0;80;19;23
618;Alessandro Zanoli;itITA;DF;Napoli;20;2000;5.1;2;0;0;9;2;0;4;4;7;0;0;0;23;4;3
619;Mattia Zanotti;itITA;DF;Inter;18;2003;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
620;Duván Zapata;coCOL;FW;Atalanta;30;1991;19.1;3;0;0;29;27;10;25;3;2;0;0;0;35;46;44
621;Gabriele Zappa;itITA;DF;Cagliari;21;1999;12.7;4;1;1;16;11;0;25;14;9;0;0;0;68;12;9
622;Davide Zappacosta;itITA;DF;Atalanta;29;1992;26.1;6;0;0;31;31;7;88;12;22;2;0;0;124;5;12
