Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
1,sáb,2021-08-21,18:30 (13:30),Inter,1.7,4–0,1.1,Genoa,27.402,Stadio Giuseppe Meazza,Valerio Marini,Relatório da Partida,
1,sáb,2021-08-21,18:30 (13:30),Hellas Verona,2.8,2–3,1.6,Sassuolo,5.448,Stadio Marc'Antonio Bentegodi,Manuel Volpi,Relatório da Partida,
1,sáb,2021-08-21,20:45 (15:45),Torino,1.4,1–2,0.8,Atalanta,3.475,Stadio Olimpico di Torino,Daniele Chiffi,Relatório da Partida,
1,sáb,2021-08-21,20:45 (15:45),Empoli,1.6,1–3,1.7,Lazio,3.655,Stadio Carlo Castellani,Simone Sozza,Relatório da Partida,
1,dom,2021-08-22,18:30 (13:30),Bologna,1.6,3–2,1.5,Salernitana,8.375,Stadio Renato Dall'Ara,Antonio Rapuano,Relatório da Partida,
1,dom,2021-08-22,18:30 (13:30),Udinese,1.8,2–2,1.1,Juventus,9.660,Dacia Arena,Ivan Pezzuto,Relatório da Partida,
1,dom,2021-08-22,20:45 (15:45),Napoli,2.3,2–0,0.7,Venezia,20.000,Stadio San Paolo,Gianluca Aureliano,Relatório da Partida,
1,dom,2021-08-22,20:45 (15:45),Roma,2.5,3–1,1.2,Fiorentina,26.997,Stadio Olimpico,Luca Pairetto,Relatório da Partida,
1,seg,2021-08-23,18:30 (13:30),Cagliari,2.7,2–2,0.8,Spezia,5.387,Sardegna Arena,Francesco Fourneau,Relatório da Partida,
1,seg,2021-08-23,20:45 (15:45),Sampdoria,1.6,0–1,1.2,Milan,5.000,Stadio Comunale Luigi Ferraris,Marco Guida,Relatório da Partida,
,,,,,,,,,,,,,
2,sex,2021-08-27,18:30 (13:30),Udinese,2.6,3–0,1.2,Venezia,8.274,Dacia Arena,Livio Marinelli,Relatório da Partida,
2,sex,2021-08-27,20:45 (15:45),Hellas Verona,1.0,1–3,1.8,Inter,11.214,Stadio Marc'Antonio Bentegodi,Gianluca Manganiello,Relatório da Partida,
2,sáb,2021-08-28,18:30 (13:30),Atalanta,1.2,0–0,0.3,Bologna,7.912,Stadio Atleti Azzurri d'Italia,Daniele Orsato,Relatório da Partida,
2,sáb,2021-08-28,18:30 (13:30),Lazio,3.1,6–1,0.9,Spezia,20.000,Stadio Olimpico,Federico Dionisi,Relatório da Partida,
2,sáb,2021-08-28,20:45 (15:45),Fiorentina,0.9,2–1,0.4,Torino,12.592,Stadio Artemio Franchi,Maurizio Mariani,Relatório da Partida,
2,sáb,2021-08-28,20:45 (15:45),Juventus,1.6,0–1,0.8,Empoli,17.584,Allianz Stadium,Davide Ghersini,Relatório da Partida,
2,dom,2021-08-29,18:30 (13:30),Sassuolo,1.8,0–0,0.8,Sampdoria,3.309,Stadio Città del Tricolore,Juan Sacchi,Relatório da Partida,
2,dom,2021-08-29,18:30 (13:30),Genoa,0.5,1–2,1.4,Napoli,20.000,Stadio Comunale Luigi Ferraris,Marco Di Bello,Relatório da Partida,
