Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
1,sáb,2017-08-19,18:00 (13:00),Juventus,1.1,3–0,1.4,Cagliari,39.226,Allianz Stadium,Fabio Maresca,Relatório da Partida,
1,sáb,2017-08-19,20:45 (15:45),Hellas Verona,1.3,1–3,2.1,Napoli,15.215,Stadio Marc'Antonio Bentegodi,Michael Fabbri,Relatório da Partida,
1,dom,2017-08-20,18:00 (13:00),Atalanta,1.5,0–1,0.4,Roma,19.108,Stadio Atleti Azzurri d'Italia,Piero Giacomelli,Relatório da Partida,
1,dom,2017-08-20,20:45 (15:45),Udinese,0.8,1–2,0.5,Chievo,13.000,Dacia Arena,Claudio Gavillucci,Relatório da Partida,
1,dom,2017-08-20,20:45 (15:45),Inter,2.3,3–0,0.6,Fiorentina,51.752,Stadio Giuseppe Meazza,Paolo Tagliavento,Relatório da Partida,
1,dom,2017-08-20,20:45 (15:45),Bologna,0.6,1–1,0.4,Torino,19.033,Stadio Renato Dall'Ara,Davide Massa,Relatório da Partida,
1,dom,2017-08-20,20:45 (15:45),Sampdoria,2.7,2–1,0.9,Benevento,19.223,Stadio Comunale Luigi Ferraris,Fabrizio Pasqua,Relatório da Partida,
1,dom,2017-08-20,20:45 (15:45),Crotone,0.4,0–3,1.8,Milan,13.478,Stadio Ezio Scida,Maurizio Mariani,Relatório da Partida,
1,dom,2017-08-20,20:45 (15:45),Lazio,0.8,0–0,0.6,SPAL,25.000,Stadio Olimpico,Rosario Abisso,Relatório da Partida,
1,dom,2017-08-20,20:45 (15:45),Sassuolo,0.5,0–0,0.9,Genoa,8.134,Stadio Città del Tricolore,Antonio Damato,Relatório da Partida,
,,,,,,,,,,,,,
2,sáb,2017-08-26,18:00 (13:00),Genoa,1.2,2–4,2.1,Juventus,26.296,Stadio Comunale Luigi Ferraris,Luca Banti,Relatório da Partida,
2,sáb,2017-08-26,18:00 (13:00),Benevento,0.9,0–1,1.7,Bologna,11.054,Stadio Ciro Vigorito,Giampaolo Calvarese,Relatório da Partida,
2,sáb,2017-08-26,20:45 (15:45),Roma,1.4,1–3,2.4,Inter,49.388,Stadio Olimpico,Massimiliano Irrati,Relatório da Partida,
2,dom,2017-08-27,18:00 (13:00),Torino,1.1,3–0,0.8,Sassuolo,18.289,Stadio Olimpico di Torino,Paolo Mazzoleni,Relatório da Partida,
2,dom,2017-08-27,20:45 (15:45),SPAL,1.5,3–2,1.2,Udinese,11.000,Stadio Paolo Mazza,Paolo Valeri,Relatório da Partida,
2,dom,2017-08-27,20:45 (15:45),Napoli,1.2,3–1,0.9,Atalanta,35.102,Stadio San Paolo,Marco Di Bello,Relatório da Partida,
2,dom,2017-08-27,20:45 (15:45),Crotone,0.8,0–0,0.2,Hellas Verona,9.158,Stadio Ezio Scida,Marco Guida,Relatório da Partida,
2,dom,2017-08-27,20:45 (15:45),Milan,1.4,2–1,0.7,Cagliari,49.525,Stadio Giuseppe Meazza,Luca Pairetto,Relatório da Partida,
2,dom,2017-08-27,20:45 (15:45),Fiorentina,2.0,1–2,2.2,Sampdoria,25.611,Stadio Artemio Franchi,Daniele Doveri,Relatório da Partida,
2,dom,2017-08-27,20:45 (15:45),Chievo,0.9,1–2,1.5,Lazio,10.000,Stadio Marc'Antonio Bentegodi,Gianluca Manganiello,Relatório da Partida,
,,,,,,,,,,,,,
3,sáb,2017-09-09,18:00 (13:00),Juventus,1.3,3–0,0.6,Chievo,39.457,Allianz Stadium,Michael Fabbri,Relatório da Partida,
3,dom,2017-09-10,12:30 (07:30),Inter,1.9,2–0,0.5,SPAL,57.235,Stadio Giuseppe Meazza,Claudio Gavillucci,Relatório da Partida,
3,dom,2017-09-10,15:00 (10:00),Udinese,1.0,1–0,0.6,Genoa,2.370,Dacia Arena,Fabio Maresca,Relatório da Partida,
3,dom,2017-09-10,15:00 (10:00),Cagliari,1.2,1–0,0.4,Crotone,14.076,Stadio Sant'Elia,Daniele Doveri,Relatório da Partida,
3,dom,2017-09-10,15:00 (10:00),Atalanta,0.7,2–1,1.4,Sassuolo,16.120,Stadio Atleti Azzurri d'Italia,Gianluca Manganiello,Relatório da Partida,
3,dom,2017-09-10,15:00 (10:00),Hellas Verona,1.1,0–5,2.6,Fiorentina,18.181,Stadio Marc'Antonio Bentegodi,Antonio Damato,Relatório da Partida,
3,dom,2017-09-10,16:00 (11:00),Lazio,2.0,4–1,1.0,Milan,30.000,Stadio Olimpico,Gianluca Rocchi,Relatório da Partida,
3,dom,2017-09-10,18:00 (13:00),Benevento,0.9,0–1,1.0,Torino,11.416,Stadio Ciro Vigorito,Rosario Abisso,Relatório da Partida,
3,dom,2017-09-10,20:45 (15:45),Bologna,0.3,0–3,1.5,Napoli,22.398,Stadio Renato Dall'Ara,Piero Giacomelli,Relatório da Partida,
,,,,,,,,,,,,,
4,sáb,2017-09-16,15:00 (10:00),Crotone,1.0,0–2,0.7,Inter,13.422,Stadio Ezio Scida,Luca Banti,Relatório da Partida,
4,sáb,2017-09-16,18:00 (13:00),Fiorentina,0.7,2–1,0.3,Bologna,23.802,Stadio Artemio Franchi,Paolo Valeri,Relatório da Partida,
4,sáb,2017-09-16,20:45 (15:45),Roma,3.5,3–0,0.2,Hellas Verona,29.045,Stadio Olimpico,Luca Pairetto,Relatório da Partida,
4,dom,2017-09-17,12:30 (07:30),Sassuolo,1.4,1–3,1.0,Juventus,21.584,Stadio Città del Tricolore,Davide Massa,Relatório da Partida,
