Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
1,sáb,2019-08-24,18:00 (13:00),Parma,0.3,0–1,1.4,Juventus,20.073,Stadio Ennio Tardini,Fabio Maresca,Relatório da Partida,
1,sáb,2019-08-24,20:45 (15:45),Fiorentina,1.7,3–4,2.0,Napoli,33.614,Stadio Artemio Franchi,Davide Massa,Relatório da Partida,
1,dom,2019-08-25,18:00 (13:00),Udinese,0.8,1–0,0.7,Milan,24.584,Dacia Arena,Fabrizio Pasqua,Relatório da Partida,
1,dom,2019-08-25,20:45 (15:45),SPAL,1.6,2–3,1.8,Atalanta,11.706,Stadio Paolo Mazza,Gianluca Manganiello,Relatório da Partida,
1,dom,2019-08-25,20:45 (15:45),Roma,2.5,3–3,1.3,Genoa,38.779,Stadio Olimpico,Giampaolo Calvarese,Relatório da Partida,
1,dom,2019-08-25,20:45 (15:45),Torino,1.2,2–1,1.3,Sassuolo,16.536,Stadio Olimpico di Torino,Maurizio Mariani,Relatório da Partida,
1,dom,2019-08-25,20:45 (15:45),Hellas Verona,0.2,1–1,1.8,Bologna,16.324,Stadio Marc'Antonio Bentegodi,Antonio Giua,Relatório da Partida,
1,dom,2019-08-25,20:45 (15:45),Sampdoria,0.7,0–3,1.8,Lazio,19.500,Stadio Comunale Luigi Ferraris,Gianluca Rocchi,Relatório da Partida,
1,dom,2019-08-25,20:45 (15:45),Cagliari,1.3,0–1,1.3,Brescia,16.099,Sardegna Arena,Eugenio Abbattista,Relatório da Partida,
1,seg,2019-08-26,20:45 (15:45),Inter,1.7,4–0,0.6,Lecce,64.188,Stadio Giuseppe Meazza,Federico La Penna,Relatório da Partida,
,,,,,,,,,,,,,
2,sex,2019-08-30,20:45 (15:45),Bologna,4.0,1–0,0.8,SPAL,25.086,Stadio Renato Dall'Ara,Marco Di Bello,Relatório da Partida,
2,sáb,2019-08-31,18:00 (13:00),Milan,1.5,1–0,0.7,Brescia,56.691,Stadio Giuseppe Meazza,Rosario Abisso,Relatório da Partida,
2,sáb,2019-08-31,20:45 (15:45),Juventus,1.8,4–3,1.4,Napoli,39.203,Allianz Stadium,Daniele Orsato,Relatório da Partida,
2,dom,2019-09-01,18:00 (13:00),Lazio,2.2,1–1,1.3,Roma,52.000,Stadio Olimpico,Marco Guida,Relatório da Partida,
2,dom,2019-09-01,20:45 (15:45),Sassuolo,2.2,4–1,1.3,Sampdoria,9.608,Stadio Città del Tricolore,Luca Pairetto,Relatório da Partida,
2,dom,2019-09-01,20:45 (15:45),Udinese,1.4,1–3,1.3,Parma,20.410,Dacia Arena,Marco Piccinini,Relatório da Partida,
2,dom,2019-09-01,20:45 (15:45),Genoa,2.1,2–1,1.9,Fiorentina,20.000,Stadio Comunale Luigi Ferraris,Piero Giacomelli,Relatório da Partida,
2,dom,2019-09-01,20:45 (15:45),Cagliari,0.5,1–2,1.7,Inter,16.412,Sardegna Arena,Fabio Maresca,Relatório da Partida,
2,dom,2019-09-01,20:45 (15:45),Lecce,0.9,0–1,1.4,Hellas Verona,24.418,Stadio Comunale Via Del Mare,Juan Sacchi,Relatório da Partida,
2,dom,2019-09-01,20:45 (15:45),Atalanta,1.8,2–3,0.8,Torino,8.182,Stadio Ennio Tardini,Daniele Doveri,Relatório da Partida,
,,,,,,,,,,,,,
3,sáb,2019-09-14,15:00 (10:00),Fiorentina,1.8,0–0,0.4,Juventus,40.000,Stadio Artemio Franchi,Massimiliano Irrati,Relatório da Partida,
3,sáb,2019-09-14,18:00 (13:00),Napoli,1.6,2–0,2.2,Sampdoria,40.000,Stadio San Paolo,Federico La Penna,Relatório da Partida,
3,sáb,2019-09-14,20:45 (15:45),Inter,1.6,1–0,0.3,Udinese,57.991,Stadio Giuseppe Meazza,Maurizio Mariani,Relatório da Partida,
3,dom,2019-09-15,12:30 (07:30),Genoa,1.4,1–2,2.5,Atalanta,23.395,Stadio Comunale Luigi Ferraris,Michael Fabbri,Relatório da Partida,
3,dom,2019-09-15,15:00 (10:00),Brescia,1.3,3–4,3.0,Bologna,15.000,Stadio Mario Rigamonti,Gianluca Rocchi,Relatório da Partida,
3,dom,2019-09-15,15:00 (10:00),SPAL,1.3,2–1,1.4,Lazio,13.650,Stadio Paolo Mazza,Giampaolo Calvarese,Relatório da Partida,
3,dom,2019-09-15,15:00 (10:00),Parma,1.8,1–3,0.5,Cagliari,14.068,Stadio Ennio Tardini,Fabrizio Pasqua,Relatório da Partida,
3,dom,2019-09-15,18:00 (13:00),Roma,2.6,4–2,1.3,Sassuolo,34.407,Stadio Olimpico,Daniele Chiffi,Relatório da Partida,
3,dom,2019-09-15,20:45 (15:45),Hellas Verona,0.5,0–1,1.4,Milan,24.363,Stadio Marc'Antonio Bentegodi,Gianluca Manganiello,Relatório da Partida,
3,seg,2019-09-16,20:45 (15:45),Torino,2.0,1–2,1.1,Lecce,21.620,Stadio Olimpico di Torino,Antonio Giua,Relatório da Partida,
,,,,,,,,,,,,,
4,sex,2019-09-20,20:45 (15:45),Cagliari,1.2,3–1,1.1,Genoa,14.574,Sardegna Arena,Gianluca Manganiello,Relatório da Partida,
4,sáb,2019-09-21,15:00 (10:00),Udinese,0.6,0–1,0.8,Brescia,19.611,Dacia Arena,Paolo Valeri,Relatório da Partida,
4,sáb,2019-09-21,18:00 (13:00),Juventus,1.9,2–1,1.6,Hellas Verona,39.945,Allianz Stadium,Federico La Penna,Relatório da Partida,
