Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
1,sáb,2016-08-20,18:00 (13:00),Roma,4–0,Udinese,30.940,Stadio Olimpico,Marco Di Bello,Relatório da Partida,
1,sáb,2016-08-20,20:45 (15:45),Juventus,2–1,Fiorentina,40.184,Allianz Stadium,Davide Massa,Relatório da Partida,
1,dom,2016-08-21,18:00 (13:00),Milan,3–2,Torino,32.254,Stadio Giuseppe Meazza,Antonio Damato,Relatório da Partida,
1,dom,2016-08-21,20:45 (15:45),Atalanta,3–4,Lazio,14.710,Stadio Atleti Azzurri d'Italia,Luca Banti,Relatório da Partida,
1,dom,2016-08-21,20:45 (15:45),Palermo,0–1,Sassuolo,12.935,Stadio Renzo Barbera,Luca Pairetto,Relatório da Partida,
1,dom,2016-08-21,20:45 (15:45),Genoa,3–1,Cagliari,20.443,Stadio Comunale Luigi Ferraris,Daniele Orsato,Relatório da Partida,
1,dom,2016-08-21,20:45 (15:45),Pescara,2–2,Napoli,16.758,Stadio Adriatico-Giovanni Cornacchia,Piero Giacomelli,Relatório da Partida,
1,dom,2016-08-21,20:45 (15:45),Bologna,1–0,Crotone,18.396,Stadio Renato Dall'Ara,Claudio Gavillucci,Relatório da Partida,
1,dom,2016-08-21,20:45 (15:45),Chievo,2–0,Inter,24.000,Stadio Marc'Antonio Bentegodi,Massimiliano Irrati,Relatório da Partida,
1,dom,2016-08-21,20:45 (15:45),Empoli,0–1,Sampdoria,8.000,Stadio Carlo Castellani,Maurizio Mariani,Relatório da Partida,
,,,,,,,,,,,
2,sáb,2016-08-27,18:00 (13:00),Lazio,0–1,Juventus,35.000,Stadio Olimpico,Marco Guida,Relatório da Partida,
2,sáb,2016-08-27,20:45 (15:45),Napoli,4–2,Milan,27.231,Stadio San Paolo,Paolo Valeri,Relatório da Partida,
2,dom,2016-08-28,18:00 (13:00),Inter,1–1,Palermo,40.527,Stadio Giuseppe Meazza,Carmine Russo,Relatório da Partida,
2,dom,2016-08-28,20:45 (15:45),Udinese,2–0,Empoli,13.239,Dacia Arena,Fabio Maresca,Relatório da Partida,
2,dom,2016-08-28,20:45 (15:45),Crotone,1–3,Genoa,821,Stadio Adriatico-Giovanni Cornacchia,Nicola Rizzoli,Relatório da Partida,
2,dom,2016-08-28,20:45 (15:45),Sampdoria,2–1,Atalanta,19.045,Stadio Comunale Luigi Ferraris,Daniele Doveri,Relatório da Partida,
2,dom,2016-08-28,20:45 (15:45),Sassuolo,0–3,Pescara,9.071,Stadio Città del Tricolore,Paolo Tagliavento,Relatório da Partida,Partida concedida a Pescara
2,dom,2016-08-28,20:45 (15:45),Torino,5–1,Bologna,17.077,Stadio Olimpico di Torino,Gianluca Rocchi,Relatório da Partida,
2,dom,2016-08-28,20:45 (15:45),Fiorentina,1–0,Chievo,32.304,Stadio Artemio Franchi,Michael Fabbri,Relatório da Partida,
2,dom,2016-08-28,20:45 (15:45),Cagliari,2–2,Roma,15.406,Stadio Sant'Elia,Paolo Mazzoleni,Relatório da Partida,
,,,,,,,,,,,
3,sáb,2016-09-10,18:00 (13:00),Juventus,3–1,Sassuolo,39.040,Allianz Stadium,Marco Di Bello,Relatório da Partida,
3,sáb,2016-09-10,20:45 (15:45),Palermo,0–3,Napoli,10.961,Stadio Renzo Barbera,Davide Massa,Relatório da Partida,
3,dom,2016-09-11,12:30 (07:30),Bologna,2–1,Cagliari,17.903,Stadio Renato Dall'Ara,Rosario Abisso,Relatório da Partida,
3,dom,2016-09-11,15:00 (10:00),Milan,0–1,Udinese,28.303,Stadio Giuseppe Meazza,Giampaolo Calvarese,Relatório da Partida,
3,dom,2016-09-11,15:00 (10:00),Chievo,1–1,Lazio,10.000,Stadio Marc'Antonio Bentegodi,Daniele Orsato,Relatório da Partida,
3,dom,2016-09-11,15:00 (10:00),Roma,3–2,Sampdoria,27.630,Stadio Olimpico,Piero Giacomelli,Relatório da Partida,
3,dom,2016-09-11,15:00 (10:00),Atalanta,2–1,Torino,14.925,Stadio Atleti Azzurri d'Italia,Maurizio Mariani,Relatório da Partida,
3,dom,2016-09-11,20:45 (15:45),Pescara,1–2,Inter,20.088,Stadio Adriatico-Giovanni Cornacchia,Antonio Damato,Relatório da Partida,
3,seg,2016-09-12,20:45 (15:45),Empoli,2–1,Crotone,7.678,Stadio Carlo Castellani,Paolo Valeri,Relatório da Partida,
,,,,,,,,,,,
4,sex,2016-09-16,20:45 (15:45),Sampdoria,0–1,Milan,19.708,Stadio Comunale Luigi Ferraris,Massimiliano Irrati,Relatório da Partida,
4,sáb,2016-09-17,18:00 (13:00),Lazio,3–0,Pescara,12.000,Stadio Olimpico,Fabio Maresca,Relatório da Partida,
4,sáb,2016-09-17,20:45 (15:45),Napoli,3–1,Bologna,21.083,Stadio San Paolo,Daniele Doveri,Relatório da Partida,
4,dom,2016-09-18,12:30 (07:30),Udinese,1–2,Chievo,5.878,Dacia Arena,Luca Pairetto,Relatório da Partida,
4,dom,2016-09-18,15:00 (10:00),Sassuolo,2–0,Genoa,10.134,Stadio Città del Tricolore,Claudio Gavillucci,Relatório da Partida,
4,dom,2016-09-18,15:00 (10:00),Crotone,1–1,Palermo,510,Stadio Adriatico-Giovanni Cornacchia,Domenico Celi,Relatório da Partida,
4,dom,2016-09-18,15:00 (10:00),Cagliari,3–0,Atalanta,12.301,Stadio Sant'Elia,Michael Fabbri,Relatório da Partida,
4,dom,2016-09-18,15:00 (10:00),Torino,0–0,Empoli,16.403,Stadio Olimpico di Torino,Daniele Chiffi,Relatório da Partida,
4,dom,2016-09-18,18:00 (13:00),Inter,2–1,Juventus,76.500,Stadio Giuseppe Meazza,Paolo Tagliavento,Relatório da Partida,
4,dom,2016-09-18,20:45 (15:45),Fiorentina,1–0,Roma,27.359,Stadio Artemio Franchi,Nicola Rizzoli,Relatório da Partida,
,,,,,,,,,,,
5,ter,2016-09-20,20:45 (15:45),Milan,2–0,Lazio,26.464,Stadio Giuseppe Meazza,Davide Massa,Relatório da Partida,
5,qua,2016-09-21,18:30 (13:30),Bologna,2–0,Sampdoria,16.998,Stadio Renato Dall'Ara,Giampaolo Calvarese,Relatório da Partida,
5,qua,2016-09-21,20:45 (15:45),Udinese,2–2,Fiorentina,15.164,Dacia Arena,Paolo Mazzoleni,Relatório da Partida,
5,qua,2016-09-21,20:45 (15:45),Pescara,0–0,Torino,13.693,Stadio Adriatico-Giovanni Cornacchia,Luca Banti,Relatório da Partida,
5,qua,2016-09-21,20:45 (15:45),Juventus,4–0,Cagliari,38.733,Allianz Stadium,Maurizio Mariani,Relatório da Partida,
5,qua,2016-09-21,20:45 (15:45),Genoa,0–0,Napoli,23.905,Stadio Comunale Luigi Ferraris,Antonio Damato,Relatório da Partida,
5,qua,2016-09-21,20:45 (15:45),Chievo,2–1,Sassuolo,9.000,Stadio Marc'Antonio Bentegodi,Piero Giacomelli,Relatório da Partida,
5,qua,2016-09-21,20:45 (15:45),Roma,4–0,Crotone,24.325,Stadio Olimpico,Carmine Russo,Relatório da Partida,
5,qua,2016-09-21,20:45 (15:45),Atalanta,0–1,Palermo,14.094,Stadio Atleti Azzurri d'Italia,Davide Ghersini,Relatório da Partida,
5,qua,2016-09-21,20:45 (15:45),Empoli,0–2,Inter,10.554,Stadio Carlo Castellani,Marco Guida,Relatório da Partida,
,,,,,,,,,,,
6,sáb,2016-09-24,18:00 (13:00),Palermo,0–1,Juventus,27.039,Stadio Renzo Barbera,Paolo Valeri,Relatório da Partida,
6,sáb,2016-09-24,20:45 (15:45),Napoli,2–0,Chievo,19.942,Stadio San Paolo,Marco Di Bello,Relatório da Partida,
6,dom,2016-09-25,12:30 (07:30),Torino,3–1,Roma,19.275,Stadio Olimpico di Torino,Paolo Tagliavento,Relatório da Partida,
6,dom,2016-09-25,15:00 (10:00),Sassuolo,1–0,Udinese,9.343,Stadio Città del Tricolore,Daniele Doveri,Relatório da Partida,
6,dom,2016-09-25,15:00 (10:00),Genoa,1–1,Pescara,19.717,Stadio Comunale Luigi Ferraris,Massimiliano Irrati,Relatório da Partida,
6,dom,2016-09-25,15:00 (10:00),Lazio,2–0,Empoli,1.000,Stadio Olimpico,Michael Fabbri,Relatório da Partida,
6,dom,2016-09-25,15:00 (10:00),Inter,1–1,Bologna,42.274,Stadio Giuseppe Meazza,Domenico Celi,Relatório da Partida,
6,dom,2016-09-25,20:45 (15:45),Fiorentina,0–0,Milan,29.786,Stadio Artemio Franchi,Daniele Orsato,Relatório da Partida,
6,seg,2016-09-26,19:00 (14:00),Crotone,1–3,Atalanta,522,Stadio Adriatico-Giovanni Cornacchia,Gianluca Rocchi,Relatório da Partida,
6,seg,2016-09-26,21:00 (16:00),Cagliari,2–1,Sampdoria,14.177,Stadio Sant'Elia,Claudio Gavillucci,Relatório da Partida,
,,,,,,,,,,,
7,sáb,2016-10-01,18:00 (13:00),Pescara,0–2,Chievo,13.782,Stadio Adriatico-Giovanni Cornacchia,Gianluca Manganiello,Relatório da Partida,
7,sáb,2016-10-01,20:45 (15:45),Udinese,0–3,Lazio,16.648,Dacia Arena,Carmine Russo,Relatório da Partida,
7,dom,2016-10-02,12:30 (07:30),Empoli,0–3,Juventus,15.424,Stadio Carlo Castellani,Paolo Mazzoleni,Relatório da Partida,
7,dom,2016-10-02,15:00 (10:00),Sampdoria,1–1,Palermo,18.093,Stadio Comunale Luigi Ferraris,Maurizio Mariani,Relatório da Partida,
7,dom,2016-10-02,15:00 (10:00),Atalanta,1–0,Napoli,15.732,Stadio Atleti Azzurri d'Italia,Nicola Rizzoli,Relatório da Partida,
7,dom,2016-10-02,15:00 (10:00),Bologna,0–1,Genoa,18.840,Stadio Renato Dall'Ara,Fabio Maresca,Relatório da Partida,
7,dom,2016-10-02,15:00 (10:00),Cagliari,2–1,Crotone,14.501,Stadio Sant'Elia,Piero Giacomelli,Relatório da Partida,
7,dom,2016-10-02,18:00 (13:00),Milan,4–3,Sassuolo,31.738,Stadio Giuseppe Meazza,Marco Guida,Relatório da Partida,
7,dom,2016-10-02,18:00 (13:00),Torino,2–1,Fiorentina,21.641,Stadio Olimpico di Torino,Giampaolo Calvarese,Relatório da Partida,
7,dom,2016-10-02,20:45 (15:45),Roma,2–1,Inter,36.340,Stadio Olimpico,Luca Banti,Relatório da Partida,
,,,,,,,,,,,
8,sáb,2016-10-15,15:00 (10:00),Napoli,1–3,Roma,46.078,Stadio San Paolo,Daniele Orsato,Relatório da Partida,
8,sáb,2016-10-15,18:00 (13:00),Pescara,1–1,Sampdoria,13.307,Stadio Adriatico-Giovanni Cornacchia,Domenico Celi,Relatório da Partida,
8,sáb,2016-10-15,20:45 (15:45),Juventus,2–1,Udinese,39.199,Allianz Stadium,Claudio Gavillucci,Relatório da Partida,
8,dom,2016-10-16,12:30 (08:30),Fiorentina,0–0,Atalanta,27.529,Stadio Artemio Franchi,Antonio Damato,Relatório da Partida,
8,dom,2016-10-16,15:00 (11:00),Inter,1–2,Cagliari,43.757,Stadio Giuseppe Meazza,Paolo Valeri,Relatório da Partida,
8,dom,2016-10-16,15:00 (11:00),Sassuolo,2–1,Crotone,11.569,Stadio Città del Tricolore,Davide Massa,Relatório da Partida,
8,dom,2016-10-16,15:00 (11:00),Lazio,1–1,Bologna,15.000,Stadio Olimpico,Marco Di Bello,Relatório da Partida,
8,dom,2016-10-16,15:00 (11:00),Genoa,0–0,Empoli,19.389,Stadio Comunale Luigi Ferraris,Luca Pairetto,Relatório da Partida,
8,dom,2016-10-16,20:45 (16:45),Chievo,1–3,Milan,24.000,Stadio Marc'Antonio Bentegodi,Gianluca Rocchi,Relatório da Partida,
8,seg,2016-10-17,20:45 (16:45),Palermo,1–4,Torino,15.961,Stadio Renzo Barbera,Michael Fabbri,Relatório da Partida,
,,,,,,,,,,,
9,sáb,2016-10-22,18:00 (14:00),Sampdoria,2–1,Genoa,29.824,Stadio Comunale Luigi Ferraris,Paolo Tagliavento,Relatório da Partida,
9,sáb,2016-10-22,20:45 (16:45),Milan,1–0,Juventus,75.829,Stadio Giuseppe Meazza,Nicola Rizzoli,Relatório da Partida,
9,dom,2016-10-23,12:30 (08:30),Udinese,3–1,Pescara,14.317,Dacia Arena,Gianluca Rocchi,Relatório da Partida,
9,dom,2016-10-23,15:00 (11:00),Crotone,1–2,Napoli,8.329,Stadio Ezio Scida,Paolo Mazzoleni,Relatório da Partida,
9,dom,2016-10-23,15:00 (11:00),Atalanta,2–1,Inter,18.159,Stadio Atleti Azzurri d'Italia,Daniele Doveri,Relatório da Partida,
9,dom,2016-10-23,15:00 (11:00),Empoli,0–0,Chievo,7.105,Stadio Carlo Castellani,Fabio Maresca,Relatório da Partida,
9,dom,2016-10-23,15:00 (11:00),Cagliari,3–5,Fiorentina,15.619,Stadio Sant'Elia,Carmine Russo,Relatório da Partida,
9,dom,2016-10-23,15:00 (11:00),Torino,2–2,Lazio,21.517,Stadio Olimpico di Torino,Piero Giacomelli,Relatório da Partida,
9,dom,2016-10-23,18:00 (14:00),Bologna,1–1,Sassuolo,20.201,Stadio Renato Dall'Ara,Massimiliano Irrati,Relatório da Partida,
9,dom,2016-10-23,20:45 (16:45),Roma,4–1,Palermo,25.820,Stadio Olimpico,Giampaolo Calvarese,Relatório da Partida,
,,,,,,,,,,,
10,ter,2016-10-25,20:45 (16:45),Genoa,3–0,Milan,21.248,Stadio Comunale Luigi Ferraris,Luca Banti,Relatório da Partida,
10,qua,2016-10-26,20:45 (16:45),Sassuolo,1–3,Roma,13.221,Stadio Città del Tricolore,Antonio Damato,Relatório da Partida,
10,qua,2016-10-26,20:45 (16:45),Juventus,4–1,Sampdoria,38.417,Allianz Stadium,Carmine Russo,Relatório da Partida,
10,qua,2016-10-26,20:45 (16:45),Napoli,2–0,Empoli,15.912,Stadio San Paolo,Maurizio Mariani,Relatório da Partida,
10,qua,2016-10-26,20:45 (16:45),Lazio,4–1,Cagliari,10.000,Stadio Olimpico,Domenico Celi,Relatório da Partida,
10,qua,2016-10-26,20:45 (16:45),Pescara,0–1,Atalanta,11.396,Stadio Adriatico-Giovanni Cornacchia,Marco Guida,Relatório da Partida,
10,qua,2016-10-26,20:45 (16:45),Chievo,1–1,Bologna,10.000,Stadio Marc'Antonio Bentegodi,Fabrizio Pasqua,Relatório da Partida,
10,qua,2016-10-26,20:45 (16:45),Fiorentina,1–1,Crotone,22.983,Stadio Artemio Franchi,Claudio Gavillucci,Relatório da Partida,
10,qua,2016-10-26,20:45 (16:45),Inter,2–1,Torino,36.446,Stadio Giuseppe Meazza,Davide Massa,Relatório da Partida,
10,qui,2016-10-27,20:45 (16:45),Palermo,1–3,Udinese,9.360,Stadio Renzo Barbera,Daniele Orsato,Relatório da Partida,
,,,,,,,,,,,
11,sáb,2016-10-29,18:00 (14:00),Bologna,0–1,Fiorentina,20.780,Stadio Renato Dall'Ara,Paolo Valeri,Relatório da Partida,
11,sáb,2016-10-29,20:45 (16:45),Juventus,2–1,Napoli,41.409,Allianz Stadium,Gianluca Rocchi,Relatório da Partida,
