Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
1,sáb,2014-08-30,18:00 (13:00),Chievo,0–1,Juventus,26.000,Stadio Marc'Antonio Bentegodi,Carmine Russo,Relatório da Partida,
1,sáb,2014-08-30,20:45 (15:45),Roma,2–0,Fiorentina,44.353,Stadio Olimpico,Marco Guida,Relatório da Partida,
1,dom,2014-08-31,18:00 (13:00),Atalanta,0–0,Hellas Verona,14.925,Stadio Atleti Azzurri d'Italia,Nicola Rizzoli,Relatório da Partida,
1,dom,2014-08-31,18:00 (13:00),Milan,3–1,Lazio,36.674,Stadio Giuseppe Meazza,Nicola Rizzoli,Relatório da Partida,
1,dom,2014-08-31,20:45 (15:45),Genoa,1–2,Napoli,21.963,Stadio Comunale Luigi Ferraris,Luca Banti,Relatório da Partida,
1,dom,2014-08-31,20:45 (15:45),Palermo,1–1,Sampdoria,17.064,Stadio Renzo Barbera,Dino Tommasi,Relatório da Partida,
1,dom,2014-08-31,20:45 (15:45),Torino,0–0,Inter,25.824,Stadio Olimpico di Torino,Daniele Doveri,Relatório da Partida,
1,dom,2014-08-31,20:45 (15:45),Sassuolo,1–1,Cagliari,11.292,Stadio Città del Tricolore,Paolo Valeri,Relatório da Partida,
1,dom,2014-08-31,20:45 (15:45),Udinese,2–0,Empoli,7.889,Dacia Arena,Marco Di Bello,Relatório da Partida,
1,dom,2014-08-31,20:45 (15:45),Cesena,1–0,Parma,14.415,Stadio Dino Manuzzi,Sebastiano Peruzzo,Relatório da Partida,
,,,,,,,,,,,
2,sáb,2014-09-13,18:00 (13:00),Empoli,0–1,Roma,11.113,Stadio Carlo Castellani,Andrea Gervasoni,Relatório da Partida,
2,sáb,2014-09-13,20:45 (15:45),Juventus,2–0,Udinese,38.217,Allianz Stadium,Antonio Damato,Relatório da Partida,
2,dom,2014-09-14,12:30 (07:30),Sampdoria,2–0,Torino,21.180,Stadio Comunale Luigi Ferraris,Paolo Mazzoleni,Relatório da Partida,
2,dom,2014-09-14,15:00 (10:00),Cagliari,1–2,Atalanta,9.100,Stadio Sant'Elia,Angelo Cervellera,Relatório da Partida,
2,dom,2014-09-14,15:00 (10:00),Fiorentina,0–0,Genoa,34.058,Stadio Artemio Franchi,Daniele Orsato,Relatório da Partida,
2,dom,2014-09-14,15:00 (10:00),Inter,7–0,Sassuolo,34.549,Stadio Giuseppe Meazza,Giampaolo Calvarese,Relatório da Partida,
2,dom,2014-09-14,15:00 (10:00),Lazio,3–0,Cesena,31.200,Stadio Olimpico,Massimiliano Irrati,Relatório da Partida,
2,dom,2014-09-14,15:00 (10:00),Napoli,0–1,Chievo,35.251,Stadio San Paolo,Piero Giacomelli,Relatório da Partida,
2,dom,2014-09-14,20:45 (15:45),Parma,4–5,Milan,14.264,Stadio Ennio Tardini,Davide Massa,Relatório da Partida,
2,seg,2014-09-15,20:45 (15:45),Hellas Verona,2–1,Palermo,18.304,Stadio Marc'Antonio Bentegodi,Gianluca Rocchi,Relatório da Partida,
,,,,,,,,,,,
3,sáb,2014-09-20,18:00 (13:00),Cesena,2–2,Empoli,14.073,Stadio Dino Manuzzi,Claudio Gavillucci,Relatório da Partida,
3,sáb,2014-09-20,20:45 (15:45),Milan,0–1,Juventus,78.681,Stadio Giuseppe Meazza,Nicola Rizzoli,Relatório da Partida,
3,dom,2014-09-21,12:30 (07:30),Chievo,2–3,Parma,10.000,Stadio Marc'Antonio Bentegodi,Antonio Damato,Relatório da Partida,
3,dom,2014-09-21,15:00 (10:00),Sassuolo,0–0,Sampdoria,12.004,Stadio Città del Tricolore,Marco Di Bello,Relatório da Partida,
3,dom,2014-09-21,15:00 (10:00),Roma,2–0,Cagliari,40.977,Stadio Olimpico,Sebastiano Peruzzo,Relatório da Partida,
3,dom,2014-09-21,15:00 (10:00),Genoa,1–0,Lazio,18.009,Stadio Comunale Luigi Ferraris,Marco Guida,Relatório da Partida,
3,dom,2014-09-21,18:00 (13:00),Atalanta,0–1,Fiorentina,15.406,Stadio Atleti Azzurri d'Italia,Carmine Russo,Relatório da Partida,
3,dom,2014-09-21,18:00 (13:00),Udinese,1–0,Napoli,8.833,Dacia Arena,Paolo Tagliavento,Relatório da Partida,
3,dom,2014-09-21,20:45 (15:45),Torino,0–1,Hellas Verona,13.405,Stadio Olimpico di Torino,Luca Banti,Relatório da Partida,
3,dom,2014-09-21,20:45 (15:45),Palermo,1–1,Inter,18.292,Stadio Renzo Barbera,Paolo Valeri,Relatório da Partida,
,,,,,,,,,,,
4,ter,2014-09-23,20:45 (15:45),Empoli,2–2,Milan,12.619,Stadio Carlo Castellani,Giampaolo Calvarese,Relatório da Partida,
4,qua,2014-09-24,20:45 (15:45),Hellas Verona,2–2,Genoa,16.785,Stadio Marc'Antonio Bentegodi,Dino Tommasi,Relatório da Partida,
4,qua,2014-09-24,20:45 (15:45),Cagliari,1–2,Torino,9.400,Stadio Sant'Elia,Massimiliano Irrati,Relatório da Partida,
4,qua,2014-09-24,20:45 (15:45),Fiorentina,0–0,Sassuolo,28.175,Stadio Artemio Franchi,Angelo Cervellera,Relatório da Partida,
4,qua,2014-09-24,20:45 (15:45),Napoli,3–3,Palermo,18.521,Stadio San Paolo,Daniele Doveri,Relatório da Partida,
4,qua,2014-09-24,20:45 (15:45),Juventus,3–0,Cesena,36.027,Allianz Stadium,Piero Giacomelli,Relatório da Partida,
4,qua,2014-09-24,20:45 (15:45),Parma,1–2,Roma,12.657,Stadio Ennio Tardini,Paolo Mazzoleni,Relatório da Partida,
4,qua,2014-09-24,20:45 (15:45),Inter,2–0,Atalanta,29.535,Stadio Giuseppe Meazza,Andrea Gervasoni,Relatório da Partida,
4,qua,2014-09-24,20:45 (15:45),Sampdoria,2–1,Chievo,19.346,Stadio Comunale Luigi Ferraris,Michael Fabbri,Relatório da Partida,
4,qui,2014-09-25,20:45 (15:45),Lazio,0–1,Udinese,26.919,Stadio Olimpico,Gianluca Rocchi,Relatório da Partida,
,,,,,,,,,,,
5,sáb,2014-09-27,18:00 (13:00),Roma,2–0,Hellas Verona,40.432,Stadio Olimpico,Carmine Russo,Relatório da Partida,
5,sáb,2014-09-27,20:45 (15:45),Atalanta,0–3,Juventus,22.074,Stadio Atleti Azzurri d'Italia,Daniele Orsato,Relatório da Partida,
5,dom,2014-09-28,12:30 (07:30),Sassuolo,0–1,Napoli,13.935,Stadio Città del Tricolore,Sebastiano Peruzzo,Relatório da Partida,
5,dom,2014-09-28,15:00 (10:00),Chievo,1–1,Empoli,6.000,Stadio Marc'Antonio Bentegodi,Davide Massa,Relatório da Partida,
5,dom,2014-09-28,15:00 (10:00),Inter,1–4,Cagliari,36.925,Stadio Giuseppe Meazza,Luca Banti,Relatório da Partida,
5,dom,2014-09-28,15:00 (10:00),Cesena,1–1,Milan,22.027,Stadio Dino Manuzzi,Marco Guida,Relatório da Partida,
5,dom,2014-09-28,15:00 (10:00),Torino,1–1,Fiorentina,15.134,Stadio Olimpico di Torino,Paolo Valeri,Relatório da Partida,
5,dom,2014-09-28,20:45 (15:45),Genoa,0–1,Sampdoria,29.800,Stadio Comunale Luigi Ferraris,Antonio Damato,Relatório da Partida,
5,seg,2014-09-29,19:00 (14:00),Udinese,4–2,Parma,8.652,Dacia Arena,Giampaolo Calvarese,Relatório da Partida,
5,seg,2014-09-29,21:00 (16:00),Palermo,0–4,Lazio,17.087,Stadio Renzo Barbera,Marco Di Bello,Relatório da Partida,
,,,,,,,,,,,
6,sáb,2014-10-04,18:00 (13:00),Hellas Verona,1–0,Cagliari,17.813,Stadio Marc'Antonio Bentegodi,Piero Giacomelli,Relatório da Partida,
6,sáb,2014-10-04,20:45 (15:45),Milan,2–0,Chievo,34.601,Stadio Giuseppe Meazza,Paolo Mazzoleni,Relatório da Partida,
6,dom,2014-10-05,12:30 (07:30),Empoli,3–0,Palermo,7.504,Stadio Carlo Castellani,Nicola Rizzoli,Relatório da Partida,
6,dom,2014-10-05,15:00 (10:00),Parma,1–2,Genoa,11.898,Stadio Ennio Tardini,Daniele Doveri,Relatório da Partida,
6,dom,2014-10-05,15:00 (10:00),Udinese,1–1,Cesena,8.887,Dacia Arena,Maurizio Mariani,Relatório da Partida,
6,dom,2014-10-05,15:00 (10:00),Lazio,3–2,Sassuolo,29.381,Stadio Olimpico,Dino Tommasi,Relatório da Partida,
6,dom,2014-10-05,15:00 (10:00),Sampdoria,1–0,Atalanta,20.050,Stadio Comunale Luigi Ferraris,Massimiliano Irrati,Relatório da Partida,
6,dom,2014-10-05,18:00 (13:00),Juventus,3–2,Roma,39.102,Allianz Stadium,Gianluca Rocchi,Relatório da Partida,
6,dom,2014-10-05,20:45 (15:45),Napoli,2–1,Torino,30.586,Stadio San Paolo,Davide Massa,Relatório da Partida,
6,dom,2014-10-05,20:45 (15:45),Fiorentina,3–0,Inter,34.279,Stadio Artemio Franchi,Paolo Tagliavento,Relatório da Partida,
,,,,,,,,,,,
7,sáb,2014-10-18,18:00 (13:00),Roma,3–0,Chievo,41.522,Stadio Olimpico,Giampaolo Calvarese,Relatório da Partida,
7,sáb,2014-10-18,20:45 (15:45),Sassuolo,1–1,Juventus,21.584,Stadio Città del Tricolore,Luca Banti,Relatório da Partida,
7,dom,2014-10-19,12:30 (08:30),Fiorentina,0–2,Lazio,30.967,Stadio Artemio Franchi,Sebastiano Peruzzo,Relatório da Partida,
7,dom,2014-10-19,15:00 (11:00),Cagliari,2–2,Sampdoria,9.426,Stadio Sant'Elia,Andrea Gervasoni,Relatório da Partida,
7,dom,2014-10-19,15:00 (11:00),Hellas Verona,1–3,Milan,27.125,Stadio Marc'Antonio Bentegodi,Paolo Valeri,Relatório da Partida,
7,dom,2014-10-19,15:00 (11:00),Palermo,2–1,Cesena,14.780,Stadio Renzo Barbera,Antonio Damato,Relatório da Partida,
7,dom,2014-10-19,15:00 (11:00),Torino,1–0,Udinese,13.434,Stadio Olimpico di Torino,Carmine Russo,Relatório da Partida,
7,dom,2014-10-19,15:00 (11:00),Atalanta,1–0,Parma,14.944,Stadio Atleti Azzurri d'Italia,Marco Guida,Relatório da Partida,
7,dom,2014-10-19,20:45 (16:45),Inter,2–2,Napoli,40.383,Stadio Giuseppe Meazza,Daniele Orsato,Relatório da Partida,
7,seg,2014-10-20,20:45 (16:45),Genoa,1–1,Empoli,17.843,Stadio Comunale Luigi Ferraris,Angelo Cervellera,Relatório da Partida,
,,,,,,,,,,,
8,sáb,2014-10-25,15:00 (11:00),Empoli,0–4,Cagliari,8.121,Stadio Carlo Castellani,Luca Pairetto,Relatório da Partida,
8,sáb,2014-10-25,18:00 (14:00),Parma,1–3,Sassuolo,11.313,Stadio Ennio Tardini,Paolo Tagliavento,Relatório da Partida,
8,sáb,2014-10-25,20:45 (16:45),Sampdoria,0–0,Roma,23.548,Stadio Comunale Luigi Ferraris,Nicola Rizzoli,Relatório da Partida,
8,dom,2014-10-26,15:00 (12:00),Chievo,1–2,Genoa,7.000,Stadio Marc'Antonio Bentegodi,Marco Di Bello,Relatório da Partida,
8,dom,2014-10-26,15:00 (12:00),Udinese,2–0,Atalanta,8.300,Dacia Arena,Dino Tommasi,Relatório da Partida,
8,dom,2014-10-26,15:00 (12:00),Juventus,2–0,Palermo,38.891,Allianz Stadium,Giampaolo Calvarese,Relatório da Partida,
8,dom,2014-10-26,18:00 (15:00),Lazio,2–1,Torino,34.782,Stadio Olimpico,Piero Giacomelli,Relatório da Partida,
8,dom,2014-10-26,18:00 (15:00),Napoli,6–2,Hellas Verona,25.992,Stadio San Paolo,Andrea Gervasoni,Relatório da Partida,
8,dom,2014-10-26,18:00 (15:00),Cesena,0–1,Inter,22.917,Stadio Dino Manuzzi,Paolo Mazzoleni,Relatório da Partida,
8,dom,2014-10-26,20:45 (17:45),Milan,1–1,Fiorentina,38.384,Stadio Giuseppe Meazza,Luca Banti,Relatório da Partida,
,,,,,,,,,,,
9,ter,2014-10-28,20:45 (17:45),Sassuolo,3–1,Empoli,10.440,Stadio Città del Tricolore,Daniele Orsato,Relatório da Partida,
9,qua,2014-10-29,20:45 (17:45),Atalanta,1–1,Napoli,14.882,Stadio Atleti Azzurri d'Italia,Antonio Damato,Relatório da Partida,
9,qua,2014-10-29,20:45 (17:45),Inter,1–0,Sampdoria,28.057,Stadio Giuseppe Meazza,Carmine Russo,Relatório da Partida,
9,qua,2014-10-29,20:45 (17:45),Fiorentina,3–0,Udinese,27.016,Stadio Artemio Franchi,Davide Massa,Relatório da Partida,
9,qua,2014-10-29,20:45 (17:45),Roma,2–0,Cesena,34.044,Stadio Olimpico,Dino Tommasi,Relatório da Partida,
9,qua,2014-10-29,20:45 (17:45),Palermo,1–0,Chievo,13.985,Stadio Renzo Barbera,Sebastiano Peruzzo,Relatório da Partida,
9,qua,2014-10-29,20:45 (17:45),Torino,1–0,Parma,12.648,Stadio Olimpico di Torino,Gianluca Rocchi,Relatório da Partida,
9,qua,2014-10-29,20:45 (17:45),Genoa,1–0,Juventus,21.971,Stadio Comunale Luigi Ferraris,Paolo Mazzoleni,Relatório da Partida,
9,qua,2014-10-29,20:45 (17:45),Cagliari,1–1,Milan,16.000,Stadio Sant'Elia,Daniele Doveri,Relatório da Partida,
9,qui,2014-10-30,20:45 (17:45),Hellas Verona,1–1,Lazio,17.760,Stadio Marc'Antonio Bentegodi,Massimiliano Irrati,Relatório da Partida,
,,,,,,,,,,,
10,sáb,2014-11-01,15:00 (12:00),Napoli,2–0,Roma,30.157,Stadio San Paolo,Paolo Tagliavento,Relatório da Partida,
