Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
1,sex,2019-08-16,21:00 (16:00),Athletic Club,0.5,1–0,0.9,Barcelona,47.693,San Mamés,Carlos del Cerro,Relatório da Partida,
1,sáb,2019-08-17,17:00 (12:00),Celta Vigo,1.6,1–3,2.1,Real Madrid,23.566,Estadio de Balaídos,Javier Estrada,Relatório da Partida,
1,sáb,2019-08-17,19:00 (14:00),Valencia,2.3,1–1,1.8,Real Sociedad,41.846,Estadio de Mestalla,Jesús Gil,Relatório da Partida,
1,sáb,2019-08-17,20:00 (15:00),Mallorca,1.6,2–1,0.7,Eibar,15.127,Iberostar Estadi,Mario Melero,Relatório da Partida,
1,sáb,2019-08-17,21:00 (16:00),Leganés,1.4,0–1,0.2,Osasuna,10.020,Estadio Municipal de Butarque,Alberola Rojas,Relatório da Partida,
1,sáb,2019-08-17,21:00 (16:00),Villarreal,1.9,4–4,1.9,Granada,14.753,Estadio de la Cerámica,Adrián Cordero,Relatório da Partida,
1,dom,2019-08-18,17:00 (12:00),Alavés,0.5,1–0,1.1,Levante,12.029,Estadio de Mendizorroza,César Soto,Relatório da Partida,
1,dom,2019-08-18,19:00 (14:00),Espanyol,0.2,0–2,1.6,Sevilla,19.832,RCDE Stadium,Juan Martínez,Relatório da Partida,
1,dom,2019-08-18,21:00 (16:00),Betis,1.5,1–2,0.7,Valladolid,51.497,Estadio Benito Villamarín,Santiago Jaime,Relatório da Partida,
1,dom,2019-08-18,22:00 (17:00),Atlético Madrid,2.2,1–0,0.3,Getafe,55.099,Estadio Wanda Metropolitano,Guillermo Cuadra,Relatório da Partida,
,,,,,,,,,,,,,
2,sex,2019-08-23,20:00 (15:00),Granada,0.5,0–1,1.1,Sevilla,15.849,Estadio Nuevo Los Cármenes,José Sánchez,Relatório da Partida,
2,sex,2019-08-23,22:00 (17:00),Levante,2.1,2–1,3.0,Villarreal,20.240,Estadio Ciudad de Valencia,José Luis Munuera,Relatório da Partida,
2,sáb,2019-08-24,17:00 (12:00),Osasuna,0.5,0–0,0.8,Eibar,13.978,Estadio El Sadar,David Medié,Relatório da Partida,
2,sáb,2019-08-24,19:00 (14:00),Real Madrid,1.7,1–1,1.2,Valladolid,63.037,Estadio Santiago Bernabéu,Pablo González,Relatório da Partida,
2,sáb,2019-08-24,21:00 (16:00),Getafe,0.3,1–1,0.5,Athletic Club,10.103,Coliseum Alfonso Pérez,Antonio Matéu Lahoz,Relatório da Partida,
2,sáb,2019-08-24,21:00 (16:00),Celta Vigo,1.9,1–0,1.0,Valencia,20.034,Estadio de Balaídos,Alejandro Hernández,Relatório da Partida,
2,dom,2019-08-25,17:00 (12:00),Alavés,0.8,0–0,0.2,Espanyol,14.567,Estadio de Mendizorroza,Eduardo Prieto,Relatório da Partida,
2,dom,2019-08-25,17:00 (12:00),Mallorca,1.0,0–1,1.6,Real Sociedad,18.028,Iberostar Estadi,Valentín Pizarro,Relatório da Partida,
2,dom,2019-08-25,19:00 (14:00),Leganés,0.4,0–1,1.8,Atlético Madrid,11.742,Estadio Municipal de Butarque,Ricardo de Burgos,Relatório da Partida,
2,dom,2019-08-25,21:00 (16:00),Barcelona,2.6,5–2,0.2,Betis,79.159,Camp Nou,José González,Relatório da Partida,
,,,,,,,,,,,,,
3,sex,2019-08-30,20:00 (15:00),Sevilla,1.5,1–1,0.4,Celta Vigo,37.787,Estadio Ramón Sánchez Pizjuán,Carlos del Cerro,Relatório da Partida,
3,sex,2019-08-30,22:00 (17:00),Athletic Club,1.0,2–0,0.2,Real Sociedad,46.697,San Mamés,Javier Estrada,Relatório da Partida,
3,sáb,2019-08-31,17:00 (12:00),Osasuna,1.8,2–2,0.4,Barcelona,16.742,Estadio El Sadar,Juan Martínez,Relatório da Partida,
3,sáb,2019-08-31,19:00 (14:00),Levante,2.7,2–0,1.1,Valladolid,19.347,Estadio Ciudad de Valencia,Adrián Cordero,Relatório da Partida,
3,sáb,2019-08-31,19:00 (14:00),Getafe,1.0,1–1,1.0,Alavés,10.806,Coliseum Alfonso Pérez,Mario Melero,Relatório da Partida,
3,sáb,2019-08-31,21:00 (16:00),Betis,2.1,2–1,1.4,Leganés,47.819,Estadio Benito Villamarín,Guillermo Cuadra,Relatório da Partida,
3,dom,2019-09-01,17:00 (12:00),Valencia,2.3,2–0,1.2,Mallorca,40.441,Estadio de Mestalla,Alberola Rojas,Relatório da Partida,
3,dom,2019-09-01,19:00 (14:00),Atlético Madrid,1.5,3–2,0.9,Eibar,56.664,Estadio Wanda Metropolitano,Santiago Jaime,Relatório da Partida,
3,dom,2019-09-01,19:00 (14:00),Espanyol,1.4,0–3,1.4,Granada,20.870,RCDE Stadium,César Soto,Relatório da Partida,
3,dom,2019-09-01,21:00 (16:00),Villarreal,1.4,2–2,1.9,Real Madrid,20.128,Estadio de la Cerámica,Jesús Gil,Relatório da Partida,
,,,,,,,,,,,,,
4,sex,2019-09-13,21:00 (16:00),Mallorca,1.8,0–0,1.5,Athletic Club,16.390,Iberostar Estadi,Pablo González,Relatório da Partida,
4,sáb,2019-09-14,13:00 (08:00),Real Madrid,2.9,3–2,1.2,Levante,60.401,Estadio Santiago Bernabéu,Ricardo de Burgos,Relatório da Partida,
4,sáb,2019-09-14,16:00 (11:00),Leganés,0.4,0–3,1.6,Villarreal,7.670,Estadio Municipal de Butarque,David Medié,Relatório da Partida,
4,sáb,2019-09-14,18:30 (13:30),Real Sociedad,2.1,2–0,1.2,Atlético Madrid,34.719,Estadio Municipal de Anoeta,Antonio Matéu Lahoz,Relatório da Partida,
4,sáb,2019-09-14,21:00 (16:00),Barcelona,2.4,5–2,1.5,Valencia,81.617,Camp Nou,José Sánchez,Relatório da Partida,
4,dom,2019-09-15,12:00 (07:00),Eibar,0.7,1–2,1.8,Espanyol,5.410,Estadio Municipal de Ipurúa,Valentín Pizarro,Relatório da Partida,
4,dom,2019-09-15,14:00 (09:00),Alavés,0.8,0–1,1.1,Sevilla,16.309,Estadio de Mendizorroza,Alejandro Hernández,Relatório da Partida,
4,dom,2019-09-15,16:00 (11:00),Celta Vigo,0.3,0–2,1.2,Granada,18.259,Estadio de Balaídos,Eduardo Prieto,Relatório da Partida,
4,dom,2019-09-15,18:30 (13:30),Valladolid,0.7,1–1,2.5,Osasuna,20.670,Estadio Municipal José Zorrilla,José Luis Munuera,Relatório da Partida,
4,dom,2019-09-15,21:00 (16:00),Betis,1.1,1–1,1.5,Getafe,47.884,Estadio Benito Villamarín,José González,Relatório da Partida,
,,,,,,,,,,,,,
5,sex,2019-09-20,21:00 (16:00),Osasuna,2.1,0–0,0.4,Betis,15.569,Estadio El Sadar,Carlos del Cerro,Relatório da Partida,
5,sáb,2019-09-21,13:00 (08:00),Villarreal,2.1,2–0,0.4,Valladolid,16.195,Estadio de la Cerámica,César Soto,Relatório da Partida,
5,sáb,2019-09-21,16:00 (11:00),Levante,1.5,0–0,1.4,Eibar,18.904,Estadio Ciudad de Valencia,Alberola Rojas,Relatório da Partida,
5,sáb,2019-09-21,18:30 (13:30),Atlético Madrid,1.7,0–0,0.6,Celta Vigo,57.701,Estadio Wanda Metropolitano,Mario Melero,Relatório da Partida,
5,sáb,2019-09-21,21:00 (16:00),Granada,1.9,2–0,0.5,Barcelona,18.880,Estadio Nuevo Los Cármenes,Guillermo Cuadra,Relatório da Partida,
5,dom,2019-09-22,12:00 (07:00),Getafe,2.1,4–2,0.8,Mallorca,11.338,Coliseum Alfonso Pérez,Santiago Jaime,Relatório da Partida,
5,dom,2019-09-22,14:00 (09:00),Espanyol,0.9,1–3,1.3,Real Sociedad,19.173,RCDE Stadium,Adrián Cordero,Relatório da Partida,
5,dom,2019-09-22,16:00 (11:00),Valencia,1.5,1–1,1.2,Leganés,39.014,Estadio de Mestalla,Javier Estrada,Relatório da Partida,
5,dom,2019-09-22,18:30 (13:30),Athletic Club,2.4,2–0,0.2,Alavés,45.143,San Mamés,Jesús Gil,Relatório da Partida,
5,dom,2019-09-22,21:00 (16:00),Sevilla,0.5,0–1,1.2,Real Madrid,42.354,Estadio Ramón Sánchez Pizjuán,Juan Martínez,Relatório da Partida,
,,,,,,,,,,,,,
6,ter,2019-09-24,19:00 (14:00),Valladolid,1.4,1–1,0.6,Granada,18.410,Estadio Municipal José Zorrilla,Valentín Pizarro,Relatório da Partida,
6,ter,2019-09-24,20:00 (15:00),Betis,2.9,3–1,1.5,Levante,44.560,Estadio Benito Villamarín,Eduardo Prieto,Relatório da Partida,
