Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
1,sex,2018-08-17,20:15 (15:15),Girona,0.7,0–0,0.0,Valladolid,10.368,Estadi Municipal de Montilivi,Guillermo Cuadra,Relatório da Partida,
1,sex,2018-08-17,22:15 (17:15),Betis,0.9,0–3,2.5,Levante,46.225,Estadio Benito Villamarín,Ignacio Iglesias,Relatório da Partida,
1,sáb,2018-08-18,18:15 (13:15),Celta Vigo,0.6,1–1,0.6,Espanyol,16.215,Estadio de Balaídos,Santiago Jaime,Relatório da Partida,
1,sáb,2018-08-18,20:15 (15:15),Villarreal,1.6,1–2,0.7,Real Sociedad,16.250,Estadio de la Cerámica,Mario Melero,Relatório da Partida,
1,sáb,2018-08-18,22:15 (17:15),Barcelona,3.2,3–0,0.3,Alavés,52.356,Camp Nou,José Sánchez,Relatório da Partida,
1,dom,2018-08-19,18:15 (13:15),Eibar,1.3,1–2,1.7,Huesca,4.234,Estadio Municipal de Ipurúa,Eduardo Prieto,Relatório da Partida,
1,dom,2018-08-19,20:15 (15:15),Rayo Vallecano,2.1,1–4,2.8,Sevilla,11.626,Estadio del Rayo Vallecano,Antonio Matéu Lahoz,Relatório da Partida,
1,dom,2018-08-19,22:15 (17:15),Real Madrid,1.0,2–0,0.2,Getafe,48.446,Estadio Santiago Bernabéu,Javier Estrada,Relatório da Partida,
1,seg,2018-08-20,20:00 (15:00),Valencia,1.1,1–1,0.9,Atlético Madrid,46.174,Estadio de Mestalla,Jesús Gil,Relatório da Partida,
1,seg,2018-08-20,22:00 (17:00),Athletic Club,2.2,2–1,1.0,Leganés,38.327,Estadio San Mamés,Adrián Cordero,Relatório da Partida,
,,,,,,,,,,,,,
2,sex,2018-08-24,20:15 (15:15),Getafe,1.4,2–0,0.6,Eibar,7.851,Coliseum Alfonso Pérez,David Medié,Relatório da Partida,
2,sex,2018-08-24,22:15 (17:15),Leganés,1.7,2–2,1.6,Real Sociedad,9.375,Estadio Municipal de Butarque,José Luis Munuera,Relatório da Partida,
2,sáb,2018-08-25,18:15 (13:15),Alavés,0.6,0–0,0.9,Betis,18.221,Estadio de Mendizorroza,Pablo González,Relatório da Partida,
2,sáb,2018-08-25,20:15 (15:15),Atlético Madrid,0.9,1–0,1.5,Rayo Vallecano,52.693,Estadio Wanda Metropolitano,José González,Relatório da Partida,
2,sáb,2018-08-25,22:15 (17:15),Valladolid,0.4,0–1,1.0,Barcelona,22.651,Estadio Municipal José Zorrilla,Ricardo de Burgos,Relatório da Partida,
