Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
1,sex,2021-08-13,21:00 (16:00),Valencia,1.2,1–0,1.4,Getafe,9.868,Estadio de Mestalla,Jesús Gil,Relatório da Partida,
1,sáb,2021-08-14,19:30 (14:30),Mallorca,0.6,1–1,0.8,Betis,6.279,Iberostar Estadi,Antonio Matéu Lahoz,Relatório da Partida,
1,sáb,2021-08-14,19:30 (14:30),Cádiz,0.6,1–1,1.1,Levante,6.941,Estadio Nuevo Mirandilla,Santiago Jaime,Relatório da Partida,
1,sáb,2021-08-14,22:00 (17:00),Alavés,1.7,1–4,2.1,Real Madrid,3.968,Estadio de Mendizorroza,César Soto,Relatório da Partida,
1,sáb,2021-08-14,22:00 (17:00),Osasuna,0.9,0–0,0.8,Espanyol,6.715,Estadio El Sadar,Miguel Ángel Ortiz Arias,Relatório da Partida,
1,dom,2021-08-15,17:30 (12:30),Celta Vigo,2.3,1–2,1.9,Atlético Madrid,5.401,Estadio de Balaídos,José Luis Munuera,Relatório da Partida,
1,dom,2021-08-15,20:00 (15:00),Barcelona,3.1,4–2,1.1,Real Sociedad,20.384,Camp Nou,Alejandro Hernández,Relatório da Partida,
1,dom,2021-08-15,22:15 (17:15),Sevilla,3.9,3–0,0.6,Rayo Vallecano,13.962,Estadio Ramón Sánchez Pizjuán,Isidro Díaz de Mera,Relatório da Partida,
1,seg,2021-08-16,20:00 (15:00),Villarreal,1.3,0–0,0.4,Granada,7.837,Estadio de la Cerámica,Pablo González,Relatório da Partida,
1,seg,2021-08-16,22:00 (17:00),Elche,1.0,0–0,0.7,Athletic Club,9.145,Estadio Manuel Martínez Valero,Adrián Cordero,Relatório da Partida,
,,,,,,,,,,,,,
2,sex,2021-08-20,21:00 (16:00),Betis,1.4,1–1,1.5,Cádiz,23.745,Estadio Benito Villamarín,Valentín Pizarro,Relatório da Partida,
2,sáb,2021-08-21,17:00 (12:00),Alavés,0.7,0–1,1.0,Mallorca,2.896,Estadio de Mendizorroza,Alejandro Muñíz,Relatório da Partida,
2,sáb,2021-08-21,19:30 (14:30),Espanyol,1.3,0–0,0.7,Villarreal,11.095,RCDE Stadium,Jorge Figueroa,Relatório da Partida,
2,sáb,2021-08-21,19:30 (14:30),Granada,1.0,1–1,1.9,Valencia,6.267,Estadio Nuevo Los Cármenes,Carlos del Cerro,Relatório da Partida,
2,sáb,2021-08-21,22:00 (17:00),Athletic Club,1.5,1–1,1.4,Barcelona,9.394,San Mamés,Juan Martínez,Relatório da Partida,
2,dom,2021-08-22,17:00 (12:00),Real Sociedad,1.9,1–0,0.6,Rayo Vallecano,7.652,Estadio Municipal de Anoeta,Santiago Jaime,Relatório da Partida,
2,dom,2021-08-22,19:30 (14:30),Atlético Madrid,1.1,1–0,0.2,Elche,24.926,Estadio Wanda Metropolitano,Ricardo de Burgos,Relatório da Partida,
2,dom,2021-08-22,22:00 (17:00),Levante,2.3,3–3,1.9,Real Madrid,9.838,Estadio Ciudad de Valencia,Guillermo Cuadra,Relatório da Partida,
2,seg,2021-08-23,20:00 (15:00),Getafe,0.6,0–1,1.3,Sevilla,4.810,Coliseum Alfonso Pérez,José Sánchez,Relatório da Partida,
2,seg,2021-08-23,22:00 (17:00),Osasuna,2.0,0–0,0.2,Celta Vigo,7.189,Estadio El Sadar,Alberola Rojas,Relatório da Partida,
,,,,,,,,,,,,,
3,sex,2021-08-27,20:00 (15:00),Mallorca,1.0,1–0,0.5,Espanyol,7.529,Iberostar Estadi,Isidro Díaz de Mera,Relatório da Partida,
3,sex,2021-08-27,22:15 (17:15),Valencia,1.7,3–0,0.5,Alavés,10.627,Estadio de Mestalla,Miguel Ángel Ortiz Arias,Relatório da Partida,
3,sáb,2021-08-28,17:00 (12:00),Celta Vigo,1.1,0–1,1.2,Athletic Club,5.492,Estadio de Balaídos,Antonio Matéu Lahoz,Relatório da Partida,
3,sáb,2021-08-28,19:30 (14:30),Real Sociedad,1.4,1–0,0.2,Levante,7.758,Estadio Municipal de Anoeta,José Luis Munuera,Relatório da Partida,
3,sáb,2021-08-28,19:30 (14:30),Elche,0.6,1–1,1.6,Sevilla,10.385,Estadio Manuel Martínez Valero,Valentín Pizarro,Relatório da Partida,
3,sáb,2021-08-28,22:00 (17:00),Betis,0.9,0–1,1.1,Real Madrid,22.590,Estadio Benito Villamarín,Alejandro Hernández,Relatório da Partida,
3,dom,2021-08-29,17:00 (12:00),Barcelona,1.2,2–1,0.4,Getafe,26.543,Camp Nou,Pablo González,Relatório da Partida,
3,dom,2021-08-29,19:30 (14:30),Rayo Vallecano,2.2,4–0,0.6,Granada,583,Estadio del Rayo Vallecano,Jesús Gil,Relatório da Partida,
3,dom,2021-08-29,19:30 (14:30),Cádiz,1.7,2–3,2.5,Osasuna,7.452,Estadio Nuevo Mirandilla,Adrián Cordero,Relatório da Partida,
3,dom,2021-08-29,22:00 (17:00),Atlético Madrid,2.2,2–2,0.5,Villarreal,26.840,Estadio Wanda Metropolitano,César Soto,Relatório da Partida,
,,,,,,,,,,,,,
4,sáb,2021-09-11,18:30 (13:30),Levante,1.1,1–1,2.4,Rayo Vallecano,12.974,Estadio Ciudad de Valencia,Alberola Rojas,Relatório da Partida,
4,sáb,2021-09-11,21:00 (16:00),Athletic Club,1.8,2–0,0.3,Mallorca,14.566,San Mamés,Jorge Figueroa,Relatório da Partida,
4,dom,2021-09-12,14:00 (09:00),Espanyol,0.5,1–2,1.0,Atlético Madrid,15.321,RCDE Stadium,Juan Martínez,Relatório da Partida,
4,dom,2021-09-12,16:15 (11:15),Osasuna,0.7,1–4,0.9,Valencia,13.940,Estadio El Sadar,Ricardo de Burgos,Relatório da Partida,
