Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
1,sáb,2008-08-30,,Espanyol,1–0,Valladolid,,Olímpic Lluís Companys,Ayza Gámez,Relatório da Partida,
1,sáb,2008-08-30,,Valencia,3–0,Mallorca,,Mestalla,Rubinos Pérez,Relatório da Partida,
1,dom,2008-08-31,,Numancia,1–0,Barcelona,,Los Pajaritos,Fernández Borbalán,Relatório da Partida,
1,dom,2008-08-31,,Athletic Club,1–3,Almería,,San Mamés,Teixeira Vitienes,Relatório da Partida,
1,dom,2008-08-31,,Sporting Gijón,1–2,Getafe,,El Molinón,Pérez Burrull,Relatório da Partida,
1,dom,2008-08-31,,La Coruña,2–1,Real Madrid,,Nuevo Riazor,Muñiz Fernández,Relatório da Partida,
1,dom,2008-08-31,,Osasuna,1–1,Villarreal,,Reyno de Navarra,Álvarez Izquierdo,Relatório da Partida,
1,dom,2008-08-31,,Atlético Madrid,4–0,Málaga,,Vicente Calderón,Rodríguez Santiago,Relatório da Partida,
1,dom,2008-08-31,,Racing Sant,1–1,Sevilla,,Campos de Sport del Sardinero,Undiano Mallenco,Relatório da Partida,
1,dom,2008-08-31,,Betis,0–1,Recreativo,,Manuel Ruiz de Lopera,Megía Dávila,Relatório da Partida,
,,,,,,,,,,,
2,sáb,2008-09-13,,Sevilla,4–3,Sporting Gijón,,Ramón Sánchez Pizjuán,Mateu Lahoz,Relatório da Partida,
2,sáb,2008-09-13,,Barcelona,1–1,Racing Sant,,Nou Camp,Ramírez Domínguez,Relatório da Partida,
2,sáb,2008-09-13,,Valladolid,2–1,Atlético Madrid,,Nuevo Zorrilla,Medina Cantalejo,Relatório da Partida,
2,dom,2008-09-14,,Recreativo,0–1,Espanyol,,Nuevo Colombino,González Vázquez,Relatório da Partida,
2,dom,2008-09-14,,Mallorca,1–1,Osasuna,,Ono Estadi,Turienzo Álvarez,Relatório da Partida,
2,dom,2008-09-14,,Villarreal,1–0,La Coruña,,El Madrigal,Daudén Ibáñez,Relatório da Partida,
2,dom,2008-09-14,,Almería,2–2,Valencia,,Juegos del Mediterráneo,Velasco Carballo,Relatório da Partida,
2,dom,2008-09-14,,Real Madrid,4–3,Numancia,,Santiago Bernabéu,Paradas Romero,Relatório da Partida,
2,dom,2008-09-14,,Málaga,0–0,Athletic Club,,La Rosaleda,Clos Gómez,Relatório da Partida,
2,dom,2008-09-14,,Getafe,0–0,Betis,,Coliseum Alfonso Pérez,Iturralde González,Relatório da Partida,
,,,,,,,,,,,
3,sáb,2008-09-20,,Espanyol,1–1,Getafe,,Olímpic Lluís Companys,Delgado Ferreiro,Relatório da Partida,
3,sáb,2008-09-20,,Atlético Madrid,4–0,Recreativo,,Vicente Calderón,Teixeira Vitienes,Relatório da Partida,
3,dom,2008-09-21,,Valencia,1–0,Osasuna,,Mestalla,Fernández Borbalán,Relatório da Partida,
3,dom,2008-09-21,,Sporting Gijón,1–6,Barcelona,,El Molinón,Megía Dávila,Relatório da Partida,
3,dom,2008-09-21,,Athletic Club,2–0,Valladolid,,San Mamés,Rubinos Pérez,Relatório da Partida,
3,dom,2008-09-21,,Almería,1–0,Málaga,,Juegos del Mediterráneo,Mejuto González,Relatório da Partida,
