Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
5,dom,2020-10-04,14:00 (09:00),Alavés,0.6,1–0,0.6,Athletic Club,,Estadio de Mendizorroza,José Sánchez,Relatório da Partida,
5,dom,2020-10-04,16:00 (11:00),Levante,0.5,0–2,2.2,Real Madrid,,Estadio Ciudad de Valencia,José Luis Munuera,Relatório da Partida,
5,dom,2020-10-04,18:30 (13:30),Cádiz,1.0,1–1,0.6,Granada,,Estadio Nuevo Mirandilla,Alberola Rojas,Relatório da Partida,
5,dom,2020-10-04,21:00 (16:00),Barcelona,1.0,1–1,1.5,Sevilla,,Camp Nou,Jesús Gil,Relatório da Partida,
,,,,,,,,,,,,,
6,sáb,2020-10-17,13:00 (08:00),Granada,1.3,1–0,0.6,Sevilla,,Estadio Nuevo Los Cármenes,Pablo González,Relatório da Partida,
6,sáb,2020-10-17,16:00 (11:00),Celta Vigo,1.9,0–2,1.4,Atlético Madrid,,Estadio de Balaídos,Juan Martínez,Relatório da Partida,
6,sáb,2020-10-17,18:30 (13:30),Real Madrid,1.0,0–1,1.6,Cádiz,,Estadio Alfredo Di Stéfano,Santiago Jaime,Relatório da Partida,
6,sáb,2020-10-17,21:00 (16:00),Getafe,1.6,1–0,0.7,Barcelona,,Coliseum Alfonso Pérez,César Soto,Relatório da Partida,
6,dom,2020-10-18,12:00 (07:00),Eibar,0.3,0–0,1.0,Osasuna,,Estadio Municipal de Ipurúa,David Medié,Relatório da Partida,
6,dom,2020-10-18,14:00 (09:00),Athletic Club,2.3,2–0,0.3,Levante,,San Mamés,Alberola Rojas,Relatório da Partida,
6,dom,2020-10-18,16:00 (11:00),Villarreal,1.5,2–1,0.6,Valencia,,Estadio de la Cerámica,Carlos del Cerro,Relatório da Partida,
6,dom,2020-10-18,18:30 (13:30),Huesca,1.1,2–2,1.0,Valladolid,,Estadio El Alcoraz,Jorge Figueroa,Relatório da Partida,
6,dom,2020-10-18,18:30 (13:30),Alavés,1.7,0–2,0.8,Elche,,Estadio de Mendizorroza,Adrián Cordero,Relatório da Partida,
6,dom,2020-10-18,21:00 (16:00),Betis,0.4,0–3,1.7,Real Sociedad,,Estadio Benito Villamarín,Javier Estrada,Relatório da Partida,
,,,,,,,,,,,,,
7,sex,2020-10-23,21:00 (16:00),Elche,0.1,2–1,1.6,Valencia,,Estadio Manuel Martínez Valero,César Soto,Relatório da Partida,
7,sáb,2020-10-24,16:00 (11:00),Barcelona,1.8,1–3,3.0,Real Madrid,,Camp Nou,Juan Martínez,Relatório da Partida,
7,sáb,2020-10-24,18:30 (13:30),Osasuna,1.2,1–0,0.7,Athletic Club,,Estadio El Sadar,Guillermo Cuadra,Relatório da Partida,
7,sáb,2020-10-24,18:30 (13:30),Sevilla,1.7,0–1,0.2,Eibar,,Estadio Ramón Sánchez Pizjuán,Alejandro Hernández,Relatório da Partida,
7,sáb,2020-10-24,21:00 (16:00),Atlético Madrid,1.4,2–0,1.1,Betis,,Estadio Wanda Metropolitano,Antonio Matéu Lahoz,Relatório da Partida,
7,dom,2020-10-25,14:00 (10:00),Valladolid,0.3,0–2,2.5,Alavés,,Estadio Municipal José Zorrilla,José Luis Munuera,Relatório da Partida,
7,dom,2020-10-25,16:00 (12:00),Cádiz,0.2,0–0,0.8,Villarreal,,Estadio Nuevo Mirandilla,Ricardo de Burgos,Relatório da Partida,
7,dom,2020-10-25,18:30 (14:30),Getafe,0.9,0–1,1.1,Granada,,Coliseum Alfonso Pérez,Jesús Gil,Relatório da Partida,
7,dom,2020-10-25,21:00 (17:00),Real Sociedad,2.5,4–1,0.5,Huesca,,Estadio Municipal de Anoeta,Isidro Díaz de Mera,Relatório da Partida,
7,seg,2020-10-26,21:00 (17:00),Levante,1.2,1–1,0.8,Celta Vigo,,Estadio Ciudad de Valencia,Mario Melero,Relatório da Partida,
,,,,,,,,,,,,,
8,sex,2020-10-30,21:00 (17:00),Eibar,0.5,0–2,1.0,Cádiz,,Estadio Municipal de Ipurúa,Antonio Matéu Lahoz,Relatório da Partida,
8,sáb,2020-10-31,14:00 (10:00),Real Madrid,2.3,4–1,1.0,Huesca,,Estadio Alfredo Di Stéfano,Pablo González,Relatório da Partida,
8,sáb,2020-10-31,16:15 (12:15),Athletic Club,1.2,2–1,1.1,Sevilla,,San Mamés,Carlos del Cerro,Relatório da Partida,
8,sáb,2020-10-31,18:30 (14:30),Osasuna,1.1,1–3,2.8,Atlético Madrid,,Estadio El Sadar,Javier Estrada,Relatório da Partida,
8,sáb,2020-10-31,21:00 (17:00),Alavés,1.2,1–1,1.9,Barcelona,,Estadio de Mendizorroza,Alejandro Hernández,Relatório da Partida,
8,dom,2020-11-01,14:00 (10:00),Betis,3.2,3–1,0.7,Elche,,Estadio Benito Villamarín,David Medié,Relatório da Partida,
8,dom,2020-11-01,16:00 (12:00),Celta Vigo,1.6,1–4,2.0,Real Sociedad,,Estadio de Balaídos,Adrián Cordero,Relatório da Partida,
8,dom,2020-11-01,18:30 (14:30),Granada,0.2,1–1,0.9,Levante,,Estadio Nuevo Los Cármenes,Santiago Jaime,Relatório da Partida,
8,dom,2020-11-01,21:00 (17:00),Valencia,1.4,2–2,2.4,Getafe,,Estadio de Mestalla,Jorge Figueroa,Relatório da Partida,
8,seg,2020-11-02,21:00 (17:00),Villarreal,1.8,2–0,0.7,Valladolid,,Estadio de la Cerámica,Alberola Rojas,Relatório da Partida,
,,,,,,,,,,,,,
9,sex,2020-11-06,21:00 (17:00),Elche,1.5,1–1,2.1,Celta Vigo,,Estadio Manuel Martínez Valero,Ricardo de Burgos,Relatório da Partida,
9,sáb,2020-11-07,14:00 (10:00),Huesca,2.2,1–1,0.9,Eibar,,Estadio El Alcoraz,Mario Melero,Relatório da Partida,
