Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
6,sáb,2012-09-29,,Málaga,4–0,Betis,,La Rosaleda,Estrada Fernández,Relatório da Partida,
6,sáb,2012-09-29,,Valencia,2–0,Zaragoza,,Mestalla,Pérez Montero,Relatório da Partida,
6,sáb,2012-09-29,,Sevilla,2–3,Barcelona,,Ramón Sánchez Pizjuán,Mateu Lahoz,Relatório da Partida,
6,dom,2012-09-30,,Osasuna,4–0,Levante,,Reyno de Navarra,Álvarez Izquierdo,Relatório da Partida,
6,dom,2012-09-30,,Real Madrid,5–1,La Coruña,,Santiago Bernabéu,Ayza Gámez,Relatório da Partida,
6,dom,2012-09-30,,Granada,2–1,Celta Vigo,,Nuevo Los Cármenes,Velasco Carballo,Relatório da Partida,
6,dom,2012-09-30,,Espanyol,0–1,Atlético Madrid,,Cornellá - El Prat,Iglesias Villanueva,Relatório da Partida,
6,dom,2012-09-30,,Valladolid,6–1,Rayo Vallecano,,José Zorrilla,Gil Manzano,Relatório da Partida,
6,seg,2012-10-01,,Getafe,1–0,Mallorca,,Coliseum Alfonso Pérez,Paradas Romero,Relatório da Partida,
,,,,,,,,,,,
7,sex,2012-10-05,,Celta Vigo,2–0,Sevilla,,Balaídos,Gil Manzano,Relatório da Partida,
7,sáb,2012-10-06,,Betis,2–0,Real Sociedad,,Benito Villamarín,Teixeira Vitienes,Relatório da Partida,
7,sáb,2012-10-06,,Rayo Vallecano,2–1,La Coruña,,Estadio de Vallecas Teresa Rivero,Pérez Montero,Relatório da Partida,
7,sáb,2012-10-06,,Valladolid,1–1,Espanyol,,José Zorrilla,Fernández Borbalán,Relatório da Partida,
7,sáb,2012-10-06,,Zaragoza,0–1,Getafe,,La Romareda,Muñiz Fernández,Relatório da Partida,
7,dom,2012-10-07,,Athletic Club,1–0,Osasuna,,San Mamés,González González,Relatório da Partida,
7,dom,2012-10-07,,Mallorca,1–2,Granada,,Son Moix,Hernández Hernández,Relatório da Partida,
7,dom,2012-10-07,,Barcelona,2–2,Real Madrid,,Camp Nou,Delgado Ferreiro,Relatório da Partida,
7,dom,2012-10-07,,Atlético Madrid,2–1,Málaga,,Vicente Calderón,Pérez Lasa,Relatório da Partida,
7,dom,2012-10-07,,Levante,1–0,Valencia,,Ciutat de Valencia,Del Cerro Grande,Relatório da Partida,
,,,,,,,,,,,
8,sáb,2012-10-20,,Valencia,3–2,Athletic Club,,Mestalla,Undiano Mallenco,Relatório da Partida,
8,sáb,2012-10-20,,Real Madrid,2–0,Celta Vigo,,Santiago Bernabéu,Clos Gómez,Relatório da Partida,
8,sáb,2012-10-20,,Málaga,2–1,Valladolid,,La Rosaleda,Iglesias Villanueva,Relatório da Partida,
8,sáb,2012-10-20,,La Coruña,4–5,Barcelona,,Riazor,Paradas Romero,Relatório da Partida,
8,dom,2012-10-21,,Real Sociedad,0–1,Atlético Madrid,,Anoeta,Ayza Gámez,Relatório da Partida,
8,dom,2012-10-21,,Espanyol,3–2,Rayo Vallecano,,Cornellá - El Prat,Teixeira Vitienes,Relatório da Partida,
8,dom,2012-10-21,,Granada,1–2,Zaragoza,,Nuevo Los Cármenes,Teixeira Vitienes,Relatório da Partida,
8,dom,2012-10-21,,Getafe,0–1,Levante,,Coliseum Alfonso Pérez,Pérez Montero,Relatório da Partida,
8,dom,2012-10-21,,Osasuna,0–0,Betis,,Reyno de Navarra,Velasco Carballo,Relatório da Partida,
8,seg,2012-10-22,,Sevilla,3–2,Mallorca,,Ramón Sánchez Pizjuán,Estrada Fernández,Relatório da Partida,
,,,,,,,,,,,
9,sáb,2012-10-27,,Rayo Vallecano,0–5,Barcelona,,Estadio de Vallecas Teresa Rivero,Pérez Lasa,Relatório da Partida,
9,sáb,2012-10-27,,Espanyol,0–0,Málaga,,Cornellá - El Prat,Delgado Ferreiro,Relatório da Partida,
9,sáb,2012-10-27,,Celta Vigo,1–1,La Coruña,,Balaídos,Undiano Mallenco,Relatório da Partida,
9,sáb,2012-10-27,,Betis,1–0,Valencia,,Benito Villamarín,Hernández Hernández,Relatório da Partida,
9,dom,2012-10-28,,Atlético Madrid,3–1,Osasuna,,Vicente Calderón,Mateu Lahoz,Relatório da Partida,
9,dom,2012-10-28,,Athletic Club,1–2,Getafe,,San Mamés,Gil Manzano,Relatório da Partida,
9,dom,2012-10-28,,Mallorca,0–5,Real Madrid,,Son Moix,González González,Relatório da Partida,
9,dom,2012-10-28,,Zaragoza,2–1,Sevilla,,La Romareda,Del Cerro Grande,Relatório da Partida,
9,dom,2012-10-28,,Levante,3–1,Granada,,Ciutat de Valencia,Iglesias Villanueva,Relatório da Partida,
9,seg,2012-10-29,,Valladolid,2–2,Real Sociedad,,José Zorrilla,Álvarez Izquierdo,Relatório da Partida,
,,,,,,,,,,,
10,sáb,2012-11-03,,Málaga,1–2,Rayo Vallecano,,La Rosaleda,Teixeira Vitienes,Relatório da Partida,
10,sáb,2012-11-03,,Barcelona,3–1,Celta Vigo,,Camp Nou,Fernández Borbalán,Relatório da Partida,
10,sáb,2012-11-03,,Valencia,2–0,Atlético Madrid,,Mestalla,Teixeira Vitienes,Relatório da Partida,
10,sáb,2012-11-03,,Real Madrid,4–0,Zaragoza,,Santiago Bernabéu,Estrada Fernández,Relatório da Partida,
10,dom,2012-11-04,,Granada,1–2,Athletic Club,,Nuevo Los Cármenes,Muñiz Fernández,Relatório da Partida,
