Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
1,sáb,2005-08-27,,Alavés,0–0,Barcelona,,Mendizorroza,Teixeira Vitienes,Relatório da Partida,
1,sáb,2005-08-27,,Valencia,1–0,Betis,,Mestalla,Rodríguez Santiago,Relatório da Partida,
1,sáb,2005-08-27,,Athletic Club,3–0,Real Sociedad,,San Mamés,Mejuto González,Relatório da Partida,
1,dom,2005-08-28,,Atlético Madrid,0–0,Zaragoza,,Vicente Calderón,Iturralde González,Relatório da Partida,
1,dom,2005-08-28,,Espanyol,0–2,Getafe,,Olímpic Lluís Companys,Ayza Gámez,Relatório da Partida,
1,dom,2005-08-28,,Celta Vigo,2–0,Málaga,,Estadio de Balaídos,Muñiz Fernández,Relatório da Partida,
1,dom,2005-08-28,,Osasuna,2–1,Villarreal,,El Sadar,Pérez Burrull,Relatório da Partida,
1,dom,2005-08-28,,Mallorca,0–1,La Coruña,,Son Moix,Rubinos Pérez,Relatório da Partida,
1,dom,2005-08-28,,Sevilla,1–0,Racing Sant,,Ramón Sánchez Pizjuán,Velasco Carballo,Relatório da Partida,
1,dom,2005-08-28,,Cádiz,1–2,Real Madrid,,Ramón de Carranza,Pérez Lasa,Relatório da Partida,
,,,,,,,,,,,
2,sáb,2005-09-10,,Real Madrid,2–3,Celta Vigo,,Santiago Bernabéu,Ramírez Domínguez,Relatório da Partida,
2,sáb,2005-09-10,,Betis,1–0,Osasuna,,Manuel Ruiz de Lopera,Pérez Lima,Relatório da Partida,
2,sáb,2005-09-10,,La Coruña,1–0,Atlético Madrid,,Nuevo Riazor,Daudén Ibáñez,Relatório da Partida,
2,dom,2005-09-11,,Racing Sant,0–1,Cádiz,,Campos de Sport del Sardinero,Turienzo Álvarez,Relatório da Partida,
2,dom,2005-09-11,,Real Sociedad,2–1,Alavés,,Anoeta,Pino Zamorano,Relatório da Partida,
2,dom,2005-09-11,,Barcelona,2–0,Mallorca,,Nou Camp,González Vázquez,Relatório da Partida,
2,dom,2005-09-11,,Getafe,1–1,Athletic Club,,Coliseum Alfonso Pérez,Fernández Borbalán,Relatório da Partida,
2,dom,2005-09-11,,Villarreal,1–1,Sevilla,,El Madrigal,Megía Dávila,Relatório da Partida,
2,dom,2005-09-11,,Zaragoza,2–2,Valencia,,La Romareda,Undiano Mallenco,Relatório da Partida,
2,dom,2005-09-11,,Málaga,1–2,Espanyol,,La Rosaleda,Lizondo Cortés,Relatório da Partida,
,,,,,,,,,,,
3,sáb,2005-09-17,,Valencia,2–2,La Coruña,,Mestalla,Iturralde González,Relatório da Partida,
3,sáb,2005-09-17,,Mallorca,5–2,Real Sociedad,,Son Moix,Ayza Gámez,Relatório da Partida,
3,dom,2005-09-18,,Osasuna,1–0,Sevilla,,El Sadar,Pérez Lasa,Relatório da Partida,
3,dom,2005-09-18,,Athletic Club,1–2,Málaga,,San Mamés,Pérez Burrull,Relatório da Partida,
3,dom,2005-09-18,,Espanyol,1–0,Real Madrid,,Olímpic Lluís Companys,Rodríguez Santiago,Relatório da Partida,
3,dom,2005-09-18,,Atlético Madrid,2–1,Barcelona,,Vicente Calderón,Medina Cantalejo,Relatório da Partida,
3,dom,2005-09-18,,Betis,0–0,Zaragoza,,Manuel Ruiz de Lopera,Teixeira Vitienes,Relatório da Partida,
3,dom,2005-09-18,,Celta Vigo,0–1,Racing Sant,,Estadio de Balaídos,Rubinos Pérez,Relatório da Partida,
3,dom,2005-09-18,,Cádiz,1–1,Villarreal,,Ramón de Carranza,Velasco Carballo,Relatório da Partida,
3,dom,2005-09-18,,Alavés,3–4,Getafe,,Mendizorroza,Muñiz Fernández,Relatório da Partida,
,,,,,,,,,,,
4,qua,2005-09-21,,Sevilla,0–0,Cádiz,,Ramón Sánchez Pizjuán,Daudén Ibáñez,Relatório da Partida,
4,qua,2005-09-21,,La Coruña,1–1,Betis,,Nuevo Riazor,Megía Dávila,Relatório da Partida,
4,qua,2005-09-21,,Barcelona,2–2,Valencia,,Nou Camp,Mejuto González,Relatório da Partida,
