Rk;Player;Nation;Pos;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;Int;TklW;PKwon;PKcon;OG;Recov;Won;Lost
66;Darío Benedetto;arARG;FW,MF;Elche;31;1990;6.6;1;0;0;3;6;3;6;1;1;0.0;0.0;0;12.0;10.0;14.0
67;Iker Benito;esESP;FW,MF;Osasuna;18;2002;1.3;1;0;0;1;3;0;4;0;1;0.0;0.0;0;4.0;1.0;1.0
68;Pedro Benito;esESP;FW;Cádiz;21;2000;0.3;0;0;0;3;0;0;1;0;0;0.0;0.0;0;0.0;0.0;4.0
69;Karim Benzema;frFRA;FW;Real Madrid;33;1987;28.8;0;0;0;13;9;31;10;4;9;0.0;0.0;0;44.0;18.0;30.0
70;Yuri Berchiche;esESP;DF;Athletic Club;31;1990;11.3;3;0;0;7;19;0;33;13;11;0.0;0.0;0;81.0;21.0;8.0
71;Álex Berenguer;esESP;MF;Athletic Club;26;1995;24.1;8;0;0;44;46;14;145;16;26;0.0;0.0;0;105.0;49.0;58.0
72;Pedro Bigas;esESP;DF;Elche;30;1990;17.2;6;0;0;16;11;0;2;18;10;0.0;0.0;0;73.0;35.0;11.0
73;Blanco;esESP;MF;Real Madrid;21;2000;0.3;0;0;0;1;0;0;0;1;0;0.0;0.0;0;4.0;0.0;1.0
74;Yassine Bounou;maMAR;GK;Sevilla;30;1991;31.0;2;0;0;0;3;0;0;0;0;0.0;0.0;0;29.0;7.0;1.0
75;Lucas Boyé;arARG;FW;Elche;25;1996;19.0;3;0;0;39;40;13;7;2;13;0.0;0.0;0;65.0;31.0;53.0
76;Martin Braithwaite;dkDEN;FW;Barcelona;30;1991;2.6;0;0;0;5;2;2;2;1;1;0.0;0.0;0;7.0;3.0;6.0
77;Darko Brašanac;rsSRB;MF;Osasuna;29;1992;26.7;8;0;0;52;24;9;27;25;22;0.0;0.0;0;143.0;33.0;59.0
78;Claudio Bravo;clCHI;GK;Betis;38;1983;16.2;2;0;0;1;1;0;0;0;0;0.0;1.0;0;20.0;6.0;1.0
79;Yan Brice Eteki;cmCMR;MF;Granada;23;1997;3.8;3;0;0;18;5;0;0;4;3;0.0;0.0;0;21.0;7.0;7.0
