Data;Em casa;Resultado;Visitante;Relatório da Partida;Season;home_goal;away_goal
2013-08-17;Liverpool;1–0;Stoke City;Relatório da Partida;2013;1;0
2013-08-17;Norwich City;2–2;Everton;Relatório da Partida;2013;2;2
2013-08-17;Swansea City;1–4;Manchester Utd;Relatório da Partida;2013;1;4
2013-08-17;West Ham;2–0;Cardiff City;Relatório da Partida;2013;2;0
2013-08-17;West Brom;0–1;Southampton;Relatório da Partida;2013;0;1
2013-08-17;Sunderland;0–1;Fulham;Relatório da Partida;2013;0;1
2013-08-17;Arsenal;1–3;Aston Villa;Relatório da Partida;2013;1;3
2013-08-18;Crystal Palace;0–1;Tottenham;Relatório da Partida;2013;0;1
2013-08-18;Chelsea;2–0;Hull City;Relatório da Partida;2013;2;0
2013-08-19;Manchester City;4–0;Newcastle Utd;Relatório da Partida;2013;4;0
2013-08-21;Chelsea;2–1;Aston Villa;Relatório da Partida;2013;2;1
2013-08-24;Stoke City;2–1;Crystal Palace;Relatório da Partida;2013;2;1
2013-08-24;Newcastle Utd;0–0;West Ham;Relatório da Partida;2013;0;0
2013-08-24;Hull City;1–0;Norwich City;Relatório da Partida;2013;1;0
2013-08-24;Everton;0–0;West Brom;Relatório da Partida;2013;0;0
2013-08-24;Fulham;1–3;Arsenal;Relatório da Partida;2013;1;3
2013-08-24;Southampton;1–1;Sunderland;Relatório da Partida;2013;1;1
2013-08-24;Aston Villa;0–1;Liverpool;Relatório da Partida;2013;0;1
2013-08-25;Tottenham;1–0;Swansea City;Relatório da Partida;2013;1;0
2013-08-25;Cardiff City;3–2;Manchester City;Relatório da Partida;2013;3;2
2013-08-26;Manchester Utd;0–0;Chelsea;Relatório da Partida;2013;0;0
2013-08-31;West Ham;0–1;Stoke City;Relatório da Partida;2013;0;1
2013-08-31;Norwich City;1–0;Southampton;Relatório da Partida;2013;1;0
2013-08-31;Crystal Palace;3–1;Sunderland;Relatório da Partida;2013;3;1
2013-08-31;Cardiff City;0–0;Everton;Relatório da Partida;2013;0;0
2013-08-31;Manchester City;2–0;Hull City;Relatório da Partida;2013;2;0
2013-08-31;Newcastle Utd;1–0;Fulham;Relatório da Partida;2013;1;0
2013-09-01;Arsenal;1–0;Tottenham;Relatório da Partida;2013;1;0
2013-09-01;Liverpool;1–0;Manchester Utd;Relatório da Partida;2013;1;0
2013-09-01;West Brom;0–2;Swansea City;Relatório da Partida;2013;0;2
2013-09-14;Stoke City;0–0;Manchester City;Relatório da Partida;2013;0;0
2013-09-14;Everton;1–0;Chelsea;Relatório da Partida;2013;1;0
2013-09-14;Sunderland;1–3;Arsenal;Relatório da Partida;2013;1;3
2013-09-14;Manchester Utd;2–0;Crystal Palace;Relatório da Partida;2013;2;0
2013-09-14;Fulham;1–1;West Brom;Relatório da Partida;2013;1;1
2013-09-14;Hull City;1–1;Cardiff City;Relatório da Partida;2013;1;1
2013-09-14;Tottenham;2–0;Norwich City;Relatório da Partida;2013;2;0
2013-09-14;Aston Villa;1–2;Newcastle Utd;Relatório da Partida;2013;1;2
2013-09-15;Southampton;0–0;West Ham;Relatório da Partida;2013;0;0
2013-09-16;Swansea City;2–2;Liverpool;Relatório da Partida;2013;2;2
2013-09-21;Newcastle Utd;2–3;Hull City;Relatório da Partida;2013;2;3
2013-09-21;Liverpool;0–1;Southampton;Relatório da Partida;2013;0;1
2013-09-21;West Ham;2–3;Everton;Relatório da Partida;2013;2;3
2013-09-21;West Brom;3–0;Sunderland;Relatório da Partida;2013;3;0
2013-09-21;Norwich City;0–1;Aston Villa;Relatório da Partida;2013;0;1
2013-09-21;Chelsea;2–0;Fulham;Relatório da Partida;2013;2;0
2013-09-22;Manchester City;4–1;Manchester Utd;Relatório da Partida;2013;4;1
2013-09-22;Arsenal;3–1;Stoke City;Relatório da Partida;2013;3;1
2013-09-22;Cardiff City;0–1;Tottenham;Relatório da Partida;2013;0;1
2013-09-22;Crystal Palace;0–2;Swansea City;Relatório da Partida;2013;0;2
2013-09-28;Aston Villa;3–2;Manchester City;Relatório da Partida;2013;3;2
2013-09-28;Southampton;2–0;Crystal Palace;Relatório da Partida;2013;2;0
2013-09-28;Tottenham;1–1;Chelsea;Relatório da Partida;2013;1;1
2013-09-28;Manchester Utd;1–2;West Brom;Relatório da Partida;2013;1;2
2013-09-28;Hull City;1–0;West Ham;Relatório da Partida;2013;1;0
2013-09-28;Fulham;1–2;Cardiff City;Relatório da Partida;2013;1;2
2013-09-28;Swansea City;1–2;Arsenal;Relatório da Partida;2013;1;2
2013-09-29;Sunderland;1–3;Liverpool;Relatório da Partida;2013;1;3
2013-09-29;Stoke City;0–1;Norwich City;Relatório da Partida;2013;0;1
2013-09-30;Everton;3–2;Newcastle Utd;Relatório da Partida;2013;3;2
2013-10-05;Cardiff City;1–2;Newcastle Utd;Relatório da Partida;2013;1;2
2013-10-05;Liverpool;3–1;Crystal Palace;Relatório da Partida;2013;3;1
2013-10-05;Hull City;0–0;Aston Villa;Relatório da Partida;2013;0;0
2013-10-05;Fulham;1–0;Stoke City;Relatório da Partida;2013;1;0
2013-10-05;Manchester City;3–1;Everton;Relatório da Partida;2013;3;1
