Data;Em casa;Resultado;Visitante;Relatório da Partida;Season;home_goal;away_goal
2011-08-13;QPR;0–4;Bolton;Relatório da Partida;2011;0;4
2011-08-13;Liverpool;1–1;Sunderland;Relatório da Partida;2011;1;1
2011-08-13;Wigan Athletic;1–1;Norwich City;Relatório da Partida;2011;1;1
2011-08-13;Fulham;0–0;Aston Villa;Relatório da Partida;2011;0;0
2011-08-13;Newcastle Utd;0–0;Arsenal;Relatório da Partida;2011;0;0
2011-08-13;Blackburn;1–2;Wolves;Relatório da Partida;2011;1;2
2011-08-14;West Brom;1–2;Manchester Utd;Relatório da Partida;2011;1;2
2011-08-14;Stoke City;0–0;Chelsea;Relatório da Partida;2011;0;0
2011-08-15;Manchester City;4–0;Swansea City;Relatório da Partida;2011;4;0
2011-08-20;Swansea City;0–0;Wigan Athletic;Relatório da Partida;2011;0;0
2011-08-20;Arsenal;0–2;Liverpool;Relatório da Partida;2011;0;2
2011-08-20;Chelsea;2–1;West Brom;Relatório da Partida;2011;2;1
2011-08-20;Aston Villa;3–1;Blackburn;Relatório da Partida;2011;3;1
2011-08-20;Everton;0–1;QPR;Relatório da Partida;2011;0;1
2011-08-20;Sunderland;0–1;Newcastle Utd;Relatório da Partida;2011;0;1
2011-08-21;Wolves;2–0;Fulham;Relatório da Partida;2011;2;0
2011-08-21;Bolton;2–3;Manchester City;Relatório da Partida;2011;2;3
2011-08-21;Norwich City;1–1;Stoke City;Relatório da Partida;2011;1;1
2011-08-22;Manchester Utd;3–0;Tottenham;Relatório da Partida;2011;3;0
2011-08-27;Aston Villa;0–0;Wolves;Relatório da Partida;2011;0;0
2011-08-27;Chelsea;3–1;Norwich City;Relatório da Partida;2011;3;1
2011-08-27;Liverpool;3–1;Bolton;Relatório da Partida;2011;3;1
2011-08-27;Swansea City;0–0;Sunderland;Relatório da Partida;2011;0;0
2011-08-27;Wigan Athletic;2–0;QPR;Relatório da Partida;2011;2;0
2011-08-27;Blackburn;0–1;Everton;Relatório da Partida;2011;0;1
2011-08-28;West Brom;0–1;Stoke City;Relatório da Partida;2011;0;1
2011-08-28;Tottenham;1–5;Manchester City;Relatório da Partida;2011;1;5
2011-08-28;Manchester Utd;8–2;Arsenal;Relatório da Partida;2011;8;2
2011-08-28;Newcastle Utd;2–1;Fulham;Relatório da Partida;2011;2;1
2011-09-10;Sunderland;1–2;Chelsea;Relatório da Partida;2011;1;2
2011-09-10;Arsenal;1–0;Swansea City;Relatório da Partida;2011;1;0
2011-09-10;Manchester City;3–0;Wigan Athletic;Relatório da Partida;2011;3;0
2011-09-10;Bolton;0–5;Manchester Utd;Relatório da Partida;2011;0;5
2011-09-10;Stoke City;1–0;Liverpool;Relatório da Partida;2011;1;0
2011-09-10;Wolves;0–2;Tottenham;Relatório da Partida;2011;0;2
2011-09-10;Everton;2–2;Aston Villa;Relatório da Partida;2011;2;2
2011-09-11;Fulham;1–1;Blackburn;Relatório da Partida;2011;1;1
