Data;Em casa;Resultado;Visitante;Relatório da Partida;Season;home_goal;away_goal
2020-09-12;Fulham;0–3;Arsenal;Relatório da Partida;2020;0;3
2020-09-12;Crystal Palace;1–0;Southampton;Relatório da Partida;2020;1;0
2020-09-12;Liverpool;4–3;Leeds United;Relatório da Partida;2020;4;3
2020-09-12;West Ham;0–2;Newcastle Utd;Relatório da Partida;2020;0;2
2020-09-13;West Brom;0–3;Leicester City;Relatório da Partida;2020;0;3
2020-09-13;Tottenham;0–1;Everton;Relatório da Partida;2020;0;1
2020-09-14;Sheffield Utd;0–2;Wolves;Relatório da Partida;2020;0;2
2020-09-14;Brighton;1–3;Chelsea;Relatório da Partida;2020;1;3
2020-09-19;Everton;5–2;West Brom;Relatório da Partida;2020;5;2
2020-09-19;Leeds United;4–3;Fulham;Relatório da Partida;2020;4;3
2020-09-19;Manchester Utd;1–3;Crystal Palace;Relatório da Partida;2020;1;3
2020-09-19;Arsenal;2–1;West Ham;Relatório da Partida;2020;2;1
2020-09-20;Southampton;2–5;Tottenham;Relatório da Partida;2020;2;5
2020-09-20;Newcastle Utd;0–3;Brighton;Relatório da Partida;2020;0;3
2020-09-20;Chelsea;0–2;Liverpool;Relatório da Partida;2020;0;2
2020-09-20;Leicester City;4–2;Burnley;Relatório da Partida;2020;4;2
2020-09-21;Aston Villa;1–0;Sheffield Utd;Relatório da Partida;2020;1;0
2020-09-21;Wolves;1–3;Manchester City;Relatório da Partida;2020;1;3
2020-09-26;Brighton;2–3;Manchester Utd;Relatório da Partida;2020;2;3
2020-09-26;Crystal Palace;1–2;Everton;Relatório da Partida;2020;1;2
2020-09-26;West Brom;3–3;Chelsea;Relatório da Partida;2020;3;3
2020-09-26;Burnley;0–1;Southampton;Relatório da Partida;2020;0;1
2020-09-27;Sheffield Utd;0–1;Leeds United;Relatório da Partida;2020;0;1
2020-09-27;Tottenham;1–1;Newcastle Utd;Relatório da Partida;2020;1;1
2020-09-27;Manchester City;2–5;Leicester City;Relatório da Partida;2020;2;5
2020-09-27;West Ham;4–0;Wolves;Relatório da Partida;2020;4;0
2020-09-28;Fulham;0–3;Aston Villa;Relatório da Partida;2020;0;3
2020-09-28;Liverpool;3–1;Arsenal;Relatório da Partida;2020;3;1
2020-10-03;Chelsea;4–0;Crystal Palace;Relatório da Partida;2020;4;0
2020-10-03;Everton;4–2;Brighton;Relatório da Partida;2020;4;2
2020-10-03;Leeds United;1–1;Manchester City;Relatório da Partida;2020;1;1
2020-10-03;Newcastle Utd;3–1;Burnley;Relatório da Partida;2020;3;1
2020-10-04;Southampton;2–0;West Brom;Relatório da Partida;2020;2;0
2020-10-04;Leicester City;0–3;West Ham;Relatório da Partida;2020;0;3
2020-10-04;Arsenal;2–1;Sheffield Utd;Relatório da Partida;2020;2;1
2020-10-04;Wolves;1–0;Fulham;Relatório da Partida;2020;1;0
2020-10-04;Manchester Utd;1–6;Tottenham;Relatório da Partida;2020;1;6
2020-10-04;Aston Villa;7–2;Liverpool;Relatório da Partida;2020;7;2
2020-10-17;Everton;2–2;Liverpool;Relatório da Partida;2020;2;2
2020-10-17;Chelsea;3–3;Southampton;Relatório da Partida;2020;3;3
2020-10-17;Manchester City;1–0;Arsenal;Relatório da Partida;2020;1;0
