Data;Em casa;Resultado;Visitante;Relatório da Partida;Season;home_goal;away_goal
2017-12-13;Manchester Utd;1–0;Bournemouth;Relatório da Partida;2017;1;0
2017-12-16;Leicester City;0–3;Crystal Palace;Relatório da Partida;2017;0;3
2017-12-16;Watford;1–4;Huddersfield;Relatório da Partida;2017;1;4
2017-12-16;Arsenal;1–0;Newcastle Utd;Relatório da Partida;2017;1;0
2017-12-16;Brighton;0–0;Burnley;Relatório da Partida;2017;0;0
2017-12-16;Chelsea;1–0;Southampton;Relatório da Partida;2017;1;0
2017-12-16;Stoke City;0–3;West Ham;Relatório da Partida;2017;0;3
2017-12-16;Manchester City;4–1;Tottenham;Relatório da Partida;2017;4;1
2017-12-17;West Brom;1–2;Manchester Utd;Relatório da Partida;2017;1;2
2017-12-17;Bournemouth;0–4;Liverpool;Relatório da Partida;2017;0;4
2017-12-18;Everton;3–1;Swansea City;Relatório da Partida;2017;3;1
2017-12-22;Arsenal;3–3;Liverpool;Relatório da Partida;2017;3;3
2017-12-23;Everton;0–0;Chelsea;Relatório da Partida;2017;0;0
2017-12-23;Stoke City;3–1;West Brom;Relatório da Partida;2017;3;1
2017-12-23;Brighton;1–0;Watford;Relatório da Partida;2017;1;0
2017-12-23;Swansea City;1–1;Crystal Palace;Relatório da Partida;2017;1;1
2017-12-23;Southampton;1–1;Huddersfield;Relatório da Partida;2017;1;1
2017-12-23;Manchester City;4–0;Bournemouth;Relatório da Partida;2017;4;0
2017-12-23;West Ham;2–3;Newcastle Utd;Relatório da Partida;2017;2;3
2017-12-23;Burnley;0–3;Tottenham;Relatório da Partida;2017;0;3
2017-12-23;Leicester City;2–2;Manchester Utd;Relatório da Partida;2017;2;2
2017-12-26;Tottenham;5–2;Southampton;Relatório da Partida;2017;5;2
2017-12-26;Bournemouth;3–3;West Ham;Relatório da Partida;2017;3;3
2017-12-26;Watford;2–1;Leicester City;Relatório da Partida;2017;2;1
2017-12-26;West Brom;0–0;Everton;Relatório da Partida;2017;0;0
2017-12-26;Manchester Utd;2–2;Burnley;Relatório da Partida;2017;2;2
2017-12-26;Huddersfield;1–1;Stoke City;Relatório da Partida;2017;1;1
2017-12-26;Chelsea;2–0;Brighton;Relatório da Partida;2017;2;0
2017-12-26;Liverpool;5–0;Swansea City;Relatório da Partida;2017;5;0
2017-12-27;Newcastle Utd;0–1;Manchester City;Relatório da Partida;2017;0;1
