Data;Em casa;Resultado;Visitante;Relatório da Partida;Season;home_goal;away_goal
2006-08-19;Bolton;2–0;Tottenham;Relatório da Partida;2006;2;0
2006-08-19;Everton;2–1;Watford;Relatório da Partida;2006;2;1
2006-08-19;Reading;3–2;Middlesbrough;Relatório da Partida;2006;3;2
2006-08-19;Arsenal;1–1;Aston Villa;Relatório da Partida;2006;1;1
2006-08-19;West Ham;3–1;Charlton Ath;Relatório da Partida;2006;3;1
2006-08-19;Newcastle Utd;2–1;Wigan Athletic;Relatório da Partida;2006;2;1
2006-08-19;Portsmouth;3–0;Blackburn;Relatório da Partida;2006;3;0
2006-08-19;Sheffield Utd;1–1;Liverpool;Relatório da Partida;2006;1;1
2006-08-20;Chelsea;3–0;Manchester City;Relatório da Partida;2006;3;0
2006-08-20;Manchester Utd;5–1;Fulham;Relatório da Partida;2006;5;1
2006-08-22;Watford;1–1;West Ham;Relatório da Partida;2006;1;1
2006-08-22;Tottenham;2–0;Sheffield Utd;Relatório da Partida;2006;2;0
2006-08-23;Middlesbrough;2–1;Chelsea;Relatório da Partida;2006;2;1
2006-08-23;Fulham;1–1;Bolton;Relatório da Partida;2006;1;1
2006-08-23;Aston Villa;2–1;Reading;Relatório da Partida;2006;2;1
2006-08-23;Blackburn;1–1;Everton;Relatório da Partida;2006;1;1
2006-08-23;Charlton Ath;0–3;Manchester Utd;Relatório da Partida;2006;0;3
2006-08-23;Manchester City;0–0;Portsmouth;Relatório da Partida;2006;0;0
2006-08-26;Tottenham;0–2;Everton;Relatório da Partida;2006;0;2
2006-08-26;Watford;1–2;Manchester Utd;Relatório da Partida;2006;1;2
2006-08-26;Manchester City;1–0;Arsenal;Relatório da Partida;2006;1;0
2006-08-26;Wigan Athletic;1–0;Reading;Relatório da Partida;2006;1;0
2006-08-26;Liverpool;2–1;West Ham;Relatório da Partida;2006;2;1
2006-08-26;Fulham;1–0;Sheffield Utd;Relatório da Partida;2006;1;0
2006-08-26;Charlton Ath;2–0;Bolton;Relatório da Partida;2006;2;0
2006-08-27;Aston Villa;2–0;Newcastle Utd;Relatório da Partida;2006;2;0
2006-08-27;Blackburn;0–2;Chelsea;Relatório da Partida;2006;0;2
2006-08-28;Middlesbrough;0–4;Portsmouth;Relatório da Partida;2006;0;4
