Data;Em casa;Resultado;Visitante;Relatório da Partida;Season;home_goal;away_goal
2007-08-11;Middlesbrough;1–2;Blackburn;Relatório da Partida;2007;1;2
2007-08-11;Everton;2–1;Wigan Athletic;Relatório da Partida;2007;2;1
2007-08-11;West Ham;0–2;Manchester City;Relatório da Partida;2007;0;2
2007-08-11;Bolton;1–3;Newcastle Utd;Relatório da Partida;2007;1;3
2007-08-11;Aston Villa;1–2;Liverpool;Relatório da Partida;2007;1;2
2007-08-11;Sunderland;1–0;Tottenham;Relatório da Partida;2007;1;0
2007-08-11;Derby County;2–2;Portsmouth;Relatório da Partida;2007;2;2
2007-08-12;Manchester Utd;0–0;Reading;Relatório da Partida;2007;0;0
2007-08-12;Arsenal;2–1;Fulham;Relatório da Partida;2007;2;1
2007-08-12;Chelsea;3–2;Birmingham City;Relatório da Partida;2007;3;2
2007-08-14;Tottenham;1–3;Everton;Relatório da Partida;2007;1;3
2007-08-15;Birmingham City;2–2;Sunderland;Relatório da Partida;2007;2;2
2007-08-15;Portsmouth;1–1;Manchester Utd;Relatório da Partida;2007;1;1
2007-08-15;Fulham;2–1;Bolton;Relatório da Partida;2007;2;1
2007-08-15;Manchester City;1–0;Derby County;Relatório da Partida;2007;1;0
2007-08-15;Wigan Athletic;1–0;Middlesbrough;Relatório da Partida;2007;1;0
2007-08-15;Reading;1–2;Chelsea;Relatório da Partida;2007;1;2
2007-08-18;Birmingham City;0–1;West Ham;Relatório da Partida;2007;0;1
2007-08-18;Tottenham;4–0;Derby County;Relatório da Partida;2007;4;0
2007-08-18;Portsmouth;3–1;Bolton;Relatório da Partida;2007;3;1
2007-08-18;Fulham;1–2;Middlesbrough;Relatório da Partida;2007;1;2
2007-08-18;Wigan Athletic;3–0;Sunderland;Relatório da Partida;2007;3;0
2007-08-18;Newcastle Utd;0–0;Aston Villa;Relatório da Partida;2007;0;0
2007-08-18;Reading;1–0;Everton;Relatório da Partida;2007;1;0
2007-08-19;Manchester City;1–0;Manchester Utd;Relatório da Partida;2007;1;0
2007-08-19;Liverpool;1–1;Chelsea;Relatório da Partida;2007;1;1
2007-08-19;Blackburn;1–1;Arsenal;Relatório da Partida;2007;1;1
2007-08-25;Arsenal;1–0;Manchester City;Relatório da Partida;2007;1;0
2007-08-25;Sunderland;0–2;Liverpool;Relatório da Partida;2007;0;2
2007-08-25;Chelsea;1–0;Portsmouth;Relatório da Partida;2007;1;0
2007-08-25;West Ham;1–1;Wigan Athletic;Relatório da Partida;2007;1;1
2007-08-25;Aston Villa;2–1;Fulham;Relatório da Partida;2007;2;1
2007-08-25;Bolton;3–0;Reading;Relatório da Partida;2007;3;0
2007-08-25;Derby County;1–2;Birmingham City;Relatório da Partida;2007;1;2
2007-08-25;Everton;1–1;Blackburn;Relatório da Partida;2007;1;1
2007-08-26;Manchester Utd;1–0;Tottenham;Relatório da Partida;2007;1;0
2007-08-26;Middlesbrough;2–2;Newcastle Utd;Relatório da Partida;2007;2;2
2007-09-01;Middlesbrough;2–0;Birmingham City;Relatório da Partida;2007;2;0
2007-09-01;Manchester Utd;1–0;Sunderland;Relatório da Partida;2007;1;0
2007-09-01;Newcastle Utd;1–0;Wigan Athletic;Relatório da Partida;2007;1;0
2007-09-01;Bolton;1–2;Everton;Relatório da Partida;2007;1;2
2007-09-01;Liverpool;6–0;Derby County;Relatório da Partida;2007;6;0
2007-09-01;Reading;0–3;West Ham;Relatório da Partida;2007;0;3
2007-09-01;Fulham;3–3;Tottenham;Relatório da Partida;2007;3;3
2007-09-02;Aston Villa;2–0;Chelsea;Relatório da Partida;2007;2;0
2007-09-02;Arsenal;3–1;Portsmouth;Relatório da Partida;2007;3;1
2007-09-02;Blackburn;1–0;Manchester City;Relatório da Partida;2007;1;0
2007-09-15;West Ham;3–0;Middlesbrough;Relatório da Partida;2007;3;0
2007-09-15;Birmingham City;1–0;Bolton;Relatório da Partida;2007;1;0
2007-09-15;Portsmouth;0–0;Liverpool;Relatório da Partida;2007;0;0
2007-09-15;Chelsea;0–0;Blackburn;Relatório da Partida;2007;0;0
2007-09-15;Tottenham;1–3;Arsenal;Relatório da Partida;2007;1;3
2007-09-15;Sunderland;2–1;Reading;Relatório da Partida;2007;2;1
2007-09-15;Wigan Athletic;1–1;Fulham;Relatório da Partida;2007;1;1
2007-09-15;Everton;0–1;Manchester Utd;Relatório da Partida;2007;0;1
2007-09-16;Manchester City;1–0;Aston Villa;Relatório da Partida;2007;1;0
2007-09-17;Derby County;1–0;Newcastle Utd;Relatório da Partida;2007;1;0
2007-09-22;Arsenal;5–0;Derby County;Relatório da Partida;2007;5;0
2007-09-22;Liverpool;0–0;Birmingham City;Relatório da Partida;2007;0;0
