Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
1,sáb,2008-08-09,,Auxerre,2–1,Nantes,,Stade Abbé Deschamps,Didier Falcone,Relatório da Partida,
1,sáb,2008-08-09,,Valenciennes,1–0,Saint-Étienne,,Stade Nungesser,Hervé Piccirillo,Relatório da Partida,
1,sáb,2008-08-09,,Bordeaux,2–1,Caen,,Stade Chaban,Philippe Kalt,Relatório da Partida,
1,sáb,2008-08-09,,Rennes,4–4,Marseille,,ROAZHON PARK,Thierry Auriac,Relatório da Partida,
1,sáb,2008-08-09,,Le Havre,1–0,Nice,,Stade Municipal Jules Deschaseaux,Lionel Jaffredo,Relatório da Partida,
1,sáb,2008-08-09,,Le Mans,0–1,Lorient,,Stade Omnisports Léon,Jean-Charles Cailleux,Relatório da Partida,
1,sáb,2008-08-09,,Sochaux,1–2,Grenoble,,Stade Bonal,Ruddy Buquet,Relatório da Partida,
1,sáb,2008-08-09,,Nancy,0–0,Lille,,Stade Marcel Picot,Tony Chapron,Relatório da Partida,
1,sáb,2008-08-09,,Monaco,1–0,Paris S-G,,Stade Louis II,Stéphane Bré,Relatório da Partida,
1,dom,2008-08-10,,Lyon,3–0,Toulouse,,Stade Municipal de Gerland,Fredy Fautrel,Relatório da Partida,
,,,,,,,,,,,
2,sáb,2008-08-16,,Toulouse,2–1,Le Havre,,Stadium,Bruno Coué,Relatório da Partida,
2,sáb,2008-08-16,,Saint-Étienne,2–1,Sochaux,,Stade Geoffroy,Jean-Charles Cailleux,Relatório da Partida,
2,sáb,2008-08-16,,Nantes,1–1,Monaco,,Stade de la Beaujoire,Bertrand Layec,Relatório da Partida,
2,sáb,2008-08-16,,Lille,1–3,Le Mans,,Stadium Lille Métropole,Stéphane Bré,Relatório da Partida,
2,sáb,2008-08-16,,Paris S-G,1–0,Bordeaux,,Parc des Princes,Alain Hamer,Relatório da Partida,
2,sáb,2008-08-16,,Nice,2–1,Nancy,,Allianz Riviera,Saïd Ennjimi,Relatório da Partida,
2,sáb,2008-08-16,,Caen,3–1,Valenciennes,,Stade Michel d'Ornano,Clément Turpin,Relatório da Partida,
2,dom,2008-08-17,,Grenoble,1–0,Rennes,,Stade des Alpes,Laurent Duhamel,Relatório da Partida,
2,dom,2008-08-17,,Marseille,4–0,Auxerre,,Stade Vélodrome,Philippe Kalt,Relatório da Partida,
2,dom,2008-08-17,,Lorient,0–0,Lyon,,Stade Yves Allainmat,Antony Gautier,Relatório da Partida,
,,,,,,,,,,,
3,sáb,2008-08-23,,Sochaux,1–1,Paris S-G,,Stade Bonal,Fredy Fautrel,Relatório da Partida,
3,sáb,2008-08-23,,Monaco,1–1,Caen,,Stade Louis II,Lionel Jaffredo,Relatório da Partida,
3,sáb,2008-08-23,,Valenciennes,3–1,Lorient,,Stade Nungesser,Alexandre Castro,Relatório da Partida,
3,sáb,2008-08-23,,Nancy,0–0,Toulouse,,Stade Marcel Picot,Bertrand Layec,Relatório da Partida,
3,sáb,2008-08-23,,Lyon,2–0,Grenoble,,Stade Municipal de Gerland,Hervé Piccirillo,Relatório da Partida,
3,sáb,2008-08-23,,Le Havre,0–1,Marseille,,Stade Municipal Jules Deschaseaux,Tony Chapron,Relatório da Partida,
3,sáb,2008-08-23,,Le Mans,1–0,Saint-Étienne,,Stade Omnisports Léon,Alain Hamer,Relatório da Partida,
3,dom,2008-08-24,,Auxerre,0–1,Nice,,Stade Abbé Deschamps,Thierry Auriac,Relatório da Partida,
3,dom,2008-08-24,,Rennes,2–1,Lille,,ROAZHON PARK,Ruddy Buquet,Relatório da Partida,
3,dom,2008-08-24,,Bordeaux,2–0,Nantes,,Stade Chaban,Stéphane Bré,Relatório da Partida,
,,,,,,,,,,,
4,sáb,2008-08-30,,Marseille,2–1,Sochaux,,Stade Vélodrome,Saïd Ennjimi,Relatório da Partida,
4,sáb,2008-08-30,,Grenoble,1–0,Monaco,,Stade des Alpes,Antony Gautier,Relatório da Partida,
4,sáb,2008-08-30,,Lorient,0–2,Auxerre,,Stade Yves Allainmat,Tony Chapron,Relatório da Partida,
4,sáb,2008-08-30,,Nantes,1–4,Le Mans,,Stade de la Beaujoire,Fredy Fautrel,Relatório da Partida,
4,sáb,2008-08-30,,Caen,0–1,Paris S-G,,Stade Michel d'Ornano,Olivier Thual,Relatório da Partida,
4,sáb,2008-08-30,,Nancy,2–1,Le Havre,,Stade Marcel Picot,Clément Turpin,Relatório da Partida,
4,sáb,2008-08-30,,Nice,2–0,Valenciennes,,Allianz Riviera,Stéphane Bré,Relatório da Partida,
4,dom,2008-08-31,,Lille,2–1,Bordeaux,,Stadium Lille Métropole,Jean-Charles Cailleux,Relatório da Partida,
4,dom,2008-08-31,,Saint-Étienne,0–1,Lyon,,Stade Geoffroy,Laurent Duhamel,Relatório da Partida,
4,dom,2008-08-31,,Toulouse,0–0,Rennes,,Stadium,Philippe Kalt,Relatório da Partida,
,,,,,,,,,,,
5,sáb,2008-09-13,,Rennes,1–1,Le Havre,,ROAZHON PARK,Antony Gautier,Relatório da Partida,
5,sáb,2008-09-13,,Auxerre,1–1,Nancy,,Stade Abbé Deschamps,Alexandre Castro,Relatório da Partida,
5,sáb,2008-09-13,,Valenciennes,1–1,Grenoble,,Stade Nungesser,Fredy Fautrel,Relatório da Partida,
5,sáb,2008-09-13,,Bordeaux,1–1,Marseille,,Stade Chaban,Bertrand Layec,Relatório da Partida,
5,sáb,2008-09-13,,Le Mans,1–2,Toulouse,,Stade Omnisports Léon,Ruddy Buquet,Relatório da Partida,
5,sáb,2008-09-13,,Lyon,3–2,Nice,,Stade Municipal de Gerland,Jean-Charles Cailleux,Relatório da Partida,
5,sáb,2008-09-13,,Monaco,2–0,Lorient,,Stade Louis II,Alain Hamer,Relatório da Partida,
5,dom,2008-09-14,,Caen,2–0,Saint-Étienne,,Stade Michel d'Ornano,Thierry Auriac,Relatório da Partida,
5,dom,2008-09-14,,Paris S-G,1–0,Nantes,,Parc des Princes,Saïd Ennjimi,Relatório da Partida,
5,dom,2008-09-14,,Sochaux,1–1,Lille,,Stade Bonal,Clément Turpin,Relatório da Partida,
,,,,,,,,,,,
6,sáb,2008-09-20,,Nice,2–2,Le Mans,,Allianz Riviera,Antony Gautier,Relatório da Partida,
6,sáb,2008-09-20,,Lille,3–2,Auxerre,,Stadium Lille Métropole,Olivier Thual,Relatório da Partida,
6,sáb,2008-09-20,,Toulouse,2–1,Sochaux,,Stadium,Jean-Charles Cailleux,Relatório da Partida,
6,sáb,2008-09-20,,Grenoble,0–1,Bordeaux,,Stade des Alpes,Damien Ledentu,Relatório da Partida,
6,sáb,2008-09-20,,Lorient,1–1,Caen,,Stade Yves Allainmat,Didier Falcone,Relatório da Partida,
6,sáb,2008-09-20,,Le Havre,0–1,Lyon,,Stade Municipal Jules Deschaseaux,Philippe Kalt,Relatório da Partida,
6,sáb,2008-09-20,,Nantes,2–0,Valenciennes,,Stade de la Beaujoire,Tony Chapron,Relatório da Partida,
6,dom,2008-09-21,,Nancy,0–0,Rennes,,Stade Marcel Picot,Hervé Piccirillo,Relatório da Partida,
6,dom,2008-09-21,,Marseille,0–0,Monaco,,Stade Vélodrome,Stéphane Lannoy,Relatório da Partida,
6,dom,2008-09-21,,Saint-Étienne,1–0,Paris S-G,,Stade Geoffroy,Stéphane Bré,Relatório da Partida,
,,,,,,,,,,,
7,sáb,2008-09-27,,Caen,3–0,Nantes,,Stade Michel d'Ornano,Alexandre Castro,Relatório da Partida,
7,sáb,2008-09-27,,Paris S-G,0–1,Grenoble,,Parc des Princes,Thierry Auriac,Relatório da Partida,
7,sáb,2008-09-27,,Lyon,2–1,Nancy,,Stade Municipal de Gerland,Stéphane Bré,Relatório da Partida,
7,sáb,2008-09-27,,Le Mans,1–1,Marseille,,Stade Omnisports Léon,Fredy Fautrel,Relatório da Partida,
7,sáb,2008-09-27,,Rennes,1–0,Nice,,ROAZHON PARK,Laurent Duhamel,Relatório da Partida,
7,sáb,2008-09-27,,Auxerre,3–0,Le Havre,,Stade Abbé Deschamps,Damien Ledentu,Relatório da Partida,
7,sáb,2008-09-27,,Sochaux,1–1,Lorient,,Stade Bonal,Hervé Piccirillo,Relatório da Partida,
7,dom,2008-09-28,,Bordeaux,1–1,Saint-Étienne,,Stade Chaban,Saïd Ennjimi,Relatório da Partida,
7,dom,2008-09-28,,Valenciennes,0–1,Toulouse,,Stade Nungesser,Didier Falcone,Relatório da Partida,
7,dom,2008-09-28,,Monaco,0–2,Lille,,Stade Louis II,Bertrand Layec,Relatório da Partida,
,,,,,,,,,,,
8,sáb,2008-10-04,,Lille,1–0,Valenciennes,,Stadium Lille Métropole,Laurent Duhamel,Relatório da Partida,
8,sáb,2008-10-04,,Nice,1–1,Sochaux,,Allianz Riviera,Fredy Fautrel,Relatório da Partida,
8,sáb,2008-10-04,,Lorient,1–2,Bordeaux,,Stade Yves Allainmat,Philippe Kalt,Relatório da Partida,
8,sáb,2008-10-04,,Le Havre,1–2,Le Mans,,Stade Municipal Jules Deschaseaux,Didier Falcone,Relatório da Partida,
8,sáb,2008-10-04,,Toulouse,1–0,Auxerre,,Stadium,Lionel Jaffredo,Relatório da Partida,
