Rodada,Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
Temporada regular,1,sex,2018-08-10,20:45 (15:45),Marseille,3.2,4–0,0.3,Toulouse,60.756,Orange Vélodrome,Ruddy Buquet,Relatório da Partida,
Temporada regular,1,sáb,2018-08-11,17:00 (12:00),Nantes,1.4,1–3,2.6,Monaco,32.760,Stade de la Beaujoire - Louis Fonteneau,Jérôme Brisard,Relatório da Partida,
Temporada regular,1,sáb,2018-08-11,20:00 (15:00),Montpellier,1.3,1–2,2.0,Dijon,12.765,Stade de la Mosson,Florent Batta,Relatório da Partida,
Temporada regular,1,sáb,2018-08-11,20:00 (15:00),Nice,1.2,0–1,0.3,Reims,21.421,Stade de Nice,Johan Hamel,Relatório da Partida,
Temporada regular,1,sáb,2018-08-11,20:00 (15:00),Saint-Étienne,0.8,2–1,1.6,Guingamp,26.006,Stade Geoffroy-Guichard,Amaury Delerue,Relatório da Partida,
Temporada regular,1,sáb,2018-08-11,20:00 (15:00),Lille,1.7,3–1,0.5,Rennes,25.708,Stade Pierre-Mauroy,Willy Delajod,Relatório da Partida,
Temporada regular,1,sáb,2018-08-11,20:00 (15:00),Angers,2.8,3–4,1.5,Nîmes,9.534,Stade Raymond Kopa,Antony Gautier,Relatório da Partida,
Temporada regular,1,dom,2018-08-12,15:00 (10:00),Lyon,1.4,2–0,0.4,Amiens,48.263,Groupama Stadium,Franck Schneider,Relatório da Partida,
Temporada regular,1,dom,2018-08-12,17:00 (12:00),Bordeaux,0.2,0–2,1.5,Strasbourg,23.079,Stade Matmut-Atlantique,Hakim Ben El Hadj Salem,Relatório da Partida,
Temporada regular,1,dom,2018-08-12,21:00 (16:00),Paris S-G,3.0,3–0,0.2,Caen,47.289,Parc des Princes,Benoît Bastien,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,2,sex,2018-08-17,20:45 (15:45),Reims,0.6,1–0,1.1,Lyon,18.917,Stade Auguste-Delaune II,Ruddy Buquet,Relatório da Partida,
Temporada regular,2,sáb,2018-08-18,17:00 (12:00),Guingamp,1.1,1–3,2.6,Paris S-G,19.003,Stade du Roudourou,Clément Turpin,Relatório da Partida,
Temporada regular,2,sáb,2018-08-18,20:00 (15:00),Amiens,1.2,1–2,0.3,Montpellier,10.402,Stade de la Licorne,Karim Abed,Relatório da Partida,
Temporada regular,2,sáb,2018-08-18,20:00 (15:00),Rennes,0.3,1–0,0.4,Angers,19.300,Roazhon Park,Olivier Thual,Relatório da Partida,
Temporada regular,2,sáb,2018-08-18,20:00 (15:00),Monaco,1.4,0–0,0.7,Lille,11.140,Stade Louis II.,Thomas Léonard,Relatório da Partida,
Temporada regular,2,sáb,2018-08-18,20:00 (15:00),Caen,1.4,1–1,0.9,Nice,16.132,Stade Michel d'Ornano,Eric Wattellier,Relatório da Partida,
Temporada regular,2,sáb,2018-08-18,20:00 (15:00),Dijon,2.9,2–0,0.3,Nantes,13.617,Stade Gaston Gérard,Jeremy Stinat,Relatório da Partida,
Temporada regular,2,dom,2018-08-19,15:00 (10:00),Strasbourg,0.6,1–1,0.4,Saint-Étienne,25.385,Stade de la Meinau,Benoît Millot,Relatório da Partida,
Temporada regular,2,dom,2018-08-19,17:00 (12:00),Toulouse,1.2,2–1,1.1,Bordeaux,15.387,Stadium Municipal,François Letexier,Relatório da Partida,
Temporada regular,2,dom,2018-08-19,21:00 (16:00),Nîmes,1.4,3–1,1.2,Marseille,15.285,Stade des Costières,Benoît Bastien,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,3,sex,2018-08-24,20:45 (15:45),Lyon,1.6,2–0,0.5,Strasbourg,47.341,Groupama Stadium,Amaury Delerue,Relatório da Partida,
Temporada regular,3,sáb,2018-08-25,17:00 (12:00),Paris S-G,1.8,3–1,1.5,Angers,47.105,Parc des Princes,Jérôme Miguelgorry,Relatório da Partida,
Temporada regular,3,sáb,2018-08-25,20:00 (15:00),Amiens,1.6,4–1,0.9,Reims,10.709,Stade de la Licorne,Florent Batta,Relatório da Partida,
Temporada regular,3,sáb,2018-08-25,20:00 (15:00),Nantes,1.8,1–1,0.6,Caen,19.674,Stade de la Beaujoire - Louis Fonteneau,Hakim Ben El Hadj Salem,Relatório da Partida,
Temporada regular,3,sáb,2018-08-25,20:00 (15:00),Nice,1.9,0–4,1.5,Dijon,17.923,Stade de Nice,Willy Delajod,Relatório da Partida,
Temporada regular,3,sáb,2018-08-25,20:00 (15:00),Toulouse,2.8,1–0,0.6,Nîmes,11.746,Stadium Municipal,Franck Schneider,Relatório da Partida,
Temporada regular,3,sáb,2018-08-25,20:00 (15:00),Montpellier,0.7,0–0,0.3,Saint-Étienne,14.777,Stade de la Mosson,Jérôme Brisard,Relatório da Partida,
Temporada regular,3,dom,2018-08-26,15:00 (10:00),Lille,2.1,3–0,0.7,Guingamp,27.230,Stade Pierre-Mauroy,Johan Hamel,Relatório da Partida,
Temporada regular,3,dom,2018-08-26,17:00 (12:00),Bordeaux,2.7,2–1,0.8,Monaco,21.607,Stade Matmut-Atlantique,Clément Turpin,Relatório da Partida,
Temporada regular,3,dom,2018-08-26,21:00 (16:00),Marseille,0.9,2–2,2.0,Rennes,53.471,Orange Vélodrome,Antony Gautier,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,4,sex,2018-08-31,20:45 (15:45),Lyon,1.9,0–1,0.6,Nice,53.438,Groupama Stadium,François Letexier,Relatório da Partida,
Temporada regular,4,sáb,2018-09-01,17:00 (12:00),Nîmes,1.3,2–4,2.2,Paris S-G,15.311,Stade des Costières,Jérôme Brisard,Relatório da Partida,
Temporada regular,4,sáb,2018-09-01,20:00 (15:00),Strasbourg,1.4,2–3,1.2,Nantes,25.091,Stade de la Meinau,Olivier Thual,Relatório da Partida,
Temporada regular,4,sáb,2018-09-01,20:00 (15:00),Dijon,1.0,0–2,1.7,Caen,13.382,Stade Gaston Gérard,Nicolas Rainville,Relatório da Partida,
Temporada regular,4,sáb,2018-09-01,20:00 (15:00),Reims,1.2,0–1,0.8,Montpellier,12.042,Stade Auguste-Delaune II,Jeremy Stinat,Relatório da Partida,
Temporada regular,4,sáb,2018-09-01,20:00 (15:00),Angers,0.7,1–0,1.5,Lille,9.245,Stade Raymond Kopa,Eric Wattellier,Relatório da Partida,
Temporada regular,4,sáb,2018-09-01,20:00 (15:00),Guingamp,1.7,1–2,1.1,Toulouse,12.327,Stade du Roudourou,Karim Abed,Relatório da Partida,
Temporada regular,4,dom,2018-09-02,15:00 (10:00),Saint-Étienne,1.2,0–0,0.4,Amiens,30.146,Stade Geoffroy-Guichard,Thomas Léonard,Relatório da Partida,
Temporada regular,4,dom,2018-09-02,17:00 (12:00),Rennes,2.3,2–0,0.5,Bordeaux,23.817,Roazhon Park,Benoît Bastien,Relatório da Partida,
Temporada regular,4,dom,2018-09-02,21:00 (16:00),Monaco,1.4,2–3,1.8,Marseille,14.269,Stade Louis II.,Benoît Millot,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,5,sex,2018-09-14,19:00 (14:00),Nice,1.4,2–1,1.1,Rennes,16.887,Stade de Nice,Jérôme Miguelgorry,Relatório da Partida,
Temporada regular,5,sex,2018-09-14,20:45 (15:45),Paris S-G,2.5,4–0,1.0,Saint-Étienne,46.549,Parc des Princes,Franck Schneider,Relatório da Partida,
Temporada regular,5,sáb,2018-09-15,17:00 (12:00),Caen,1.9,2–2,1.6,Lyon,17.676,Stade Michel d'Ornano,Johan Hamel,Relatório da Partida,
Temporada regular,5,sáb,2018-09-15,20:00 (15:00),Dijon,1.2,1–3,1.4,Angers,12.275,Stade Gaston Gérard,Hakim Ben El Hadj Salem,Relatório da Partida,
Temporada regular,5,sáb,2018-09-15,20:00 (15:00),Toulouse,1.6,1–1,0.6,Monaco,16.689,Stadium Municipal,Ruddy Buquet,Relatório da Partida,
Temporada regular,5,sáb,2018-09-15,20:00 (15:00),Montpellier,0.4,1–1,0.5,Strasbourg,10.630,Stade de la Mosson,Willy Delajod,Relatório da Partida,
Temporada regular,5,sáb,2018-09-15,20:00 (15:00),Amiens,1.6,2–3,3.0,Lille,11.569,Stade de la Licorne,Nicolas Rainville,Relatório da Partida,
Temporada regular,5,dom,2018-09-16,15:00 (10:00),Nantes,0.9,0–0,0.5,Reims,18.981,Stade de la Beaujoire - Louis Fonteneau,Eric Wattellier,Relatório da Partida,
Temporada regular,5,dom,2018-09-16,17:00 (12:00),Bordeaux,1.2,3–3,1.6,Nîmes,15.895,Stade Matmut-Atlantique,Antony Gautier,Relatório da Partida,
Temporada regular,5,dom,2018-09-16,21:00 (16:00),Marseille,2.1,4–0,0.2,Guingamp,50.450,Orange Vélodrome,Amaury Delerue,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,6,sex,2018-09-21,20:45 (15:45),Monaco,1.7,1–1,0.6,Nîmes,6.837,Stade Louis II.,Amaury Delerue,Relatório da Partida,
Temporada regular,6,sáb,2018-09-22,17:00 (12:00),Lille,0.8,2–1,1.8,Nantes,27.353,Stade Pierre-Mauroy,Benoît Bastien,Relatório da Partida,
Temporada regular,6,sáb,2018-09-22,20:00 (15:00),Angers,0.9,0–0,0.4,Toulouse,10.021,Stade Raymond Kopa,Florent Batta,Relatório da Partida,
Temporada regular,6,sáb,2018-09-22,20:00 (15:00),Saint-Étienne,3.5,2–1,0.6,Caen,23.895,Stade Geoffroy-Guichard,Ruddy Buquet,Relatório da Partida,
Temporada regular,6,sáb,2018-09-22,20:00 (15:00),Reims,0.9,0–0,0.2,Dijon,11.523,Stade Auguste-Delaune II,Jérôme Brisard,Relatório da Partida,
