Rk;Player;Nation;Pos;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;Int;TklW;PKwon;PKcon;OG;Recov;Won;Lost
94;Lilian Brassier;frFRA;DF;Brest;21;1999;25.1;4;0;0;24;17;0;17;32;24;0;1;1;153;42;19
95;Jimmy Briand;frFRA;FW,MF;Bordeaux;35;1985;2.5;1;0;0;5;0;1;2;1;0;0;0;0;13;6;12
96;Dylan Bronn;tnTUN;DF;Metz;26;1995;28.3;10;1;1;31;11;3;12;40;29;0;0;0;164;28;28
97;Osman Bukari;ghGHA;FW,MF;Nantes;22;1998;11.2;1;0;0;14;6;5;15;8;8;0;0;0;70;9;13
98;Maxime Busi;beBEL;DF;Reims;21;1999;14.4;3;0;0;19;7;0;30;17;15;0;0;0;77;11;19
99;Oriol Busquets;esESP;MF;Clermont Foot;22;1999;2.2;0;0;0;2;0;0;1;1;3;0;0;0;11;1;5
100;Marcin Bułka;plPOL;GK;Nice;21;1999;1.0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
101;Rémy Cabella;frFRA;MF,FW;Montpellier;31;1990;3.5;0;0;0;3;3;0;8;5;7;0;0;0;20;0;3
102;Jimmy Cabot;frFRA;DF;Angers;27;1994;22.3;4;0;0;32;32;1;69;32;44;1;0;0;180;11;12
103;Anthony Caci;frFRA;DF;Strasbourg;24;1997;26.6;4;0;0;35;23;2;97;33;34;0;0;0;161;38;24
104;Mathieu Cafaro;frFRA;MF,FW;Reims;24;1997;2.1;2;0;0;6;3;0;19;3;2;0;0;0;9;3;4
105;Yannick Cahuzac;frFRA;MF;Lens;36;1985;6.9;1;1;0;6;1;1;2;9;2;0;0;0;27;6;5
106;Marc-Aurèle Caillard;frFRA;GK;Metz;27;1994;17.1;1;0;0;0;4;0;0;2;0;0;0;0;7;2;0
107;Jens Cajuste;seSWE;MF,FW;Reims;21;1999;4.0;0;0;0;5;8;0;1;5;6;0;0;0;16;3;5
108;Duje Ćaleta-Car;hrCRO;DF;Marseille;24;1996;22.9;6;0;0;11;6;1;1;24;8;1;0;0;99;35;11
109;Lucas Calodat;frFRA;DF;Saint-Étienne;19;2002;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
110;Mahdi Camara;frFRA;MF,DF;Saint-Étienne;23;1998;34.1;8;0;0;45;44;1;33;58;57;2;0;0;177;30;42
111;Mamadou Camara;frFRA;FW;Troyes;20;2001;0.4;0;0;0;1;0;0;0;0;1;0;0;0;1;2;3
112;Eduardo Camavinga;frFRA;MF;Rennes;18;2002;1.6;0;0;0;2;6;0;0;1;1;0;0;0;8;2;0
113;Fali Candé;gwGNB;DF;Metz;23;1998;10.8;2;0;0;11;11;0;45;6;18;0;0;0;60;18;12
114;Pierrick Capelle;frFRA;MF,DF;Angers;34;1987;13.3;1;0;0;22;5;0;17;16;24;1;1;0;98;19;31
115;Maxence Caqueret;frFRA;MF;Lyon;21;2000;25.9;5;0;0;43;28;0;20;43;40;0;0;0;204;12;13
116;Irvin Cardona;frFRA;FW,MF;Brest;23;1997;14.8;2;0;0;16;14;10;21;5;7;0;0;0;55;13;19
117;Igor Carioca;brBRA;DF;Lorient;24;1996;17.5;3;0;0;25;23;1;68;25;16;0;0;0;88;10;10
118;Moreto Cassamã;gwGNB;MF;Reims;23;1998;8.9;1;0;0;11;22;0;19;9;6;0;0;0;61;3;6
119;Jean-Charles Castelletto;cmCMR;DF;Nantes;26;1995;27.9;8;0;0;42;11;1;8;30;24;0;0;0;151;56;31
120;Zeki Çelik;trTUR;DF;Lille;24;1997;30.0;10;0;0;39;16;3;66;43;37;1;1;0;160;40;22
121;Fabien Centonze;frFRA;DF;Metz;25;1996;17.6;3;0;0;16;30;0;48;32;21;0;0;0;101;10;17
122;Leonardo César Jardim;brBRA;GK;Lille;26;1995;17.0;0;0;0;0;4;0;0;1;0;;;0;;;
123;El Chadaille Bitshiabu;frFRA;DF;Paris S-G;16;2005;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
124;Nassim Chadli;frFRA;MF,DF;Troyes;20;2001;1.1;1;0;0;3;3;0;5;0;3;0;0;0;5;1;1
125;Mehdi Chahiri;maMAR;DF;Strasbourg;25;1996;0.2;0;0;0;0;0;0;0;0;1;0;0;0;2;1;0
126;Dylan Chambost;frFRA;MF,FW;Troyes;23;1997;8.4;0;0;0;7;5;1;21;9;11;0;0;0;47;13;13
127;Brendan Chardonnet;frFRA;DF;Brest;26;1994;29.8;6;1;0;26;24;0;3;55;25;0;0;0;144;70;44
128;Xavier Chavalerin;frFRA;MF;Troyes;30;1991;30.2;4;0;0;31;12;6;79;38;26;0;0;0;95;12;23
129;Xavier Chavalerin;frFRA;MF;Reims;30;1991;2.4;0;0;0;3;0;0;4;5;4;0;0;0;16;2;4
130;Rayan Cherki;frFRA;FW,MF;Lyon;17;2003;4.9;1;0;0;4;8;3;27;1;2;0;0;0;18;1;4
131;Pedro Chirivella;esESP;MF;Nantes;24;1997;29.3;6;0;0;22;25;0;8;37;31;0;0;0;168;9;12
132;Joris Chotard;frFRA;MF;Montpellier;19;2001;32.6;5;0;0;29;11;0;20;42;30;0;0;0;206;20;29
133;Alexis Claude-Maurice;frFRA;MF;Nice;23;1998;2.3;1;0;0;4;5;0;9;3;0;0;0;0;11;1;3
134;Jonathan Clauss;frFRA;DF;Lens;28;1992;33.8;3;0;0;38;14;4;348;73;34;0;0;0;203;16;10
135;Marcus Coco;frFRA;MF,FW;Nantes;25;1996;10.3;3;1;1;21;31;4;24;10;14;0;0;0;67;31;32
136;Abdu Conté;ptPOR;DF;Troyes;23;1998;15.0;2;0;0;14;14;2;41;4;12;0;0;0;68;9;11
137;Sébastien Corchia;frFRA;DF;Nantes;30;1990;14.7;0;1;0;22;25;0;79;13;20;0;0;0;49;18;8
138;Maxwel Cornet;ciCIV;DF;Lyon;24;1996;0.7;2;1;1;2;1;0;3;1;1;0;0;0;4;0;1
139;David Pereira da Costa;ptPOR;MF,FW;Lens;20;2001;16.3;2;0;0;9;14;0;35;13;12;0;0;0;69;1;11
140;Benoît Costil;frFRA;GK;Bordeaux;34;1987;25.0;1;0;0;0;3;0;0;0;0;0;0;0;49;6;0
141;Kalifa Coulibaly;mlMLI;FW;Nantes;29;1991;9.4;1;0;0;11;8;7;3;0;1;0;0;0;14;77;41
