Rodada,Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
Temporada regular,4,sáb,2017-08-26,20:00 (15:00),Dijon,1.3,2–1,1.5,Montpellier,10.902,Stade Gaston Gérard,Stéphane Jochem,Relatório da Partida,
Temporada regular,4,sáb,2017-08-26,20:00 (15:00),Caen,1.3,1–0,0.8,Metz,15.697,Stade Michel d'Ornano,Jérôme Brisard,Relatório da Partida,
Temporada regular,4,dom,2017-08-27,15:00 (10:00),Guingamp,1.8,2–0,0.8,Strasbourg,13.061,Stade du Roudourou,Mikael Lesage,Relatório da Partida,
Temporada regular,4,dom,2017-08-27,17:00 (12:00),Angers,0.8,1–1,0.8,Lille,10.284,Stade Raymond Kopa,Nicolas Rainville,Relatório da Partida,
Temporada regular,4,dom,2017-08-27,21:00 (16:00),Monaco,3.8,6–1,1.5,Marseille,16.353,Stade Louis II.,Ruddy Buquet,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,5,sex,2017-09-08,19:00 (14:00),Lille,0.4,0–0,1.0,Bordeaux,27.464,Stade Pierre-Mauroy,François Letexier,Relatório da Partida,
Temporada regular,5,sex,2017-09-08,20:45 (15:45),Metz,1.2,1–5,4.8,Paris S-G,25.015,Stade Saint-Symphorien,Sébastien Desiage,Relatório da Partida,
Temporada regular,5,sáb,2017-09-09,17:00 (12:00),Nice,2.7,4–0,0.9,Monaco,28.995,Stade de Nice,Clément Turpin,Relatório da Partida,
Temporada regular,5,sáb,2017-09-09,20:00 (15:00),Strasbourg,0.5,0–1,0.4,Amiens,23.424,Stade de la Meinau,Jérôme Brisard,Relatório da Partida,
Temporada regular,5,sáb,2017-09-09,20:00 (15:00),Caen,1.5,2–1,0.6,Dijon,15.328,Stade Michel d'Ornano,Thomas Léonard,Relatório da Partida,
Temporada regular,5,sáb,2017-09-09,20:00 (15:00),Troyes,0.6,0–0,0.3,Toulouse,1.060,Stade de l'Aube,Hakim Ben El Hadj Salem,Relatório da Partida,
Temporada regular,5,sáb,2017-09-09,20:00 (15:00),Montpellier,0.5,0–1,0.7,Nantes,10.298,Stade de la Mosson,Jérôme Miguelgorry,Relatório da Partida,
Temporada regular,5,dom,2017-09-10,15:00 (10:00),Saint-Étienne,0.7,1–1,2.4,Angers,29.740,Stade Geoffroy-Guichard,Karim Abed,Relatório da Partida,
Temporada regular,5,dom,2017-09-10,17:00 (12:00),Lyon,0.8,2–1,1.0,Guingamp,36.697,Groupama Stadium,Benoît Millot,Relatório da Partida,
Temporada regular,5,dom,2017-09-10,21:00 (16:00),Marseille,1.5,1–3,2.1,Rennes,40.343,Orange Vélodrome,Amaury Delerue,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,6,sex,2017-09-15,20:45 (15:45),Toulouse,1.2,0–1,0.8,Bordeaux,13.616,Stadium Municipal,Clément Turpin,Relatório da Partida,
Temporada regular,6,sáb,2017-09-16,17:00 (12:00),Monaco,2.5,3–0,0.9,Strasbourg,8.310,Stade Louis II.,Johan Hamel,Relatório da Partida,
Temporada regular,6,sáb,2017-09-16,20:00 (15:00),Guingamp,1.6,1–0,0.5,Lille,11.901,Stade du Roudourou,Jérôme Brisard,Relatório da Partida,
Temporada regular,6,sáb,2017-09-16,20:00 (15:00),Troyes,0.7,0–1,1.1,Montpellier,11.970,Stade de l'Aube,Amaury Delerue,Relatório da Partida,
Temporada regular,6,sáb,2017-09-16,20:00 (15:00),Nantes,0.4,1–0,0.3,Caen,20.245,Stade de la Beaujoire - Louis Fonteneau,Olivier Thual,Relatório da Partida,
Temporada regular,6,sáb,2017-09-16,20:00 (15:00),Dijon,1.9,0–1,1.4,Saint-Étienne,13.820,Stade Gaston Gérard,Benoît Bastien,Relatório da Partida,
Temporada regular,6,dom,2017-09-17,15:00 (10:00),Amiens,0.5,0–2,1.5,Marseille,11.698,Stade de la Licorne,Mikael Lesage,Relatório da Partida,
Temporada regular,6,dom,2017-09-17,17:00 (12:00),Angers,2.2,0–1,1.9,Metz,9.163,Stade Raymond Kopa,Stéphane Jochem,Relatório da Partida,
Temporada regular,6,dom,2017-09-17,17:00 (12:00),Rennes,1.0,0–1,0.7,Nice,24.892,Roazhon Park,Nicolas Rainville,Relatório da Partida,
Temporada regular,6,dom,2017-09-17,21:00 (16:00),Paris S-G,2.0,2–0,0.8,Lyon,47.191,Parc des Princes,Ruddy Buquet,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,7,sex,2017-09-22,19:00 (14:00),Nice,2.1,2–2,1.5,Angers,18.023,Stade de Nice,François Letexier,Relatório da Partida,
Temporada regular,7,sex,2017-09-22,20:45 (15:45),Lille,1.2,0–4,2.7,Monaco,34.146,Stade Pierre-Mauroy,Franck Schneider,Relatório da Partida,
Temporada regular,7,sáb,2017-09-23,17:00 (12:00),Montpellier,0.2,0–0,0.8,Paris S-G,20.975,Stade de la Mosson,Clément Turpin,Relatório da Partida,
Temporada regular,7,sáb,2017-09-23,20:00 (15:00),Lyon,3.5,3–3,1.5,Dijon,33.600,Groupama Stadium,Antony Gautier,Relatório da Partida,
Temporada regular,7,sáb,2017-09-23,20:00 (15:00),Bordeaux,2.7,3–1,1.4,Guingamp,20.603,Stade Matmut-Atlantique,Benoît Bastien,Relatório da Partida,
Temporada regular,7,sáb,2017-09-23,20:00 (15:00),Caen,1.8,1–0,0.0,Amiens,16.212,Stade Michel d'Ornano,Hakim Ben El Hadj Salem,Relatório da Partida,
Temporada regular,7,sáb,2017-09-23,20:00 (15:00),Metz,1.1,0–1,0.6,Troyes,15.491,Stade Saint-Symphorien,Karim Abed,Relatório da Partida,
Temporada regular,7,dom,2017-09-24,15:00 (10:00),Saint-Étienne,1.8,2–2,1.4,Rennes,31.043,Stade Geoffroy-Guichard,Jérôme Miguelgorry,Relatório da Partida,
Temporada regular,7,dom,2017-09-24,17:00 (12:00),Strasbourg,1.5,1–2,0.5,Nantes,23.408,Stade de la Meinau,Sébastien Desiage,Relatório da Partida,
Temporada regular,7,dom,2017-09-24,21:00 (16:00),Marseille,2.7,2–0,0.7,Toulouse,39.501,Orange Vélodrome,Benoît Millot,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,8,sex,2017-09-29,20:45 (15:45),Monaco,0.9,1–1,1.1,Montpellier,7.053,Stade Louis II.,Tony Chapron,Relatório da Partida,
Temporada regular,8,sáb,2017-09-30,17:00 (12:00),Paris S-G,2.0,6–2,2.1,Bordeaux,47.537,Parc des Princes,François Letexier,Relatório da Partida,
Temporada regular,8,sáb,2017-09-30,20:00 (15:00),Guingamp,1.0,1–1,0.7,Toulouse,13.196,Stade du Roudourou,Ruddy Buquet,Relatório da Partida,
Temporada regular,8,sáb,2017-09-30,20:00 (15:00),Nantes,1.9,1–0,1.4,Metz,22.104,Stade de la Beaujoire - Louis Fonteneau,Johan Hamel,Relatório da Partida,
Temporada regular,8,sáb,2017-09-30,20:00 (15:00),Rennes,0.6,0–1,1.5,Caen,18.689,Roazhon Park,Amaury Delerue,Relatório da Partida,
Temporada regular,8,sáb,2017-09-30,20:00 (15:00),Dijon,1.6,1–1,0.8,Strasbourg,11.577,Stade Gaston Gérard,Olivier Thual,Relatório da Partida,
Temporada regular,8,dom,2017-10-01,15:00 (10:00),Troyes,0.8,2–1,1.2,Saint-Étienne,11.823,Stade de l'Aube,Nicolas Rainville,Relatório da Partida,
Temporada regular,8,dom,2017-10-01,17:00 (12:00),Angers,1.1,3–3,1.4,Lyon,11.432,Stade Raymond Kopa,Mikael Lesage,Relatório da Partida,
Temporada regular,8,dom,2017-10-01,21:00 (16:00),Nice,2.0,2–4,2.6,Marseille,32.702,Stade de Nice,Benoît Bastien,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,9,sex,2017-10-13,20:45 (15:45),Lyon,1.7,3–2,1.7,Monaco,43.295,Groupama Stadium,Benoît Bastien,Relatório da Partida,
Temporada regular,9,sáb,2017-10-14,17:00 (12:00),Dijon,0.9,1–2,2.2,Paris S-G,15.160,Stade Gaston Gérard,Jérôme Miguelgorry,Relatório da Partida,
Temporada regular,9,sáb,2017-10-14,20:00 (15:00),Toulouse,1.2,1–0,0.3,Amiens,15.308,Stadium Municipal,François Letexier,Relatório da Partida,
Temporada regular,9,sáb,2017-10-14,20:00 (15:00),Lille,1.3,2–2,1.5,Troyes,29.518,Stade Pierre-Mauroy,Hakim Ben El Hadj Salem,Relatório da Partida,
Temporada regular,9,sáb,2017-10-14,20:00 (15:00),Guingamp,3.2,2–0,0.5,Rennes,15.902,Stade du Roudourou,Franck Schneider,Relatório da Partida,
Temporada regular,9,sáb,2017-10-14,20:00 (15:00),Caen,1.7,0–2,1.8,Angers,16.736,Stade Michel d'Ornano,Benoît Millot,Relatório da Partida,
Temporada regular,9,sáb,2017-10-14,20:00 (15:00),Saint-Étienne,2.2,3–1,0.4,Metz,24.613,Stade Geoffroy-Guichard,Olivier Thual,Relatório da Partida,
Temporada regular,9,dom,2017-10-15,15:00 (11:00),Bordeaux,1.1,1–1,1.1,Nantes,31.048,Stade Matmut-Atlantique,Karim Abed,Relatório da Partida,
