Rodada,Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas,,
Temporada regular,16,qua,2021-12-01,19:00 (15:00),Brest,1.5,1–0,0.8,Saint-Étienne,13248,Stade Francis-Le Blé,Mikael Lesage,Relatório da Partida,,,
Temporada regular,16,qua,2021-12-01,19:00 (15:00),Metz,1.4,1–3,1.5,Montpellier,13992,Stade Saint-Symphorien,Ruddy Buquet,Relatório da Partida,,,
Temporada regular,16,qua,2021-12-01,21:00 (17:00),Rennes,1.0,1–2,0.7,Lille,25392,Roazhon Park,Stéphanie Frappart,Relatório da Partida,,,
Temporada regular,16,qua,2021-12-01,21:00 (17:00),Nantes,0.1,0–1,1.0,Marseille,34018,Stade de la Beaujoire - Louis Fonteneau,Eric Wattellier,Relatório da Partida,,,
Temporada regular,16,qua,2021-12-01,21:00 (17:00),Paris S-G,2.0,0–0,1.0,Nice,47502,Parc des Princes,Clément Turpin,Relatório da Partida,,,
Temporada regular,16,qua,2021-12-01,21:00 (17:00),Lyon,2.5,1–2,1.3,Reims,,Groupama Stadium,Benoît Millot,Relatório da Partida,,,
Temporada regular,16,qua,2021-12-01,21:00 (17:00),Clermont Foot,2.1,2–2,1.1,Lens,11948,Stade Gabriel Montpied,Amaury Delerue,Relatório da Partida,,,
,,,,,,,,,,,,,,,,
Temporada regular,17,sáb,2021-12-04,17:00 (13:00),Marseille,2.0,1–2,1.5,Brest,54413,Orange Vélodrome,Antony Gautier,Relatório da Partida,,,
Temporada regular,17,sáb,2021-12-04,19:00 (15:00),Lille,1.4,2–1,0.4,Troyes,28286,Stade Pierre-Mauroy,Benoît Bastien,Relatório da Partida,,,
Temporada regular,17,sáb,2021-12-04,21:00 (17:00),Lens,1.3,1–1,2.1,Paris S-G,36685,Stade Bollaert-Delelis,François Letexier,Relatório da Partida,,,
Temporada regular,17,dom,2021-12-05,13:00 (09:00),Saint-Étienne,0.6,0–5,2.7,Rennes,11257,Stade Geoffroy-Guichard,Thomas Léonard,Relatório da Partida,,,
Temporada regular,17,dom,2021-12-05,15:00 (11:00),Montpellier,1.0,1–0,0.6,Clermont Foot,9643,Stade de la Mosson,Florent Batta,Relatório da Partida,,,
Temporada regular,17,dom,2021-12-05,15:00 (11:00),Monaco,1.8,4–0,0.6,Metz,4923,Stade Louis II.,Bastien Dechepy,Relatório da Partida,,,
Temporada regular,17,dom,2021-12-05,15:00 (11:00),Reims,1.1,1–2,1.8,Angers,8238,Stade Auguste-Delaune II,Johan Hamel,Relatório da Partida,,,
Temporada regular,17,dom,2021-12-05,15:00 (11:00),Lorient,1.1,0–1,0.2,Nantes,16025,Stade Yves Allainmat - Le Moustoir,Ruddy Buquet,Relatório da Partida,,,
Temporada regular,17,dom,2021-12-05,17:00 (13:00),Nice,1.3,0–3,2.5,Strasbourg,16220,Stade de Nice,Jérémie Pignard,Relatório da Partida,,,
Temporada regular,17,dom,2021-12-05,20:45 (16:45),Bordeaux,2.7,2–2,2.5,Lyon,25210,Stade Matmut-Atlantique,Jérôme Brisard,Relatório da Partida,,,
,,,,,,,,,,,,,,,,
Temporada regular,18,sex,2021-12-10,21:00 (17:00),Nantes,1.5,3–2,0.9,Lens,21890,Stade de la Beaujoire - Louis Fonteneau,Stéphanie Frappart,Relatório da Partida,,,
Temporada regular,18,sáb,2021-12-11,17:00 (13:00),Brest,1.2,0–4,1.7,Montpellier,13111,Stade Francis-Le Blé,Benoît Millot,Relatório da Partida,,,
Temporada regular,18,sáb,2021-12-11,21:00 (17:00),Reims,2.5,2–0,0.3,Saint-Étienne,12019,Stade Auguste-Delaune II,Pierre Gaillouste,Relatório da Partida,,,
Temporada regular,18,dom,2021-12-12,13:00 (09:00),Lille,1.5,0–0,0.5,Lyon,40248,Stade Pierre-Mauroy,Amaury Delerue,Relatório da Partida,,,
Temporada regular,18,dom,2021-12-12,15:00 (11:00),Angers,1.7,0–1,1.9,Clermont Foot,8149,Stade Raymond Kopa,Jeremy Stinat,Relatório da Partida,,,
Temporada regular,18,dom,2021-12-12,15:00 (11:00),Rennes,1.8,1–2,1.6,Nice,27892,Roazhon Park,Willy Delajod,Relatório da Partida,,,
Temporada regular,18,dom,2021-12-12,15:00 (11:00),Troyes,1.8,1–2,1.1,Bordeaux,7950,Stade de l'Aube,Romain Lissorgue,Relatório da Partida,,,
Temporada regular,18,dom,2021-12-12,15:00 (11:00),Metz,0.9,4–1,1.4,Lorient,14037,Stade Saint-Symphorien,Eric Wattellier,Relatório da Partida,,,
Temporada regular,18,dom,2021-12-12,17:00 (13:00),Strasbourg,2.0,0–2,1.0,Marseille,26028,Stade de la Meinau,Mikael Lesage,Relatório da Partida,,,
Temporada regular,18,dom,2021-12-12,20:45 (16:45),Paris S-G,1.8,2–0,0.9,Monaco,41154,Parc des Princes,Benoît Bastien,Relatório da Partida,,,
,,,,,,,,,,,,,,,,
Temporada regular,19,qua,2021-12-22,21:00 (17:00),Lyon,2.5,1–1,0.7,Metz,34867,Groupama Stadium,Pierre Gaillouste,Relatório da Partida,,,
Temporada regular,19,qua,2021-12-22,21:00 (17:00),Saint-Étienne,1.2,0–1,0.9,Nantes,23681,Stade Geoffroy-Guichard,Clément Turpin,Relatório da Partida,,,
Temporada regular,19,qua,2021-12-22,21:00 (17:00),Lorient,1.8,1–1,2.0,Paris S-G,16603,Stade Yves Allainmat - Le Moustoir,Jérémie Pignard,Relatório da Partida,,,
Temporada regular,19,qua,2021-12-22,21:00 (17:00),Nice,0.8,2–1,1.3,Lens,22065,Stade de Nice,Jérôme Brisard,Relatório da Partida,,,
Temporada regular,19,qua,2021-12-22,21:00 (17:00),Monaco,1.9,2–1,1.4,Rennes,5354,Stade Louis II.,Ruddy Buquet,Relatório da Partida,,,
Temporada regular,19,qua,2021-12-22,21:00 (17:00),Marseille,1.7,1–1,0.7,Reims,55908,Orange Vélodrome,François Letexier,Relatório da Partida,,,
Temporada regular,19,qua,2021-12-22,21:00 (17:00),Montpellier,1.3,4–1,0.7,Angers,10990,Stade de la Mosson,Hugo Miguel,Relatório da Partida,,,
Temporada regular,19,qua,2021-12-22,21:00 (17:00),Troyes,1.3,1–1,0.9,Brest,6872,Stade de l'Aube,Johan Hamel,Relatório da Partida,,,
Temporada regular,19,qua,2021-12-22,21:00 (17:00),Bordeaux,1.0,2–3,1.4,Lille,39967,Stade Matmut-Atlantique,Mikael Lesage,Relatório da Partida,,,
,,,,,,,,,,,,,,,,
Temporada regular,20,sex,2022-01-07,21:00 (17:00),Bordeaux,0.6,0–1,2.3,Marseille,,Stade Matmut-Atlantique,Eric Wattellier,Relatório da Partida,,,
Temporada regular,20,sáb,2022-01-08,21:00 (17:00),Lens,0.9,1–0,0.5,Rennes,5000,Stade Bollaert-Delelis,Benoît Bastien,Relatório da Partida,,,
Temporada regular,20,dom,2022-01-09,13:00 (09:00),Brest,1.9,0–3,1.6,Nice,5102,Stade Francis-Le Blé,Stéphanie Frappart,Relatório da Partida,,,
Temporada regular,20,dom,2022-01-09,15:00 (11:00),Metz,0.4,0–2,2.8,Strasbourg,5000,Stade Saint-Symphorien,Antony Gautier,Relatório da Partida,,,
Temporada regular,20,dom,2022-01-09,15:00 (11:00),Clermont Foot,0.9,0–0,0.9,Reims,4923,Stade Gabriel Montpied,Romain Lissorgue,Relatório da Partida,,,
Temporada regular,20,dom,2022-01-09,17:05 (13:05),Nantes,0.6,0–0,0.8,Monaco,4133,Stade de la Beaujoire - Louis Fonteneau,Thomas Léonard,Relatório da Partida,,,
Temporada regular,20,dom,2022-01-09,20:45 (16:45),Lyon,1.3,1–1,1.8,Paris S-G,4977,Groupama Stadium,François Letexier,Relatório da Partida,,,
,,,,,,,,,,,,,,,,
Temporada regular,21,sex,2022-01-14,21:00 (17:00),Nice,2.1,2–1,1.2,Nantes,5000,Stade de Nice,Ruddy Buquet,Relatório da Partida,,,
Temporada regular,21,sáb,2022-01-15,17:00 (13:00),Saint-Étienne,1.4,1–2,1.3,Lens,5000,Stade Geoffroy-Guichard,François Letexier,Relatório da Partida,,,
Temporada regular,21,sáb,2022-01-15,21:00 (17:00),Paris S-G,2.7,2–0,0.8,Brest,4925,Parc des Princes,Mikael Lesage,Relatório da Partida,,,
Temporada regular,21,dom,2022-01-16,13:00 (09:00),Rennes,3.5,6–0,0.7,Bordeaux,4951,Roazhon Park,Bastien Dechepy,Relatório da Partida,,,
Temporada regular,21,dom,2022-01-16,15:00 (11:00),Reims,0.7,0–1,1.1,Metz,3923,Stade Auguste-Delaune II,Jérémie Pignard,Relatório da Partida,,,
Temporada regular,21,dom,2022-01-16,15:00 (11:00),Monaco,3.7,4–0,0.5,Clermont Foot,2633,Stade Louis II.,Jeremy Stinat,Relatório da Partida,,,
Temporada regular,21,dom,2022-01-16,15:00 (11:00),Lorient,0.7,0–0,0.6,Angers,4387,Stade Yves Allainmat - Le Moustoir,Johan Hamel,Relatório da Partida,,,
Temporada regular,21,dom,2022-01-16,15:00 (11:00),Strasbourg,2.0,3–1,0.8,Montpellier,5217,Stade de la Meinau,Pierre Gaillouste,Relatório da Partida,,,
Temporada regular,21,dom,2022-01-16,17:05 (13:05),Troyes,0.4,0–1,2.7,Lyon,4224,Stade de l'Aube,Jérôme Brisard,Relatório da Partida,,,
Temporada regular,21,dom,2022-01-16,20:45 (16:45),Marseille,1.9,1–1,0.9,Lille,5034,Orange Vélodrome,Amaury Delerue,Relatório da Partida,,,
,,,,,,,,,,,,,,,,
Temporada regular,19,qua,2022-01-19,19:00 (15:00),Clermont Foot,0.9,0–2,1.7,Strasbourg,4219,Stade Gabriel Montpied,Bastien Dechepy,Relatório da Partida,,,
,,,,,,,,,,,,,,,,
Temporada regular,20,qua,2022-01-19,19:00 (15:00),Montpellier,0.8,0–1,0.8,Troyes,4943,Stade de la Mosson,Jeremy Stinat,Relatório da Partida,,,
Temporada regular,20,qua,2022-01-19,19:00 (15:00),Lille,1.6,3–1,1.4,Lorient,4834,Stade Pierre-Mauroy,Florent Batta,Relatório da Partida,,,
,,,,,,,,,,,,,,,,
Temporada regular,22,sex,2022-01-21,21:00 (17:00),Lyon,2.4,1–0,0.2,Saint-Étienne,5000,Groupama Stadium,Antony Gautier,Relatório da Partida,,,
Temporada regular,22,sáb,2022-01-22,17:00 (13:00),Brest,1.3,2–0,1.7,Lille,4358,Stade Francis-Le Blé,Jérôme Brisard,Relatório da Partida,,,
Temporada regular,22,sáb,2022-01-22,21:00 (17:00),Lens,0.8,0–2,1.5,Marseille,5000,Stade Bollaert-Delelis,Stéphanie Frappart,Relatório da Partida,,,
Temporada regular,22,dom,2022-01-23,13:00 (09:00),Metz,0.4,0–2,2.1,Nice,5000,Stade Saint-Symphorien,Amaury Delerue,Relatório da Partida,,,
Temporada regular,22,dom,2022-01-23,15:00 (11:00),Clermont Foot,1.3,2–1,1.7,Rennes,4535,Stade Gabriel Montpied,Thomas Léonard,Relatório da Partida,,,
Temporada regular,22,dom,2022-01-23,15:00 (11:00),Nantes,1.1,4–2,1.9,Lorient,4275,Stade de la Beaujoire - Louis Fonteneau,Pierre Gaillouste,Relatório da Partida,,,
Temporada regular,22,dom,2022-01-23,15:00 (11:00),Angers,2.5,2–1,1.4,Troyes,5000,Stade Raymond Kopa,Romain Lissorgue,Relatório da Partida,,,
Temporada regular,22,dom,2022-01-23,15:00 (11:00),Bordeaux,2.1,4–3,1.9,Strasbourg,3308,Stade Matmut-Atlantique,Mikael Lesage,Relatório da Partida,,,
Temporada regular,22,dom,2022-01-23,17:05 (13:05),Montpellier,2.0,3–2,1.3,Monaco,5000,Stade de la Mosson,Jérémie Pignard,Relatório da Partida,,,
Temporada regular,22,dom,2022-01-23,20:45 (16:45),Paris S-G,2.6,4–0,0.6,Reims,5000,Parc des Princes,Eric Wattellier,Relatório da Partida,,,
,,,,,,,,,,,,,,,,
Temporada regular,20,qua,2022-01-26,19:00 (15:00),Angers,0.4,0–1,0.6,Saint-Étienne,,Stade Raymond Kopa,Clément Turpin,Relatório da Partida,,,
,,,,,,,,,,,,,,,,
Temporada regular,14,ter,2022-02-01,21:00 (17:00),Lyon,1.1,2–1,0.7,Marseille,,Groupama Stadium,Benoît Bastien,Relatório da Partida,,,
,,,,,,,,,,,,,,,,
Temporada regular,23,sex,2022-02-04,21:00 (17:00),Marseille,2.6,5–2,0.5,Angers,60000,Orange Vélodrome,Jeremy Stinat,Relatório da Partida,,,
Temporada regular,23,sáb,2022-02-05,17:00 (13:00),Saint-Étienne,2.3,3–1,0.5,Montpellier,20000,Stade Geoffroy-Guichard,Thomas Léonard,Relatório da Partida,,,
Temporada regular,23,sáb,2022-02-05,21:00 (17:00),Monaco,2.3,2–0,1.6,Lyon,6550,Stade Louis II.,Ruddy Buquet,Relatório da Partida,,,
Temporada regular,23,dom,2022-02-06,13:00 (09:00),Lorient,1.6,2–0,0.6,Lens,10687,Stade Yves Allainmat - Le Moustoir,Romain Lissorgue,Relatório da Partida,,,
Temporada regular,23,dom,2022-02-06,15:00 (11:00),Reims,2.3,5–0,0.2,Bordeaux,8858,Stade Auguste-Delaune II,Antony Gautier,Relatório da Partida,,,
Temporada regular,23,dom,2022-02-06,15:00 (11:00),Nice,1.2,0–1,1.6,Clermont Foot,18022,Stade de Nice,Jérôme Brisard,Relatório da Partida,,,
Temporada regular,23,dom,2022-02-06,15:00 (11:00),Troyes,0.7,0–0,0.5,Metz,7227,Stade de l'Aube,Pierre Gaillouste,Relatório da Partida,,,
Temporada regular,23,dom,2022-02-06,15:00 (11:00),Strasbourg,1.8,1–0,0.6,Nantes,22240,Stade de la Meinau,Amaury Delerue,Relatório da Partida,,,
Temporada regular,23,dom,2022-02-06,17:00 (13:00),Rennes,2.4,2–0,0.3,Brest,25409,Roazhon Park,Johan Hamel,Relatório da Partida,,,
Temporada regular,23,dom,2022-02-06,20:45 (16:45),Lille,1.4,1–5,3.6,Paris S-G,48437,Stade Pierre-Mauroy,François Letexier,Relatório da Partida,,,
,,,,,,,,,,,,,,,,
Temporada regular,24,sex,2022-02-11,21:00 (17:00),Paris S-G,1.2,1–0,1.0,Rennes,47000,Parc des Princes,Benoît Bastien,Relatório da Partida,,,
Temporada regular,24,sáb,2022-02-12,17:00 (13:00),Montpellier,1.1,0–1,1.5,Lille,11784,Stade de la Mosson,Stéphanie Frappart,Relatório da Partida,,,
Temporada regular,24,sáb,2022-02-12,21:00 (17:00),Lyon,2.7,2–0,0.1,Nice,41974,Groupama Stadium,Benoît Millot,Relatório da Partida,,,
Temporada regular,24,dom,2022-02-13,13:00 (09:00),Monaco,1.4,0–0,0.2,Lorient,3963,Stade Louis II.,Bastien Dechepy,Relatório da Partida,,,
Temporada regular,24,dom,2022-02-13,15:00 (11:00),Angers,0.8,0–1,0.3,Strasbourg,6521,Stade Raymond Kopa,Pierre Gaillouste,Relatório da Partida,,,
Temporada regular,24,dom,2022-02-13,15:00 (11:00),Brest,3.0,5–1,0.4,Troyes,10600,Stade Francis-Le Blé,Florent Batta,Relatório da Partida,,,
Temporada regular,24,dom,2022-02-13,15:00 (11:00),Nantes,0.7,1–0,0.7,Reims,14304,Stade de la Beaujoire - Louis Fonteneau,Johan Hamel,Relatório da Partida,,,
Temporada regular,24,dom,2022-02-13,15:00 (11:00),Clermont Foot,0.8,1–2,0.8,Saint-Étienne,12131,Stade Gabriel Montpied,Ruddy Buquet,Relatório da Partida,,,
Temporada regular,24,dom,2022-02-13,17:05 (13:05),Lens,2.1,3–2,0.9,Bordeaux,32662,Stade Bollaert-Delelis,François Letexier,Relatório da Partida,,,
Temporada regular,24,dom,2022-02-13,20:45 (16:45),Metz,0.8,1–2,1.6,Marseille,25482,Stade Saint-Symphorien,Eric Wattellier,Relatório da Partida,,,
,,,,,,,,,,,,,,,,
Temporada regular,25,sex,2022-02-18,21:00 (17:00),Lille,1.8,0–0,0.4,Metz,30384,Stade Pierre-Mauroy,Bastien Dechepy,Relatório da Partida,,,
Temporada regular,25,sáb,2022-02-19,17:00 (13:00),Lens,1.1,1–1,1.3,Lyon,36624,Stade Bollaert-Delelis,Jérôme Brisard,Relatório da Partida,,,
Temporada regular,25,sáb,2022-02-19,21:00 (17:00),Nantes,2.5,3–1,3.9,Paris S-G,35500,Stade de la Beaujoire - Louis Fonteneau,Mikael Lesage,Relatório da Partida,,,
Temporada regular,25,dom,2022-02-20,13:00 (09:00),Nice,0.9,1–0,1.0,Angers,18257,Stade de Nice,Romain Lissorgue,Relatório da Partida,,,
Temporada regular,25,dom,2022-02-20,15:00 (11:00),Saint-Étienne,1.3,2–2,0.9,Strasbourg,24897,Stade Geoffroy-Guichard,Antony Gautier,Relatório da Partida,,,
Temporada regular,25,dom,2022-02-20,15:00 (11:00),Reims,0.8,1–1,2.0,Brest,9307,Stade Auguste-Delaune II,Hakim Ben El Hadj Salem,Relatório da Partida,,,
Temporada regular,25,dom,2022-02-20,15:00 (11:00),Rennes,3.1,4–1,0.7,Troyes,22967,Roazhon Park,Clément Turpin,Relatório da Partida,,,
Temporada regular,25,dom,2022-02-20,15:00 (11:00),Lorient,0.9,0–1,0.5,Montpellier,10135,Stade Yves Allainmat - Le Moustoir,Jeremy Stinat,Relatório da Partida,,,
Temporada regular,25,dom,2022-02-20,17:05 (13:05),Bordeaux,0.6,1–1,1.6,Monaco,29557,Stade Matmut-Atlantique,Jérémie Pignard,Relatório da Partida,,,
Temporada regular,25,dom,2022-02-20,20:45 (16:45),Marseille,1.6,0–2,0.7,Clermont Foot,53840,Orange Vélodrome,Willy Delajod,Relatório da Partida,,,
,,,,,,,,,,,,,,,,
Temporada regular,26,sex,2022-02-25,21:00 (17:00),Montpellier,1.1,2–4,2.0,Rennes,10000,Stade de la Mosson,Amaury Delerue,Relatório da Partida,,,
Temporada regular,26,sáb,2022-02-26,17:00 (13:00),Strasbourg,1.1,0–0,0.2,Nice,25150,Stade de la Meinau,Stéphanie Frappart,Relatório da Partida,,,
Temporada regular,26,sáb,2022-02-26,21:00 (17:00),Paris S-G,2.6,3–1,1.0,Saint-Étienne,45000,Parc des Princes,Pierre Gaillouste,Relatório da Partida,,,
Temporada regular,26,dom,2022-02-27,13:00 (09:00),Monaco,1.9,1–2,1.4,Reims,3982,Stade Louis II.,Benoît Millot,Relatório da Partida,,,
Temporada regular,26,dom,2022-02-27,15:00 (11:00),Angers,0.7,1–2,0.6,Lens,9499,Stade Raymond Kopa,Thomas Léonard,Relatório da Partida,,,
Temporada regular,26,dom,2022-02-27,15:00 (11:00),Metz,0.5,0–0,0.8,Nantes,15851,Stade Saint-Symphorien,Florent Batta,Relatório da Partida,,,
Temporada regular,26,dom,2022-02-27,15:00 (11:00),Clermont Foot,0.7,1–1,1.0,Bordeaux,12032,Stade Gabriel Montpied,Eric Wattellier,Relatório da Partida,,,
Temporada regular,26,dom,2022-02-27,15:00 (11:00),Brest,0.2,0–1,2.3,Lorient,14050,Stade Francis-Le Blé,Benoît Bastien,Relatório da Partida,,,
Temporada regular,26,dom,2022-02-27,17:05 (13:05),Troyes,1.4,1–1,1.2,Marseille,16871,Stade de l'Aube,François Letexier,Relatório da Partida,,,
Temporada regular,26,dom,2022-02-27,20:45 (16:45),Lyon,1.7,0–1,0.8,Lille,42647,Groupama Stadium,Clément Turpin,Relatório da Partida,,,
,,,,,,,,,,,,,,,,
Temporada regular,27,sex,2022-03-04,21:00 (17:00),Lorient,1.7,1–4,2.6,Lyon,13497,Stade Yves Allainmat - Le Moustoir,Romain Lissorgue,Relatório da Partida,,,
Temporada regular,27,sáb,2022-03-05,17:00 (13:00),Lens,1.8,0–1,0.5,Brest,36305,Stade Bollaert-Delelis,Johan Hamel,Relatório da Partida,,,
Temporada regular,27,sáb,2022-03-05,21:00 (17:00),Nice,1.0,1–0,0.8,Paris S-G,31949,Stade de Nice,Willy Delajod,Relatório da Partida,,,
Temporada regular,27,dom,2022-03-06,13:00 (09:00),Saint-Étienne,1.4,1–0,0.7,Metz,35706,Stade Geoffroy-Guichard,Jeremy Stinat,Relatório da Partida,,,
Temporada regular,27,dom,2022-03-06,15:00 (11:00),Nantes,1.8,2–0,0.2,Montpellier,21589,Stade de la Beaujoire - Louis Fonteneau,Hakim Ben El Hadj Salem,Relatório da Partida,,,
Temporada regular,27,dom,2022-03-06,15:00 (11:00),Reims,0.8,1–1,0.9,Strasbourg,10405,Stade Auguste-Delaune II,Jérémie Pignard,Relatório da Partida,,,
Temporada regular,27,dom,2022-03-06,15:00 (11:00),Rennes,2.1,2–0,0.5,Angers,27693,Roazhon Park,Benoît Millot,Relatório da Partida,,,
Temporada regular,27,dom,2022-03-06,15:00 (11:00),Bordeaux,0.7,0–2,2.4,Troyes,20287,Stade Matmut-Atlantique,Ruddy Buquet,Relatório da Partida,,,
Temporada regular,27,dom,2022-03-06,17:05 (13:05),Lille,2.1,4–0,0.9,Clermont Foot,33515,Stade Pierre-Mauroy,Thomas Léonard,Relatório da Partida,,,
Temporada regular,27,dom,2022-03-06,20:45 (16:45),Marseille,1.1,0–1,0.7,Monaco,56510,Orange Vélodrome,Antony Gautier,Relatório da Partida,,,
,,,,,,,,,,,,,,,,
Temporada regular,28,sex,2022-03-11,21:00 (17:00),Lille,1.1,0–0,0.6,Saint-Étienne,40146,Stade Pierre-Mauroy,Florent Batta,Relatório da Partida,,,
Temporada regular,28,sáb,2022-03-12,17:00 (13:00),Montpellier,3.2,0–0,0.7,Nice,11658,Stade de la Mosson,Clément Turpin,Relatório da Partida,,,
Temporada regular,28,sáb,2022-03-12,21:00 (17:00),Troyes,1.9,1–0,0.5,Nantes,7400,Stade de l'Aube,Stéphanie Frappart,Relatório da Partida,,,
Temporada regular,28,dom,2022-03-13,13:00 (09:00),Paris S-G,1.1,3–0,0.9,Bordeaux,44000,Parc des Princes,François Letexier,Relatório da Partida,,,
Temporada regular,28,dom,2022-03-13,15:00 (11:00),Strasbourg,1.0,1–0,0.8,Monaco,25231,Stade de la Meinau,Eric Wattellier,Relatório da Partida,,,
Temporada regular,28,dom,2022-03-13,15:00 (11:00),Clermont Foot,1.1,0–2,1.5,Lorient,11359,Stade Gabriel Montpied,Bastien Dechepy,Relatório da Partida,,,
Temporada regular,28,dom,2022-03-13,15:00 (11:00),Metz,0.7,0–0,0.8,Lens,15687,Stade Saint-Symphorien,Amaury Delerue,Relatório da Partida,,,
Temporada regular,28,dom,2022-03-13,15:00 (11:00),Angers,2.5,0–1,1.6,Reims,5960,Stade Raymond Kopa,Mikael Lesage,Relatório da Partida,,,
Temporada regular,28,dom,2022-03-13,17:05 (13:05),Lyon,1.4,2–4,1.3,Rennes,46597,Groupama Stadium,Antony Gautier,Relatório da Partida,,,
Temporada regular,28,dom,2022-03-13,20:45 (16:45),Brest,0.7,1–4,2.0,Marseille,14611,Stade Francis-Le Blé,Ruddy Buquet,Relatório da Partida,,,
,,,,,,,,,,,,,,,,
Temporada regular,29,sex,2022-03-18,21:00 (17:00),Saint-Étienne,1.4,1–1,1.2,Troyes,32193,Stade Geoffroy-Guichard,Romain Lissorgue,Relatório da Partida,,,
Temporada regular,29,sáb,2022-03-19,17:00 (13:00),Lens,1.8,3–1,1.5,Clermont Foot,36182,Stade Bollaert-Delelis,Jeremy Stinat,Relatório da Partida,,,
Temporada regular,29,sáb,2022-03-19,21:00 (17:00),Nantes,1.0,0–1,1.3,Lille,25977,Stade de la Beaujoire - Louis Fonteneau,Pierre Gaillouste,Relatório da Partida,,,
Temporada regular,29,dom,2022-03-20,13:00 (09:00),Monaco,2.3,3–0,1.0,Paris S-G,16642,Stade Louis II.,Benoît Bastien,Relatório da Partida,,,
Temporada regular,29,dom,2022-03-20,15:00 (11:00),Angers,2.1,1–0,1.3,Brest,7734,Stade Raymond Kopa,Jérémie Pignard,Relatório da Partida,,,
Temporada regular,29,dom,2022-03-20,15:00 (11:00),Rennes,3.4,6–1,0.7,Metz,27966,Roazhon Park,Willy Delajod,Relatório da Partida,,,
Temporada regular,29,dom,2022-03-20,15:00 (11:00),Bordeaux,4.0,0–2,0.7,Montpellier,15000,Stade Matmut-Atlantique,Thomas Léonard,Relatório da Partida,,,
Temporada regular,29,dom,2022-03-20,15:00 (11:00),Lorient,0.6,0–0,1.5,Strasbourg,9806,Stade Yves Allainmat - Le Moustoir,Benoît Millot,Relatório da Partida,,,
Temporada regular,29,dom,2022-03-20,17:05 (13:05),Reims,0.5,0–0,2.2,Lyon,14091,Stade Auguste-Delaune II,Johan Hamel,Relatório da Partida,,,
Temporada regular,29,dom,2022-03-20,20:45 (16:45),Marseille,1.6,2–1,1.3,Nice,64722,Orange Vélodrome,Jérôme Brisard,Relatório da Partida,,,
,,,,,,,,,,,,,,,,
Temporada regular,30,sáb,2022-04-02,17:00 (12:00),Nice,1.3,1–1,1.3,Rennes,24086,Stade de Nice,Benoît Bastien,Relatório da Partida,,,
Temporada regular,30,sáb,2022-04-02,19:00 (14:00),Lille,3.0,0–0,0.1,Bordeaux,36351,Stade Pierre-Mauroy,Bastien Dechepy,Relatório da Partida,,,
Temporada regular,30,dom,2022-04-03,13:00 (08:00),Strasbourg,2.8,1–0,1.1,Lens,26005,Stade de la Meinau,François Letexier,Relatório da Partida,,,
Temporada regular,30,dom,2022-04-03,15:00 (10:00),Metz,1.1,1–2,2.1,Monaco,19812,Stade Saint-Symphorien,Jérôme Brisard,Relatório da Partida,,,
Temporada regular,30,dom,2022-04-03,15:00 (10:00),Saint-Étienne,0.2,2–4,3.9,Marseille,41278,Stade Geoffroy-Guichard,Clément Turpin,Relatório da Partida,,,
Temporada regular,30,dom,2022-04-03,15:00 (10:00),Troyes,1.3,1–0,0.8,Reims,9482,Stade de l'Aube,Ruddy Buquet,Relatório da Partida,,,
Temporada regular,30,dom,2022-04-03,15:00 (10:00),Montpellier,1.5,1–2,0.9,Brest,10929,Stade de la Mosson,Florent Batta,Relatório da Partida,,,
Temporada regular,30,dom,2022-04-03,15:00 (10:00),Clermont Foot,0.9,2–3,1.8,Nantes,11785,Stade Gabriel Montpied,Mikael Lesage,Relatório da Partida,,,
Temporada regular,30,dom,2022-04-03,17:05 (12:05),Lyon,1.7,3–2,1.7,Angers,34376,Groupama Stadium,Eric Wattellier,Relatório da Partida,,,
Temporada regular,30,dom,2022-04-03,20:45 (15:45),Paris S-G,2.4,5–1,0.7,Lorient,40000,Parc des Princes,Hakim Ben El Hadj Salem,Relatório da Partida,,,
,,,,,,,,,,,,,,,,
Temporada regular,31,sex,2022-04-08,21:00 (16:00),Lorient,4.0,6–2,1.2,Saint-Étienne,15407,Stade Yves Allainmat - Le Moustoir,Ruddy Buquet,Relatório da Partida,,,
Temporada regular,31,sáb,2022-04-09,17:00 (12:00),Reims,2.7,2–3,1.8,Rennes,10243,Stade Auguste-Delaune II,Romain Lissorgue,Relatório da Partida,,,
Temporada regular,31,sáb,2022-04-09,21:00 (16:00),Clermont Foot,1.4,1–6,4.6,Paris S-G,12264,Stade Gabriel Montpied,Eric Wattellier,Relatório da Partida,,,
Temporada regular,31,dom,2022-04-10,13:00 (08:00),Bordeaux,1.9,3–1,1.0,Metz,21652,Stade Matmut-Atlantique,Jérémie Pignard,Relatório da Partida,,,
Temporada regular,31,dom,2022-04-10,15:00 (10:00),Monaco,0.7,2–1,0.9,Troyes,4786,Stade Louis II.,Mikael Lesage,Relatório da Partida,,,
Temporada regular,31,dom,2022-04-10,15:00 (10:00),Angers,0.8,1–1,1.1,Lille,9286,Stade Raymond Kopa,Thomas Léonard,Relatório da Partida,,,
Temporada regular,31,dom,2022-04-10,15:00 (10:00),Brest,1.4,1–1,1.1,Nantes,13145,Stade Francis-Le Blé,Johan Hamel,Relatório da Partida,,,
