Rodada,Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas,,
Temporada regular,4,dom,2021-08-29,15:00 (10:00),Lens,1.9,2–2,2.0,Lorient,35029,Stade Bollaert-Delelis,Willy Delajod,Relatório da Partida,,,
Temporada regular,4,dom,2021-08-29,15:00 (10:00),Clermont Foot,1.7,2–2,1.5,Metz,11274,Stade Gabriel Montpied,Hakim Ben El Hadj Salem,Relatório da Partida,,,
Temporada regular,4,dom,2021-08-29,17:00 (12:00),Lille,1.7,2–1,0.5,Montpellier,28859,Stade Pierre-Mauroy,Amaury Delerue,Relatório da Partida,,,
Temporada regular,4,dom,2021-08-29,20:45 (15:45),Reims,0.8,0–2,1.5,Paris S-G,20525,Stade Auguste-Delaune II,François Letexier,Relatório da Partida,,,
,,,,,,,,,,,,,,,,
Temporada regular,5,sex,2021-09-10,21:00 (16:00),Lorient,2.1,2–1,1.4,Lille,10271,Stade Yves Allainmat - Le Moustoir,Clément Turpin,Relatório da Partida,,,
Temporada regular,5,sáb,2021-09-11,17:00 (12:00),Paris S-G,2.3,4–0,1.2,Clermont Foot,47329,Parc des Princes,Mikael Lesage,Relatório da Partida,,,
Temporada regular,5,sáb,2021-09-11,21:00 (16:00),Monaco,1.0,0–2,1.8,Marseille,8615,Stade Louis II.,Stéphanie Frappart,Relatório da Partida,,,
Temporada regular,5,dom,2021-09-12,13:00 (08:00),Montpellier,0.9,2–0,1.0,Saint-Étienne,10402,Stade de la Mosson,Benoît Bastien,Relatório da Partida,,,
Temporada regular,5,dom,2021-09-12,15:00 (10:00),Rennes,0.8,0–2,0.7,Reims,24486,Roazhon Park,Thomas Léonard,Relatório da Partida,,,
Temporada regular,5,dom,2021-09-12,15:00 (10:00),Bordeaux,0.8,2–3,2.5,Lens,19763,Stade Matmut-Atlantique,Luís Godinho,Relatório da Partida,,,
Temporada regular,5,dom,2021-09-12,15:00 (10:00),Brest,1.6,1–1,1.2,Angers,10982,Stade Francis-Le Blé,Jeremy Stinat,Relatório da Partida,,,
Temporada regular,5,dom,2021-09-12,15:00 (10:00),Metz,0.9,0–2,1.0,Troyes,15269,Stade Saint-Symphorien,Pierre Gaillouste,Relatório da Partida,,,
Temporada regular,5,dom,2021-09-12,17:00 (12:00),Nantes,2.0,0–2,1.7,Nice,14597,Stade de la Beaujoire - Louis Fonteneau,Benoît Millot,Relatório da Partida,,,
Temporada regular,5,dom,2021-09-12,20:45 (15:45),Lyon,1.7,3–1,1.8,Strasbourg,33267,Groupama Stadium,Ruddy Buquet,Relatório da Partida,,,
,,,,,,,,,,,,,,,,
Temporada regular,6,sex,2021-09-17,21:00 (16:00),Strasbourg,2.2,3–0,0.9,Metz,25437,Stade de la Meinau,Eric Wattellier,Relatório da Partida,,,
Temporada regular,6,sáb,2021-09-18,17:00 (12:00),Lens,1.2,1–0,0.8,Lille,36512,Stade Bollaert-Delelis,Benoît Millot,Relatório da Partida,,,
