Rodada,Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
Temporada regular,1,sex,2020-08-21,19:00 (14:00),Bordeaux,0.5,0–0,0.2,Nantes,,Stade Matmut-Atlantique,Benoît Bastien,Relatório da Partida,
Temporada regular,1,sáb,2020-08-22,17:00 (12:00),Dijon,0.9,0–1,1.5,Angers,,Stade Gaston Gérard,Eric Wattellier,Relatório da Partida,
Temporada regular,1,sáb,2020-08-22,21:00 (16:00),Lille,0.4,1–1,1.6,Rennes,3.975,Stade Pierre-Mauroy,Clément Turpin,Relatório da Partida,
Temporada regular,1,dom,2020-08-23,13:00 (08:00),Monaco,1.8,2–2,1.7,Reims,,Stade Louis II.,François Letexier,Relatório da Partida,
Temporada regular,1,dom,2020-08-23,15:00 (10:00),Nîmes,1.7,4–0,0.8,Brest,,Stade des Costières,Jérémie Pignard,Relatório da Partida,
Temporada regular,1,dom,2020-08-23,15:00 (10:00),Lorient,2.9,3–1,0.3,Strasbourg,,Stade Yves Allainmat - Le Moustoir,Johan Hamel,Relatório da Partida,
Temporada regular,1,dom,2020-08-23,17:00 (12:00),Nice,0.2,2–1,3.1,Lens,,Stade de Nice,Jérôme Miguelgorry,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,2,sex,2020-08-28,21:00 (16:00),Lyon,4.6,4–1,0.2,Dijon,,Groupama Stadium,Benoît Millot,Relatório da Partida,
Temporada regular,2,sáb,2020-08-29,17:00 (12:00),Rennes,1.4,2–1,0.6,Montpellier,,Roazhon Park,Willy Delajod,Relatório da Partida,
Temporada regular,2,sáb,2020-08-29,21:00 (16:00),Strasbourg,0.3,0–2,1.3,Nice,,Stade de la Meinau,Jérôme Brisard,Relatório da Partida,
Temporada regular,2,dom,2020-08-30,13:00 (08:00),Reims,0.3,0–1,1.2,Lille,,Stade Auguste-Delaune II,Stéphanie Frappart,Relatório da Partida,
Temporada regular,2,dom,2020-08-30,15:00 (10:00),Metz,0.7,0–1,0.2,Monaco,4.463,Stade Saint-Symphorien,Jeremy Stinat,Relatório da Partida,
Temporada regular,2,dom,2020-08-30,15:00 (10:00),Saint-Étienne,1.4,2–0,0.3,Lorient,,Stade Geoffroy-Guichard,Florent Batta,Relatório da Partida,
Temporada regular,2,dom,2020-08-30,15:00 (10:00),Nantes,1.8,2–1,1.2,Nîmes,,Stade de la Beaujoire - Louis Fonteneau,Hakim Ben El Hadj Salem,Relatório da Partida,
Temporada regular,2,dom,2020-08-30,15:00 (10:00),Angers,0.8,0–2,2.0,Bordeaux,,Stade Raymond Kopa,Karim Abed,Relatório da Partida,
Temporada regular,2,dom,2020-08-30,21:00 (16:00),Brest,2.6,2–3,1.0,Marseille,,Stade Francis-Le Blé,Amaury Delerue,Relatório da Partida,
Temporada regular,2,qui,2020-09-10,21:00 (16:00),Lens,1.5,1–0,0.4,Paris S-G,,Stade Bollaert-Delelis,Hakim Ben El Hadj Salem,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,3,sex,2020-09-11,21:00 (16:00),Bordeaux,0.3,0–0,2.0,Lyon,,Stade Matmut-Atlantique,Ruddy Buquet,Relatório da Partida,
Temporada regular,3,sáb,2020-09-12,17:00 (12:00),Montpellier,1.7,3–1,0.7,Nice,,Stade de la Mosson,Antony Gautier,Relatório da Partida,
Temporada regular,3,sáb,2020-09-12,21:00 (16:00),Saint-Étienne,2.0,2–0,1.4,Strasbourg,,Stade Geoffroy-Guichard,Eric Wattellier,Relatório da Partida,
Temporada regular,3,dom,2020-09-13,13:00 (08:00),Lille,1.5,1–0,0.8,Metz,,Stade Pierre-Mauroy,Jérémie Pignard,Relatório da Partida,
Temporada regular,3,dom,2020-09-13,15:00 (10:00),Lorient,1.0,2–3,2.0,Lens,,Stade Yves Allainmat - Le Moustoir,Aurélien Petit,Relatório da Partida,
Temporada regular,3,dom,2020-09-13,15:00 (10:00),Angers,2.0,1–0,0.4,Reims,,Stade Raymond Kopa,Benoît Bastien,Relatório da Partida,
Temporada regular,3,dom,2020-09-13,15:00 (10:00),Nîmes,1.3,2–4,2.1,Rennes,,Stade des Costières,Mikael Lesage,Relatório da Partida,
Temporada regular,3,dom,2020-09-13,15:00 (10:00),Dijon,0.3,0–2,1.9,Brest,,Stade Gaston Gérard,Bastien Dechepy,Relatório da Partida,
Temporada regular,3,dom,2020-09-13,17:00 (12:00),Monaco,2.3,2–1,1.2,Nantes,,Stade Louis II.,Clément Turpin,Relatório da Partida,
Temporada regular,3,dom,2020-09-13,21:00 (16:00),Paris S-G,2.4,0–1,0.7,Marseille,,Parc des Princes,Jérôme Brisard,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,1,ter,2020-09-15,21:00 (16:00),Montpellier,1.8,2–1,2.3,Lyon,,Stade de la Mosson,François Letexier,Relatório da Partida,
Temporada regular,1,qua,2020-09-16,21:00 (16:00),Paris S-G,2.2,1–0,0.9,Metz,,Parc des Princes,Mikael Lesage,Relatório da Partida,
Temporada regular,1,qui,2020-09-17,21:00 (16:00),Marseille,2.2,0–2,1.3,Saint-Étienne,,Orange Vélodrome,Ruddy Buquet,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,4,sex,2020-09-18,21:00 (16:00),Lyon,1.4,0–0,0.7,Nîmes,4.385,Groupama Stadium,Amaury Delerue,Relatório da Partida,
Temporada regular,4,sáb,2020-09-19,17:00 (12:00),Lens,3.1,2–1,0.4,Bordeaux,,Stade Bollaert-Delelis,Benoît Millot,Relatório da Partida,
Temporada regular,4,sáb,2020-09-19,21:00 (16:00),Rennes,1.0,2–1,0.9,Monaco,,Roazhon Park,Jérôme Miguelgorry,Relatório da Partida,
Temporada regular,4,dom,2020-09-20,13:00 (08:00),Nice,1.0,0–3,3.3,Paris S-G,,Stade de Nice,Benoît Bastien,Relatório da Partida,
Temporada regular,4,dom,2020-09-20,15:00 (10:00),Montpellier,1.6,4–1,1.1,Angers,,Stade de la Mosson,Stéphanie Frappart,Relatório da Partida,
Temporada regular,4,dom,2020-09-20,15:00 (10:00),Strasbourg,2.7,1–0,0.6,Dijon,,Stade de la Meinau,Florent Batta,Relatório da Partida,
Temporada regular,4,dom,2020-09-20,15:00 (10:00),Metz,1.7,2–1,1.2,Reims,,Stade Saint-Symphorien,Johan Hamel,Relatório da Partida,
Temporada regular,4,dom,2020-09-20,15:00 (10:00),Brest,1.1,3–2,1.7,Lorient,,Stade Francis-Le Blé,Karim Abed,Relatório da Partida,
Temporada regular,4,dom,2020-09-20,17:00 (12:00),Nantes,1.4,2–2,1.0,Saint-Étienne,,Stade de la Beaujoire - Louis Fonteneau,Antony Gautier,Relatório da Partida,
Temporada regular,4,dom,2020-09-20,21:00 (16:00),Marseille,0.7,1–1,1.5,Lille,,Orange Vélodrome,Hakim Ben El Hadj Salem,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,5,sex,2020-09-25,21:00 (16:00),Lille,1.8,2–0,0.8,Nantes,,Stade Pierre-Mauroy,Willy Delajod,Relatório da Partida,
Temporada regular,5,sáb,2020-09-26,17:00 (12:00),Saint-Étienne,0.3,0–3,1.0,Rennes,,Stade Geoffroy-Guichard,Benoît Bastien,Relatório da Partida,
Temporada regular,5,sáb,2020-09-26,21:00 (16:00),Marseille,0.9,1–1,1.1,Metz,,Orange Vélodrome,Eric Wattellier,Relatório da Partida,
Temporada regular,5,dom,2020-09-27,13:00 (08:00),Bordeaux,1.2,0–0,0.8,Nice,,Stade Matmut-Atlantique,François Letexier,Relatório da Partida,
Temporada regular,5,dom,2020-09-27,15:00 (10:00),Monaco,1.3,3–2,1.5,Strasbourg,,Stade Louis II.,Jérémie Pignard,Relatório da Partida,
Temporada regular,5,dom,2020-09-27,15:00 (10:00),Angers,1.1,3–2,3.0,Brest,,Stade Raymond Kopa,Jeremy Stinat,Relatório da Partida,
