Rodada,Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
Temporada regular,18,sáb,2016-12-17,20:00 (17:00),Lorient,2–1,Saint-Étienne,11.581,Stade Yves Allainmat - Le Moustoir,Mikael Lesage,Relatório da Partida,
Temporada regular,18,sáb,2016-12-17,20:00 (17:00),Toulouse,1–1,Nancy,15.061,Stadium Municipal,Bartolomeu Varela,Relatório da Partida,
Temporada regular,18,dom,2016-12-18,14:30 (11:30),Caen,3–0,Metz,16.849,Stade Michel d'Ornano,François Letexier,Relatório da Partida,
Temporada regular,18,dom,2016-12-18,15:00 (12:00),Nice,2–1,Dijon,29.229,Stade de Nice,Benoît Millot,Relatório da Partida,
Temporada regular,18,dom,2016-12-18,17:00 (14:00),Marseille,2–0,Lille,34.697,Orange Vélodrome,Benoît Bastien,Relatório da Partida,
Temporada regular,18,dom,2016-12-18,20:45 (17:45),Monaco,1–3,Lyon,13.129,Stade Louis II.,Ruddy Buquet,Relatório da Partida,
,,,,,,,,,,,,
Temporada regular,19,qua,2016-12-21,20:50 (17:50),Dijon,2–0,Toulouse,8.634,Stade Gaston Gérard,François Letexier,Relatório da Partida,
Temporada regular,19,qua,2016-12-21,20:50 (17:50),Nantes,1–0,Montpellier,22.108,Stade de la Beaujoire - Louis Fonteneau,Karim Abed,Relatório da Partida,
Temporada regular,19,qua,2016-12-21,20:50 (17:50),Bordeaux,0–0,Nice,27.614,Stade Matmut-Atlantique,Mikael Lesage,Relatório da Partida,
Temporada regular,19,qua,2016-12-21,20:50 (17:50),Bastia,1–2,Marseille,12.558,Stade Armand Césari,Benoît Millot,Relatório da Partida,
Temporada regular,19,qua,2016-12-21,20:50 (17:50),Saint-Étienne,0–0,Nancy,26.621,Stade Geoffroy-Guichard,Olivier Thual,Relatório da Partida,
Temporada regular,19,qua,2016-12-21,20:50 (17:50),Metz,2–2,Guingamp,14.091,Stade Saint-Symphorien,Sébastien Desiage,Relatório da Partida,
Temporada regular,19,qua,2016-12-21,20:50 (17:50),Lyon,2–0,Angers,32.098,Groupama Stadium,Franck Schneider,Relatório da Partida,
Temporada regular,19,qua,2016-12-21,20:50 (17:50),Paris S-G,5–0,Lorient,44.844,Parc des Princes,Johan Hamel,Relatório da Partida,
Temporada regular,19,qua,2016-12-21,20:50 (17:50),Monaco,2–1,Caen,4.319,Stade Louis II.,Bartolomeu Varela,Relatório da Partida,
Temporada regular,19,qua,2016-12-21,20:50 (17:50),Lille,1–1,Rennes,26.181,Stade Pierre-Mauroy,Jérôme Miguelgorry,Relatório da Partida,
,,,,,,,,,,,,
Temporada regular,20,sex,2017-01-13,20:45 (17:45),Lille,1–1,Saint-Étienne,36.879,Stade Pierre-Mauroy,Mikael Lesage,Relatório da Partida,
Temporada regular,20,sáb,2017-01-14,17:00 (14:00),Rennes,0–1,Paris S-G,29.054,Roazhon Park,Benoît Bastien,Relatório da Partida,
Temporada regular,20,sáb,2017-01-14,20:00 (17:00),Angers,1–1,Bordeaux,10.056,Stade Raymond Kopa,Johan Hamel,Relatório da Partida,
Temporada regular,20,sáb,2017-01-14,20:00 (17:00),Toulouse,0–1,Nantes,11.023,Stadium Municipal,Ruddy Buquet,Relatório da Partida,
Temporada regular,20,sáb,2017-01-14,20:00 (17:00),Nancy,1–0,Bastia,15.423,Stade Marcel Picot,Karim Abed,Relatório da Partida,
Temporada regular,20,sáb,2017-01-14,20:00 (17:00),Lorient,3–1,Guingamp,12.463,Stade Yves Allainmat - Le Moustoir,Sébastien Desiage,Relatório da Partida,
Temporada regular,20,sáb,2017-01-14,20:00 (17:00),Montpellier,1–1,Dijon,14.539,Stade de la Mosson,Jérôme Brisard,Relatório da Partida,
Temporada regular,20,dom,2017-01-15,15:00 (12:00),Nice,0–0,Metz,21.502,Stade de Nice,Bartolomeu Varela,Relatório da Partida,
Temporada regular,20,dom,2017-01-15,17:00 (14:00),Caen,3–2,Lyon,18.935,Stade Michel d'Ornano,Franck Schneider,Relatório da Partida,
Temporada regular,20,dom,2017-01-15,21:00 (18:00),Marseille,1–4,Monaco,43.814,Orange Vélodrome,Clément Turpin,Relatório da Partida,
,,,,,,,,,,,,
Temporada regular,17,qua,2017-01-18,20:00 (17:00),Nantes,1–0,Caen,17.818,Stade de la Beaujoire - Louis Fonteneau,Jérôme Miguelgorry,Relatório da Partida,
,,,,,,,,,,,,
Temporada regular,21,sex,2017-01-20,20:45 (17:45),Bastia,1–1,Nice,9.757,Stade Armand Césari,Clément Turpin,Relatório da Partida,
Temporada regular,21,sáb,2017-01-21,17:00 (14:00),Nantes,0–2,Paris S-G,32.858,Stade de la Beaujoire - Louis Fonteneau,Johan Hamel,Relatório da Partida,
Temporada regular,21,sáb,2017-01-21,20:00 (17:00),Metz,2–0,Montpellier,11.550,Stade Saint-Symphorien,Olivier Thual,Relatório da Partida,
Temporada regular,21,sáb,2017-01-21,20:00 (17:00),Bordeaux,1–0,Toulouse,17.323,Stade Matmut-Atlantique,François Letexier,Relatório da Partida,
Temporada regular,21,sáb,2017-01-21,20:00 (17:00),Dijon,0–0,Lille,7.828,Stade Gaston Gérard,Jérôme Miguelgorry,Relatório da Partida,
Temporada regular,21,sáb,2017-01-21,20:00 (17:00),Guingamp,1–1,Rennes,16.028,Stade du Roudourou,Tony Chapron,Relatório da Partida,
Temporada regular,21,dom,2017-01-22,15:00 (12:00),Monaco,4–0,Lorient,5.549,Stade Louis II.,Amaury Delerue,Relatório da Partida,
Temporada regular,21,dom,2017-01-22,17:00 (14:00),Saint-Étienne,2–1,Angers,20.456,Stade Geoffroy-Guichard,Benoît Bastien,Relatório da Partida,
Temporada regular,21,dom,2017-01-22,21:00 (18:00),Lyon,3–1,Marseille,48.147,Groupama Stadium,Ruddy Buquet,Relatório da Partida,
,,,,,,,,,,,,
Temporada regular,22,sex,2017-01-27,20:45 (17:45),Marseille,5–1,Montpellier,28.527,Orange Vélodrome,Tony Chapron,Relatório da Partida,
Temporada regular,22,sáb,2017-01-28,17:00 (14:00),Lyon,1–2,Lille,35.479,Groupama Stadium,Johan Hamel,Relatório da Partida,
Temporada regular,22,sáb,2017-01-28,20:00 (17:00),Lorient,2–3,Dijon,9.762,Stade Yves Allainmat - Le Moustoir,Olivier Thual,Relatório da Partida,
Temporada regular,22,sáb,2017-01-28,20:00 (17:00),Rennes,1–1,Nantes,23.664,Roazhon Park,Mikael Lesage,Relatório da Partida,
Temporada regular,22,sáb,2017-01-28,20:00 (17:00),Angers,2–1,Metz,10.540,Stade Raymond Kopa,Karim Abed,Relatório da Partida,
Temporada regular,22,sáb,2017-01-28,20:00 (17:00),Bastia,1–1,Caen,9.350,Stade Armand Césari,Amaury Delerue,Relatório da Partida,
Temporada regular,22,sáb,2017-01-28,20:00 (17:00),Nancy,0–2,Bordeaux,16.589,Stade Marcel Picot,Jérôme Brisard,Relatório da Partida,
Temporada regular,22,dom,2017-01-29,15:00 (12:00),Nice,3–1,Guingamp,20.063,Stade de Nice,Jérôme Miguelgorry,Relatório da Partida,
Temporada regular,22,dom,2017-01-29,17:00 (14:00),Toulouse,0–3,Saint-Étienne,12.950,Stadium Municipal,Bartolomeu Varela,Relatório da Partida,
Temporada regular,22,dom,2017-01-29,21:00 (18:00),Paris S-G,1–1,Monaco,47.238,Parc des Princes,Franck Schneider,Relatório da Partida,
,,,,,,,,,,,,
Temporada regular,23,sex,2017-02-03,20:45 (17:45),Metz,1–0,Marseille,21.011,Stade Saint-Symphorien,Mikael Lesage,Relatório da Partida,
Temporada regular,23,sáb,2017-02-04,17:00 (14:00),Monaco,3–0,Nice,16.049,Stade Louis II.,Benoît Bastien,Relatório da Partida,
Temporada regular,23,sáb,2017-02-04,20:00 (17:00),Montpellier,2–1,Bastia,8.960,Stade de la Mosson,Olivier Thual,Relatório da Partida,
Temporada regular,23,sáb,2017-02-04,20:00 (17:00),Dijon,1–3,Paris S-G,13.416,Stade Gaston Gérard,Amaury Delerue,Relatório da Partida,
Temporada regular,23,sáb,2017-02-04,20:00 (17:00),Bordeaux,1–1,Rennes,16.588,Stade Matmut-Atlantique,Sébastien Desiage,Relatório da Partida,
Temporada regular,23,sáb,2017-02-04,20:00 (17:00),Lille,0–1,Lorient,38.153,Stade Pierre-Mauroy,Jérôme Miguelgorry,Relatório da Partida,
Temporada regular,23,sáb,2017-02-04,20:00 (17:00),Guingamp,0–1,Caen,14.428,Stade du Roudourou,Johan Hamel,Relatório da Partida,
Temporada regular,23,dom,2017-02-05,15:00 (12:00),Toulouse,4–0,Angers,15.303,Stadium Municipal,Nicolas Rainville,Relatório da Partida,
Temporada regular,23,dom,2017-02-05,17:00 (14:00),Nantes,0–2,Nancy,20.250,Stade de la Beaujoire - Louis Fonteneau,Clément Turpin,Relatório da Partida,
Temporada regular,23,dom,2017-02-05,21:00 (18:00),Saint-Étienne,2–0,Lyon,37.029,Stade Geoffroy-Guichard,Tony Chapron,Relatório da Partida,
,,,,,,,,,,,,
Temporada regular,24,ter,2017-02-07,19:00 (16:00),Montpellier,1–2,Monaco,12.433,Stade de la Mosson,Mikael Lesage,Relatório da Partida,
Temporada regular,24,ter,2017-02-07,19:00 (16:00),Caen,0–4,Bordeaux,15.542,Stade Michel d'Ornano,Benoît Bastien,Relatório da Partida,
Temporada regular,24,ter,2017-02-07,21:00 (18:00),Paris S-G,2–1,Lille,42.885,Parc des Princes,François Letexier,Relatório da Partida,
Temporada regular,24,qua,2017-02-08,19:00 (16:00),Lyon,4–0,Nancy,28.349,Groupama Stadium,Bartolomeu Varela,Relatório da Partida,
Temporada regular,24,qua,2017-02-08,19:00 (16:00),Lorient,1–1,Toulouse,13.230,Stade Yves Allainmat - Le Moustoir,Karim Abed,Relatório da Partida,
Temporada regular,24,qua,2017-02-08,19:00 (16:00),Angers,0–0,Rennes,10.897,Stade Raymond Kopa,Clément Turpin,Relatório da Partida,
Temporada regular,24,qua,2017-02-08,19:00 (16:00),Metz,2–1,Dijon,11.971,Stade Saint-Symphorien,Sébastien Desiage,Relatório da Partida,
Temporada regular,24,qua,2017-02-08,19:00 (16:00),Nice,1–0,Saint-Étienne,18.225,Stade de Nice,Amaury Delerue,Relatório da Partida,
Temporada regular,24,qua,2017-02-08,21:00 (18:00),Marseille,2–0,Guingamp,28.560,Orange Vélodrome,Benoît Millot,Relatório da Partida,
,,,,,,,,,,,,
Temporada regular,25,sex,2017-02-10,20:45 (17:45),Bordeaux,0–3,Paris S-G,37.823,Stade Matmut-Atlantique,Nicolas Rainville,Relatório da Partida,
Temporada regular,25,sáb,2017-02-11,17:00 (14:00),Guingamp,2–1,Lyon,15.242,Stade du Roudourou,Franck Schneider,Relatório da Partida,
Temporada regular,25,sáb,2017-02-11,20:00 (17:00),Toulouse,4–1,Bastia,11.218,Stadium Municipal,Jérôme Miguelgorry,Relatório da Partida,
Temporada regular,25,sáb,2017-02-11,20:00 (17:00),Dijon,2–0,Caen,9.614,Stade Gaston Gérard,Jérôme Brisard,Relatório da Partida,
Temporada regular,25,sáb,2017-02-11,20:00 (17:00),Lille,1–2,Angers,25.731,Stade Pierre-Mauroy,Bartolomeu Varela,Relatório da Partida,
Temporada regular,25,sáb,2017-02-11,20:00 (17:00),Nancy,0–3,Montpellier,17.611,Stade Marcel Picot,Sébastien Desiage,Relatório da Partida,
Temporada regular,25,sáb,2017-02-11,20:00 (17:00),Monaco,5–0,Metz,6.069,Stade Louis II.,Olivier Thual,Relatório da Partida,
Temporada regular,25,dom,2017-02-12,15:00 (12:00),Rennes,2–2,Nice,25.665,Roazhon Park,Johan Hamel,Relatório da Partida,
Temporada regular,25,dom,2017-02-12,17:00 (14:00),Saint-Étienne,4–0,Lorient,25.498,Stade Geoffroy-Guichard,Benoît Millot,Relatório da Partida,
Temporada regular,25,dom,2017-02-12,21:00 (18:00),Nantes,3–2,Marseille,32.471,Stade de la Beaujoire - Louis Fonteneau,François Letexier,Relatório da Partida,
,,,,,,,,,,,,
Temporada regular,26,sex,2017-02-17,20:45 (17:45),Bastia,1–1,Monaco,10.059,Stade Armand Césari,Clément Turpin,Relatório da Partida,
Temporada regular,26,sáb,2017-02-18,17:00 (14:00),Marseille,2–0,Rennes,45.395,Orange Vélodrome,Franck Schneider,Relatório da Partida,
Temporada regular,26,sáb,2017-02-18,20:00 (17:00),Angers,1–0,Nancy,10.569,Stade Raymond Kopa,Olivier Thual,Relatório da Partida,
Temporada regular,26,sáb,2017-02-18,20:00 (17:00),Lorient,0–1,Nice,10.537,Stade Yves Allainmat - Le Moustoir,Tony Chapron,Relatório da Partida,
Temporada regular,26,sáb,2017-02-18,20:00 (17:00),Metz,1–1,Nantes,13.023,Stade Saint-Symphorien,Bartolomeu Varela,Relatório da Partida,
Temporada regular,26,sáb,2017-02-18,20:00 (17:00),Caen,0–1,Lille,15.897,Stade Michel d'Ornano,Karim Abed,Relatório da Partida,
Temporada regular,26,dom,2017-02-19,15:00 (11:00),Bordeaux,3–0,Guingamp,18.724,Stade Matmut-Atlantique,Johan Hamel,Relatório da Partida,
Temporada regular,26,dom,2017-02-19,17:00 (13:00),Lyon,4–2,Dijon,35.197,Groupama Stadium,Benoît Millot,Relatório da Partida,
Temporada regular,26,dom,2017-02-19,17:00 (13:00),Montpellier,2–1,Saint-Étienne,12.435,Stade de la Mosson,François Letexier,Relatório da Partida,
Temporada regular,26,dom,2017-02-19,21:00 (17:00),Paris S-G,0–0,Toulouse,45.492,Parc des Princes,Mikael Lesage,Relatório da Partida,
,,,,,,,,,,,,
Temporada regular,21,ter,2017-02-21,18:30 (14:30),Caen,1–0,Nancy,14.760,Stade Michel d'Ornano,Nicolas Rainville,Relatório da Partida,
,,,,,,,,,,,,
Temporada regular,27,sex,2017-02-24,19:00 (15:00),Nantes,3–1,Dijon,19.915,Stade de la Beaujoire - Louis Fonteneau,Tony Chapron,Relatório da Partida,
Temporada regular,27,sex,2017-02-24,20:45 (16:45),Nice,2–1,Montpellier,18.998,Stade de Nice,Franck Schneider,Relatório da Partida,
Temporada regular,27,sáb,2017-02-25,17:00 (13:00),Guingamp,1–2,Monaco,15.912,Stade du Roudourou,Amaury Delerue,Relatório da Partida,
Temporada regular,27,sáb,2017-02-25,20:00 (16:00),Rennes,1–0,Lorient,25.791,Roazhon Park,Nicolas Rainville,Relatório da Partida,
Temporada regular,27,sáb,2017-02-25,20:00 (16:00),Angers,3–0,Bastia,12.205,Stade Raymond Kopa,Karim Abed,Relatório da Partida,
Temporada regular,27,sáb,2017-02-25,20:00 (16:00),Lille,2–3,Bordeaux,28.772,Stade Pierre-Mauroy,Sébastien Desiage,Relatório da Partida,
Temporada regular,27,sáb,2017-02-25,20:00 (16:00),Nancy,0–0,Toulouse,16.323,Stade Marcel Picot,Benoît Millot,Relatório da Partida,
Temporada regular,27,dom,2017-02-26,15:00 (11:00),Saint-Étienne,0–1,Caen,26.196,Stade Geoffroy-Guichard,Ruddy Buquet,Relatório da Partida,
Temporada regular,27,dom,2017-02-26,17:00 (13:00),Lyon,5–0,Metz,32.488,Groupama Stadium,François Letexier,Relatório da Partida,
Temporada regular,27,dom,2017-02-26,21:00 (17:00),Marseille,1–5,Paris S-G,65.252,Orange Vélodrome,Benoît Bastien,Relatório da Partida,
,,,,,,,,,,,,
Temporada regular,24,qua,2017-03-01,19:30 (15:30),Bastia,2–2,Nantes,11.539,Stade Armand Césari,Ruddy Buquet,Relatório da Partida,
,,,,,,,,,,,,
Temporada regular,28,sex,2017-03-03,20:45 (16:45),Bordeaux,1–1,Lyon,31.511,Stade Matmut-Atlantique,Franck Schneider,Relatório da Partida,
Temporada regular,28,sáb,2017-03-04,17:00 (13:00),Paris S-G,1–0,Nancy,47.032,Parc des Princes,Antony Gautier,Relatório da Partida,
Temporada regular,28,sáb,2017-03-04,20:00 (16:00),Montpellier,1–1,Guingamp,9.182,Stade de la Mosson,Jérôme Brisard,Relatório da Partida,
Temporada regular,28,sáb,2017-03-04,20:00 (16:00),Caen,2–3,Angers,16.564,Stade Michel d'Ornano,Tony Chapron,Relatório da Partida,
Temporada regular,28,sáb,2017-03-04,20:00 (16:00),Dijon,0–1,Nice,10.209,Stade Gaston Gérard,Bartolomeu Varela,Relatório da Partida,
Temporada regular,28,sáb,2017-03-04,20:00 (16:00),Metz,1–1,Rennes,16.153,Stade Saint-Symphorien,Benoît Millot,Relatório da Partida,
Temporada regular,28,sáb,2017-03-04,20:00 (16:00),Bastia,0–0,Saint-Étienne,10.174,Stade Armand Césari,Nicolas Rainville,Relatório da Partida,
Temporada regular,28,dom,2017-03-05,15:00 (11:00),Lorient,1–4,Marseille,13.757,Stade Yves Allainmat - Le Moustoir,Clément Turpin,Relatório da Partida,
Temporada regular,28,dom,2017-03-05,17:00 (13:00),Toulouse,1–1,Lille,12.621,Stadium Municipal,Johan Hamel,Relatório da Partida,
Temporada regular,28,dom,2017-03-05,21:00 (17:00),Monaco,4–0,Nantes,7.649,Stade Louis II.,Mikael Lesage,Relatório da Partida,
,,,,,,,,,,,,
Temporada regular,29,sex,2017-03-10,19:00 (15:00),Nice,2–2,Caen,23.640,Stade de Nice,François Letexier,Relatório da Partida,
Temporada regular,29,sex,2017-03-10,20:45 (16:45),Marseille,3–0,Angers,33.954,Orange Vélodrome,Franck Schneider,Relatório da Partida,
Temporada regular,29,sáb,2017-03-11,16:45 (12:45),Monaco,2–1,Bordeaux,11.009,Stade Louis II.,Ruddy Buquet,Relatório da Partida,
Temporada regular,29,sáb,2017-03-11,20:00 (16:00),Nancy,1–2,Lille,17.500,Stade Marcel Picot,Amaury Delerue,Relatório da Partida,
Temporada regular,29,sáb,2017-03-11,20:00 (16:00),Montpellier,2–3,Nantes,10.722,Stade de la Mosson,Karim Abed,Relatório da Partida,
Temporada regular,29,sáb,2017-03-11,20:00 (16:00),Rennes,1–1,Dijon,19.067,Roazhon Park,Olivier Thual,Relatório da Partida,
Temporada regular,29,sáb,2017-03-11,20:00 (16:00),Guingamp,5–0,Bastia,14.419,Stade du Roudourou,Antony Gautier,Relatório da Partida,
Temporada regular,29,dom,2017-03-12,15:00 (11:00),Saint-Étienne,2–2,Metz,24.184,Stade Geoffroy-Guichard,Jérôme Miguelgorry,Relatório da Partida,
Temporada regular,29,dom,2017-03-12,17:00 (13:00),Lyon,4–0,Toulouse,34.463,Groupama Stadium,Benoît Bastien,Relatório da Partida,
Temporada regular,29,dom,2017-03-12,21:00 (17:00),Lorient,1–2,Paris S-G,13.643,Stade Yves Allainmat - Le Moustoir,Tony Chapron,Relatório da Partida,
,,,,,,,,,,,,
Temporada regular,30,sex,2017-03-17,19:00 (15:00),Metz,1–0,Bastia,17.006,Stade Saint-Symphorien,Johan Hamel,Relatório da Partida,
Temporada regular,30,sex,2017-03-17,20:45 (16:45),Lille,0–0,Marseille,40.485,Stade Pierre-Mauroy,Mikael Lesage,Relatório da Partida,
Temporada regular,30,sáb,2017-03-18,17:00 (13:00),Nantes,1–1,Nice,25.854,Stade de la Beaujoire - Louis Fonteneau,Benoît Millot,Relatório da Partida,
Temporada regular,30,sáb,2017-03-18,20:00 (16:00),Angers,3–0,Guingamp,13.490,Stade Raymond Kopa,Jérôme Brisard,Relatório da Partida,
Temporada regular,30,sáb,2017-03-18,20:00 (16:00),Bordeaux,5–1,Montpellier,19.341,Stade Matmut-Atlantique,Bartolomeu Varela,Relatório da Partida,
Temporada regular,30,sáb,2017-03-18,20:00 (16:00),Toulouse,0–0,Rennes,15.635,Stadium Municipal,Sébastien Desiage,Relatório da Partida,
Temporada regular,30,sáb,2017-03-18,20:00 (16:00),Nancy,2–3,Lorient,16.549,Stade Marcel Picot,Franck Schneider,Relatório da Partida,
Temporada regular,30,dom,2017-03-19,15:00 (11:00),Caen,0–3,Monaco,19.399,Stade Michel d'Ornano,Antony Gautier,Relatório da Partida,
Temporada regular,30,dom,2017-03-19,17:00 (13:00),Dijon,0–1,Saint-Étienne,12.960,Stade Gaston Gérard,Benoît Bastien,Relatório da Partida,
Temporada regular,30,dom,2017-03-19,21:00 (17:00),Paris S-G,2–1,Lyon,47.253,Parc des Princes,Clément Turpin,Relatório da Partida,
,,,,,,,,,,,,
Temporada regular,31,sex,2017-03-31,19:00 (14:00),Guingamp,1–0,Nancy,14.279,Stade du Roudourou,Jérôme Miguelgorry,Relatório da Partida,
Temporada regular,31,sáb,2017-04-01,17:00 (12:00),Marseille,1–1,Dijon,36.116,Orange Vélodrome,Johan Hamel,Relatório da Partida,
Temporada regular,31,sáb,2017-04-01,19:00 (14:00),Bastia,0–1,Lille,9.908,Stade Armand Césari,Benoît Millot,Relatório da Partida,
Temporada regular,31,dom,2017-04-02,15:00 (10:00),Rennes,1–1,Lyon,23.673,Roazhon Park,Antony Gautier,Relatório da Partida,
Temporada regular,31,dom,2017-04-02,17:00 (12:00),Lorient,1–0,Caen,14.149,Stade Yves Allainmat - Le Moustoir,Karim Abed,Relatório da Partida,
Temporada regular,31,dom,2017-04-02,17:00 (12:00),Nantes,2–1,Angers,28.192,Stade de la Beaujoire - Louis Fonteneau,Olivier Thual,Relatório da Partida,
Temporada regular,31,dom,2017-04-02,17:00 (12:00),Montpellier,0–1,Toulouse,22.217,Stade de la Mosson,Tony Chapron,Relatório da Partida,
Temporada regular,31,dom,2017-04-02,21:00 (16:00),Nice,2–1,Bordeaux,19.669,Stade de Nice,Benoît Bastien,Relatório da Partida,
,,,,,,,,,,,,
Temporada regular,16,qua,2017-04-05,19:00 (14:00),Metz,0–3,Lyon,,Stade Saint-Symphorien,Ruddy Buquet,Relatório da Partida,
,,,,,,,,,,,,
Temporada regular,32,sex,2017-04-07,20:45 (15:45),Lille,1–2,Nice,32.107,Stade Pierre-Mauroy,Amaury Delerue,Relatório da Partida,
Temporada regular,32,sáb,2017-04-08,17:00 (12:00),Angers,0–1,Monaco,15.235,Stade Raymond Kopa,Bartolomeu Varela,Relatório da Partida,
Temporada regular,32,sáb,2017-04-08,20:00 (15:00),Bordeaux,3–0,Metz,19.835,Stade Matmut-Atlantique,Sébastien Desiage,Relatório da Partida,
Temporada regular,32,sáb,2017-04-08,20:00 (15:00),Caen,0–2,Montpellier,17.286,Stade Michel d'Ornano,Franck Schneider,Relatório da Partida,
Temporada regular,32,sáb,2017-04-08,20:00 (15:00),Dijon,1–2,Bastia,11.712,Stade Gaston Gérard,François Letexier,Relatório da Partida,
Temporada regular,32,sáb,2017-04-08,20:00 (15:00),Lyon,1–4,Lorient,35.595,Groupama Stadium,Nicolas Rainville,Relatório da Partida,
Temporada regular,32,sáb,2017-04-08,20:00 (15:00),Nancy,3–0,Rennes,18.009,Stade Marcel Picot,Jérôme Brisard,Relatório da Partida,
Temporada regular,32,dom,2017-04-09,15:00 (10:00),Toulouse,0–0,Marseille,29.430,Stadium Municipal,Mikael Lesage,Relatório da Partida,
Temporada regular,32,dom,2017-04-09,17:00 (12:00),Saint-Étienne,1–1,Nantes,30.134,Stade Geoffroy-Guichard,Clément Turpin,Relatório da Partida,
Temporada regular,32,dom,2017-04-09,21:00 (16:00),Paris S-G,4–0,Guingamp,45.944,Parc des Princes,Ruddy Buquet,Relatório da Partida,
,,,,,,,,,,,,
Temporada regular,33,sex,2017-04-14,20:45 (15:45),Angers,0–2,Paris S-G,15.909,Stade Raymond Kopa,Tony Chapron,Relatório da Partida,
Temporada regular,33,sáb,2017-04-15,17:00 (12:00),Nice,3–1,Nancy,22.518,Stade de Nice,Mikael Lesage,Relatório da Partida,
Temporada regular,33,sáb,2017-04-15,20:00 (15:00),Rennes,2–0,Lille,24.056,Roazhon Park,Karim Abed,Relatório da Partida,
Temporada regular,33,sáb,2017-04-15,20:00 (15:00),Metz,2–2,Caen,16.038,Stade Saint-Symphorien,Bartolomeu Varela,Relatório da Partida,
Temporada regular,33,sáb,2017-04-15,20:00 (15:00),Montpellier,2–0,Lorient,9.294,Stade de la Mosson,Olivier Thual,Relatório da Partida,
Temporada regular,33,sáb,2017-04-15,20:00 (15:00),Guingamp,2–1,Toulouse,15.871,Stade du Roudourou,Antony Gautier,Relatório da Partida,
Temporada regular,33,sáb,2017-04-15,21:00 (16:00),Monaco,2–1,Dijon,9.069,Stade Louis II.,Jérôme Miguelgorry,Relatório da Partida,
Temporada regular,33,dom,2017-04-16,15:00 (10:00),Nantes,0–1,Bordeaux,26.373,Stade de la Beaujoire - Louis Fonteneau,François Letexier,Relatório da Partida,
Temporada regular,33,dom,2017-04-16,17:00 (12:00),Bastia,0–0,Lyon,,Stade Armand Césari,Amaury Delerue,Relatório da Partida,Partida concedida a Lyon
Temporada regular,33,dom,2017-04-16,21:00 (16:00),Marseille,4–0,Saint-Étienne,54.100,Orange Vélodrome,Benoît Millot,Relatório da Partida,
,,,,,,,,,,,,
Temporada regular,31,ter,2017-04-18,18:30 (13:30),Metz,2–3,Paris S-G,20.693,Stade Saint-Symphorien,Johan Hamel,Relatório da Partida,
,,,,,,,,,,,,
Temporada regular,34,sex,2017-04-21,20:45 (15:45),Nancy,0–0,Marseille,20.087,Stade Marcel Picot,Nicolas Rainville,Relatório da Partida,
Temporada regular,34,sáb,2017-04-22,17:00 (12:00),Paris S-G,2–0,Montpellier,45.778,Parc des Princes,Mikael Lesage,Relatório da Partida,
Temporada regular,34,sáb,2017-04-22,20:00 (15:00),Caen,0–2,Nantes,15.972,Stade Michel d'Ornano,Jérôme Brisard,Relatório da Partida,
Temporada regular,34,sáb,2017-04-22,20:00 (15:00),Bordeaux,2–0,Bastia,25.487,Stade Matmut-Atlantique,Tony Chapron,Relatório da Partida,
Temporada regular,34,sáb,2017-04-22,20:00 (15:00),Lorient,5–1,Metz,14.114,Stade Yves Allainmat - Le Moustoir,Antony Gautier,Relatório da Partida,
Temporada regular,34,sáb,2017-04-22,20:00 (15:00),Dijon,3–2,Angers,10.418,Stade Gaston Gérard,Sébastien Desiage,Relatório da Partida,
Temporada regular,34,sáb,2017-04-22,20:00 (15:00),Lille,3–0,Guingamp,28.848,Stade Pierre-Mauroy,Clément Turpin,Relatório da Partida,
Temporada regular,34,dom,2017-04-23,15:00 (10:00),Toulouse,1–1,Nice,15.232,Stadium Municipal,Franck Schneider,Relatório da Partida,
Temporada regular,34,dom,2017-04-23,17:00 (12:00),Saint-Étienne,1–1,Rennes,,Stade Geoffroy-Guichard,Ruddy Buquet,Relatório da Partida,
Temporada regular,34,dom,2017-04-23,21:15 (16:15),Lyon,1–2,Monaco,44.411,Groupama Stadium,Benoît Bastien,Relatório da Partida,
,,,,,,,,,,,,
Temporada regular,35,sex,2017-04-28,20:45 (15:45),Angers,1–2,Lyon,14.699,Stade Raymond Kopa,Antony Gautier,Relatório da Partida,
Temporada regular,35,sáb,2017-04-29,17:00 (12:00),Monaco,3–1,Toulouse,9.169,Stade Louis II.,Mikael Lesage,Relatório da Partida,
Temporada regular,35,sáb,2017-04-29,20:00 (15:00),Bastia,1–0,Rennes,,Stade Armand Césari,Jérôme Miguelgorry,Relatório da Partida,
Temporada regular,35,sáb,2017-04-29,20:00 (15:00),Montpellier,0–3,Lille,10.139,Stade de la Mosson,Benoît Bastien,Relatório da Partida,
Temporada regular,35,sáb,2017-04-29,20:00 (15:00),Metz,2–1,Nancy,20.009,Stade Saint-Symphorien,François Letexier,Relatório da Partida,
Temporada regular,35,sáb,2017-04-29,20:00 (15:00),Guingamp,0–2,Saint-Étienne,15.058,Stade du Roudourou,Olivier Thual,Relatório da Partida,
Temporada regular,35,sáb,2017-04-29,20:00 (15:00),Nantes,1–0,Lorient,22.090,Stade de la Beaujoire - Louis Fonteneau,Johan Hamel,Relatório da Partida,
Temporada regular,35,dom,2017-04-30,15:00 (10:00),Caen,1–5,Marseille,20.054,Stade Michel d'Ornano,Amaury Delerue,Relatório da Partida,
