Rodada,Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
Temporada regular,4,dom,2016-09-11,20:45 (15:45),Nice,3–2,Marseille,31.194,Stade de Nice,Franck Schneider,Relatório da Partida,
,,,,,,,,,,,,
Temporada regular,5,sex,2016-09-16,20:45 (15:45),Caen,0–6,Paris S-G,740,Stade Michel d'Ornano,Clément Turpin,Relatório da Partida,
Temporada regular,5,sáb,2016-09-17,17:00 (12:00),Monaco,3–0,Rennes,4.000,Stade Louis II.,Franck Schneider,Relatório da Partida,
Temporada regular,5,sáb,2016-09-17,20:00 (15:00),Dijon,0–0,Metz,8.336,Stade Gaston Gérard,Bartolomeu Varela,Relatório da Partida,
Temporada regular,5,sáb,2016-09-17,20:00 (15:00),Toulouse,2–1,Guingamp,12.109,Stadium Municipal,Johan Hamel,Relatório da Partida,
Temporada regular,5,sáb,2016-09-17,20:00 (15:00),Bordeaux,0–1,Angers,18.129,Stade Matmut-Atlantique,Olivier Thual,Relatório da Partida,
Temporada regular,5,sáb,2016-09-17,20:00 (15:00),Lorient,1–0,Lille,8.926,Stade Yves Allainmat - Le Moustoir,Karim Abed,Relatório da Partida,
Temporada regular,5,sáb,2016-09-17,20:00 (15:00),Nancy,1–1,Nantes,17.034,Stade Marcel Picot,Tony Chapron,Relatório da Partida,
Temporada regular,5,dom,2016-09-18,15:00 (10:00),Montpellier,1–1,Nice,12.272,Stade de la Mosson,Lionel Jaffredo,Relatório da Partida,
Temporada regular,5,dom,2016-09-18,17:00 (12:00),Saint-Étienne,1–0,Bastia,22.245,Stade Geoffroy-Guichard,François Letexier,Relatório da Partida,
Temporada regular,5,dom,2016-09-18,20:45 (15:45),Marseille,0–0,Lyon,32.564,Orange Vélodrome,Antony Gautier,Relatório da Partida,
,,,,,,,,,,,,
Temporada regular,6,ter,2016-09-20,19:00 (14:00),Lille,1–2,Toulouse,23.323,Stade Pierre-Mauroy,Jérôme Miguelgorry,Relatório da Partida,
Temporada regular,6,ter,2016-09-20,21:00 (16:00),Paris S-G,3–0,Dijon,42.484,Parc des Princes,Olivier Thual,Relatório da Partida,
Temporada regular,6,qua,2016-09-21,19:00 (14:00),Nantes,0–0,Saint-Étienne,18.823,Stade de la Beaujoire - Louis Fonteneau,Amaury Delerue,Relatório da Partida,
Temporada regular,6,qua,2016-09-21,19:00 (14:00),Guingamp,1–0,Lorient,13.175,Stade du Roudourou,Benoît Millot,Relatório da Partida,
Temporada regular,6,qua,2016-09-21,19:00 (14:00),Metz,0–3,Bordeaux,15.711,Stade Saint-Symphorien,Mikael Lesage,Relatório da Partida,
Temporada regular,6,qua,2016-09-21,19:00 (14:00),Bastia,0–0,Nancy,9.193,Stade Armand Césari,Johan Hamel,Relatório da Partida,
Temporada regular,6,qua,2016-09-21,19:00 (14:00),Lyon,5–1,Montpellier,32.193,Groupama Stadium,Bartolomeu Varela,Relatório da Partida,
Temporada regular,6,qua,2016-09-21,19:00 (14:00),Nice,4–0,Monaco,21.867,Stade de Nice,Benoît Bastien,Relatório da Partida,
Temporada regular,6,qua,2016-09-21,19:00 (14:00),Angers,2–1,Caen,10.504,Stade Raymond Kopa,François Letexier,Relatório da Partida,
Temporada regular,6,qua,2016-09-21,21:00 (16:00),Rennes,3–2,Marseille,21.583,Roazhon Park,Ruddy Buquet,Relatório da Partida,
,,,,,,,,,,,,
Temporada regular,7,sex,2016-09-23,20:45 (15:45),Toulouse,2–0,Paris S-G,28.682,Stadium Municipal,Franck Schneider,Relatório da Partida,
Temporada regular,7,sáb,2016-09-24,17:00 (12:00),Lorient,1–0,Lyon,10.628,Stade Yves Allainmat - Le Moustoir,Mikael Lesage,Relatório da Partida,
Temporada regular,7,sáb,2016-09-24,20:00 (15:00),Monaco,2–1,Angers,6.019,Stade Louis II.,Jérôme Miguelgorry,Relatório da Partida,
Temporada regular,7,sáb,2016-09-24,20:00 (15:00),Bastia,1–0,Guingamp,9.387,Stade Armand Césari,Amaury Delerue,Relatório da Partida,
Temporada regular,7,sáb,2016-09-24,20:00 (15:00),Montpellier,0–1,Metz,9.752,Stade de la Mosson,Tony Chapron,Relatório da Partida,
Temporada regular,7,sáb,2016-09-24,20:00 (15:00),Dijon,3–0,Rennes,8.148,Stade Gaston Gérard,Sébastien Moreira,Relatório da Partida,
Temporada regular,7,sáb,2016-09-24,20:00 (15:00),Bordeaux,0–0,Caen,17.476,Stade Matmut-Atlantique,Karim Abed,Relatório da Partida,
Temporada regular,7,dom,2016-09-25,15:00 (10:00),Saint-Étienne,3–1,Lille,24.700,Stade Geoffroy-Guichard,Benoît Millot,Relatório da Partida,
Temporada regular,7,dom,2016-09-25,17:00 (12:00),Nancy,0–1,Nice,17.580,Stade Marcel Picot,Antony Gautier,Relatório da Partida,
