Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
1,sáb,2010-08-07,,Lyon,0–0,Monaco,,Stade Municipal de Gerland,Lionel Jaffredo,Relatório da Partida,
1,sáb,2010-08-07,,Auxerre,2–2,Lorient,,Stade Abbé Deschamps,Bruno Coué,Relatório da Partida,
1,sáb,2010-08-07,,Lens,1–2,Nancy,,Stade Bollaert,Ruddy Buquet,Relatório da Partida,
1,sáb,2010-08-07,,Sochaux,2–1,Arles-Avignon,,Stade Bonal,Jean-Charles Cailleux,Relatório da Partida,
1,sáb,2010-08-07,,Nice,0–0,Valenciennes,,Allianz Riviera,Laurent Duhamel,Relatório da Partida,
1,sáb,2010-08-07,,Toulouse,2–0,Brest,,Stadium,Nicolas Rainville,Relatório da Partida,
1,sáb,2010-08-07,,Marseille,1–2,Caen,,Stade Vélodrome,Alexandre Castro,Relatório da Partida,
1,sáb,2010-08-07,,Paris S-G,3–1,Saint-Étienne,,Parc des Princes,Olivier Thual,Relatório da Partida,
1,sáb,2010-08-07,,Rennes,1–1,Lille,,ROAZHON PARK,Sébastien Moreira,Relatório da Partida,
1,dom,2010-08-08,,Montpellier,1–0,Bordeaux,,Stade de la Mosson et du Mondial 98,Saïd Ennjimi,Relatório da Partida,
,,,,,,,,,,,
2,sáb,2010-08-14,,Nancy,0–3,Rennes,,Stade Marcel Picot,Alexandre Castro,Relatório da Partida,
2,sáb,2010-08-14,,Saint-Étienne,3–2,Sochaux,,Stade Geoffroy,Clément Turpin,Relatório da Partida,
2,sáb,2010-08-14,,Arles-Avignon,0–1,Lens,,Parc des Sports,Bartolomeu Varela,Relatório da Partida,
2,sáb,2010-08-14,,Lorient,1–2,Nice,,Stade Yves Allainmat,Philippe Malige,Relatório da Partida,
2,sáb,2010-08-14,,Brest,1–1,Auxerre,,Stade Francis,Pascal Viléo,Relatório da Partida,
2,sáb,2010-08-14,,Valenciennes,3–2,Marseille,,Stade Nungesser,Sébastien Moreira,Relatório da Partida,
2,dom,2010-08-15,,Lille,0–0,Paris S-G,,Stadium Lille Métropole,Fredy Fautrel,Relatório da Partida,
2,dom,2010-08-15,,Bordeaux,1–2,Toulouse,,Stade Chaban,Hervé Piccirillo,Relatório da Partida,
2,dom,2010-08-15,,Caen,3–2,Lyon,,Stade Michel d'Ornano,Olivier Thual,Relatório da Partida,
2,ter,2010-08-17,,Monaco,0–0,Montpellier,,Stade Louis II,Philippe Kalt,Relatório da Partida,
,,,,,,,,,,,
3,sáb,2010-08-21,,Rennes,0–0,Saint-Étienne,,ROAZHON PARK,Nicolas Rainville,Relatório da Partida,
3,sáb,2010-08-21,,Lyon,1–0,Brest,,Stade Municipal de Gerland,Philippe Kalt,Relatório da Partida,
3,sáb,2010-08-21,,Nice,1–1,Nancy,,Allianz Riviera,Saïd Ennjimi,Relatório da Partida,
3,sáb,2010-08-21,,Auxerre,1–1,Valenciennes,,Stade Abbé Deschamps,Jean-Charles Cailleux,Relatório da Partida,
3,sáb,2010-08-21,,Toulouse,2–1,Arles-Avignon,,Stadium,Lionel Jaffredo,Relatório da Partida,
