Data;Em casa;Resultado;Visitante;Relatório da Partida;Season;home_goal;away_goal
2015-08-21;Málaga;0–0;Sevilla;Relatório da Partida;2015;0;0
2015-08-22;La Coruña;0–0;Real Sociedad;Relatório da Partida;2015;0;0
2015-08-22;Espanyol;1–0;Getafe;Relatório da Partida;2015;1;0
2015-08-22;Atlético Madrid;1–0;Las Palmas;Relatório da Partida;2015;1;0
2015-08-22;Rayo Vallecano;0–0;Valencia;Relatório da Partida;2015;0;0
2015-08-23;Athletic Club;0–1;Barcelona;Relatório da Partida;2015;0;1
2015-08-23;Sporting Gijón;0–0;Real Madrid;Relatório da Partida;2015;0;0
2015-08-23;Levante;1–2;Celta Vigo;Relatório da Partida;2015;1;2
2015-08-23;Betis;1–1;Villarreal;Relatório da Partida;2015;1;1
2015-08-24;Granada;1–3;Eibar;Relatório da Partida;2015;1;3
2015-08-28;Villarreal;3–1;Espanyol;Relatório da Partida;2015;3;1
2015-08-29;Real Sociedad;0–0;Sporting Gijón;Relatório da Partida;2015;0;0
2015-08-29;Barcelona;1–0;Málaga;Relatório da Partida;2015;1;0
2015-08-29;Celta Vigo;3–0;Rayo Vallecano;Relatório da Partida;2015;3;0
2015-08-29;Real Madrid;5–0;Betis;Relatório da Partida;2015;5;0
2015-08-30;Eibar;2–0;Athletic Club;Relatório da Partida;2015;2;0
2015-08-30;Valencia;1–1;La Coruña;Relatório da Partida;2015;1;1
2015-08-30;Sevilla;0–3;Atlético Madrid;Relatório da Partida;2015;0;3
2015-08-30;Las Palmas;0–0;Levante;Relatório da Partida;2015;0;0
2015-08-30;Getafe;1–2;Granada;Relatório da Partida;2015;1;2
2015-09-11;Levante;1–1;Sevilla;Relatório da Partida;2015;1;1
2015-09-12;Espanyol;0–6;Real Madrid;Relatório da Partida;2015;0;6
2015-09-12;Sporting Gijón;0–1;Valencia;Relatório da Partida;2015;0;1
2015-09-12;Atlético Madrid;1–2;Barcelona;Relatório da Partida;2015;1;2
2015-09-12;Betis;1–0;Real Sociedad;Relatório da Partida;2015;1;0
2015-09-13;Granada;1–3;Villarreal;Relatório da Partida;2015;1;3
2015-09-13;Athletic Club;3–1;Getafe;Relatório da Partida;2015;3;1
2015-09-13;Celta Vigo;3–3;Las Palmas;Relatório da Partida;2015;3;3
2015-09-13;Málaga;0–0;Eibar;Relatório da Partida;2015;0;0
2015-09-14;Rayo Vallecano;1–3;La Coruña;Relatório da Partida;2015;1;3
2015-09-18;Getafe;1–0;Málaga;Relatório da Partida;2015;1;0
2015-09-19;Real Madrid;1–0;Granada;Relatório da Partida;2015;1;0
2015-09-19;Valencia;0–0;Betis;Relatório da Partida;2015;0;0
2015-09-19;Eibar;0–2;Atlético Madrid;Relatório da Partida;2015;0;2
2015-09-19;Real Sociedad;2–3;Espanyol;Relatório da Partida;2015;2;3
2015-09-20;Sevilla;1–2;Celta Vigo;Relatório da Partida;2015;1;2
2015-09-20;La Coruña;2–3;Sporting Gijón;Relatório da Partida;2015;2;3
2015-09-20;Villarreal;3–1;Athletic Club;Relatório da Partida;2015;3;1
2015-09-20;Las Palmas;0–1;Rayo Vallecano;Relatório da Partida;2015;0;1
2015-09-20;Barcelona;4–1;Levante;Relatório da Partida;2015;4;1
2015-09-22;Espanyol;1–0;Valencia;Relatório da Partida;2015;1;0
2015-09-22;Atlético Madrid;2–0;Getafe;Relatório da Partida;2015;2;0
2015-09-22;Granada;0–3;Real Sociedad;Relatório da Partida;2015;0;3
2015-09-23;Levante;2–2;Eibar;Relatório da Partida;2015;2;2
2015-09-23;Rayo Vallecano;2–1;Sporting Gijón;Relatório da Partida;2015;2;1
2015-09-23;Celta Vigo;4–1;Barcelona;Relatório da Partida;2015;4;1
2015-09-23;Las Palmas;2–0;Sevilla;Relatório da Partida;2015;2;0
2015-09-23;Athletic Club;1–2;Real Madrid;Relatório da Partida;2015;1;2
2015-09-23;Málaga;0–1;Villarreal;Relatório da Partida;2015;0;1
2015-09-24;Betis;1–2;La Coruña;Relatório da Partida;2015;1;2
2015-09-25;Valencia;1–0;Granada;Relatório da Partida;2015;1;0
2015-09-26;Barcelona;2–1;Las Palmas;Relatório da Partida;2015;2;1
2015-09-26;Real Madrid;0–0;Málaga;Relatório da Partida;2015;0;0
2015-09-26;Villarreal;1–0;Atlético Madrid;Relatório da Partida;2015;1;0
2015-09-26;Sevilla;3–2;Rayo Vallecano;Relatório da Partida;2015;3;2
2015-09-26;Eibar;1–1;Celta Vigo;Relatório da Partida;2015;1;1
2015-09-27;Sporting Gijón;1–2;Betis;Relatório da Partida;2015;1;2
2015-09-27;La Coruña;3–0;Espanyol;Relatório da Partida;2015;3;0
2015-09-27;Getafe;3–0;Levante;Relatório da Partida;2015;3;0
2015-09-27;Real Sociedad;0–0;Athletic Club;Relatório da Partida;2015;0;0
2015-10-02;Celta Vigo;0–0;Getafe;Relatório da Partida;2015;0;0
2015-10-03;Sevilla;2–1;Barcelona;Relatório da Partida;2015;2;1
2015-10-03;Granada;1–1;La Coruña;Relatório da Partida;2015;1;1
2015-10-03;Espanyol;1–2;Sporting Gijón;Relatório da Partida;2015;1;2
2015-10-03;Las Palmas;0–2;Eibar;Relatório da Partida;2015;0;2
2015-10-03;Málaga;3–1;Real Sociedad;Relatório da Partida;2015;3;1
2015-10-04;Rayo Vallecano;0–2;Betis;Relatório da Partida;2015;0;2
2015-10-04;Athletic Club;3–1;Valencia;Relatório da Partida;2015;3;1
2015-10-04;Levante;1–0;Villarreal;Relatório da Partida;2015;1;0
2015-10-04;Atlético Madrid;1–1;Real Madrid;Relatório da Partida;2015;1;1
2015-10-17;Real Madrid;3–0;Levante;Relatório da Partida;2015;3;0
2015-10-17;Eibar;1–1;Sevilla;Relatório da Partida;2015;1;1
2015-10-17;Barcelona;5–2;Rayo Vallecano;Relatório da Partida;2015;5;2
2015-10-17;Valencia;3–0;Málaga;Relatório da Partida;2015;3;0
2015-10-17;Betis;1–3;Espanyol;Relatório da Partida;2015;1;3
2015-10-18;Villarreal;1–2;Celta Vigo;Relatório da Partida;2015;1;2
2015-10-18;Real Sociedad;0–2;Atlético Madrid;Relatório da Partida;2015;0;2
