Data;Em casa;Resultado;Visitante;Relatório da Partida;Season;home_goal;away_goal
2013-08-17;Valladolid;1–2;Athletic Club;Relatório da Partida;2013;1;2
2013-08-17;Valencia;1–0;Málaga;Relatório da Partida;2013;1;0
2013-08-17;Real Sociedad;2–0;Getafe;Relatório da Partida;2013;2;0
2013-08-18;Real Madrid;2–1;Betis;Relatório da Partida;2013;2;1
2013-08-18;Barcelona;7–0;Levante;Relatório da Partida;2013;7;0
2013-08-18;Sevilla;1–3;Atlético Madrid;Relatório da Partida;2013;1;3
2013-08-18;Osasuna;1–2;Granada;Relatório da Partida;2013;1;2
2013-08-19;Rayo Vallecano;3–0;Elche;Relatório da Partida;2013;3;0
2013-08-19;Celta Vigo;2–2;Espanyol;Relatório da Partida;2013;2;2
2013-08-19;Almería;2–3;Villarreal;Relatório da Partida;2013;2;3
2013-08-23;Getafe;2–2;Almería;Relatório da Partida;2013;2;2
2013-08-23;Athletic Club;2–0;Osasuna;Relatório da Partida;2013;2;0
2013-08-24;Espanyol;3–1;Valencia;Relatório da Partida;2013;3;1
2013-08-24;Villarreal;2–1;Valladolid;Relatório da Partida;2013;2;1
2013-08-24;Elche;1–1;Real Sociedad;Relatório da Partida;2013;1;1
2013-08-25;Atlético Madrid;5–0;Rayo Vallecano;Relatório da Partida;2013;5;0
2013-08-25;Betis;1–2;Celta Vigo;Relatório da Partida;2013;1;2
2013-08-25;Levante;0–0;Sevilla;Relatório da Partida;2013;0;0
2013-08-25;Málaga;0–1;Barcelona;Relatório da Partida;2013;0;1
2013-08-26;Granada;0–1;Real Madrid;Relatório da Partida;2013;0;1
2013-08-30;Rayo Vallecano;1–2;Levante;Relatório da Partida;2013;1;2
2013-08-30;Almería;2–2;Elche;Relatório da Partida;2013;2;2
2013-08-31;Celta Vigo;1–1;Granada;Relatório da Partida;2013;1;1
2013-08-31;Osasuna;0–3;Villarreal;Relatório da Partida;2013;0;3
2013-08-31;Valladolid;1–0;Getafe;Relatório da Partida;2013;1;0
2013-09-01;Espanyol;0–0;Betis;Relatório da Partida;2013;0;0
2013-09-01;Valencia;2–3;Barcelona;Relatório da Partida;2013;2;3
