Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
1,sáb,2007-08-11,,Middlesbrough,1–2,Blackburn,,,Andre Marriner,Relatório da Partida,
1,sáb,2007-08-11,,Everton,2–1,Wigan Athletic,,,Mark Clattenburg,Relatório da Partida,
1,sáb,2007-08-11,,West Ham,0–2,Manchester City,,,Peter Walton,Relatório da Partida,
1,sáb,2007-08-11,,Bolton,1–3,Newcastle Utd,,,Chris Foy,Relatório da Partida,
1,sáb,2007-08-11,,Aston Villa,1–2,Liverpool,,,Mike Riley,Relatório da Partida,
1,sáb,2007-08-11,,Sunderland,1–0,Tottenham,,,Alan Wiley,Relatório da Partida,
1,sáb,2007-08-11,,Derby County,2–2,Portsmouth,,,Mike Dean,Relatório da Partida,
1,dom,2007-08-12,,Manchester Utd,0–0,Reading,,,Rob Styles,Relatório da Partida,
1,dom,2007-08-12,,Arsenal,2–1,Fulham,,,Phil Dowd,Relatório da Partida,
1,dom,2007-08-12,,Chelsea,3–2,Birmingham City,,,Stephen Bennett,Relatório da Partida,
,,,,,,,,,,,
2,ter,2007-08-14,,Tottenham,1–3,Everton,,,Mark Halsey,Relatório da Partida,
2,qua,2007-08-15,,Birmingham City,2–2,Sunderland,,,Keith Stroud,Relatório da Partida,
2,qua,2007-08-15,,Portsmouth,1–1,Manchester Utd,,,Stephen Bennett,Relatório da Partida,
2,qua,2007-08-15,,Fulham,2–1,Bolton,,,Lee Probert,Relatório da Partida,
2,qua,2007-08-15,,Manchester City,1–0,Derby County,,,Lee Mason,Relatório da Partida,
2,qua,2007-08-15,,Wigan Athletic,1–0,Middlesbrough,,,Steve Tanner,Relatório da Partida,
2,qua,2007-08-15,,Reading,1–2,Chelsea,,,Mike Dean,Relatório da Partida,
,,,,,,,,,,,
3,sáb,2007-08-18,,Birmingham City,0–1,West Ham,,,Mark Halsey,Relatório da Partida,
3,sáb,2007-08-18,,Tottenham,4–0,Derby County,,,Chris Foy,Relatório da Partida,
3,sáb,2007-08-18,,Portsmouth,3–1,Bolton,,,Steve Tanner,Relatório da Partida,
3,sáb,2007-08-18,,Fulham,1–2,Middlesbrough,,,Lee Mason,Relatório da Partida,
3,sáb,2007-08-18,,Wigan Athletic,3–0,Sunderland,,,Mike Riley,Relatório da Partida,
3,sáb,2007-08-18,,Newcastle Utd,0–0,Aston Villa,,,Howard Webb,Relatório da Partida,
3,sáb,2007-08-18,,Reading,1–0,Everton,,,Stephen Bennett,Relatório da Partida,
3,dom,2007-08-19,,Manchester City,1–0,Manchester Utd,,,Mark Clattenburg,Relatório da Partida,
3,dom,2007-08-19,,Liverpool,1–1,Chelsea,,,Rob Styles,Relatório da Partida,
3,dom,2007-08-19,,Blackburn,1–1,Arsenal,,,Alan Wiley,Relatório da Partida,
,,,,,,,,,,,
4,sáb,2007-08-25,,Arsenal,1–0,Manchester City,,,Chris Foy,Relatório da Partida,
4,sáb,2007-08-25,,Sunderland,0–2,Liverpool,,,Mark Halsey,Relatório da Partida,
4,sáb,2007-08-25,,Chelsea,1–0,Portsmouth,,,Alan Wiley,Relatório da Partida,
4,sáb,2007-08-25,,West Ham,1–1,Wigan Athletic,,,Andre Marriner,Relatório da Partida,
4,sáb,2007-08-25,,Aston Villa,2–1,Fulham,,,Stephen Bennett,Relatório da Partida,
4,sáb,2007-08-25,,Bolton,3–0,Reading,,,Mark Clattenburg,Relatório da Partida,
4,sáb,2007-08-25,,Derby County,1–2,Birmingham City,,,Lee Probert,Relatório da Partida,
4,sáb,2007-08-25,,Everton,1–1,Blackburn,,,Mike Riley,Relatório da Partida,
4,dom,2007-08-26,,Manchester Utd,1–0,Tottenham,,,Howard Webb,Relatório da Partida,
4,dom,2007-08-26,,Middlesbrough,2–2,Newcastle Utd,,,Mike Dean,Relatório da Partida,
,,,,,,,,,,,
5,sáb,2007-09-01,,Middlesbrough,2–0,Birmingham City,,,Rob Styles,Relatório da Partida,
5,sáb,2007-09-01,,Manchester Utd,1–0,Sunderland,,,Martin Atkinson,Relatório da Partida,
5,sáb,2007-09-01,,Newcastle Utd,1–0,Wigan Athletic,,,Stephen Bennett,Relatório da Partida,
5,sáb,2007-09-01,,Bolton,1–2,Everton,,,Peter Walton,Relatório da Partida,
5,sáb,2007-09-01,,Liverpool,6–0,Derby County,,,Alan Wiley,Relatório da Partida,
5,sáb,2007-09-01,,Reading,0–3,West Ham,,,Howard Webb,Relatório da Partida,
5,sáb,2007-09-01,,Fulham,3–3,Tottenham,,,Mike Riley,Relatório da Partida,
5,dom,2007-09-02,,Aston Villa,2–0,Chelsea,,,Mark Clattenburg,Relatório da Partida,
5,dom,2007-09-02,,Arsenal,3–1,Portsmouth,,,Mark Halsey,Relatório da Partida,
5,dom,2007-09-02,,Blackburn,1–0,Manchester City,,,Mike Dean,Relatório da Partida,
,,,,,,,,,,,
6,sáb,2007-09-15,,West Ham,3–0,Middlesbrough,,,Stephen Bennett,Relatório da Partida,
6,sáb,2007-09-15,,Birmingham City,1–0,Bolton,,,Phil Dowd,Relatório da Partida,
6,sáb,2007-09-15,,Portsmouth,0–0,Liverpool,,,Mike Riley,Relatório da Partida,
6,sáb,2007-09-15,,Chelsea,0–0,Blackburn,,,Howard Webb,Relatório da Partida,
6,sáb,2007-09-15,,Tottenham,1–3,Arsenal,,,Mark Clattenburg,Relatório da Partida,
6,sáb,2007-09-15,,Sunderland,2–1,Reading,,,Steve Tanner,Relatório da Partida,
6,sáb,2007-09-15,,Wigan Athletic,1–1,Fulham,,,Rob Styles,Relatório da Partida,
6,sáb,2007-09-15,,Everton,0–1,Manchester Utd,,,Alan Wiley,Relatório da Partida,
6,dom,2007-09-16,,Manchester City,1–0,Aston Villa,,,Martin Atkinson,Relatório da Partida,
6,seg,2007-09-17,,Derby County,1–0,Newcastle Utd,,,Peter Walton,Relatório da Partida,
,,,,,,,,,,,
7,sáb,2007-09-22,,Arsenal,5–0,Derby County,,,Martin Atkinson,Relatório da Partida,
7,sáb,2007-09-22,,Liverpool,0–0,Birmingham City,,,Lee Mason,Relatório da Partida,
7,sáb,2007-09-22,,Middlesbrough,2–2,Sunderland,,,Howard Webb,Relatório da Partida,
7,sáb,2007-09-22,,Fulham,3–3,Manchester City,,,Mark Halsey,Relatório da Partida,
7,sáb,2007-09-22,,Reading,2–1,Wigan Athletic,,,Keith Stroud,Relatório da Partida,
7,dom,2007-09-23,,Aston Villa,2–0,Everton,,,Lee Probert,Relatório da Partida,
7,dom,2007-09-23,,Manchester Utd,2–0,Chelsea,,,Mike Dean,Relatório da Partida,
7,dom,2007-09-23,,Bolton,1–1,Tottenham,,,Andre Marriner,Relatório da Partida,
7,dom,2007-09-23,,Newcastle Utd,3–1,West Ham,,,Mike Riley,Relatório da Partida,
7,dom,2007-09-23,,Blackburn,0–1,Portsmouth,,,Chris Foy,Relatório da Partida,
,,,,,,,,,,,
8,sáb,2007-09-29,,Sunderland,1–2,Blackburn,,,Peter Walton,Relatório da Partida,
8,sáb,2007-09-29,,West Ham,0–1,Arsenal,,,Alan Wiley,Relatório da Partida,
8,sáb,2007-09-29,,Derby County,1–1,Bolton,,,Rob Styles,Relatório da Partida,
8,sáb,2007-09-29,,Wigan Athletic,0–1,Liverpool,,,Mark Clattenburg,Relatório da Partida,
8,sáb,2007-09-29,,Portsmouth,7–4,Reading,,,Mark Halsey,Relatório da Partida,
8,sáb,2007-09-29,,Chelsea,0–0,Fulham,,,Martin Atkinson,Relatório da Partida,
8,sáb,2007-09-29,,Birmingham City,0–1,Manchester Utd,,,Stephen Bennett,Relatório da Partida,
8,sáb,2007-09-29,,Manchester City,3–1,Newcastle Utd,,,Chris Foy,Relatório da Partida,
8,dom,2007-09-30,,Everton,2–0,Middlesbrough,,,Mike Riley,Relatório da Partida,
8,seg,2007-10-01,,Tottenham,4–4,Aston Villa,,,Mike Dean,Relatório da Partida,
,,,,,,,,,,,
9,sáb,2007-10-06,,Manchester Utd,4–0,Wigan Athletic,,,Mike Riley,Relatório da Partida,
9,sáb,2007-10-06,,Aston Villa,1–0,West Ham,,,Steve Tanner,Relatório da Partida,
9,dom,2007-10-07,,Blackburn,2–1,Birmingham City,,,Mark Clattenburg,Relatório da Partida,
9,dom,2007-10-07,,Liverpool,2–2,Tottenham,,,Mark Halsey,Relatório da Partida,
9,dom,2007-10-07,,Bolton,0–1,Chelsea,,,Alan Wiley,Relatório da Partida,
9,dom,2007-10-07,,Arsenal,3–2,Sunderland,,,Rob Styles,Relatório da Partida,
9,dom,2007-10-07,,Manchester City,3–1,Middlesbrough,,,Stephen Bennett,Relatório da Partida,
9,dom,2007-10-07,,Fulham,0–2,Portsmouth,,,Howard Webb,Relatório da Partida,
9,dom,2007-10-07,,Reading,1–0,Derby County,,,Lee Mason,Relatório da Partida,
9,dom,2007-10-07,,Newcastle Utd,3–2,Everton,,,Martin Atkinson,Relatório da Partida,
,,,,,,,,,,,
10,sáb,2007-10-20,,Aston Villa,1–4,Manchester Utd,,,Rob Styles,Relatório da Partida,
10,sáb,2007-10-20,,Everton,1–2,Liverpool,,,Mark Clattenburg,Relatório da Partida,
10,sáb,2007-10-20,,Middlesbrough,0–2,Chelsea,,,Mark Halsey,Relatório da Partida,
10,sáb,2007-10-20,,Wigan Athletic,0–2,Portsmouth,,,Peter Walton,Relatório da Partida,
10,sáb,2007-10-20,,Arsenal,2–0,Bolton,,,Mike Riley,Relatório da Partida,
10,sáb,2007-10-20,,Blackburn,4–2,Reading,,,Andre Marriner,Relatório da Partida,
10,sáb,2007-10-20,,Fulham,0–0,Derby County,,,Phil Dowd,Relatório da Partida,
10,sáb,2007-10-20,,Manchester City,1–0,Birmingham City,,,Mike Dean,Relatório da Partida,
10,dom,2007-10-21,,West Ham,3–1,Sunderland,,,Chris Foy,Relatório da Partida,
10,seg,2007-10-22,,Newcastle Utd,3–1,Tottenham,,,Stephen Bennett,Relatório da Partida,
,,,,,,,,,,,
11,sáb,2007-10-27,,Portsmouth,0–0,West Ham,,,Mike Dean,Relatório da Partida,
11,sáb,2007-10-27,,Manchester Utd,4–1,Middlesbrough,,,Alan Wiley,Relatório da Partida,
11,sáb,2007-10-27,,Reading,2–1,Newcastle Utd,,,Phil Dowd,Relatório da Partida,
11,sáb,2007-10-27,,Sunderland,1–1,Fulham,,,Andre Marriner,Relatório da Partida,
11,sáb,2007-10-27,,Birmingham City,3–2,Wigan Athletic,,,Steve Tanner,Relatório da Partida,
11,sáb,2007-10-27,,Chelsea,6–0,Manchester City,,,Mike Riley,Relatório da Partida,
11,dom,2007-10-28,,Bolton,1–1,Aston Villa,,,Martin Atkinson,Relatório da Partida,
11,dom,2007-10-28,,Tottenham,1–2,Blackburn,,,Rob Styles,Relatório da Partida,
11,dom,2007-10-28,,Derby County,0–2,Everton,,,Stephen Bennett,Relatório da Partida,
11,dom,2007-10-28,,Liverpool,1–1,Arsenal,,,Howard Webb,Relatório da Partida,
,,,,,,,,,,,
12,sáb,2007-11-03,,Middlesbrough,1–1,Tottenham,,,Mike Dean,Relatório da Partida,
12,sáb,2007-11-03,,Aston Villa,2–0,Derby County,,,Mark Halsey,Relatório da Partida,
12,sáb,2007-11-03,,Everton,3–1,Birmingham City,,,Mike Riley,Relatório da Partida,
12,sáb,2007-11-03,,Arsenal,2–2,Manchester Utd,,,Howard Webb,Relatório da Partida,
12,sáb,2007-11-03,,Blackburn,0–0,Liverpool,,,Martin Atkinson,Relatório da Partida,
12,sáb,2007-11-03,,Newcastle Utd,1–4,Portsmouth,,,Chris Foy,Relatório da Partida,
