
Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
5,sáb,2015-09-12,15:00 (11:00),Crystal Palace,0–1,Manchester City,25.167,Selhurst Park,Mike Jones,Relatório da Partida,
5,sáb,2015-09-12,17:30 (13:30),Manchester Utd,3–1,Liverpool,75.347,Old Trafford,Michael Oliver,Relatório da Partida,
5,dom,2015-09-13,13:30 (09:30),Sunderland,0–1,Tottenham,40.303,Stadium of Light,Craig Pawson,Relatório da Partida,
5,dom,2015-09-13,16:00 (12:00),Leicester City,3–2,Aston Villa,31.733,King Power Stadium,Mike Dean,Relatório da Partida,
5,seg,2015-09-14,20:00 (16:00),West Ham,2–0,Newcastle Utd,34.907,Boleyn Ground,Anthony Taylor,Relatório da Partida,
,,,,,,,,,,,
6,sáb,2015-09-19,12:45 (08:45),Chelsea,2–0,Arsenal,41.584,Stamford Bridge,Mike Dean,Relatório da Partida,
6,sáb,2015-09-19,15:00 (11:00),Newcastle Utd,1–2,Watford,47.806,St. James' Park,Roger East,Relatório da Partida,
6,sáb,2015-09-19,15:00 (11:00),Swansea City,0–0,Everton,20.805,Liberty Stadium,Stuart Attwell,Relatório da Partida,
6,sáb,2015-09-19,15:00 (11:00),Aston Villa,0–1,West Brom,36.321,Villa Park,Martin Atkinson,Relatório da Partida,
6,sáb,2015-09-19,15:00 (11:00),Bournemouth,2–0,Sunderland,11.271,Vitality Stadium,Kevin Friend,Relatório da Partida,
6,sáb,2015-09-19,15:00 (11:00),Stoke City,2–2,Leicester City,27.642,Bet365 Stadium,Andre Marriner,Relatório da Partida,
6,sáb,2015-09-19,17:30 (13:30),Manchester City,1–2,West Ham,53.545,Etihad Stadium,Robert Madley,Relatório da Partida,
6,dom,2015-09-20,13:30 (09:30),Tottenham,1–0,Crystal Palace,35.723,White Hart Lane,Michael Oliver,Relatório da Partida,
6,dom,2015-09-20,16:00 (12:00),Liverpool,1–1,Norwich City,44.072,Anfield,Anthony Taylor,Relatório da Partida,
6,dom,2015-09-20,16:00 (12:00),Southampton,2–3,Manchester Utd,31.588,St. Mary's Stadium,Mark Clattenburg,Relatório da Partida,
,,,,,,,,,,,
7,sáb,2015-09-26,12:45 (08:45),Tottenham,4–1,Manchester City,35.867,White Hart Lane,Mark Clattenburg,Relatório da Partida,
7,sáb,2015-09-26,15:00 (11:00),Stoke City,2–1,Bournemouth,27.742,Bet365 Stadium,Lee Mason,Relatório da Partida,
7,sáb,2015-09-26,15:00 (11:00),Manchester Utd,3–0,Sunderland,75.328,Old Trafford,Mike Jones,Relatório da Partida,
7,sáb,2015-09-26,15:00 (11:00),Leicester City,2–5,Arsenal,32.047,King Power Stadium,Craig Pawson,Relatório da Partida,
7,sáb,2015-09-26,15:00 (11:00),Southampton,3–1,Swansea City,30.704,St. Mary's Stadium,Roger East,Relatório da Partida,
7,sáb,2015-09-26,15:00 (11:00),Liverpool,3–2,Aston Villa,44.228,Anfield,Jonathan Moss,Relatório da Partida,
7,sáb,2015-09-26,15:00 (11:00),West Ham,2–2,Norwich City,34.857,Boleyn Ground,Mike Dean,Relatório da Partida,
7,sáb,2015-09-26,17:30 (13:30),Newcastle Utd,2–2,Chelsea,48.682,St. James' Park,Martin Atkinson,Relatório da Partida,
7,dom,2015-09-27,16:00 (12:00),Watford,0–1,Crystal Palace,20.168,Vicarage Road Stadium,Anthony Taylor,Relatório da Partida,
7,seg,2015-09-28,20:00 (16:00),West Brom,2–3,Everton,24.240,The Hawthorns,Robert Madley,Relatório da Partida,
,,,,,,,,,,,
8,sáb,2015-10-03,12:45 (08:45),Crystal Palace,2–0,West Brom,24.033,Selhurst Park,Jonathan Moss,Relatório da Partida,
8,sáb,2015-10-03,15:00 (11:00),Aston Villa,0–1,Stoke City,33.189,Villa Park,Mike Jones,Relatório da Partida,
8,sáb,2015-10-03,15:00 (11:00),Norwich City,1–2,Leicester City,27.067,Carrow Road,Mark Clattenburg,Relatório da Partida,
8,sáb,2015-10-03,15:00 (11:00),Manchester City,6–1,Newcastle Utd,53.850,Etihad Stadium,Kevin Friend,Relatório da Partida,
8,sáb,2015-10-03,15:00 (11:00),Sunderland,2–2,West Ham,42.932,Stadium of Light,Niel Swarbrick,Relatório da Partida,
8,sáb,2015-10-03,15:00 (11:00),Bournemouth,1–1,Watford,11.187,Vitality Stadium,Michael Oliver,Relatório da Partida,
8,sáb,2015-10-03,17:30 (13:30),Chelsea,1–3,Southampton,41.642,Stamford Bridge,Robert Madley,Relatório da Partida,
8,dom,2015-10-04,13:30 (09:30),Everton,1–1,Liverpool,39.598,Goodison Park,Martin Atkinson,Relatório da Partida,
8,dom,2015-10-04,16:00 (12:00),Arsenal,3–0,Manchester Utd,60.084,Emirates Stadium,Anthony Taylor,Relatório da Partida,
8,dom,2015-10-04,16:00 (12:00),Swansea City,2–2,Tottenham,20.845,Liberty Stadium,Mike Dean,Relatório da Partida,
,,,,,,,,,,,
9,sáb,2015-10-17,12:45 (08:45),Tottenham,0–0,Liverpool,35.926,White Hart Lane,Craig Pawson,Relatório da Partida,
9,sáb,2015-10-17,15:00 (11:00),West Brom,1–0,Sunderland,24.225,The Hawthorns,Martin Atkinson,Relatório da Partida,
9,sáb,2015-10-17,15:00 (11:00),Southampton,2–2,Leicester City,30.966,St. Mary's Stadium,Paul Tierney,Relatório da Partida,
9,sáb,2015-10-17,15:00 (11:00),Chelsea,2–0,Aston Villa,41.596,Stamford Bridge,Roger East,Relatório da Partida,
9,sáb,2015-10-17,15:00 (11:00),Manchester City,5–1,Bournemouth,54.502,Etihad Stadium,Mike Dean,Relatório da Partida,
9,sáb,2015-10-17,15:00 (11:00),Crystal Palace,1–3,West Ham,24.812,Selhurst Park,Mark Clattenburg,Relatório da Partida,
9,sáb,2015-10-17,15:00 (11:00),Everton,0–3,Manchester Utd,39.553,Goodison Park,Jonathan Moss,Relatório da Partida,
9,sáb,2015-10-17,17:30 (13:30),Watford,0–3,Arsenal,20.721,Vicarage Road Stadium,Mike Jones,Relatório da Partida,
9,dom,2015-10-18,16:00 (13:00),Newcastle Utd,6–2,Norwich City,47.006,St. James' Park,Anthony Taylor,Relatório da Partida,
9,seg,2015-10-19,20:00 (17:00),Swansea City,0–1,Stoke City,20.044,Liberty Stadium,Robert Madley,Relatório da Partida,
,,,,,,,,,,,
10,sáb,2015-10-24,15:00 (12:00),Stoke City,0–2,Watford,27.587,Bet365 Stadium,Martin Atkinson,Relatório da Partida,
10,sáb,2015-10-24,15:00 (12:00),West Ham,2–1,Chelsea,34.977,Boleyn Ground,Jonathan Moss,Relatório da Partida,
10,sáb,2015-10-24,15:00 (12:00),Norwich City,0–1,West Brom,26.983,Carrow Road,Kevin Friend,Relatório da Partida,
10,sáb,2015-10-24,15:00 (12:00),Aston Villa,1–2,Swansea City,33.324,Villa Park,Niel Swarbrick,Relatório da Partida,
10,sáb,2015-10-24,15:00 (12:00),Leicester City,1–0,Crystal Palace,31.752,King Power Stadium,Mike Dean,Relatório da Partida,
10,sáb,2015-10-24,17:30 (14:30),Arsenal,2–1,Everton,59.985,Emirates Stadium,Lee Mason,Relatório da Partida,
10,dom,2015-10-25,12:00 (10:00),Sunderland,3–0,Newcastle Utd,47.653,Stadium of Light,Robert Madley,Relatório da Partida,
10,dom,2015-10-25,14:05 (12:05),Manchester Utd,0–0,Manchester City,75.329,Old Trafford,Mark Clattenburg,Relatório da Partida,
10,dom,2015-10-25,14:05 (12:05),Bournemouth,1–5,Tottenham,11.332,Vitality Stadium,Roger East,Relatório da Partida,
10,dom,2015-10-25,16:15 (14:15),Liverpool,1–1,Southampton,44.171,Anfield,Andre Marriner,Relatório da Partida,
,,,,,,,,,,,
11,sáb,2015-10-31,12:45 (10:45),Chelsea,1–3,Liverpool,41.577,Stamford Bridge,Mark Clattenburg,Relatório da Partida,
11,sáb,2015-10-31,15:00 (13:00),Crystal Palace,0–0,Manchester Utd,24.854,Selhurst Park,Mike Jones,Relatório da Partida,
11,sáb,2015-10-31,15:00 (13:00),Manchester City,2–1,Norwich City,53.418,Etihad Stadium,Robert Madley,Relatório da Partida,
11,sáb,2015-10-31,15:00 (13:00),Swansea City,0–3,Arsenal,20.937,Liberty Stadium,Kevin Friend,Relatório da Partida,
11,sáb,2015-10-31,15:00 (13:00),Newcastle Utd,0–0,Stoke City,47.139,St. James' Park,Roger East,Relatório da Partida,
11,sáb,2015-10-31,15:00 (13:00),West Brom,2–3,Leicester City,24.150,The Hawthorns,Anthony Taylor,Relatório da Partida,
11,sáb,2015-10-31,15:00 (13:00),Watford,2–0,West Ham,20.598,Vicarage Road Stadium,Keith Stroud,Relatório da Partida,
11,dom,2015-11-01,13:30 (11:30),Everton,6–2,Sunderland,36.617,Goodison Park,Andre Marriner,Relatório da Partida,
11,dom,2015-11-01,16:00 (14:00),Southampton,2–0,Bournemouth,31.229,St. Mary's Stadium,Craig Pawson,Relatório da Partida,
11,seg,2015-11-02,20:00 (18:00),Tottenham,3–1,Aston Villa,34.882,White Hart Lane,Mike Dean,Relatório da Partida,
,,,,,,,,,,,
12,sáb,2015-11-07,12:45 (10:45),Bournemouth,0–1,Newcastle Utd,11.155,Vitality Stadium,Lee Mason,Relatório da Partida,
12,sáb,2015-11-07,15:00 (13:00),West Ham,1–1,Everton,34.977,Boleyn Ground,Paul Tierney,Relatório da Partida,
12,sáb,2015-11-07,15:00 (13:00),Sunderland,0–1,Southampton,41.781,Stadium of Light,Mike Jones,Relatório da Partida,
12,sáb,2015-11-07,15:00 (13:00),Leicester City,2–1,Watford,32.029,King Power Stadium,Roger East,Relatório da Partida,
