Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
1,sáb,2011-08-13,,QPR,0–4,Bolton,,,Martin Atkinson,Relatório da Partida,
1,sáb,2011-08-13,,Liverpool,1–1,Sunderland,,,Phil Dowd,Relatório da Partida,
1,sáb,2011-08-13,,Wigan Athletic,1–1,Norwich City,,,Stuart Attwell,Relatório da Partida,
1,sáb,2011-08-13,,Fulham,0–0,Aston Villa,,,Lee Mason,Relatório da Partida,
1,sáb,2011-08-13,,Newcastle Utd,0–0,Arsenal,,,Peter Walton,Relatório da Partida,
1,sáb,2011-08-13,,Blackburn,1–2,Wolves,,,Kevin Friend,Relatório da Partida,
1,dom,2011-08-14,,West Brom,1–2,Manchester Utd,,,Mike Jones,Relatório da Partida,
1,dom,2011-08-14,,Stoke City,0–0,Chelsea,,,Mark Halsey,Relatório da Partida,
1,seg,2011-08-15,,Manchester City,4–0,Swansea City,,,Mike Dean,Relatório da Partida,
,,,,,,,,,,,
2,sáb,2011-08-20,,Swansea City,0–0,Wigan Athletic,,,Phil Dowd,Relatório da Partida,
2,sáb,2011-08-20,,Arsenal,0–2,Liverpool,,,Martin Atkinson,Relatório da Partida,
2,sáb,2011-08-20,,Chelsea,2–1,West Brom,,,Lee Mason,Relatório da Partida,
2,sáb,2011-08-20,,Aston Villa,3–1,Blackburn,,,Stuart Attwell,Relatório da Partida,
2,sáb,2011-08-20,,Everton,0–1,QPR,,,Kevin Friend,Relatório da Partida,
2,sáb,2011-08-20,,Sunderland,0–1,Newcastle Utd,,,Howard Webb,Relatório da Partida,
2,dom,2011-08-21,,Wolves,2–0,Fulham,,,Mike Dean,Relatório da Partida,
2,dom,2011-08-21,,Bolton,2–3,Manchester City,,,Mike Jones,Relatório da Partida,
2,dom,2011-08-21,,Norwich City,1–1,Stoke City,,,Neil Swarbrick,Relatório da Partida,
2,seg,2011-08-22,,Manchester Utd,3–0,Tottenham,,,Lee Probert,Relatório da Partida,
,,,,,,,,,,,
