Name;Nationality;Pos.;Team;Age;Year;MP;MS;Min.;90s;Goals;Assis.;G-PB;PB;PT;Ycard;Rcard
Thomas Partey;gh GHA;LT;Arsenal;29-205;1993;14;14;1211;13.5;2;0;2;0;0;2;0
Nathan Patterson;sct SCO;ZG,LT;Everton;21-080;2001;13;11;988;11.0;0;0;0;0;0;3;0
Ben Pearson;eng ENG;LT;Bournemouth;28-000;1995;5;3;214;2.4;0;0;0;0;0;1;0
Andreas Pereira;br BRA;LT;Fulham;27-003;1996;18;18;1471;16.3;2;4;1;1;1;3;0
Ayoze PÃ©rez;es ESP;LT,AT;Leicester City;29-159;1993;8;3;382;4.2;0;1;0;0;0;0;0
Ivan PeriÅ¡iÄ‡;hr CRO;ZG,LT;Tottenham;33-336;1989;17;11;1010;11.2;0;4;0;0;0;2;0
Romain Perraud;fr FRA;ZG;Southampton;25-104;1997;15;11;918;10.2;2;2;2;0;0;1;0
Kalvin Phillips;eng ENG;LT;Manchester City;27-033;1995;1;0;2;0.0;0;0;0;0;0;0;0
Nathaniel Phillips;eng ENG;ZG;Liverpool;25-289;1997;2;1;66;0.7;0;0;0;0;0;0;0
Jordan Pickford;eng ENG;G;Everton;28-303;1994;17;17;1530;17.0;0;1;0;0;0;3;0
Ethan Pinnock;jm JAM;ZG;Brentford;29-220;1993;10;10;900;10.0;0;0;0;0;0;0;0
Daniel Podence;pt POR;AT,LT;Wolves;27-075;1995;17;14;1172;13.0;3;0;3;0;0;4;0
Nick Pope;eng ENG;G;Newcastle Utd;30-260;1992;18;18;1620;18.0;0;0;0;0;0;2;0
Dennis Praet;be BEL;LT;Leicester City;28-235;1994;8;3;282;3.1;0;0;0;0;0;1;0
Isaac Price;nir NIR;LT;Everton;19-100;2003;1;0;33;0.4;0;0;0;0;0;1;0
Christian Pulisic;us USA;AT,ZG;Chelsea;24-108;1998;15;5;588;6.5;1;1;1;0;0;1;0
Aaron Ramsdale;eng ENG;G;Arsenal;24-235;1998;17;17;1530;17.0;0;0;0;0;0;0;0
Jacob Ramsey;eng ENG;LT;Aston Villa;21-221;2001;15;12;1021;11.3;2;2;2;0;0;4;0
Marcus Rashford;eng ENG;AT;Manchester Utd;25-065;1997;17;15;1346;15.0;7;3;7;0;0;2;0
David Raya;es ESP;G;Brentford;27-111;1995;18;18;1620;18.0;0;0;0;0;0;0;0
Tim Ream;us USA;ZG;Fulham;35-091;1987;18;18;1617;18.0;1;0;1;0;0;1;0
Nathan Redmond;eng ENG;ZG;Southampton;28-304;1994;1;0;1;0.0;0;0;0;0;0;0;0
Harrison Reed;eng ENG;LT;Fulham;27-342;1995;17;17;1416;15.7;2;1;2;0;0;5;0
Bobby Reid;jm JAM;AT,ZG;Fulham;29-336;1993;17;17;1417;15.7;4;1;4;0;0;6;0
Declan Rice;eng ENG;LT;West Ham;23-355;1999;17;17;1530;17.0;1;1;1;0;1;2;0
Chris Richards;us USA;ZG,LT;Crystal Palace;22-282;2000;4;0;78;0.9;0;0;0;0;0;0;0
Richarlison;br BRA;LT,AT;Tottenham;25-239;1997;10;5;439;4.9;0;2;0;0;0;2;0
JaÃ¯ro Riedewald;nl NED;ZG,AT;Crystal Palace;26-117;1996;4;0;49;0.5;0;0;0;0;0;0;0
Matt Ritchie;sct SCO;AT;Newcastle Utd;33-116;1989;2;0;4;0.0;0;0;0;0;0;0;0
Andrew Robertson;sct SCO;ZG;Liverpool;28-299;1994;15;12;1057;11.7;0;5;0;0;0;0;0
Antonee Robinson;us USA;ZG;Fulham;25-149;1997;16;16;1378;15.3;0;0;0;0;0;4;0
Marc Roca;es ESP;LT;Leeds United;26-039;1996;16;15;1166;13.0;1;1;1;0;0;4;0
Marek RodÃ¡k;sk SVK;G;Fulham;26-022;1996;2;2;180;2.0;0;0;0;0;0;0;0
Rodri;es ESP;LT;Manchester City;26-196;1996;15;15;1302;14.5;1;3;1;0;0;2;0
Rodrigo;es ESP;AT,LT;Leeds United;31-304;1991;15;14;1038;11.5;9;1;8;1;1;1;0
Mads Roerslev;dk DEN;ZG;Brentford;23-194;1999;10;8;703;7.8;0;0;0;0;0;0;0
Cristian Romero;ar ARG;ZG;Tottenham;24-252;1998;9;8;748;8.3;0;0;0;0;0;2;0
Oriol Romeu;es ESP;LT;Southampton;31-102;1991;1;1;74;0.8;0;0;0;0;0;0;0
Cristiano Ronaldo;pt POR;AT;Manchester Utd;37-333;1985;10;4;525;5.8;1;0;1;0;0;2;0
Connor Ronan;ie IRL;LT;Wolves;24-304;1998;1;0;1;0.0;0;0;0;0;0;0;0
SalomÃ³n RondÃ³n;ve VEN;AT;Everton;33-110;1989;7;1;109;1.2;0;0;0;0;0;0;0
Joe Rothwell;eng ENG;ZG,LT;Bournemouth;27-358;1995;4;0;45;0.5;0;0;0;0;0;0;0
JosÃ© SÃ¡;pt POR;G;Wolves;29-352;1993;17;17;1530;17.0;0;0;0;0;0;0;0
Allan Saint-Maximin;fr FRA;AT;Newcastle Utd;25-298;1997;10;4;417;4.6;1;3;1;0;0;1;0
Bukayo Saka;eng ENG;AT;Arsenal;21-121;2001;17;17;1441;16.0;6;6;5;1;1;4;0
