Name;Nationality;Pos.;Team;Age;Year;MP;MS;Min.;90s;Goals;Assis.;G-PB;PB;PT;Ycard;Rcard
Jordan Ayew;gh GHA;AT,LT;Crystal Palace;31-115;1991;16;13;1067;11.9;1;1;1;0;0;1;0
Luke Ayling;eng ENG;ZG;Leeds United;31-132;1991;9;2;254;2.8;0;1;0;0;0;1;0
CÃ©sar Azpilicueta;es ESP;ZG;Chelsea;33-129;1989;13;8;800;8.9;0;0;0;0;0;3;0
Leon Bailey;jm JAM;AT,LT;Aston Villa;25-148;1997;16;13;976;10.8;3;2;3;0;0;4;0
Stefan Bajcetic;es ESP;LT,AT;Liverpool;18-074;2004;3;0;38;0.4;1;0;1;0;0;0;0
Patrick Bamford;eng ENG;AT;Leeds United;29-121;1993;10;4;429;4.8;0;1;0;0;1;0;0
Shandon Baptiste;gd GRN;LT;Brentford;24-271;1998;12;4;431;4.8;0;0;0;0;0;1;0
Harvey Barnes;eng ENG;LT,AT;Leicester City;25-026;1997;16;16;1336;14.8;6;0;6;0;0;0;0
Gavin Bazunu;ie IRL;G;Southampton;20-318;2002;17;17;1530;17.0;0;0;0;0;0;0;0
Mads Bech SÃ¸rensen;dk DEN;ZG,LT;Brentford;23-362;1999;4;0;21;0.2;0;0;0;0;0;0;0
Jan Bednarek;pl POL;ZG;Southampton;26-267;1996;2;2;159;1.8;0;0;0;0;0;0;0
Jan Bednarek;pl POL;ZG;Aston Villa;26-267;1996;3;1;100;1.1;0;0;0;0;0;0;0
Donny van de Beek;nl NED;LT;Manchester Utd;25-261;1997;7;2;167;1.9;0;0;0;0;0;0;0
Asmir BegoviÄ‡;ba BIH;G;Everton;35-198;1987;1;1;90;1.0;0;0;0;0;0;0;0
Armel Bella Kotchap;de GER;ZG;Southampton;21-024;2001;12;12;993;11.0;0;1;0;0;0;1;0
SaÃ¯d Benrahma;dz ALG;AT,LT;West Ham;27-147;1995;15;9;931;10.3;3;1;1;2;2;0;0
Rodrigo Bentancur;uy URU;LT;Tottenham;25-193;1997;14;13;1182;13.1;4;2;4;0;0;5;0
Owen Bevan;wls WAL;ZG;Bournemouth;19-070;2003;1;0;9;0.1;0;0;0;0;0;0;0
Giulian Biancone;fr FRA;ZG;Nott'ham Forest;22-279;2000;2;0;17;0.2;0;0;0;0;0;0;0
Philip Billing;dk DEN;LT,AT;Bournemouth;26-207;1996;18;16;1310;14.6;4;1;4;0;0;2;0
Yves Bissouma;ml MLI;LT;Tottenham;26-127;1996;16;8;775;8.6;0;0;0;0;0;5;0
Willy Boly;ci CIV;ZG;Nott'ham Forest;31-335;1991;4;4;332;3.7;0;1;0;0;0;1;0
Sven Botman;nl NED;ZG;Newcastle Utd;22-357;2000;16;15;1327;14.7;0;0;0;0;0;0;0
Jarrod Bowen;eng ENG;AT,LT;West Ham;26-015;1996;17;17;1520;16.9;2;0;1;1;2;1;0
Armando Broja;al ALB;AT;Chelsea;21-116;2001;12;2;294;3.3;1;0;1;0;0;0;0
Bryan;es ESP;AT,LT;Tottenham;21-327;2001;2;1;69;0.8;0;0;0;0;0;0;0
Emi BuendÃ­a;ar ARG;LT,AT;Aston Villa;26-010;1996;17;9;892;9.9;2;0;2;0;0;0;0
Hugo Bueno;es ESP;ZG;Wolves;20-108;2002;8;7;581;6.5;0;1;0;0;0;1;0
Dan Burn;eng ENG;ZG;Newcastle Utd;30-240;1992;18;17;1494;16.6;0;0;0;0;0;2;0
CafÃº;pt POR;LT;Nott'ham Forest;29-312;1993;1;0;7;0.1;0;0;0;0;0;0;0
MoisÃ©s Caicedo;ec ECU;LT;Brighton;21-063;2001;16;16;1425;15.8;1;1;1;0;0;5;0
Tom Cairney;sct SCO;LT;Fulham;31-349;1991;18;1;420;4.7;0;0;0;0;0;1;0
Duje Ä†aleta-Car;hr CRO;ZG;Southampton;26-109;1996;7;5;486;5.4;0;0;0;0;0;1;0
Dominic Calvert-Lewin;eng ENG;AT;Everton;25-294;1997;8;6;490;5.4;1;0;1;0;0;1;0
Chem Campbell;wls WAL;AT,LT;Wolves;20-005;2002;5;0;74;0.8;0;0;0;0;0;0;0
JoÃ£o Cancelo;pt POR;ZG;Manchester City;28-222;1994;15;14;1139;12.7;2;1;2;0;0;3;1
Thomas Cannon;ie IRL;AT;Everton;20-007;2002;2;0;25;0.3;0;0;0;0;0;0;0
Sergi CanÃ³s;es ESP;AT,ZG;Brentford;25-336;1997;5;0;77;0.9;0;0;0;0;0;0;0
Diego Carlos;br BRA;ZG;Aston Villa;29-295;1993;2;2;179;2.0;0;0;0;0;0;0;0
Fabio Carvalho;pt POR;LT,AT;Liverpool;20-127;2002;11;4;337;3.7;2;0;2;0;0;0;0
Casemiro;br BRA;LT;Manchester Utd;30-315;1992;14;10;982;10.9;2;2;2;0;0;3;0
Matty Cash;pl POL;ZG;Aston Villa;25-150;1997;14;12;1053;11.7;0;0;0;0;0;3;0
Timothy Castagne;be BEL;ZG;Leicester City;27-030;1995;17;16;1461;16.2;1;2;1;0;0;1;0
Jonny Castro;es ESP;ZG;Wolves;28-307;1994;13;11;1005;11.2;0;0;0;0;0;3;0
Julio CÃ©sar Enciso;py PAR;AT,LT;Brighton;18-346;2004;4;0;115;1.3;0;0;0;0;0;1;0
Nathaniel Chalobah;eng ENG;LT;Fulham;28-023;1994;3;1;11;0.1;0;0;0;0;0;0;1
Trevoh Chalobah;eng ENG;ZG;Chelsea;23-183;1999;9;8;723;8.0;0;0;0;0;0;1;0
Calum Chambers;eng ENG;ZG,LT;Aston Villa;27-349;1995;4;1;110;1.2;0;0;0;0;0;1;0
Ben Chilwell;eng ENG;ZG,LT;Chelsea;26-014;1996;9;4;419;4.7;1;1;1;0;0;1;0
Ryan Christie;sct SCO;LT,AT;Bournemouth;27-316;1995;16;10;829;9.2;1;0;1;0;0;1;0
Carney Chukwuemeka;eng ENG;LT,AT;Chelsea;19-076;2003;4;0;50;0.6;0;0;0;0;0;0;0
Bobby Clark;eng ENG;LT;Liverpool;17-331;2005;1;0;8;0.1;0;0;0;0;0;0;0
Nathaniel Clyne;eng ENG;ZG;Crystal Palace;31-274;1991;10;9;736;8.2;0;0;0;0;0;1;0
Conor Coady;eng ENG;ZG;Everton;29-313;1993;16;16;1430;15.9;1;1;1;0;0;1;0
Jack Colback;eng ENG;LT;Nott'ham Forest;33-072;1989;5;1;160;1.8;0;0;0;0;0;0;0
SÃ©amus Coleman;ie IRL;ZG;Everton;34-085;1988;10;7;654;7.3;0;0;0;0;0;0;0
Nathan Collins;ie IRL;ZG;Wolves;21-249;2001;14;14;1202;13.4;0;0;0;0;0;2;1
Levi Colwill;eng ENG;ZG;Brighton;19-312;2003;6;4;373;4.1;0;0;0;0;0;0;0
Lewis Cook;eng ENG;LT;Bournemouth;25-335;1997;18;16;1452;16.1;0;2;0;0;0;2;0
Steve Cook;eng ENG;ZG;Nott'ham Forest;31-260;1991;12;11;957;10.6;0;0;0;0;0;4;0
Liam Cooper;sct SCO;ZG;Leeds United;31-127;1991;10;9;836;9.3;1;0;1;0;0;1;0
Maxwel Cornet;ci CIV;AT;West Ham;26-099;1996;5;1;91;1.0;0;0;0;0;0;0;0
Diego Costa;es ESP;AT;Wolves;34-089;1988;8;7;547;6.1;0;0;0;0;0;1;1
VladimÃ­r Coufal;cz CZE;ZG;West Ham;30-135;1992;11;9;865;9.6;0;0;0;0;0;3;0
Philippe Coutinho;br BRA;LT,AT;Aston Villa;30-206;1992;14;6;590;6.6;0;0;0;0;0;2;0
Conor Coventry;ie IRL;LT,AT;West Ham;22-285;2000;1;0;1;0.0;0;0;0;0;0;0;0
Aaron Cresswell;eng ENG;ZG;West Ham;33-020;1989;16;16;1420;15.8;0;0;0;0;0;2;0
Marc Cucurella;es ESP;ZG;Chelsea;24-166;1998;15;13;1027;11.4;0;2;0;0;0;2;0
Patson Daka;zm ZAM;AT;Leicester City;24-087;1998;16;9;701;7.8;3;3;3;0;0;2;0
Diogo Dalot;pt POR;ZG;Manchester Utd;23-292;1999;14;13;1187;13.2;0;1;0;0;0;5;0
Mikkel Damsgaard;dk DEN;LT,AT;Brentford;22-185;2000;9;1;267;3.0;0;0;0;0;0;2;0
Josh Dasilva;eng ENG;LT;Brentford;24-073;1998;18;8;779;8.7;3;1;3;0;0;1;0
Ben Davies;wls WAL;ZG;Tottenham;29-255;1993;14;12;1086;12.1;2;1;2;0;0;2;0
Tom Davies;eng ENG;LT;Everton;24-188;1998;9;4;368;4.1;0;0;0;0;0;2;0
Craig Dawson;eng ENG;ZG;West Ham;32-243;1990;7;7;630;7.0;0;0;0;0;0;2;0
Kevin De Bruyne;be BEL;LT;Manchester City;31-190;1991;16;15;1311;14.6;3;9;3;0;0;1;0
Siriki DembÃ©lÃ©;ci CIV;AT,LT;Bournemouth;26-119;1996;4;0;82;0.9;0;0;0;0;0;0;0
Leander Dendoncker;be BEL;LT;Aston Villa;27-264;1995;9;3;305;3.4;0;0;0;0;0;0;0
Leander Dendoncker;be BEL;LT;Wolves;27-264;1995;4;2;214;2.4;0;0;0;0;0;0;0
Emmanuel Dennis;ng NGA;AT;Nott'ham Forest;25-050;1997;10;3;373;4.1;1;1;1;0;0;2;0
Halil DerviÅŸoÄŸlu;tr TUR;LT;Brentford;23-027;1999;1;0;8;0.1;0;0;0;0;0;0;0
Kiernan Dewsbury-Hall;eng ENG;LT;Leicester City;24-120;1998;17;16;1314;14.6;2;2;2;0;0;1;0
Ibrahima Diallo;fr FRA;LT;Southampton;23-302;1999;10;7;495;5.5;0;0;0;0;0;1;0
RÃºben Dias;pt POR;ZG;Manchester City;25-235;1997;12;9;873;9.7;0;0;0;0;0;0;0
Luis DÃ­az;co COL;AT;Liverpool;25-356;1997;8;7;613;6.8;3;2;3;0;0;2;0
Eric Dier;eng ENG;ZG;Tottenham;28-354;1994;16;15;1375;15.3;2;0;2;0;0;1;0
Lucas Digne;fr FRA;ZG;Aston Villa;29-168;1993;12;11;991;11.0;1;0;1;0;0;2;0
Issa Diop;fr FRA;ZG;Fulham;25-360;1997;11;8;787;8.7;1;0;1;0;0;1;0
Moussa Djenepo;ml MLI;ZG,AT;Southampton;24-203;1998;11;6;571;6.3;0;1;0;0;0;0;0
Ben Doak;sct SCO;AT;Liverpool;17-054;2005;1;0;3;0.0;0;0;0;0;0;0;0
Matt Doherty;ie IRL;ZG,LT;Tottenham;30-353;1992;10;5;520;5.8;0;0;0;0;0;0;0
Gabriel Dos Santos;br BRA;ZG;Arsenal;25-016;1997;17;17;1530;17.0;2;0;2;0;0;3;0
Abdoulaye DoucourÃ©;ml MLI;LT;Everton;30-003;1993;10;2;228;2.5;0;0;0;0;0;1;0
Cheick DoucourÃ©;ml MLI;LT;Crystal Palace;22-361;2000;14;14;1136;12.6;0;1;0;0;0;4;0
Flynn Downes;eng ENG;LT;West Ham;23-349;1999;6;3;265;2.9;0;0;0;0;0;0;0
Cody Drameh;eng ENG;ZG;Leeds United;21-027;2001;1;1;69;0.8;0;0;0;0;0;0;0
Shane Duffy;ie IRL;AT,ZG;Fulham;31-003;1992;4;0;6;0.1;0;0;0;0;0;0;0
Lewis Dunk;eng ENG;ZG;Brighton;31-044;1991;17;17;1530;17.0;0;0;0;0;0;0;0
Malcolm Ebiowei;eng ENG;LT,AT;Crystal Palace;19-122;2003;3;0;34;0.4;0;0;0;0;0;0;0
Ederson;br BRA;G;Manchester City;29-140;1993;16;16;1440;16.0;0;1;0;0;0;0;0
Odsonne Ã‰douard;fr FRA;AT;Crystal Palace;24-353;1998;14;9;784;8.7;3;2;3;0;0;3;0
Samuel Edozie;eng ENG;AT,LT;Southampton;19-341;2003;10;2;318;3.5;0;0;0;0;0;0;0
Anthony Elanga;se SWE;AT;Manchester Utd;20-252;2002;13;5;397;4.4;0;1;0;0;0;0;0
Harvey Elliott;eng ENG;LT,AT;Liverpool;19-275;2003;17;12;1013;11.3;1;1;1;0;0;1;0
Mohamed Elneny;eg EGY;LT;Arsenal;30-177;1992;5;1;113;1.3;0;0;0;0;0;0;0
Mohamed Elyounoussi;no NOR;LT,AT;Southampton;28-153;1994;16;14;1151;12.8;0;1;0;0;0;3;0
Emerson;br BRA;ZG;Tottenham;23-355;1999;13;11;910;10.1;0;1;0;0;0;1;1
Christian Eriksen;dk DEN;LT;Manchester Utd;30-324;1992;16;15;1246;13.8;1;6;1;0;0;2;0
Pervis EstupiÃ±Ã¡n;ec ECU;ZG;Brighton;24-348;1998;14;11;901;10.0;0;0;0;0;0;3;0
Jonny Evans;nir NIR;ZG;Leicester City;35-001;1988;9;9;810;9.0;0;0;0;0;0;0;0
Eberechi Eze;eng ENG;LT,AT;Crystal Palace;24-189;1998;16;16;1271;14.1;3;3;3;0;0;0;0
Åukasz FabiaÅ„ski;pl POL;G;West Ham;37-261;1985;17;17;1423;15.8;0;0;0;0;0;0;0
Fabinho;br BRA;LT;Liverpool;29-073;1993;16;13;1177;13.1;0;0;0;0;0;2;0
Wout Faes;be BEL;ZG;Leicester City;24-276;1998;12;12;1080;12.0;0;0;0;0;0;1;0
Evan Ferguson;ie IRL;AT;Brighton;18-077;2004;3;1;109;1.2;2;1;2;0;0;1;0
Bruno Fernandes;pt POR;LT,AT;Manchester Utd;28-118;1994;16;16;1438;16.0;2;3;2;0;0;5;0
Mateo FernÃ¡ndez;es ESP;LT;Leeds United;19-077;2003;1;0;2;0.0;0;0;0;0;0;0;0
Roberto Firmino;br BRA;AT,LT;Liverpool;31-094;1991;13;11;929;10.3;7;3;7;0;0;0;0
Junior Firpo;es ESP;ZG;Leeds United;26-135;1996;2;1;114;1.3;0;0;0;0;0;0;0
Phil Foden;eng ENG;AT,ZG;Manchester City;22-221;2000;16;11;930;10.3;7;4;7;0;0;1;0
Wesley Fofana;fr FRA;ZG;Leicester City;22-018;2000;2;2;180;2.0;0;0;0;0;0;1;0
Wesley Fofana;fr FRA;ZG;Chelsea;22-018;2000;2;2;180;2.0;0;0;0;0;0;0;0
Pablo Fornals;es ESP;AT,LT;West Ham;26-316;1996;15;9;789;8.8;1;0;1;0;0;0;0
Adam Forshaw;eng ENG;LT;Leeds United;31-088;1991;5;2;159;1.8;0;0;0;0;0;0;0
Fraser Forster;eng ENG;G;Tottenham;34-293;1988;1;1;90;1.0;0;0;0;0;0;0;0
Tyrese Francois;au AUS;AT;Fulham;22-172;2000;1;0;1;0.0;0;0;0;0;0;0;0
Ryan Fraser;sct SCO;AT;Newcastle Utd;28-314;1994;8;3;313;3.5;0;0;0;0;0;1;0
Fred;br BRA;LT;Manchester Utd;29-305;1993;14;4;465;5.2;2;0;2;0;0;3;0
Ryan Fredericks;eng ENG;ZG;Bournemouth;30-086;1992;8;5;451;5.0;0;0;0;0;0;1;0
Remo Freuler;ch SUI;LT;Nott'ham Forest;30-264;1992;13;11;1011;11.2;0;0;0;0;0;2;0
Conor Gallagher;eng ENG;LT,AT;Chelsea;22-332;2000;14;7;526;5.8;1;1;1;0;0;4;1
Idrissa Gana Gueye;sn SEN;LT;Everton;33-100;1989;13;12;960;10.7;0;1;0;0;0;3;0
Alejandro Garnacho;es ESP;AT;Manchester Utd;18-187;2004;6;2;201;2.2;1;1;1;0;0;2;0
James Garner;eng ENG;LT;Everton;21-297;2001;6;0;142;1.6;0;0;0;0;0;1;0
David de Gea;es ESP;G;Manchester Utd;32-058;1990;17;17;1530;17.0;0;0;0;0;0;0;0
Joe Gelhardt;eng ENG;AT;Leeds United;20-245;2002;13;1;197;2.2;0;1;0;0;0;1;0
Saman Ghoddos;ir IRN;LT,AT;Brentford;29-120;1993;9;0;90;1.0;0;0;0;0;0;0;0
Morgan Gibbs-White;eng ENG;AT,LT;Wolves;22-342;2000;2;2;180;2.0;0;0;0;0;0;1;0
Morgan Gibbs-White;eng ENG;AT,LT;Nott'ham Forest;22-342;2000;14;13;1126;12.5;2;2;2;0;0;1;0
Billy Gilmour;sct SCO;LT;Brighton;21-207;2001;6;1;107;1.2;0;0;0;0;0;1;0
Degnand Gnonto;it ITA;AT;Leeds United;19-060;2003;5;3;268;3.0;0;1;0;0;0;2;0
Ben Godfrey;eng ENG;ZG;Everton;24-354;1998;3;2;121;1.3;0;0;0;0;0;0;0
Toti Gomes;pt POR;ZG;Wolves;23-353;1999;5;3;290;3.2;0;0;0;0;0;2;0
Joe Gomez;eng ENG;ZG;Liverpool;25-226;1997;14;9;904;10.0;0;0;0;0;0;2;0
Sergio GÃ³mez;es ESP;ZG,LT;Manchester City;22-122;2000;5;0;111;1.2;0;1;0;0;0;0;0
Anthony Gordon;eng ENG;AT;Everton;21-314;2001;15;12;1073;11.9;3;0;3;0;0;6;0
Demarai Gray;eng ENG;AT,LT;Everton;26-190;1996;18;17;1499;16.7;3;0;2;1;1;1;0
Jack Grealish;eng ENG;AT;Manchester City;27-116;1995;10;8;705;7.8;1;2;1;0;0;0;0
Sam Greenwood;eng ENG;LT,AT;Leeds United;20-343;2002;7;2;278;3.1;1;2;1;0;0;1;0
Pascal GroÃŸ;de GER;LT,AT;Brighton;31-203;1991;17;17;1461;16.2;6;3;6;0;0;2;0
Vicente Guaita;es ESP;G;Crystal Palace;35-359;1987;16;16;1440;16.0;0;0;0;0;0;1;0
GonÃ§alo Guedes;pt POR;AT,LT;Wolves;26-036;1996;13;8;707;7.9;1;1;1;0;0;1;0
Marc GuÃ©hi;eng ENG;ZG;Crystal Palace;22-175;2000;15;15;1350;15.0;0;0;0;0;0;5;0
Bruno GuimarÃ£es;br BRA;LT;Newcastle Utd;25-049;1997;15;15;1262;14.0;3;3;3;0;0;3;0
Ä°lkay GÃ¼ndoÄŸan;de GER;LT;Manchester City;32-072;1990;14;11;985;10.9;2;2;2;0;0;0;0
Darko Gyabi;eng ENG;AT;Leeds United;18-320;2004;1;0;8;0.1;0;0;0;0;0;0;0
Erling Haaland;no NOR;AT;Manchester City;22-167;2000;15;14;1217;13.5;21;3;18;3;3;3;0
Lewis Hall;eng ENG;ZG;Chelsea;18-118;2004;1;1;72;0.8;0;0;0;0;0;0;0
Luke Harris;wls WAL;LT,AT;Fulham;17-276;2005;3;0;13;0.1;0;0;0;0;0;0;0
Jack Harrison;eng ENG;AT,LT;Leeds United;26-045;1996;14;13;1000;11.1;1;3;1;0;0;2;0
Kai Havertz;de GER;AT,LT;Chelsea;23-207;1999;15;13;1063;11.8;4;1;4;0;0;3;0
Jan Paul van Hecke;nl NED;ZG;Brighton;22-210;2000;1;0;3;0.0;0;0;0;0;0;0;0
Hwang Hee-chan;kr KOR;AT;Wolves;26-343;1996;13;5;474;5.3;0;1;0;0;0;0;0
Dean Henderson;eng ENG;G;Nott'ham Forest;25-298;1997;16;16;1440;16.0;0;0;0;0;0;2;0
Jordan Henderson;eng ENG;LT;Liverpool;32-201;1990;14;9;816;9.1;0;0;0;0;0;0;0
Wayne Hennessey;wls WAL;G;Nott'ham Forest;35-345;1987;1;1;90;1.0;0;0;0;0;0;0;0
Rico Henry;eng ENG;ZG;Brentford;25-180;1997;18;18;1615;17.9;0;1;0;0;0;0;0
Son Heung-min;kr KOR;LT,AT;Tottenham;30-180;1992;15;14;1210;13.4;3;2;3;0;0;0;0
Aaron Hickey;sct SCO;ZG;Brentford;20-208;2002;9;8;679;7.5;0;0;0;0;0;4;0
Joseph Hodge;ie IRL;LT;Wolves;20-112;2002;4;1;137;1.5;0;0;0;0;0;1;0
Rob Holding;eng ENG;ZG;Arsenal;27-106;1995;5;0;18;0.2;0;0;0;0;0;0;0
Mason Holgate;eng ENG;ZG;Everton;26-074;1996;4;3;320;3.6;0;0;0;0;0;1;0
Will Hughes;eng ENG;LT,AT;Crystal Palace;27-262;1995;10;0;102;1.1;0;0;0;0;0;0;0
Pierre HÃ¸jbjerg;dk DEN;LT;Tottenham;27-152;1995;16;16;1421;15.8;4;2;4;0;0;1;0
Kelechi Iheanacho;ng NGA;AT;Leicester City;26-093;1996;13;1;278;3.1;1;1;1;0;0;0;0
Danny Ings;eng ENG;AT;Aston Villa;30-165;1992;16;8;740;8.2;5;0;3;2;2;3;0
Alexander Isak;se SWE;AT;Newcastle Utd;23-105;1999;3;3;242;2.7;2;0;1;1;1;0;0
Alex Iwobi;ng NGA;LT;Everton;26-246;1996;18;18;1602;17.8;1;5;1;0;0;2;0
Daniel James;wls WAL;AT;Leeds United;25-055;1997;4;2;198;2.2;0;0;0;0;0;0;0
Daniel James;wls WAL;AT;Fulham;25-055;1997;10;3;345;3.8;1;0;1;0;0;0;0
Reece James;eng ENG;ZG,LT;Chelsea;23-027;1999;8;7;611;6.8;1;1;1;0;0;3;0
Vitaly Janelt;de GER;LT,ZG;Brentford;24-239;1998;18;13;1198;13.3;2;1;2;0;0;1;0
Pontus Jansson;se SWE;ZG;Brentford;31-325;1991;7;6;515;5.7;0;0;0;0;0;0;0
Mathias Jensen;dk DEN;LT;Brentford;27-003;1996;18;18;1324;14.7;1;4;1;0;0;3;0
Gabriel Jesus;br BRA;AT;Arsenal;25-276;1997;14;14;1219;13.5;5;5;5;0;0;4;0
RaÃºl JimÃ©nez;mx MEX;AT;Wolves;31-244;1991;4;2;222;2.5;0;0;0;0;0;0;0
Joelinton;br BRA;LT,AT;Newcastle Utd;26-143;1996;16;15;1330;14.8;2;1;2;0;0;6;0
Ben Johnson;eng ENG;ZG;West Ham;22-345;2000;7;6;488;5.4;0;0;0;0;0;0;0
Brennan Johnson;wls WAL;AT;Nott'ham Forest;21-226;2001;17;15;1358;15.1;2;0;1;1;2;2;0
Curtis Jones;eng ENG;LT,AT;Liverpool;21-339;2001;5;1;180;2.0;0;0;0;0;0;0;0
Jorginho;it ITA;LT;Chelsea;31-015;1991;15;13;1064;11.8;2;0;0;2;2;3;0
Diogo Jota;pt POR;AT,LT;Liverpool;26-031;1996;4;2;196;2.2;0;1;0;0;0;1;0
James Justin;eng ENG;ZG;Leicester City;24-315;1998;14;14;1252;13.9;0;0;0;0;0;0;0
Mathias JÃ¸rgensen;dk DEN;ZG;Brentford;32-256;1990;11;8;727;8.1;0;0;0;0;0;1;0
Sasa Kalajdzic;at AUT;AT;Wolves;25-181;1997;1;1;45;0.5;0;0;0;0;0;0;0
Boubacar Kamara;fr FRA;LT;Aston Villa;23-042;1999;11;10;844;9.4;0;0;0;0;0;2;0
Harry Kane;eng ENG;AT;Tottenham;29-160;1993;17;17;1515;16.8;13;1;11;2;3;4;0
N'Golo KantÃ©;fr FRA;LT;Chelsea;31-281;1991;2;2;174;1.9;0;0;0;0;0;0;0
Michael Keane;eng ENG;ZG;Everton;29-358;1993;1;0;23;0.3;0;0;0;0;0;0;0
Neeskens Kebano;cd COD;AT;Fulham;30-300;1992;12;9;713;7.9;0;3;0;0;0;0;0
Thilo Kehrer;de GER;ZG;West Ham;26-105;1996;14;14;1260;14.0;0;0;0;0;0;4;0
Naby KeÃ¯ta;gn GUI;LT;Liverpool;27-328;1995;3;0;98;1.1;0;0;0;0;0;0;0
Lloyd Kelly;eng ENG;ZG;Bournemouth;24-090;1998;8;8;720;8.0;0;2;0;0;0;1;0
Max Kilman;eng ENG;ZG;Wolves;25-226;1997;17;17;1530;17.0;0;0;0;0;0;1;0
Mateusz Klich;pl POL;LT,AT;Leeds United;32-205;1990;13;0;252;2.8;0;0;0;0;0;2;0
Robin Koch;de GER;ZG;Leeds United;26-171;1996;16;16;1395;15.5;0;0;0;0;0;3;0
Ibrahima KonatÃ©;fr FRA;ZG;Liverpool;23-224;1999;3;2;202;2.2;0;0;0;0;0;0;0
Ezri Konsa;eng ENG;ZG;Aston Villa;25-073;1997;17;16;1432;15.9;0;0;0;0;0;3;0
Kalidou Koulibaly;sn SEN;ZG;Chelsea;31-198;1991;11;10;922;10.2;1;0;1;0;0;4;1
Cheikhou KouyatÃ©;sn SEN;LT,ZG;Nott'ham Forest;33-014;1989;12;9;704;7.8;1;0;1;0;0;2;0
Mateo KovaÄiÄ‡;hr CRO;LT;Chelsea;28-243;1994;12;5;665;7.4;0;1;0;0;0;2;0
Emil Krafth;se SWE;ZG;Newcastle Utd;28-155;1994;1;0;1;0.0;0;0;0;0;0;0;0
Dejan Kulusevski;se SWE;LT,AT;Tottenham;22-254;2000;10;8;701;7.8;1;5;1;0;0;0;0
Layvin Kurzawa;fr FRA;ZG;Fulham;30-122;1992;1;1;44;0.5;0;0;0;0;0;0;0
Adam Lallana;eng ENG;LT,AT;Brighton;34-239;1988;14;10;628;7.0;2;1;2;0;0;0;0
Tariq Lamptey;gh GHA;ZG;Brighton;22-096;2000;14;1;306;3.4;0;0;0;0;0;1;0
Manuel Lanzini;ar ARG;LT,AT;West Ham;29-323;1993;5;1;126;1.4;0;0;0;0;0;0;0
Aymeric Laporte;es ESP;ZG;Manchester City;28-222;1994;4;3;286;3.2;0;0;0;0;0;0;0
Juan Larios;es ESP;ZG;Southampton;18-357;2004;5;2;152;1.7;0;0;0;0;0;0;0
Jamaal Lascelles;eng ENG;ZG;Newcastle Utd;29-054;1993;4;1;107;1.2;0;0;0;0;0;3;0
RomÃ©o Lavia;be BEL;LT;Southampton;18-363;2004;8;6;558;6.2;1;0;1;0;0;2;0
Dexter Lembikisa;jm JAM;ZG;Wolves;19-061;2003;1;0;23;0.3;0;0;0;0;0;0;0
ClÃ©ment Lenglet;fr FRA;ZG;Tottenham;27-201;1995;10;9;750;8.3;0;2;0;0;0;1;0
Bernd Leno;de GER;G;Fulham;30-306;1992;16;16;1440;16.0;0;0;0;0;0;1;0
Jefferson Lerma;co COL;LT,ZG;Bournemouth;28-071;1994;18;18;1613;17.9;2;0;2;0;0;3;0
Jamal Lewis;nir NIR;ZG;Newcastle Utd;24-344;1998;1;0;8;0.1;0;0;0;0;0;0;0
Rico Lewis;eng ENG;ZG;Manchester City;18-044;2004;5;2;191;2.1;0;0;0;0;0;1;0
Keane Lewis-Potter;eng ENG;AT,LT;Brentford;21-316;2001;8;3;304;3.4;0;1;0;0;0;0;0
Victor LindelÃ¶f;se SWE;ZG;Manchester Utd;28-171;1994;6;4;439;4.9;0;0;0;0;0;0;0
Jesse Lingard;eng ENG;AT,LT;Nott'ham Forest;30-020;1992;14;11;861;9.6;0;0;0;0;0;1;0
Diego Llorente;es ESP;ZG;Leeds United;29-141;1993;8;7;649;7.2;0;0;0;0;0;1;0
Hugo Lloris;fr FRA;G;Tottenham;36-009;1986;16;16;1440;16.0;0;0;0;0;0;0;0
Renan Lodi;br BRA;ZG;Nott'ham Forest;24-271;1998;9;8;656;7.3;0;0;0;0;0;2;0
Ruben Loftus-Cheek;eng ENG;LT,ZG;Chelsea;26-346;1996;14;12;954;10.6;0;0;0;0;0;1;0
Sean Longstaff;eng ENG;LT;Newcastle Utd;25-066;1997;18;14;1325;14.7;1;2;1;0;0;2;0
Jamal Lowe;jm JAM;LT,AT;Bournemouth;28-167;1994;2;0;12;0.1;0;0;0;0;0;0;0
Douglas Luiz;br BRA;LT;Aston Villa;24-240;1998;16;12;1101;12.2;2;3;2;0;0;1;1
Lyanco;br BRA;ZG;Southampton;25-337;1997;9;4;416;4.6;0;0;0;0;0;2;0
Alexis Mac Allister;ar ARG;LT;Brighton;24-011;1998;15;14;1285;14.3;5;0;2;3;3;4;0
James Maddison;eng ENG;LT,AT;Leicester City;26-042;1996;13;13;1098;12.2;7;4;7;0;0;5;0
Harry Maguire;eng ENG;ZG;Manchester Utd;29-305;1993;7;4;386;4.3;0;0;0;0;0;3;0
Riyad Mahrez;dz ALG;AT;Manchester City;31-317;1991;11;6;549;6.1;1;1;1;0;0;1;0
Ainsley Maitland-Niles;eng ENG;LT,ZG;Southampton;25-128;1997;9;5;538;6.0;0;0;0;0;0;2;0
Tyrell Malacia;nl NED;ZG;Manchester Utd;23-140;1999;11;8;747;8.3;0;0;0;0;0;3;0
