Data;Em casa;Resultado;Visitante;Relatório da Partida;Season;home_goal;away_goal
2014-08-30;Chievo;0–1;Juventus;Relatório da Partida;2014;0;1
2014-08-30;Roma;2–0;Fiorentina;Relatório da Partida;2014;2;0
2014-08-31;Atalanta;0–0;Hellas Verona;Relatório da Partida;2014;0;0
2014-08-31;Milan;3–1;Lazio;Relatório da Partida;2014;3;1
2014-08-31;Genoa;1–2;Napoli;Relatório da Partida;2014;1;2
2014-08-31;Palermo;1–1;Sampdoria;Relatório da Partida;2014;1;1
2014-08-31;Torino;0–0;Inter;Relatório da Partida;2014;0;0
2014-08-31;Sassuolo;1–1;Cagliari;Relatório da Partida;2014;1;1
2014-08-31;Udinese;2–0;Empoli;Relatório da Partida;2014;2;0
2014-08-31;Cesena;1–0;Parma;Relatório da Partida;2014;1;0
2014-09-13;Empoli;0–1;Roma;Relatório da Partida;2014;0;1
2014-09-13;Juventus;2–0;Udinese;Relatório da Partida;2014;2;0
2014-09-14;Sampdoria;2–0;Torino;Relatório da Partida;2014;2;0
2014-09-14;Cagliari;1–2;Atalanta;Relatório da Partida;2014;1;2
2014-09-14;Fiorentina;0–0;Genoa;Relatório da Partida;2014;0;0
2014-09-14;Inter;7–0;Sassuolo;Relatório da Partida;2014;7;0
2014-09-14;Lazio;3–0;Cesena;Relatório da Partida;2014;3;0
2014-09-14;Napoli;0–1;Chievo;Relatório da Partida;2014;0;1
2014-09-14;Parma;4–5;Milan;Relatório da Partida;2014;4;5
2014-09-15;Hellas Verona;2–1;Palermo;Relatório da Partida;2014;2;1
2014-09-20;Cesena;2–2;Empoli;Relatório da Partida;2014;2;2
2014-09-20;Milan;0–1;Juventus;Relatório da Partida;2014;0;1
2014-09-21;Chievo;2–3;Parma;Relatório da Partida;2014;2;3
2014-09-21;Sassuolo;0–0;Sampdoria;Relatório da Partida;2014;0;0
2014-09-21;Roma;2–0;Cagliari;Relatório da Partida;2014;2;0
2014-09-21;Genoa;1–0;Lazio;Relatório da Partida;2014;1;0
2014-09-21;Atalanta;0–1;Fiorentina;Relatório da Partida;2014;0;1
2014-09-21;Udinese;1–0;Napoli;Relatório da Partida;2014;1;0
2014-09-21;Torino;0–1;Hellas Verona;Relatório da Partida;2014;0;1
2014-09-21;Palermo;1–1;Inter;Relatório da Partida;2014;1;1
2014-09-23;Empoli;2–2;Milan;Relatório da Partida;2014;2;2
2014-09-24;Hellas Verona;2–2;Genoa;Relatório da Partida;2014;2;2
2014-09-24;Cagliari;1–2;Torino;Relatório da Partida;2014;1;2
2014-09-24;Fiorentina;0–0;Sassuolo;Relatório da Partida;2014;0;0
2014-09-24;Napoli;3–3;Palermo;Relatório da Partida;2014;3;3
2014-09-24;Juventus;3–0;Cesena;Relatório da Partida;2014;3;0
2014-09-24;Parma;1–2;Roma;Relatório da Partida;2014;1;2
2014-09-24;Inter;2–0;Atalanta;Relatório da Partida;2014;2;0
2014-09-24;Sampdoria;2–1;Chievo;Relatório da Partida;2014;2;1
2014-09-25;Lazio;0–1;Udinese;Relatório da Partida;2014;0;1
2014-09-27;Roma;2–0;Hellas Verona;Relatório da Partida;2014;2;0
2014-09-27;Atalanta;0–3;Juventus;Relatório da Partida;2014;0;3
2014-09-28;Sassuolo;0–1;Napoli;Relatório da Partida;2014;0;1
2014-09-28;Chievo;1–1;Empoli;Relatório da Partida;2014;1;1
2014-09-28;Inter;1–4;Cagliari;Relatório da Partida;2014;1;4
2014-09-28;Cesena;1–1;Milan;Relatório da Partida;2014;1;1
2014-09-28;Torino;1–1;Fiorentina;Relatório da Partida;2014;1;1
2014-09-28;Genoa;0–1;Sampdoria;Relatório da Partida;2014;0;1
2014-09-29;Udinese;4–2;Parma;Relatório da Partida;2014;4;2
2014-09-29;Palermo;0–4;Lazio;Relatório da Partida;2014;0;4
2014-10-04;Hellas Verona;1–0;Cagliari;Relatório da Partida;2014;1;0
2014-10-04;Milan;2–0;Chievo;Relatório da Partida;2014;2;0
2014-10-05;Empoli;3–0;Palermo;Relatório da Partida;2014;3;0
2014-10-05;Parma;1–2;Genoa;Relatório da Partida;2014;1;2
2014-10-05;Udinese;1–1;Cesena;Relatório da Partida;2014;1;1
2014-10-05;Lazio;3–2;Sassuolo;Relatório da Partida;2014;3;2
2014-10-05;Sampdoria;1–0;Atalanta;Relatório da Partida;2014;1;0
2014-10-05;Juventus;3–2;Roma;Relatório da Partida;2014;3;2
2014-10-05;Napoli;2–1;Torino;Relatório da Partida;2014;2;1
2014-10-05;Fiorentina;3–0;Inter;Relatório da Partida;2014;3;0
2014-10-18;Roma;3–0;Chievo;Relatório da Partida;2014;3;0
2014-10-18;Sassuolo;1–1;Juventus;Relatório da Partida;2014;1;1
2014-10-19;Fiorentina;0–2;Lazio;Relatório da Partida;2014;0;2
2014-10-19;Cagliari;2–2;Sampdoria;Relatório da Partida;2014;2;2
2014-10-19;Hellas Verona;1–3;Milan;Relatório da Partida;2014;1;3
2014-10-19;Palermo;2–1;Cesena;Relatório da Partida;2014;2;1
2014-10-19;Torino;1–0;Udinese;Relatório da Partida;2014;1;0
2014-10-19;Atalanta;1–0;Parma;Relatório da Partida;2014;1;0
2014-10-19;Inter;2–2;Napoli;Relatório da Partida;2014;2;2
2014-10-20;Genoa;1–1;Empoli;Relatório da Partida;2014;1;1
2014-10-25;Empoli;0–4;Cagliari;Relatório da Partida;2014;0;4
2014-10-25;Parma;1–3;Sassuolo;Relatório da Partida;2014;1;3
2014-10-25;Sampdoria;0–0;Roma;Relatório da Partida;2014;0;0
2014-10-26;Chievo;1–2;Genoa;Relatório da Partida;2014;1;2
2014-10-26;Udinese;2–0;Atalanta;Relatório da Partida;2014;2;0
2014-10-26;Juventus;2–0;Palermo;Relatório da Partida;2014;2;0
2014-10-26;Lazio;2–1;Torino;Relatório da Partida;2014;2;1
2014-10-26;Napoli;6–2;Hellas Verona;Relatório da Partida;2014;6;2
2014-10-26;Cesena;0–1;Inter;Relatório da Partida;2014;0;1
2014-10-26;Milan;1–1;Fiorentina;Relatório da Partida;2014;1;1
2014-10-28;Sassuolo;3–1;Empoli;Relatório da Partida;2014;3;1
2014-10-29;Atalanta;1–1;Napoli;Relatório da Partida;2014;1;1
2014-10-29;Inter;1–0;Sampdoria;Relatório da Partida;2014;1;0
2014-10-29;Fiorentina;3–0;Udinese;Relatório da Partida;2014;3;0
2014-10-29;Roma;2–0;Cesena;Relatório da Partida;2014;2;0
2014-10-29;Palermo;1–0;Chievo;Relatório da Partida;2014;1;0
2014-10-29;Torino;1–0;Parma;Relatório da Partida;2014;1;0
2014-10-29;Genoa;1–0;Juventus;Relatório da Partida;2014;1;0
2014-10-29;Cagliari;1–1;Milan;Relatório da Partida;2014;1;1
2014-10-30;Hellas Verona;1–1;Lazio;Relatório da Partida;2014;1;1
2014-11-01;Napoli;2–0;Roma;Relatório da Partida;2014;2;0
2014-11-01;Empoli;0–2;Juventus;Relatório da Partida;2014;0;2
2014-11-01;Parma;2–0;Inter;Relatório da Partida;2014;2;0
2014-11-02;Udinese;2–4;Genoa;Relatório da Partida;2014;2;4
2014-11-02;Sampdoria;3–1;Fiorentina;Relatório da Partida;2014;3;1
2014-11-02;Chievo;0–0;Sassuolo;Relatório da Partida;2014;0;0
2014-11-02;Torino;0–0;Atalanta;Relatório da Partida;2014;0;0
2014-11-02;Milan;0–2;Palermo;Relatório da Partida;2014;0;2
2014-11-03;Cesena;1–1;Hellas Verona;Relatório da Partida;2014;1;1
2014-11-03;Lazio;4–2;Cagliari;Relatório da Partida;2014;4;2
2014-11-08;Sassuolo;0–0;Atalanta;Relatório da Partida;2014;0;0
2014-11-08;Sampdoria;2–2;Milan;Relatório da Partida;2014;2;2
2014-11-09;Cagliari;1–1;Genoa;Relatório da Partida;2014;1;1
2014-11-09;Empoli;2–1;Lazio;Relatório da Partida;2014;2;1
2014-11-09;Chievo;2–1;Cesena;Relatório da Partida;2014;2;1
2014-11-09;Palermo;1–1;Udinese;Relatório da Partida;2014;1;1
2014-11-09;Juventus;7–0;Parma;Relatório da Partida;2014;7;0
2014-11-09;Fiorentina;0–1;Napoli;Relatório da Partida;2014;0;1
2014-11-09;Roma;3–0;Torino;Relatório da Partida;2014;3;0
2014-11-09;Inter;2–2;Hellas Verona;Relatório da Partida;2014;2;2
2014-11-22;Atalanta;1–2;Roma;Relatório da Partida;2014;1;2
2014-11-22;Lazio;0–3;Juventus;Relatório da Partida;2014;0;3
2014-11-23;Torino;0–1;Sassuolo;Relatório da Partida;2014;0;1
2014-11-23;Udinese;1–1;Chievo;Relatório da Partida;2014;1;1
2014-11-23;Parma;0–2;Empoli;Relatório da Partida;2014;0;2
2014-11-23;Hellas Verona;1–2;Fiorentina;Relatório da Partida;2014;1;2
2014-11-23;Napoli;3–3;Cagliari;Relatório da Partida;2014;3;3
2014-11-23;Cesena;1–1;Sampdoria;Relatório da Partida;2014;1;1
2014-11-23;Milan;1–1;Inter;Relatório da Partida;2014;1;1
2014-11-24;Genoa;1–1;Palermo;Relatório da Partida;2014;1;1
2014-11-29;Sassuolo;2–1;Hellas Verona;Relatório da Partida;2014;2;1
2014-11-29;Chievo;0–0;Lazio;Relatório da Partida;2014;0;0
2014-11-30;Palermo;2–1;Parma;Relatório da Partida;2014;2;1
2014-11-30;Cagliari;0–4;Fiorentina;Relatório da Partida;2014;0;4
2014-11-30;Milan;2–0;Udinese;Relatório da Partida;2014;2;0
2014-11-30;Cesena;0–3;Genoa;Relatório da Partida;2014;0;3
2014-11-30;Empoli;0–0;Atalanta;Relatório da Partida;2014;0;0
2014-11-30;Juventus;2–1;Torino;Relatório da Partida;2014;2;1
2014-11-30;Roma;4–2;Inter;Relatório da Partida;2014;4;2
2014-12-01;Sampdoria;1–1;Napoli;Relatório da Partida;2014;1;1
2014-12-05;Fiorentina;0–0;Juventus;Relatório da Partida;2014;0;0
2014-12-06;Roma;2–2;Sassuolo;Relatório da Partida;2014;2;2
2014-12-06;Torino;2–2;Palermo;Relatório da Partida;2014;2;2
2014-12-07;Napoli;2–2;Empoli;Relatório da Partida;2014;2;2
2014-12-07;Parma;1–2;Lazio;Relatório da Partida;2014;1;2
2014-12-07;Genoa;1–0;Milan;Relatório da Partida;2014;1;0
2014-12-07;Atalanta;3–2;Cesena;Relatório da Partida;2014;3;2
2014-12-07;Inter;1–2;Udinese;Relatório da Partida;2014;1;2
2014-12-08;Cagliari;0–2;Chievo;Relatório da Partida;2014;0;2
2014-12-08;Hellas Verona;1–3;Sampdoria;Relatório da Partida;2014;1;3
2014-12-13;Palermo;2–1;Sassuolo;Relatório da Partida;2014;2;1
2014-12-13;Lazio;3–0;Atalanta;Relatório da Partida;2014;3;0
2014-12-14;Juventus;1–1;Sampdoria;Relatório da Partida;2014;1;1
2014-12-14;Genoa;0–1;Roma;Relatório da Partida;2014;0;1
