Data;Em casa;Resultado;Visitante;Relatório da Partida;Season;home_goal;away_goal
2009-08-22;Bologna;1–1;Fiorentina;Relatório da Partida;2009;1;1
2009-08-22;Siena;1–2;Milan;Relatório da Partida;2009;1;2
2009-08-23;Livorno;0–0;Cagliari;Relatório da Partida;2009;0;0
2009-08-23;Palermo;2–1;Napoli;Relatório da Partida;2009;2;1
2009-08-23;Juventus;1–0;Chievo;Relatório da Partida;2009;1;0
2009-08-23;Lazio;1–0;Atalanta;Relatório da Partida;2009;1;0
2009-08-23;Catania;1–2;Sampdoria;Relatório da Partida;2009;1;2
2009-08-23;Udinese;2–2;Parma;Relatório da Partida;2009;2;2
2009-08-23;Inter;1–1;Bari;Relatório da Partida;2009;1;1
2009-08-23;Genoa;3–2;Roma;Relatório da Partida;2009;3;2
2009-08-29;Bari;0–0;Bologna;Relatório da Partida;2009;0;0
2009-08-29;Milan;0–4;Inter;Relatório da Partida;2009;0;4
2009-08-30;Sampdoria;3–1;Udinese;Relatório da Partida;2009;3;1
2009-08-30;Roma;1–3;Juventus;Relatório da Partida;2009;1;3
2009-08-30;Atalanta;0–1;Genoa;Relatório da Partida;2009;0;1
2009-08-30;Napoli;3–1;Livorno;Relatório da Partida;2009;3;1
2009-08-30;Chievo;1–2;Lazio;Relatório da Partida;2009;1;2
2009-08-30;Parma;2–1;Catania;Relatório da Partida;2009;2;1
2009-08-30;Cagliari;1–3;Siena;Relatório da Partida;2009;1;3
2009-08-30;Fiorentina;1–0;Palermo;Relatório da Partida;2009;1;0
2009-09-12;Livorno;0–0;Milan;Relatório da Partida;2009;0;0
2009-09-12;Lazio;0–2;Juventus;Relatório da Partida;2009;0;2
2009-09-13;Bologna;0–2;Chievo;Relatório da Partida;2009;0;2
2009-09-13;Fiorentina;1–0;Cagliari;Relatório da Partida;2009;1;0
2009-09-13;Palermo;1–1;Bari;Relatório da Partida;2009;1;1
2009-09-13;Inter;2–0;Parma;Relatório da Partida;2009;2;0
2009-09-13;Atalanta;0–1;Sampdoria;Relatório da Partida;2009;0;1
2009-09-13;Genoa;4–1;Napoli;Relatório da Partida;2009;4;1
2009-09-13;Udinese;4–2;Catania;Relatório da Partida;2009;4;2
2009-09-13;Siena;1–2;Roma;Relatório da Partida;2009;1;2
2009-09-19;Napoli;0–0;Udinese;Relatório da Partida;2009;0;0
2009-09-19;Juventus;2–0;Livorno;Relatório da Partida;2009;2;0
2009-09-20;Cagliari;1–2;Inter;Relatório da Partida;2009;1;2
2009-09-20;Catania;1–1;Lazio;Relatório da Partida;2009;1;1
2009-09-20;Parma;1–0;Palermo;Relatório da Partida;2009;1;0
2009-09-20;Chievo;3–1;Genoa;Relatório da Partida;2009;3;1
2009-09-20;Sampdoria;4–1;Siena;Relatório da Partida;2009;4;1
2009-09-20;Bari;4–1;Atalanta;Relatório da Partida;2009;4;1
2009-09-20;Roma;3–1;Fiorentina;Relatório da Partida;2009;3;1
2009-09-20;Milan;1–0;Bologna;Relatório da Partida;2009;1;0
2009-09-23;Palermo;3–3;Roma;Relatório da Partida;2009;3;3
2009-09-23;Siena;0–0;Chievo;Relatório da Partida;2009;0;0
2009-09-23;Atalanta;0–0;Catania;Relatório da Partida;2009;0;0
2009-09-23;Inter;3–1;Napoli;Relatório da Partida;2009;3;1
2009-09-23;Udinese;1–0;Milan;Relatório da Partida;2009;1;0
2009-09-23;Fiorentina;2–0;Sampdoria;Relatório da Partida;2009;2;0
2009-09-23;Bologna;2–0;Livorno;Relatório da Partida;2009;2;0
2009-09-23;Bari;0–1;Cagliari;Relatório da Partida;2009;0;1
2009-09-23;Lazio;1–2;Parma;Relatório da Partida;2009;1;2
2009-09-24;Genoa;2–2;Juventus;Relatório da Partida;2009;2;2
2009-09-26;Sampdoria;1–0;Inter;Relatório da Partida;2009;1;0
2009-09-26;Livorno;0–1;Fiorentina;Relatório da Partida;2009;0;1
2009-09-27;Juventus;1–1;Bologna;Relatório da Partida;2009;1;1
2009-09-27;Udinese;2–0;Genoa;Relatório da Partida;2009;2;0
2009-09-27;Parma;0–2;Cagliari;Relatório da Partida;2009;0;2
2009-09-27;Lazio;1–1;Palermo;Relatório da Partida;2009;1;1
2009-09-27;Milan;0–0;Bari;Relatório da Partida;2009;0;0
2009-09-27;Napoli;2–1;Siena;Relatório da Partida;2009;2;1
2009-09-27;Catania;1–1;Roma;Relatório da Partida;2009;1;1
2009-09-27;Chievo;1–1;Atalanta;Relatório da Partida;2009;1;1
2009-10-03;Bari;0–0;Catania;Relatório da Partida;2009;0;0
2009-10-03;Inter;2–1;Udinese;Relatório da Partida;2009;2;1
2009-10-04;Roma;2–1;Napoli;Relatório da Partida;2009;2;1
2009-10-04;Siena;0–0;Livorno;Relatório da Partida;2009;0;0
2009-10-04;Bologna;1–3;Genoa;Relatório da Partida;2009;1;3
2009-10-04;Atalanta;1–1;Milan;Relatório da Partida;2009;1;1
2009-10-04;Cagliari;1–2;Chievo;Relatório da Partida;2009;1;2
2009-10-04;Sampdoria;1–1;Parma;Relatório da Partida;2009;1;1
2009-10-04;Palermo;2–0;Juventus;Relatório da Partida;2009;2;0
2009-10-04;Fiorentina;0–0;Lazio;Relatório da Partida;2009;0;0
2009-10-17;Juventus;1–1;Fiorentina;Relatório da Partida;2009;1;1
2009-10-17;Genoa;0–5;Inter;Relatório da Partida;2009;0;5
2009-10-18;Parma;1–0;Siena;Relatório da Partida;2009;1;0
2009-10-18;Udinese;1–3;Atalanta;Relatório da Partida;2009;1;3
2009-10-18;Lazio;1–1;Sampdoria;Relatório da Partida;2009;1;1
2009-10-18;Livorno;1–2;Palermo;Relatório da Partida;2009;1;2
2009-10-18;Catania;2–1;Cagliari;Relatório da Partida;2009;2;1
2009-10-18;Milan;2–1;Roma;Relatório da Partida;2009;2;1
2009-10-18;Chievo;1–2;Bari;Relatório da Partida;2009;1;2
2009-10-18;Napoli;2–1;Bologna;Relatório da Partida;2009;2;1
2009-10-24;Sampdoria;4–1;Bologna;Relatório da Partida;2009;4;1
2009-10-24;Inter;2–1;Catania;Relatório da Partida;2009;2;1
2009-10-25;Bari;2–0;Lazio;Relatório da Partida;2009;2;0
2009-10-25;Siena;0–1;Juventus;Relatório da Partida;2009;0;1
2009-10-25;Atalanta;3–1;Parma;Relatório da Partida;2009;3;1
2009-10-25;Chievo;1–2;Milan;Relatório da Partida;2009;1;2
2009-10-25;Fiorentina;0–1;Napoli;Relatório da Partida;2009;0;1
2009-10-25;Palermo;1–0;Udinese;Relatório da Partida;2009;1;0
2009-10-25;Roma;0–1;Livorno;Relatório da Partida;2009;0;1
2009-10-25;Cagliari;3–2;Genoa;Relatório da Partida;2009;3;2
2009-10-28;Parma;2–0;Bari;Relatório da Partida;2009;2;0
2009-10-28;Lazio;0–1;Cagliari;Relatório da Partida;2009;0;1
2009-10-28;Bologna;2–1;Siena;Relatório da Partida;2009;2;1
2009-10-28;Juventus;5–1;Sampdoria;Relatório da Partida;2009;5;1
2009-10-28;Napoli;2–2;Milan;Relatório da Partida;2009;2;2
2009-10-28;Livorno;1–0;Atalanta;Relatório da Partida;2009;1;0
2009-10-28;Catania;1–2;Chievo;Relatório da Partida;2009;1;2
