Data;Em casa;Resultado;Visitante;Relatório da Partida;Season;home_goal;away_goal
2021-08-21;Inter;4–0;Genoa;Relatório da Partida;2021;4;0
2021-08-21;Hellas Verona;2–3;Sassuolo;Relatório da Partida;2021;2;3
2021-08-21;Torino;1–2;Atalanta;Relatório da Partida;2021;1;2
2021-08-21;Empoli;1–3;Lazio;Relatório da Partida;2021;1;3
2021-08-22;Bologna;3–2;Salernitana;Relatório da Partida;2021;3;2
2021-08-22;Udinese;2–2;Juventus;Relatório da Partida;2021;2;2
2021-08-22;Napoli;2–0;Venezia;Relatório da Partida;2021;2;0
2021-08-22;Roma;3–1;Fiorentina;Relatório da Partida;2021;3;1
2021-08-23;Cagliari;2–2;Spezia;Relatório da Partida;2021;2;2
2021-08-23;Sampdoria;0–1;Milan;Relatório da Partida;2021;0;1
2021-08-27;Udinese;3–0;Venezia;Relatório da Partida;2021;3;0
2021-08-27;Hellas Verona;1–3;Inter;Relatório da Partida;2021;1;3
2021-08-28;Atalanta;0–0;Bologna;Relatório da Partida;2021;0;0
2021-08-28;Lazio;6–1;Spezia;Relatório da Partida;2021;6;1
2021-08-28;Fiorentina;2–1;Torino;Relatório da Partida;2021;2;1
2021-08-28;Juventus;0–1;Empoli;Relatório da Partida;2021;0;1
2021-08-29;Sassuolo;0–0;Sampdoria;Relatório da Partida;2021;0;0
2021-08-29;Genoa;1–2;Napoli;Relatório da Partida;2021;1;2
2021-08-29;Milan;4–1;Cagliari;Relatório da Partida;2021;4;1
2021-08-29;Salernitana;0–4;Roma;Relatório da Partida;2021;0;4
2021-09-11;Empoli;1–2;Venezia;Relatório da Partida;2021;1;2
2021-09-11;Napoli;2–1;Juventus;Relatório da Partida;2021;2;1
2021-09-11;Atalanta;1–2;Fiorentina;Relatório da Partida;2021;1;2
2021-09-12;Sampdoria;2–2;Inter;Relatório da Partida;2021;2;2
2021-09-12;Cagliari;2–3;Genoa;Relatório da Partida;2021;2;3
2021-09-12;Torino;4–0;Salernitana;Relatório da Partida;2021;4;0
2021-09-12;Spezia;0–1;Udinese;Relatório da Partida;2021;0;1
2021-09-12;Milan;2–0;Lazio;Relatório da Partida;2021;2;0
2021-09-12;Roma;2–1;Sassuolo;Relatório da Partida;2021;2;1
2021-09-13;Bologna;1–0;Hellas Verona;Relatório da Partida;2021;1;0
2021-09-17;Sassuolo;0–1;Torino;Relatório da Partida;2021;0;1
2021-09-18;Genoa;1–2;Fiorentina;Relatório da Partida;2021;1;2
2021-09-18;Inter;6–1;Bologna;Relatório da Partida;2021;6;1
2021-09-18;Salernitana;0–1;Atalanta;Relatório da Partida;2021;0;1
2021-09-19;Empoli;0–3;Sampdoria;Relatório da Partida;2021;0;3
2021-09-19;Venezia;1–2;Spezia;Relatório da Partida;2021;1;2
2021-09-19;Lazio;2–2;Cagliari;Relatório da Partida;2021;2;2
2021-09-19;Hellas Verona;3–2;Roma;Relatório da Partida;2021;3;2
2021-09-19;Juventus;1–1;Milan;Relatório da Partida;2021;1;1
2021-09-20;Udinese;0–4;Napoli;Relatório da Partida;2021;0;4
2021-09-21;Bologna;2–2;Genoa;Relatório da Partida;2021;2;2
2021-09-21;Fiorentina;1–3;Inter;Relatório da Partida;2021;1;3
2021-09-21;Atalanta;2–1;Sassuolo;Relatório da Partida;2021;2;1
2021-09-22;Spezia;2–3;Juventus;Relatório da Partida;2021;2;3
2021-09-22;Salernitana;2–2;Hellas Verona;Relatório da Partida;2021;2;2
2021-09-22;Cagliari;0–2;Empoli;Relatório da Partida;2021;0;2
2021-09-22;Milan;2–0;Venezia;Relatório da Partida;2021;2;0
2021-09-23;Torino;1–1;Lazio;Relatório da Partida;2021;1;1
2021-09-23;Sampdoria;0–4;Napoli;Relatório da Partida;2021;0;4
2021-09-23;Roma;1–0;Udinese;Relatório da Partida;2021;1;0
